"ID"	"场景ID"	"可能得到的物品"	"首次奖励"	"首次奖励数量"	"基础奖励"	"基础奖励数量"	"怪物名称（可能显示多个）"	"特征技能（可能显示多个）"	"攻略"	
"84"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42841"	"70000300"	"4011"	
"85"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"25,90,3400000"	"100102,100101,100001"	"2,20,1000"	"42851"	"70000400"	"4012"	
"86"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42861"	"70000100"	"4009"	
"87"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42871"	"70000200"	"4010"	
"88"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42881"	"70000100"	"4009"	
"89"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42891"	"70000200"	"4010"	
"90"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"25,100,3600000"	"100102,100101,100001"	"2,20,1000"	"42901"	"70000400"	"4012"	
"91"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42911"	"70000300"	"4011"	
"92"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42921"	"70000100"	"4009"	
"93"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42931"	"70000300"	"4011"	
"94"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42941"	"70000300"	"4011"	
"95"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"25,100,3800000"	"100102,100101,100001"	"2,20,1000"	"42951"	"70000300"	"4011"	
"96"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42961"	"70000400"	"4012"	
"97"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42971"	"70000300"	"4011"	
"98"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42981"	"70000300"	"4011"	
"99"	"4002"	"800271,100102,100101"	""	""	"100102,100101,100001"	"2,20,1000"	"42991"	"70000300"	"4011"	
"100"	"4002"	"800271,100102,100101"	"800271,100004,100002"	"1,200,4000000"	"100102,100101,100001"	"2,20,1000"	"42001"	"70000300"	"4011"	
