"索引"	"等级"	"星级"	"下一星级"	"总经验"	"物品给予经验"	"消耗物品"	"消耗物品数量"	"10次升级暴击概率"	"加成属性_1"	"加成属性_2"	"加成属性_3"	"加成属性_4"	"加成属性_5"	
"26"	"3"	"5"	"6"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,208"	"9,0,208"	"10,0,130"	"11,0,130"	"6,0,5200"	
"27"	"3"	"6"	"7"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,216"	"9,0,216"	"10,0,135"	"11,0,135"	"6,0,5400"	
"28"	"3"	"7"	"8"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,224"	"9,0,224"	"10,0,140"	"11,0,140"	"6,0,5600"	
"29"	"3"	"8"	"9"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,232"	"9,0,232"	"10,0,145"	"11,0,145"	"6,0,5800"	
"30"	"3"	"9"	"-1"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,240"	"9,0,240"	"10,0,150"	"11,0,150"	"6,0,6000"	
"31"	"4"	"0"	"1"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,248"	"9,0,248"	"10,0,155"	"11,0,155"	"6,0,6200"	
"32"	"4"	"1"	"2"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,256"	"9,0,256"	"10,0,160"	"11,0,160"	"6,0,6400"	
"33"	"4"	"2"	"3"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,264"	"9,0,264"	"10,0,165"	"11,0,165"	"6,0,6600"	
"34"	"4"	"3"	"4"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,272"	"9,0,272"	"10,0,170"	"11,0,170"	"6,0,6800"	
"35"	"4"	"4"	"5"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,280"	"9,0,280"	"10,0,175"	"11,0,175"	"6,0,7000"	
"36"	"4"	"5"	"6"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,288"	"9,0,288"	"10,0,180"	"11,0,180"	"6,0,7200"	
"37"	"4"	"6"	"7"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,296"	"9,0,296"	"10,0,185"	"11,0,185"	"6,0,7400"	
"38"	"4"	"7"	"8"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,304"	"9,0,304"	"10,0,190"	"11,0,190"	"6,0,7600"	
"39"	"4"	"8"	"9"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,312"	"9,0,312"	"10,0,195"	"11,0,195"	"6,0,7800"	
"40"	"4"	"9"	"-1"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,320"	"9,0,320"	"10,0,200"	"11,0,200"	"6,0,8000"	
"41"	"5"	"0"	"1"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,328"	"9,0,328"	"10,0,205"	"11,0,205"	"6,0,8200"	
"42"	"5"	"1"	"2"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,336"	"9,0,336"	"10,0,210"	"11,0,210"	"6,0,8400"	
"43"	"5"	"2"	"3"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,344"	"9,0,344"	"10,0,215"	"11,0,215"	"6,0,8600"	
"44"	"5"	"3"	"4"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,352"	"9,0,352"	"10,0,220"	"11,0,220"	"6,0,8800"	
"45"	"5"	"4"	"5"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,360"	"9,0,360"	"10,0,225"	"11,0,225"	"6,0,9000"	
"46"	"5"	"5"	"6"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,368"	"9,0,368"	"10,0,230"	"11,0,230"	"6,0,9200"	
"47"	"5"	"6"	"7"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,376"	"9,0,376"	"10,0,235"	"11,0,235"	"6,0,9400"	
"48"	"5"	"7"	"8"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,384"	"9,0,384"	"10,0,240"	"11,0,240"	"6,0,9600"	
"49"	"5"	"8"	"9"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,392"	"9,0,392"	"10,0,245"	"11,0,245"	"6,0,9800"	
"50"	"5"	"9"	"-1"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,400"	"9,0,400"	"10,0,250"	"11,0,250"	"6,0,10000"	
"51"	"6"	"0"	"1"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,410"	"9,0,410"	"10,0,256"	"11,0,256"	"6,0,10260"	
"52"	"6"	"1"	"2"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,420"	"9,0,420"	"10,0,262"	"11,0,262"	"6,0,10520"	
"53"	"6"	"2"	"3"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,430"	"9,0,430"	"10,0,268"	"11,0,268"	"6,0,10780"	
"54"	"6"	"3"	"4"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,440"	"9,0,440"	"10,0,274"	"11,0,274"	"6,0,11040"	
"55"	"6"	"4"	"5"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,450"	"9,0,450"	"10,0,280"	"11,0,280"	"6,0,11300"	
"56"	"6"	"5"	"6"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,460"	"9,0,460"	"10,0,286"	"11,0,286"	"6,0,11560"	
"57"	"6"	"6"	"7"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,470"	"9,0,470"	"10,0,292"	"11,0,292"	"6,0,11820"	
"58"	"6"	"7"	"8"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,480"	"9,0,480"	"10,0,298"	"11,0,298"	"6,0,12080"	
"59"	"6"	"8"	"9"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,490"	"9,0,490"	"10,0,304"	"11,0,304"	"6,0,12340"	
"60"	"6"	"9"	"-1"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,500"	"9,0,500"	"10,0,310"	"11,0,310"	"6,0,12600"	
"61"	"7"	"0"	"1"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,510"	"9,0,510"	"10,0,316"	"11,0,316"	"6,0,12860"	
"62"	"7"	"1"	"2"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,520"	"9,0,520"	"10,0,322"	"11,0,322"	"6,0,13120"	
"63"	"7"	"2"	"3"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,530"	"9,0,530"	"10,0,328"	"11,0,328"	"6,0,13380"	
"64"	"7"	"3"	"4"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,540"	"9,0,540"	"10,0,334"	"11,0,334"	"6,0,13640"	
"65"	"7"	"4"	"5"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,550"	"9,0,550"	"10,0,340"	"11,0,340"	"6,0,13900"	
"66"	"7"	"5"	"6"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,560"	"9,0,560"	"10,0,346"	"11,0,346"	"6,0,14160"	
"67"	"7"	"6"	"7"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,570"	"9,0,570"	"10,0,352"	"11,0,352"	"6,0,14420"	
"68"	"7"	"7"	"8"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,580"	"9,0,580"	"10,0,358"	"11,0,358"	"6,0,14680"	
"69"	"7"	"8"	"9"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,590"	"9,0,590"	"10,0,364"	"11,0,364"	"6,0,14940"	
"70"	"7"	"9"	"-1"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,600"	"9,0,600"	"10,0,370"	"11,0,370"	"6,0,15200"	
"71"	"8"	"0"	"1"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,610"	"9,0,610"	"10,0,376"	"11,0,376"	"6,0,15460"	
"72"	"8"	"1"	"2"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,620"	"9,0,620"	"10,0,382"	"11,0,382"	"6,0,15720"	
"73"	"8"	"2"	"3"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,630"	"9,0,630"	"10,0,388"	"11,0,388"	"6,0,15980"	
"74"	"8"	"3"	"4"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,640"	"9,0,640"	"10,0,394"	"11,0,394"	"6,0,16240"	
"75"	"8"	"4"	"5"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,650"	"9,0,650"	"10,0,400"	"11,0,400"	"6,0,16500"	
"76"	"8"	"5"	"6"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,660"	"9,0,660"	"10,0,406"	"11,0,406"	"6,0,16760"	
"77"	"8"	"6"	"7"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,670"	"9,0,670"	"10,0,412"	"11,0,412"	"6,0,17020"	
"78"	"8"	"7"	"8"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,680"	"9,0,680"	"10,0,418"	"11,0,418"	"6,0,17280"	
"79"	"8"	"8"	"9"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,690"	"9,0,690"	"10,0,424"	"11,0,424"	"6,0,17540"	
"80"	"8"	"9"	"-1"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,700"	"9,0,700"	"10,0,430"	"11,0,430"	"6,0,17800"	
"81"	"9"	"0"	"1"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,710"	"9,0,710"	"10,0,436"	"11,0,436"	"6,0,18060"	
"82"	"9"	"1"	"2"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,720"	"9,0,720"	"10,0,442"	"11,0,442"	"6,0,18320"	
"83"	"9"	"2"	"3"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,730"	"9,0,730"	"10,0,448"	"11,0,448"	"6,0,18580"	
"84"	"9"	"3"	"4"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,740"	"9,0,740"	"10,0,454"	"11,0,454"	"6,0,18840"	
"85"	"9"	"4"	"5"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,750"	"9,0,750"	"10,0,460"	"11,0,460"	"6,0,19100"	
"86"	"9"	"5"	"6"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,760"	"9,0,760"	"10,0,466"	"11,0,466"	"6,0,19360"	
"87"	"9"	"6"	"7"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,770"	"9,0,770"	"10,0,472"	"11,0,472"	"6,0,19620"	
"88"	"9"	"7"	"8"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,780"	"9,0,780"	"10,0,478"	"11,0,478"	"6,0,19880"	
"89"	"9"	"8"	"9"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,790"	"9,0,790"	"10,0,484"	"11,0,484"	"6,0,20140"	
"90"	"9"	"9"	"-1"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,800"	"9,0,800"	"10,0,490"	"11,0,490"	"6,0,20400"	
"91"	"10"	"0"	"1"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,810"	"9,0,810"	"10,0,496"	"11,0,496"	"6,0,20660"	
"92"	"10"	"1"	"2"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,820"	"9,0,820"	"10,0,502"	"11,0,502"	"6,0,20920"	
"93"	"10"	"2"	"3"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,830"	"9,0,830"	"10,0,508"	"11,0,508"	"6,0,21180"	
"94"	"10"	"3"	"4"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,840"	"9,0,840"	"10,0,514"	"11,0,514"	"6,0,21440"	
"95"	"10"	"4"	"5"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,850"	"9,0,850"	"10,0,520"	"11,0,520"	"6,0,21700"	
"96"	"10"	"5"	"6"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,860"	"9,0,860"	"10,0,526"	"11,0,526"	"6,0,21960"	
"97"	"10"	"6"	"7"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,870"	"9,0,870"	"10,0,532"	"11,0,532"	"6,0,22220"	
"98"	"10"	"7"	"8"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,880"	"9,0,880"	"10,0,538"	"11,0,538"	"6,0,22480"	
"99"	"10"	"8"	"9"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,890"	"9,0,890"	"10,0,544"	"11,0,544"	"6,0,22740"	
"100"	"10"	"9"	"-1"	"50"	"10"	"820001"	"1"	"0.200000"	"8,0,900"	"9,0,900"	"10,0,550"	"11,0,550"	"6,0,23000"	
"101"	"11"	"0"	"1"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,912"	"9,0,912"	"10,0,558"	"11,0,558"	"6,0,23280"	
"102"	"11"	"1"	"2"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,924"	"9,0,924"	"10,0,566"	"11,0,566"	"6,0,23560"	
"103"	"11"	"2"	"3"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,936"	"9,0,936"	"10,0,574"	"11,0,574"	"6,0,23840"	
"104"	"11"	"3"	"4"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,948"	"9,0,948"	"10,0,582"	"11,0,582"	"6,0,24120"	
"105"	"11"	"4"	"5"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,960"	"9,0,960"	"10,0,590"	"11,0,590"	"6,0,24400"	
"106"	"11"	"5"	"6"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,972"	"9,0,972"	"10,0,598"	"11,0,598"	"6,0,24680"	
"107"	"11"	"6"	"7"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,984"	"9,0,984"	"10,0,606"	"11,0,606"	"6,0,24960"	
"108"	"11"	"7"	"8"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,996"	"9,0,996"	"10,0,614"	"11,0,614"	"6,0,25240"	
"109"	"11"	"8"	"9"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1008"	"9,0,1008"	"10,0,622"	"11,0,622"	"6,0,25520"	
"110"	"11"	"9"	"-1"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1020"	"9,0,1020"	"10,0,630"	"11,0,630"	"6,0,25800"	
"111"	"12"	"0"	"1"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1032"	"9,0,1032"	"10,0,638"	"11,0,638"	"6,0,26080"	
"112"	"12"	"1"	"2"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1044"	"9,0,1044"	"10,0,646"	"11,0,646"	"6,0,26360"	
"113"	"12"	"2"	"3"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1056"	"9,0,1056"	"10,0,654"	"11,0,654"	"6,0,26640"	
"114"	"12"	"3"	"4"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1068"	"9,0,1068"	"10,0,662"	"11,0,662"	"6,0,26920"	
"115"	"12"	"4"	"5"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1080"	"9,0,1080"	"10,0,670"	"11,0,670"	"6,0,27200"	
"116"	"12"	"5"	"6"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1092"	"9,0,1092"	"10,0,678"	"11,0,678"	"6,0,27480"	
"117"	"12"	"6"	"7"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1104"	"9,0,1104"	"10,0,686"	"11,0,686"	"6,0,27760"	
"118"	"12"	"7"	"8"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1116"	"9,0,1116"	"10,0,694"	"11,0,694"	"6,0,28040"	
"119"	"12"	"8"	"9"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1128"	"9,0,1128"	"10,0,702"	"11,0,702"	"6,0,28320"	
"120"	"12"	"9"	"-1"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1140"	"9,0,1140"	"10,0,710"	"11,0,710"	"6,0,28600"	
"121"	"13"	"0"	"1"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1152"	"9,0,1152"	"10,0,718"	"11,0,718"	"6,0,28880"	
"122"	"13"	"1"	"2"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1164"	"9,0,1164"	"10,0,726"	"11,0,726"	"6,0,29160"	
"123"	"13"	"2"	"3"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1176"	"9,0,1176"	"10,0,734"	"11,0,734"	"6,0,29440"	
"124"	"13"	"3"	"4"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1188"	"9,0,1188"	"10,0,742"	"11,0,742"	"6,0,29720"	
"125"	"13"	"4"	"5"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1200"	"9,0,1200"	"10,0,750"	"11,0,750"	"6,0,30000"	
"126"	"13"	"5"	"6"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1212"	"9,0,1212"	"10,0,758"	"11,0,758"	"6,0,30280"	
"127"	"13"	"6"	"7"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1224"	"9,0,1224"	"10,0,766"	"11,0,766"	"6,0,30560"	
"128"	"13"	"7"	"8"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1236"	"9,0,1236"	"10,0,774"	"11,0,774"	"6,0,30840"	
"129"	"13"	"8"	"9"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1248"	"9,0,1248"	"10,0,782"	"11,0,782"	"6,0,31120"	
"130"	"13"	"9"	"-1"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1260"	"9,0,1260"	"10,0,790"	"11,0,790"	"6,0,31400"	
"131"	"14"	"0"	"1"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1272"	"9,0,1272"	"10,0,798"	"11,0,798"	"6,0,31680"	
"132"	"14"	"1"	"2"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1284"	"9,0,1284"	"10,0,806"	"11,0,806"	"6,0,31960"	
"133"	"14"	"2"	"3"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1296"	"9,0,1296"	"10,0,814"	"11,0,814"	"6,0,32240"	
"134"	"14"	"3"	"4"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1308"	"9,0,1308"	"10,0,822"	"11,0,822"	"6,0,32520"	
"135"	"14"	"4"	"5"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1320"	"9,0,1320"	"10,0,830"	"11,0,830"	"6,0,32800"	
"136"	"14"	"5"	"6"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1332"	"9,0,1332"	"10,0,838"	"11,0,838"	"6,0,33080"	
"137"	"14"	"6"	"7"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1344"	"9,0,1344"	"10,0,846"	"11,0,846"	"6,0,33360"	
"138"	"14"	"7"	"8"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1356"	"9,0,1356"	"10,0,854"	"11,0,854"	"6,0,33640"	
"139"	"14"	"8"	"9"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1368"	"9,0,1368"	"10,0,862"	"11,0,862"	"6,0,33920"	
"140"	"14"	"9"	"-1"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1380"	"9,0,1380"	"10,0,870"	"11,0,870"	"6,0,34200"	
"141"	"15"	"0"	"1"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1392"	"9,0,1392"	"10,0,878"	"11,0,878"	"6,0,34480"	
"142"	"15"	"1"	"2"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1404"	"9,0,1404"	"10,0,886"	"11,0,886"	"6,0,34760"	
"143"	"15"	"2"	"3"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1416"	"9,0,1416"	"10,0,894"	"11,0,894"	"6,0,35040"	
"144"	"15"	"3"	"4"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1428"	"9,0,1428"	"10,0,902"	"11,0,902"	"6,0,35320"	
"145"	"15"	"4"	"5"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1440"	"9,0,1440"	"10,0,910"	"11,0,910"	"6,0,35600"	
"146"	"15"	"5"	"6"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1452"	"9,0,1452"	"10,0,918"	"11,0,918"	"6,0,35880"	
"147"	"15"	"6"	"7"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1464"	"9,0,1464"	"10,0,926"	"11,0,926"	"6,0,36160"	
"148"	"15"	"7"	"8"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1476"	"9,0,1476"	"10,0,934"	"11,0,934"	"6,0,36440"	
"149"	"15"	"8"	"9"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1488"	"9,0,1488"	"10,0,942"	"11,0,942"	"6,0,36720"	
"150"	"15"	"9"	"-1"	"80"	"20"	"820001"	"2"	"0.100000"	"8,0,1500"	"9,0,1500"	"10,0,950"	"11,0,950"	"6,0,37000"	
"151"	"16"	"0"	"1"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1514"	"9,0,1514"	"10,0,959"	"11,0,959"	"6,0,37300"	
"152"	"16"	"1"	"2"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1528"	"9,0,1528"	"10,0,968"	"11,0,968"	"6,0,37600"	
"153"	"16"	"2"	"3"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1542"	"9,0,1542"	"10,0,977"	"11,0,977"	"6,0,37900"	
"154"	"16"	"3"	"4"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1556"	"9,0,1556"	"10,0,986"	"11,0,986"	"6,0,38200"	
"155"	"16"	"4"	"5"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1570"	"9,0,1570"	"10,0,995"	"11,0,995"	"6,0,38500"	
"156"	"16"	"5"	"6"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1584"	"9,0,1584"	"10,0,1004"	"11,0,1004"	"6,0,38800"	
"157"	"16"	"6"	"7"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1598"	"9,0,1598"	"10,0,1013"	"11,0,1013"	"6,0,39100"	
"158"	"16"	"7"	"8"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1612"	"9,0,1612"	"10,0,1022"	"11,0,1022"	"6,0,39400"	
"159"	"16"	"8"	"9"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1626"	"9,0,1626"	"10,0,1031"	"11,0,1031"	"6,0,39700"	
"160"	"16"	"9"	"-1"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1640"	"9,0,1640"	"10,0,1040"	"11,0,1040"	"6,0,40000"	
"161"	"17"	"0"	"1"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1654"	"9,0,1654"	"10,0,1049"	"11,0,1049"	"6,0,40300"	
"162"	"17"	"1"	"2"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1668"	"9,0,1668"	"10,0,1058"	"11,0,1058"	"6,0,40600"	
"163"	"17"	"2"	"3"	"100"	"20"	"820001"	"2"	"0.100000"	"8,0,1682"	"9,0,1682"	"10,0,1067"	"11,0,1067"	"6,0,40900"	
