"等级/次数"	"所需金币(第N次花钱点击所需花费)"	"返回银币"	"1号箱子"	"2号箱子"	"3号箱子"	"4号箱子"	"5号箱子"	"每日免费次数(只以第一行为准)"	"每日付费次数(只以第一行为准)"	""	""	""	""	""	""	""	
"13"	"10"	"72900"	"10,182200"	"20,243000"	"30,312500"	"40,392600"	"50,486200"	""	""	""	""	""	""	""	""	""	
"14"	"10"	"73400"	"10,183500"	"20,244700"	"30,314700"	"40,395100"	"50,489100"	""	""	""	""	""	""	""	""	""	
"15"	"10"	"73900"	"10,184800"	"20,246400"	"30,316700"	"40,397900"	"50,493000"	""	""	""	""	""	""	""	""	""	
"16"	"10"	"74400"	"10,186000"	"20,248000"	"30,318800"	"40,400700"	"50,495800"	""	""	""	""	""	""	""	""	""	
"17"	"15"	"74900"	"10,187300"	"20,249700"	"30,321000"	"40,403200"	"50,499200"	""	""	""	""	""	""	""	""	""	
"18"	"15"	"75400"	"10,188500"	"20,251300"	"30,323200"	"40,406000"	"50,502600"	""	""	""	""	""	""	""	""	""	
"19"	"15"	"75900"	"10,189800"	"20,253000"	"30,325400"	"40,408800"	"50,505900"	""	""	""	""	""	""	""	""	""	
"20"	"15"	"82500"	"10,206200"	"20,275000"	"30,353600"	"40,444100"	"50,550100"	""	""	""	""	""	""	""	""	""	
"21"	"15"	"85000"	"10,212500"	"20,283300"	"30,364300"	"40,457800"	"50,566900"	""	""	""	""	""	""	""	""	""	
"22"	"15"	"87500"	"10,218800"	"20,291700"	"30,375000"	"40,471200"	"50,583200"	""	""	""	""	""	""	""	""	""	
"23"	"15"	"90000"	"10,225000"	"20,300000"	"30,385700"	"40,484700"	"50,600000"	""	""	""	""	""	""	""	""	""	
"24"	"15"	"92500"	"10,231300"	"20,308300"	"30,396400"	"40,498100"	"50,616800"	""	""	""	""	""	""	""	""	""	
"25"	"15"	"95000"	"10,237500"	"20,316700"	"30,407200"	"40,511600"	"50,633100"	""	""	""	""	""	""	""	""	""	
"26"	"15"	"97500"	"10,243800"	"20,325000"	"30,417900"	"40,525000"	"50,649900"	""	""	""	""	""	""	""	""	""	
"27"	"20"	"100000"	"10,250000"	"20,333400"	"30,428600"	"40,538400"	"50,666700"	""	""	""	""	""	""	""	""	""	
"28"	"20"	"102500"	"10,256200"	"20,341600"	"30,439300"	"40,551900"	"50,683000"	""	""	""	""	""	""	""	""	""	
"29"	"20"	"105000"	"10,262500"	"20,350000"	"30,450000"	"40,565300"	"50,700300"	""	""	""	""	""	""	""	""	""	
"30"	"20"	"127000"	"10,317500"	"20,423400"	"30,544300"	"40,683800"	"50,846700"	""	""	""	""	""	""	""	""	""	
"31"	"20"	"129000"	"10,322500"	"20,430000"	"30,552800"	"40,694700"	"50,860200"	""	""	""	""	""	""	""	""	""	
"32"	"20"	"131000"	"10,327500"	"20,436700"	"30,561500"	"40,705300"	"50,873100"	""	""	""	""	""	""	""	""	""	
"33"	"20"	"133000"	"10,332500"	"20,443300"	"30,570000"	"40,716200"	"50,886600"	""	""	""	""	""	""	""	""	""	
"34"	"20"	"135000"	"10,337500"	"20,450000"	"30,578500"	"40,726900"	"50,900000"	""	""	""	""	""	""	""	""	""	
"35"	"20"	"137000"	"10,342500"	"20,456700"	"30,587200"	"40,737800"	"50,913400"	""	""	""	""	""	""	""	""	""	
"36"	"20"	"139000"	"10,347500"	"20,463300"	"30,595700"	"40,748400"	"50,926900"	""	""	""	""	""	""	""	""	""	
"37"	"40"	"141000"	"10,352500"	"20,470000"	"30,604400"	"40,759400"	"50,940300"	""	""	""	""	""	""	""	""	""	
"38"	"40"	"143000"	"10,357500"	"20,476600"	"30,612900"	"40,770000"	"50,953300"	""	""	""	""	""	""	""	""	""	
"39"	"40"	"145000"	"10,362500"	"20,483400"	"30,621400"	"40,780900"	"50,966700"	""	""	""	""	""	""	""	""	""	
"40"	"40"	"160000"	"10,400000"	"20,533300"	"30,685800"	"40,861600"	"50,1066600"	""	""	""	""	""	""	""	""	""	
"41"	"40"	"163000"	"10,407500"	"20,543400"	"30,698500"	"40,877500"	"50,1086700"	""	""	""	""	""	""	""	""	""	
"42"	"40"	"166000"	"10,415000"	"20,553300"	"30,711500"	"40,894000"	"50,1106400"	""	""	""	""	""	""	""	""	""	
"43"	"40"	"169000"	"10,422500"	"20,563300"	"30,724200"	"40,910000"	"50,1126600"	""	""	""	""	""	""	""	""	""	
"44"	"40"	"172000"	"10,430000"	"20,573400"	"30,737100"	"40,926200"	"50,1146700"	""	""	""	""	""	""	""	""	""	
"45"	"40"	"175000"	"10,437500"	"20,583300"	"30,750000"	"40,942200"	"50,1166900"	""	""	""	""	""	""	""	""	""	
"46"	"40"	"178000"	"10,445000"	"20,593300"	"30,763000"	"40,958400"	"50,1186600"	""	""	""	""	""	""	""	""	""	
"47"	"60"	"181000"	"10,452500"	"20,603400"	"30,775700"	"40,974700"	"50,1206700"	""	""	""	""	""	""	""	""	""	
"48"	"60"	"184000"	"10,460000"	"20,613300"	"30,788600"	"40,990600"	"50,1226400"	""	""	""	""	""	""	""	""	""	
"49"	"60"	"187000"	"10,467500"	"20,623300"	"30,801400"	"40,1006900"	"50,1246600"	""	""	""	""	""	""	""	""	""	
"50"	"60"	"206000"	"10,515000"	"20,686600"	"30,882800"	"40,1109100"	"50,1373300"	""	""	""	""	""	""	""	""	""	
"51"	"60"	"212000"	"10,530000"	"20,706700"	"30,908700"	"40,1141600"	"50,1413600"	""	""	""	""	""	""	""	""	""	
"52"	"60"	"218000"	"10,545000"	"20,726700"	"30,934300"	"40,1173800"	"50,1453400"	""	""	""	""	""	""	""	""	""	
"53"	"60"	"224000"	"10,560000"	"20,746600"	"30,960000"	"40,1206200"	"50,1493300"	""	""	""	""	""	""	""	""	""	
"54"	"60"	"230000"	"10,575000"	"20,766700"	"30,985700"	"40,1238400"	"50,1533600"	""	""	""	""	""	""	""	""	""	
"55"	"60"	"236000"	"10,590000"	"20,786700"	"30,1011300"	"40,1270900"	"50,1573400"	""	""	""	""	""	""	""	""	""	
"56"	"60"	"242000"	"10,605000"	"20,806600"	"30,1037200"	"40,1303100"	"50,1613300"	""	""	""	""	""	""	""	""	""	
"57"	"60"	"248000"	"10,620000"	"20,826700"	"30,1062800"	"40,1335300"	"50,1653600"	""	""	""	""	""	""	""	""	""	
"58"	"60"	"254000"	"10,635000"	"20,846700"	"30,1088500"	"40,1367500"	"50,1693400"	""	""	""	""	""	""	""	""	""	
"59"	"60"	"260000"	"10,650000"	"20,866600"	"30,1114400"	"40,1400000"	"50,1733300"	""	""	""	""	""	""	""	""	""	
"60"	"60"	"266000"	"10,665000"	"20,886700"	"30,1140000"	"40,1432200"	"50,1773600"	""	""	""	""	""	""	""	""	""	
"61"	"200"	"272000"	"10,680000"	"20,906700"	"30,1165700"	"40,1464700"	"50,1813400"	""	""	""	""	""	""	""	""	""	
"62"	"200"	"278000"	"10,695000"	"20,926600"	"30,1191400"	"40,1496900"	"50,1853300"	""	""	""	""	""	""	""	""	""	
"63"	"200"	"284000"	"10,710000"	"20,946700"	"30,1217200"	"40,1529400"	"50,1893600"	""	""	""	""	""	""	""	""	""	
"64"	"200"	"290000"	"10,725000"	"20,966700"	"30,1242900"	"40,1561600"	"50,1933400"	""	""	""	""	""	""	""	""	""	
"65"	"200"	"296000"	"10,740000"	"20,986600"	"30,1268500"	"40,1593800"	"50,1973300"	""	""	""	""	""	""	""	""	""	
"66"	"200"	"302000"	"10,755000"	"20,1006700"	"30,1294400"	"40,1626200"	"50,2013600"	""	""	""	""	""	""	""	""	""	
"67"	"200"	"308000"	"10,770000"	"20,1026700"	"30,1320100"	"40,1658400"	"50,2053400"	""	""	""	""	""	""	""	""	""	
"68"	"200"	"314000"	"10,785000"	"20,1046600"	"30,1345700"	"40,1690600"	"50,2093300"	""	""	""	""	""	""	""	""	""	
"69"	"200"	"320000"	"10,800000"	"20,1066700"	"30,1371400"	"40,1723100"	"50,2133600"	""	""	""	""	""	""	""	""	""	
"70"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"71"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"72"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"73"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"74"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"75"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"76"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"77"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"78"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"79"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"80"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"81"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"82"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"83"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"84"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"85"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"86"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"87"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"88"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"89"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"90"	"200"	"326000"	"10,815000"	"20,1086800"	"30,1397100"	"40,1755600"	"50,2173900"	""	""	""	""	""	""	""	""	""	
"91"	"200"	"452000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"92"	"200"	"458000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"93"	"200"	"464000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"94"	"200"	"470000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"95"	"200"	"476000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"96"	"200"	"482000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"97"	"200"	"488000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"98"	"200"	"494000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"99"	"200"	"500000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"100"	"200"	"506000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"101"	"200"	"512000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"102"	"200"	"518000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"103"	"200"	"524000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"104"	"200"	"530000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"105"	"200"	"536000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"106"	"200"	"542000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"107"	"200"	"548000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"108"	"200"	"554000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"109"	"200"	"560000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"110"	"200"	"566000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"111"	"200"	"572000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"112"	"200"	"578000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"113"	"200"	"584000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"114"	"200"	"590000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"115"	"200"	"596000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"116"	"200"	"602000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"117"	"200"	"608000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"118"	"200"	"614000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"119"	"200"	"620000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"120"	"200"	"626000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"121"	"200"	"632000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"122"	"200"	"638000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"123"	"200"	"644000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"124"	"200"	"650000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"125"	"200"	"656000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"126"	"200"	"662000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"127"	"200"	"668000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"128"	"200"	"674000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"129"	"200"	"680000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"130"	"200"	"686000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"131"	"200"	"692000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"132"	"200"	"698000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"133"	"200"	"704000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"134"	"200"	"710000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"135"	"200"	"716000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"136"	"200"	"722000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"137"	"200"	"728000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"138"	"200"	"734000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"139"	"200"	"740000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"140"	"200"	"746000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"141"	"200"	"752000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"142"	"200"	"758000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"143"	"200"	"764000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"144"	"200"	"770000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"145"	"200"	"776000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"146"	"200"	"782000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"147"	"200"	"788000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"148"	"200"	"794000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"149"	"200"	"800000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
"150"	"200"	"806000"	"10,50000"	"20,100000"	"30,200000"	"40,300000"	"50,500000"	""	""	""	""	""	""	""	""	""	
