"ID"	"宠物星级所需道具ID(碎片)"	"宠物星级所需碎片数量"	"拥有的触发技能ID触发器CombatTriggerConfig"	"宠物每星所有属性(填最终值，每行1个星级)"	"特效资源"	"技能施放的特效(GameEffect表添写ID)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"30003"	"510103"	"100"	"50203003"	"1,3800,2,1140,12,741"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"30004"	"510103"	"150"	"50203004"	"1,6333,2,1900,12,1235"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"30005"	"510103"	"0"	"50203005"	"1,9047,2,2714,12,1764"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"40001"	"510104"	"40"	"50204001"	"0,8653,2,270,18,91"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"40002"	"510104"	"60"	"50204002"	"0,34612,2,1081,18,365"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"40003"	"510104"	"100"	"50204003"	"0,72687,2,2271,18,766"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"40004"	"510104"	"150"	"50204004"	"0,121145,2,3785,18,1277"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"40005"	"510104"	"0"	"50204005"	"0,173064,2,5408,18,1825"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"50001"	"510105"	"40"	"50205001"	"0,4275,1,534,10,113,16,106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"50002"	"510105"	"60"	"50205002"	"0,17101,1,2137,10,454,16,427"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"50003"	"510105"	"100"	"50205003"	"0,35913,1,4489,10,953,16,897"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"50004"	"510105"	"150"	"50205004"	"0,59855,1,7481,10,1589,16,1496"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"50005"	"510105"	"0"	"50205005"	"0,85507,1,10688,10,2271,16,2137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"60001"	"510106"	"40"	"50206001"	"0,12760,2,265,8,119,12,106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"60002"	"510106"	"60"	"50206002"	"0,51040,2,1063,8,478,12,425"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"60003"	"510106"	"100"	"50206003"	"0,107184,2,2233,8,1004,12,893"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"60004"	"510106"	"150"	"50206004"	"0,178640,2,3721,8,1674,12,1488"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"60005"	"510106"	"0"	"50206005"	"0,255200,2,5316,8,2392,12,2126"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70001"	"510107"	"40"	"50207001"	"1,532,2,266,14,110,18,113"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70002"	"510107"	"60"	"50207002"	"1,2131,2,1065,14,442,18,452"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70003"	"510107"	"100"	"50207003"	"1,4475,2,2237,14,928,18,950"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70004"	"510107"	"150"	"50207004"	"1,7458,2,3729,14,1547,18,1584"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70005"	"510107"	"0"	"50207005"	"1,10655,2,5327,14,2210,18,2264"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80001"	"510108"	"40"	"50208001"	"0,8129,1,508,2,254,8,95,18,107,16,114"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80002"	"510108"	"60"	"50208002"	"0,32518,1,2032,2,1016,8,381,18,431,16,457"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80003"	"510108"	"100"	"50208003"	"0,68288,1,4268,2,2134,8,800,18,906,16,960"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80004"	"510108"	"150"	"50208004"	"0,113813,1,7113,2,3556,8,1333,18,1511,16,1600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80005"	"510108"	"0"	"50208005"	"0,162590,1,10161,2,5080,8,1905,18,2159,16,2286"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"90001"	"510109"	"40"	"50209001"	"0,8073,1,504,2,252,8,107,10,107,14,113"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"90002"	"510109"	"60"	"50209002"	"0,32295,1,2018,2,1009,8,428,10,428,14,454"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"90003"	"510109"	"100"	"50209003"	"0,67820,1,4238,2,2119,8,900,10,900,14,953"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"90004"	"510109"	"150"	"50209004"	"0,113033,1,7064,2,3532,8,1501,10,1501,14,1589"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"90005"	"510109"	"0"	"50209005"	"0,161477,1,10092,2,5046,8,2144,10,2144,14,2270"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100001"	"510110"	"40"	"50210001"	"0,8197,1,512,2,256,12,115,14,96,16,93"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100002"	"510110"	"60"	"50210002"	"0,32789,1,2049,2,1024,12,461,14,384,16,374"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100003"	"510110"	"100"	"50210003"	"0,68857,1,4303,2,2151,12,968,14,806,16,785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100004"	"510110"	"150"	"50210004"	"0,114763,1,7172,2,3586,12,1613,14,1344,16,1309"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100005"	"510110"	"0"	"50210005"	"0,163947,1,10246,2,5123,12,2305,14,1921,16,1870"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
