"奖励道具组编号"	"备忘"	"区域描述"	"奖励描述"	"图片id"	"奖励道具"	"道具数量"	"货币类型0=免费1=绑定元宝2=元宝3=铜币"	"数量"	
"1302"	"130级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_03"	"550030,100044,100001"	"50,20,3000000"	"1"	"300"	
"1303"	"130级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_04"	"550030,100044,100001"	"100,30,5000000"	"2"	"1000"	
"1501"	"150级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_02"	"550080,100044,100001"	"50,10,1000000"	"0"	""	
"1502"	"150级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_03"	"550080,100044,100001"	"50,20,3000000"	"1"	"300"	
"1503"	"150级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_04"	"550080,100044,100001"	"100,30,5000000"	"2"	"1000"	
"1801"	"180级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_02"	"700503,100102,100101"	"1,30,200"	"0"	""	
"1802"	"180级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_03"	"700603,100102,100101"	"1,100,500"	"1"	"1000"	
"1803"	"180级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_04"	"700703,100102,100101"	"1,300,1000"	"2"	"3000"	
"2201"	"220级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_02"	"700501,100102,100101"	"1,60,300"	"0"	""	
"2202"	"220级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_03"	"700601,100102,100101"	"1,200,1000"	"1"	"1000"	
"2203"	"220级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_04"	"700701,100102,100101"	"1,600,2000"	"2"	"3000"	
"2601"	"260级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_02"	"700502,100102,100101"	"1,100,500"	"0"	""	
"2602"	"260级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_03"	"700602,100102,100101"	"1,300,2000"	"1"	"1000"	
"2603"	"260级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_04"	"700702,100102,100101"	"1,1000,5000"	"2"	"3000"	
"3001"	"300级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_02"	"700601,700602,700603"	"1,1,1"	"0"	""	
"3002"	"300级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_03"	"700701,700702,700703"	"1,1,1"	"1"	"3000"	
"3003"	"300级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_04"	"700801,700802,700803"	"1,1,1"	"2"	"10000"	
