"ID(索引，策划填)"	"时装模板ID"	"强化等级(0-15)"	"部件索引(0-5)"	"消耗道具（ID/数量）"	"属性转化比例"	"生效开关(填false此部件不参与计算)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"48"	"281002"	"15"	"2"	"282002,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"49"	"281002"	"0"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"50"	"281002"	"1"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"51"	"281002"	"2"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"52"	"281002"	"3"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"53"	"281002"	"4"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"54"	"281002"	"5"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"55"	"281002"	"6"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"56"	"281002"	"7"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"57"	"281002"	"8"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"58"	"281002"	"9"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"59"	"281002"	"10"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"60"	"281002"	"11"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"61"	"281002"	"12"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"62"	"281002"	"13"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"63"	"281002"	"14"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"64"	"281002"	"15"	"3"	"282001,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"65"	"281002"	"0"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"66"	"281002"	"1"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"67"	"281002"	"2"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"68"	"281002"	"3"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"69"	"281002"	"4"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70"	"281002"	"5"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"71"	"281002"	"6"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"72"	"281002"	"7"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"73"	"281002"	"8"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"74"	"281002"	"9"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"75"	"281002"	"10"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"76"	"281002"	"11"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"77"	"281002"	"12"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"78"	"281002"	"13"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"79"	"281002"	"14"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80"	"281002"	"15"	"4"	"282003,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81"	"281002"	"0"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"82"	"281002"	"1"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"83"	"281002"	"2"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"84"	"281002"	"3"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85"	"281002"	"4"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86"	"281002"	"5"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"87"	"281002"	"6"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"88"	"281002"	"7"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"89"	"281002"	"8"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"90"	"281002"	"9"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"91"	"281002"	"10"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"92"	"281002"	"11"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"93"	"281002"	"12"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"94"	"281002"	"13"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"95"	"281002"	"14"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"96"	"281002"	"15"	"5"	"282002,10"	"0.200000"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"97"	"281004"	"0"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"98"	"281004"	"1"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"99"	"281004"	"2"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100"	"281004"	"3"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"101"	"281004"	"4"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"102"	"281004"	"5"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"103"	"281004"	"6"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"104"	"281004"	"7"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"105"	"281004"	"8"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"106"	"281004"	"9"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"107"	"281004"	"10"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"108"	"281004"	"11"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"109"	"281004"	"12"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"110"	"281004"	"13"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"111"	"281004"	"14"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"112"	"281004"	"15"	"0"	"282004,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"113"	"281004"	"0"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"114"	"281004"	"1"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"115"	"281004"	"2"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"116"	"281004"	"3"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"117"	"281004"	"4"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"118"	"281004"	"5"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"119"	"281004"	"6"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"120"	"281004"	"7"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"121"	"281004"	"8"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122"	"281004"	"9"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"123"	"281004"	"10"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"124"	"281004"	"11"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125"	"281004"	"12"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"126"	"281004"	"13"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"127"	"281004"	"14"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"128"	"281004"	"15"	"1"	"282006,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"129"	"281004"	"0"	"2"	"282005,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"130"	"281004"	"1"	"2"	"282005,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"131"	"281004"	"2"	"2"	"282005,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"132"	"281004"	"3"	"2"	"282005,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"133"	"281004"	"4"	"2"	"282005,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"134"	"281004"	"5"	"2"	"282005,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"135"	"281004"	"6"	"2"	"282005,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"136"	"281004"	"7"	"2"	"282005,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"137"	"281004"	"8"	"2"	"282005,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"138"	"281004"	"9"	"2"	"282005,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"139"	"281004"	"10"	"2"	"282005,10"	"0.200000"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
