"准备进阶的技能ID"	"该技能达到多少级可进阶"	"进阶后的技能ID"	"进阶消耗银币数量"	"进阶消耗道具1ID"	"进阶消耗道具1数量"	"进阶消耗道具2ID"	"进阶消耗道具2数量"	"策划说明"	"阶显示该技能的阶数"	"阶显示该技能的阶数-品质框计算用"	"技能类型：手工填写，界面中直接显示此文字"	
"10201040"	"120"	"10202040"	"50000"	"807010"	"1"	""	""	"妙转乾坤"	"二阶"	"2"	"位移闪避"	
"10202000"	"180"	"10203000"	"200000"	"807020"	"1"	""	""	"璇光斩"	"三阶"	"3"	"单体伤害"	
"10202010"	"180"	"10203010"	"200000"	"807020"	"1"	""	""	"五岳连横"	"三阶"	"3"	"小范围伤害"	
"10202020"	"180"	"10203020"	"200000"	"807020"	"1"	""	""	"剑啸风花"	"三阶"	"3"	"小范围伤害"	
"10202030"	"180"	"10203030"	"200000"	"807020"	"1"	""	""	"星河流光"	"三阶"	"3"	"大范围伤害"	
"10202040"	"180"	"10203040"	"200000"	"807020"	"1"	""	""	"妙转乾坤"	"三阶"	"3"	"位移闪避"	
"10203000"	""	""	""	""	""	""	""	"璇光斩"	"四阶"	"4"	"单体伤害"	
"10203010"	""	""	""	""	""	""	""	"五岳连横"	"四阶"	"4"	"小范围伤害"	
"10203020"	""	""	""	""	""	""	""	"剑啸风花"	"四阶"	"4"	"小范围伤害"	
"10203030"	""	""	""	""	""	""	""	"星河流光"	"四阶"	"4"	"大范围伤害"	
"10203040"	""	""	""	""	""	""	""	"妙转乾坤"	"四阶"	"4"	"位移闪避"	
"11000000"	"60"	"11001000"	"10000"	"807000"	"1"	""	""	"普庵咒"	"一阶"	"1"	"单体伤害"	
"11000010"	"60"	"11001010"	"10000"	"807000"	"1"	""	""	"风雷引"	"一阶"	"1"	"小范围伤害"	
"11000020"	"60"	"11001020"	"10000"	"807000"	"1"	""	""	"十方天音"	"一阶"	"1"	"直线伤害"	
"11000030"	"60"	"11001030"	"10000"	"807000"	"1"	""	""	"沧海龙吟"	"一阶"	"1"	"大范围伤害"	
"11000040"	"60"	"11001040"	"10000"	"807000"	"1"	""	""	"烟雨逍遥"	"一阶"	"1"	"位移闪避"	
"11001000"	"120"	"11002000"	"50000"	"807010"	"1"	""	""	"普庵咒"	"二阶"	"2"	"单体伤害"	
"11001010"	"120"	"11002010"	"50000"	"807010"	"1"	""	""	"风雷引"	"二阶"	"2"	"小范围伤害"	
"11001020"	"120"	"11002020"	"50000"	"807010"	"1"	""	""	"十方天音"	"二阶"	"2"	"直线伤害"	
"11001030"	"120"	"11002030"	"50000"	"807010"	"1"	""	""	"沧海龙吟"	"二阶"	"2"	"大范围伤害"	
"11001040"	"120"	"11002040"	"50000"	"807010"	"1"	""	""	"烟雨逍遥"	"二阶"	"2"	"位移闪避"	
"11002000"	"180"	"11003000"	"200000"	"807020"	"1"	""	""	"普庵咒"	"三阶"	"3"	"单体伤害"	
"11002010"	"180"	"11003010"	"200000"	"807020"	"1"	""	""	"风雷引"	"三阶"	"3"	"小范围伤害"	
"11002020"	"180"	"11003020"	"200000"	"807020"	"1"	""	""	"十方天音"	"三阶"	"3"	"直线伤害"	
"11002030"	"180"	"11003030"	"200000"	"807020"	"1"	""	""	"沧海龙吟"	"三阶"	"3"	"大范围伤害"	
"11002040"	"180"	"11003040"	"200000"	"807020"	"1"	""	""	"烟雨逍遥"	"三阶"	"3"	"位移闪避"	
"11003000"	""	""	""	""	""	""	""	"普庵咒"	"四阶"	"4"	"单体伤害"	
"11003010"	""	""	""	""	""	""	""	"风雷引"	"四阶"	"4"	"小范围伤害"	
"11003020"	""	""	""	""	""	""	""	"十方天音"	"四阶"	"4"	"直线伤害"	
"11003030"	""	""	""	""	""	""	""	"沧海龙吟"	"四阶"	"4"	"大范围伤害"	
"11003040"	""	""	""	""	""	""	""	"烟雨逍遥"	"四阶"	"4"	"位移闪避"	
"11100000"	"60"	"11101000"	"10000"	"807000"	"1"	""	""	"普庵咒"	"一阶"	"1"	"单体伤害"	
"11100010"	"60"	"11101010"	"10000"	"807000"	"1"	""	""	"风雷引"	"一阶"	"1"	"小范围伤害"	
"11100020"	"60"	"11101020"	"10000"	"807000"	"1"	""	""	"十方天音"	"一阶"	"1"	"直线伤害"	
"11100030"	"60"	"11101030"	"10000"	"807000"	"1"	""	""	"沧海龙吟"	"一阶"	"1"	"大范围伤害"	
"11100040"	"60"	"11101040"	"10000"	"807000"	"1"	""	""	"烟雨逍遥"	"一阶"	"1"	"位移闪避"	
"11101000"	"120"	"11102000"	"50000"	"807010"	"1"	""	""	"普庵咒"	"二阶"	"2"	"单体伤害"	
"11101010"	"120"	"11102010"	"50000"	"807010"	"1"	""	""	"风雷引"	"二阶"	"2"	"小范围伤害"	
"11101020"	"120"	"11102020"	"50000"	"807010"	"1"	""	""	"十方天音"	"二阶"	"2"	"直线伤害"	
"11101030"	"120"	"11102030"	"50000"	"807010"	"1"	""	""	"沧海龙吟"	"二阶"	"2"	"大范围伤害"	
"11101040"	"120"	"11102040"	"50000"	"807010"	"1"	""	""	"烟雨逍遥"	"二阶"	"2"	"位移闪避"	
"11102000"	"180"	"11103000"	"200000"	"807020"	"1"	""	""	"普庵咒"	"三阶"	"3"	"单体伤害"	
"11102010"	"180"	"11103010"	"200000"	"807020"	"1"	""	""	"风雷引"	"三阶"	"3"	"小范围伤害"	
"11102020"	"180"	"11103020"	"200000"	"807020"	"1"	""	""	"十方天音"	"三阶"	"3"	"直线伤害"	
"11102030"	"180"	"11103030"	"200000"	"807020"	"1"	""	""	"沧海龙吟"	"三阶"	"3"	"大范围伤害"	
"11102040"	"180"	"11103040"	"200000"	"807020"	"1"	""	""	"烟雨逍遥"	"三阶"	"3"	"位移闪避"	
"11103000"	""	""	""	""	""	""	""	"普庵咒"	"四阶"	"4"	"单体伤害"	
"11103010"	""	""	""	""	""	""	""	"风雷引"	"四阶"	"4"	"小范围伤害"	
"11103020"	""	""	""	""	""	""	""	"十方天音"	"四阶"	"4"	"直线伤害"	
"11103030"	""	""	""	""	""	""	""	"沧海龙吟"	"四阶"	"4"	"大范围伤害"	
"11103040"	""	""	""	""	""	""	""	"烟雨逍遥"	"四阶"	"4"	"位移闪避"	
"12000000"	"60"	"12001000"	"10000"	"807000"	"1"	""	""	"连环枪"	"一阶"	"1"	"多个伤害"	
"12000010"	"60"	"12001010"	"10000"	"807000"	"1"	""	""	"气动山河"	"一阶"	"1"	"大范围伤害"	
"12000020"	"60"	"12001020"	"10000"	"807000"	"1"	""	""	"五虎断门"	"一阶"	"1"	"中范围伤害"	
"12000030"	"60"	"12001030"	"10000"	"807000"	"1"	""	""	"九龙破空"	"一阶"	"1"	"位移攻击"	
"12000040"	"60"	"12001040"	"10000"	"807000"	"1"	""	""	"天影飞梭"	"一阶"	"1"	"位移闪避"	
"12001000"	"120"	"12002000"	"50000"	"807010"	"1"	""	""	"连环枪"	"二阶"	"2"	"多个伤害"	
"12001010"	"120"	"12002010"	"50000"	"807010"	"1"	""	""	"气动山河"	"二阶"	"2"	"大范围伤害"	
"12001020"	"120"	"12002020"	"50000"	"807010"	"1"	""	""	"五虎断门"	"二阶"	"2"	"中范围伤害"	
"12001030"	"120"	"12002030"	"50000"	"807010"	"1"	""	""	"九龙破空"	"二阶"	"2"	"位移攻击"	
"12001040"	"120"	"12002040"	"50000"	"807010"	"1"	""	""	"天影飞梭"	"二阶"	"2"	"位移闪避"	
"12002000"	"180"	"12003000"	"200000"	"807020"	"1"	""	""	"连环枪"	"三阶"	"3"	"多个伤害"	
"12002010"	"180"	"12003010"	"200000"	"807020"	"1"	""	""	"气动山河"	"三阶"	"3"	"大范围伤害"	
"12002020"	"180"	"12003020"	"200000"	"807020"	"1"	""	""	"五虎断门"	"三阶"	"3"	"中范围伤害"	
"12002030"	"180"	"12003030"	"200000"	"807020"	"1"	""	""	"九龙破空"	"三阶"	"3"	"位移攻击"	
"12002040"	"180"	"12003040"	"200000"	"807020"	"1"	""	""	"天影飞梭"	"三阶"	"3"	"位移闪避"	
"12003000"	""	""	""	""	""	""	""	"连环枪"	"四阶"	"4"	"多个伤害"	
"12003010"	""	""	""	""	""	""	""	"气动山河"	"四阶"	"4"	"大范围伤害"	
"12003020"	""	""	""	""	""	""	""	"五虎断门"	"四阶"	"4"	"中范围伤害"	
"12003030"	""	""	""	""	""	""	""	"九龙破空"	"四阶"	"4"	"位移攻击"	
"12003040"	""	""	""	""	""	""	""	"天影飞梭"	"四阶"	"4"	"位移闪避"	
"12100000"	"60"	"12101000"	"10000"	"807000"	"1"	""	""	"连环枪"	"一阶"	"1"	"多个伤害"	
"12100010"	"60"	"12101010"	"10000"	"807000"	"1"	""	""	"气动山河"	"一阶"	"1"	"大范围伤害"	
"12100020"	"60"	"12101020"	"10000"	"807000"	"1"	""	""	"五虎断门"	"一阶"	"1"	"中范围伤害"	
"12100030"	"60"	"12101030"	"10000"	"807000"	"1"	""	""	"九龙破空"	"一阶"	"1"	"位移攻击"	
"12100040"	"60"	"12101040"	"10000"	"807000"	"1"	""	""	"天影飞梭"	"一阶"	"1"	"位移闪避"	
"12101000"	"120"	"12102000"	"50000"	"807010"	"1"	""	""	"连环枪"	"二阶"	"2"	"多个伤害"	
"12101010"	"120"	"12102010"	"50000"	"807010"	"1"	""	""	"气动山河"	"二阶"	"2"	"大范围伤害"	
"12101020"	"120"	"12102020"	"50000"	"807010"	"1"	""	""	"五虎断门"	"二阶"	"2"	"中范围伤害"	
"12101030"	"120"	"12102030"	"50000"	"807010"	"1"	""	""	"九龙破空"	"二阶"	"2"	"位移攻击"	
"12101040"	"120"	"12102040"	"50000"	"807010"	"1"	""	""	"天影飞梭"	"二阶"	"2"	"位移闪避"	
"12102000"	"180"	"12103000"	"200000"	"807020"	"1"	""	""	"连环枪"	"三阶"	"3"	"多个伤害"	
"12102010"	"180"	"12103010"	"200000"	"807020"	"1"	""	""	"气动山河"	"三阶"	"3"	"大范围伤害"	
"12102020"	"180"	"12103020"	"200000"	"807020"	"1"	""	""	"五虎断门"	"三阶"	"3"	"中范围伤害"	
"12102030"	"180"	"12103030"	"200000"	"807020"	"1"	""	""	"九龙破空"	"三阶"	"3"	"位移攻击"	
"12102040"	"180"	"12103040"	"200000"	"807020"	"1"	""	""	"天影飞梭"	"三阶"	"3"	"位移闪避"	
"12103000"	""	""	""	""	""	""	""	"连环枪"	"四阶"	"4"	"多个伤害"	
"12103010"	""	""	""	""	""	""	""	"气动山河"	"四阶"	"4"	"大范围伤害"	
"12103020"	""	""	""	""	""	""	""	"五虎断门"	"四阶"	"4"	"中范围伤害"	
"12103030"	""	""	""	""	""	""	""	"九龙破空"	"四阶"	"4"	"位移攻击"	
"12103040"	""	""	""	""	""	""	""	"天影飞梭"	"四阶"	"4"	"位移闪避"	
