"ID"	"场景ID"	"可能得到的物品"	"首次奖励"	"首次奖励数量"	"基础奖励"	"基础奖励数量"	"怪物名称（可能显示多个）"	"特征技能（可能显示多个）"	"攻略"	
"85"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"25,90,4"	"100102,100101,100001"	"1,10,1000"	"42851"	"70000100"	"4009"	
"86"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42861"	"70000200"	"4010"	
"87"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42871"	"70000300"	"4011"	
"88"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42881"	"70000400"	"4012"	
"89"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42891"	"70000100"	"4009"	
"90"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"25,100,4"	"100102,100101,100001"	"1,10,1000"	"42901"	"70000200"	"4010"	
"91"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42911"	"70000300"	"4011"	
"92"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42921"	"70000400"	"4012"	
"93"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42931"	"70000100"	"4009"	
"94"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42941"	"70000200"	"4010"	
"95"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"25,100,4"	"100102,100101,100001"	"1,10,1000"	"42951"	"70000300"	"4011"	
"96"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42961"	"70000400"	"4012"	
"97"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42971"	"70000100"	"4009"	
"98"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42981"	"70000200"	"4010"	
"99"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42991"	"70000300"	"4011"	
"100"	"4003"	"800271,100102,100101"	"420102,100004,110103"	"1,200,10"	"100102,100101,100001"	"1,10,1000"	"42001"	"70000400"	"4012"	
