"索引"	"数值"	""	
"126"	"0,0,-35"	"首冲按钮鼠标移动上去出现界面-武器-转剑-男-旋转Z轴程序控制"	
"127"	"4"	"首冲按钮鼠标移动上去出现界面-武器-转剑-女-模型id指向模型表"	
"128"	"1.1"	"首冲按钮鼠标移动上去出现界面-武器-转剑-女-大小缩放"	
"129"	"0,0"	"首冲按钮鼠标移动上去出现界面-武器-转剑-女-位置"	
"130"	"0,0,-35"	"首冲按钮鼠标移动上去出现界面-武器-转剑-女-旋转Z轴程序控制"	
"131"	"5"	"首冲按钮鼠标移动上去出现界面-武器-云锦-男-模型id指向模型表"	
"132"	"1.5"	"首冲按钮鼠标移动上去出现界面-武器-云锦-男-大小缩放"	
"133"	"0,0"	"首冲按钮鼠标移动上去出现界面-武器-云锦-男-位置"	
"134"	"0,0,-35"	"首冲按钮鼠标移动上去出现界面-武器-云锦-男-旋转Z轴程序控制"	
"135"	"6"	"首冲按钮鼠标移动上去出现界面-武器-云锦-女-模型id指向模型表"	
"136"	"1.4"	"首冲按钮鼠标移动上去出现界面-武器-云锦-女-大小缩放"	
"137"	"0,0"	"首冲按钮鼠标移动上去出现界面-武器-云锦-女-位置"	
"138"	"0,0,-35"	"首冲按钮鼠标移动上去出现界面-武器-云锦-女-旋转Z轴程序控制"	
"139"	"7"	"首冲按钮鼠标移动上去出现界面-武器-天威-男-模型id指向模型表"	
"140"	"2.3"	"首冲按钮鼠标移动上去出现界面-武器-天威-男-大小缩放"	
"141"	"0,0"	"首冲按钮鼠标移动上去出现界面-武器-天威-男-位置"	
"142"	"0,0,-35"	"首冲按钮鼠标移动上去出现界面-武器-天威-男-旋转Z轴程序控制"	
"143"	"8"	"首冲按钮鼠标移动上去出现界面-武器-天威-女-模型id指向模型表"	
"144"	"2.2"	"首冲按钮鼠标移动上去出现界面-武器-天威-女-大小缩放"	
"145"	"0,0"	"首冲按钮鼠标移动上去出现界面-武器-天威-女-位置"	
"146"	"0,0,-35"	"首冲按钮鼠标移动上去出现界面-武器-天威-女-旋转Z轴程序控制"	
"44100"	""	"这里开始是八王之乱界面中怪物模型缩放比例，模型位置x，模型位置y调整，务必填写3个数值，用半角逗号分隔八王之乱怪物库增减后，这里都要进行设置，这里的ID千万不能改变程序已做异常处理，如果抓取到Null后不会导致崩溃——@张彤"	
"44101"	"11.5,0,-5.5"	"这里的44101是怪物ID，在怪物表里，不要轻易改动，下同"	
"44102"	"7,0,-3.3"	""	
"44103"	"7,0,-3.3"	""	
"44104"	"8,0,-3.8"	""	
"44105"	"5,0,-2.3"	""	
"44106"	"7,0,-3.3"	""	
"44107"	"6.6,0,-3.2"	""	
"44108"	"5.5,0,-2.6"	""	
"44109"	"5.8,0,-2.7"	""	
"44121"	"11.5,0,-5.5"	""	
"44122"	"7,0,-3.3"	""	
"44123"	"7,0,-3.3"	""	
"44124"	"8,0,-3.8"	""	
"44125"	"5,0,-2.3"	""	
"44126"	"7,0,-3.3"	""	
"44141"	"11.5,0,-5.5"	""	
"44142"	"7,0,-3.3"	""	
"44143"	"7,0,-3.3"	""	
"44144"	"8,0,-3.8"	""	
"44145"	"5,0,-2.3"	""	
"44146"	"7,0,-3.3"	""	
"44200"	"1,0,-1"	""	
"44201"	"8,0,-3.8"	""	
"44202"	"5,0,-2.3"	""	
"44203"	"7,0,-3.3"	""	
"44204"	"6.6,0,-3.2"	""	
"44205"	"5.5,0,-2.6"	""	
"44206"	"5,0,-2.3"	""	
"44221"	"8,0,-3.8"	""	
"44222"	"5,0,-2.3"	""	
"44223"	"7,0,-3.3"	""	
"44224"	"6.6,0,-3.2"	""	
"44225"	"5.5,0,-2.6"	""	
"44226"	"5,0,-2.3"	""	
"44241"	"8,0,-3.8"	""	
"44242"	"5,0,-2.3"	""	
"44243"	"7,0,-3.3"	""	
"44244"	"6.6,0,-3.2"	""	
"44245"	"5.5,0,-2.6"	""	
"44246"	"5,0,-2.3"	""	
"44300"	"1,0,-1"	""	
"44301"	"6.6,0,-3.2"	""	
"44302"	"5.5,0,-2.6"	""	
"44303"	"5,0,-2.3"	""	
"44304"	"6,0,-2.8"	""	
"44305"	"6,0,-2.8"	""	
"44306"	"9,0,-4.3"	""	
"44321"	"6.6,0,-3.2"	""	
"44322"	"5.5,0,-2.6"	""	
"44323"	"5,0,-2.3"	""	
"44324"	"6,0,-2.8"	""	
"44325"	"6,0,-2.8"	""	
"44326"	"9,0,-4.3"	""	
"44341"	"6.6,0,-3.2"	""	
"44342"	"5.5,0,-2.6"	""	
"44343"	"5,0,-2.3"	""	
"44344"	"6,0,-2.8"	""	
"44345"	"6,0,-2.8"	""	
"44346"	"9,0,-4.3"	""	
"44400"	"1,0,-1"	""	
"44401"	"6,0,-2.8"	""	
"44402"	"6,0,-2.8"	""	
"44403"	"9,0,-4.3"	""	
"44404"	"5.5,0,-2.6"	""	
"44405"	"2.5,0,-1.2"	""	
"44406"	"4.3,0,-2"	""	
"44421"	"6,0,-2.8"	""	
"44422"	"6,0,-2.8"	""	
"44423"	"9,0,-4.3"	""	
"44424"	"5.5,0,-2.6"	""	
"44425"	"2.5,0,-1.2"	""	
"44426"	"4.3,0,-2"	""	
"44441"	"6,0,-2.8"	""	
"44442"	"6,0,-2.8"	""	
"44443"	"9,0,-4.3"	""	
"44444"	"5.5,0,-2.6"	""	
"44445"	"2.5,0,-1.2"	""	
"44446"	"4.3,0,-2"	""	
"44500"	"1,0,-1"	""	
"44501"	"5.5,0,-2.6"	""	
"44502"	"2.5,0,-1.2"	""	
"44503"	"4.3,0,-2"	""	
"44504"	"5.8,0,-2.7"	""	
"44505"	"5,0,-2.3"	""	
"44506"	"6.5,0,-3.8"	""	
"44521"	"5.5,0,-2.6"	""	
"44522"	"2.5,0,-1.2"	""	
"44523"	"4.3,0,-2"	""	
"44524"	"5.8,0,-2.7"	""	
"44525"	"5,0,-2.3"	""	
"44526"	"6.5,0,-3.8"	""	
"44541"	"5.5,0,-2.6"	""	
"44542"	"2.5,0,-1.2"	""	
"44543"	"4.3,0,-2"	""	
"44544"	"5.8,0,-2.7"	""	
"44545"	"5,0,-2.3"	""	
"44546"	"6.5,0,-3.8"	""	
"44800"	"1,0,-1"	""	
"44801"	"6,0,-2.8"	""	
"44802"	"6,0,-2.8"	""	
"44803"	"9,0,-4.3"	""	
"44804"	"5.8,0,-2.7"	""	
"44805"	"5,0,-2.3"	""	
"44806"	"6.5,0,-3.8"	""	
"44821"	"5.5,0,-2.6"	""	
"44822"	"2.5,0,-1.2"	""	
"44823"	"4.3,0,-2"	""	
"44824"	"6.6,0,-3.2"	""	
"44825"	"5.5,0,-2.6"	""	
"44826"	"5,0,-2.3"	""	
"44841"	"5.5,0,-2.6"	""	
"44842"	"2.5,0,-1.2"	""	
"44843"	"4.3,0,-2"	""	
"44844"	"6.6,0,-3.2"	""	
"44845"	"5.5,0,-2.6"	""	
"44846"	"5,0,-2.3"	""	
"100000"	"1"	"以下是模型在界面中显示时的标准大小（配合特效）切勿改变ID@张彤玩家职业（占6000个）"	
"100001"	"1"	"野猪"	
"100002"	"1"	"野狼"	
"100003"	"1"	"飞贼"	
"100004"	"1"	"云锦弟子"	
"100005"	"1"	"恒远旧部"	
"100006"	"1"	"邪道士"	
"100007"	"1"	"僧人"	
"100008"	"1"	"北魏士兵"	
"100009"	"1"	"北魏刀剑兵"	
"100010"	"1"	"老虎"	
"100011"	"1"	"山贼"	
"100012"	"1.5"	"柳沉云"	
"100013"	"1"	"羽林卫"	
"100014"	"1"	"银甲守卫"	
"100015"	"1"	"金甲守卫"	
"100016"	"1"	"士兵"	
"100017"	"1"	"精英头领"	
"100018"	"1"	"宦官/官员"	
"100019"	"1"	"盗宝小妖"	
"100020"	"1"	"雪狐"	
"100021"	"1"	"天机楼帮众"	
"100022"	"1"	"太监"	
"100023"	"1"	"天机卫"	
"100024"	"1"	"南朝骑兵棍棒/骑马头领"	
"100025"	"1"	"北魏骑兵"	
"200000"	"1"	"BOSS怪物"	
"200001"	"1.8"	"妩媚女子"	
"200002"	"1.7"	"山贼头领"	
"200003"	"1.7"	"劫匪首领"	
"200004"	"1.3"	"虎王"	
"200005"	"2"	"饕餮"	
"200006"	"1.6"	"野蛮领主"	
"200007"	"1.4"	"魔道士"	
"200008"	"1.2"	"蛇女（不是神女）"	
"200009"	"1.3"	"冰火魔"	
"200010"	"1.3"	"行刑官"	
"200011"	"1"	"三头犬"	
"200012"	"1"	"军师"	
"200013"	"1"	"冰雪女王"	
"200014"	"1.3"	"将军"	
"200015"	"1"	"火炮魔王/机械魔王"	
"200016"	"1"	"鸟人"	
"200017"	"1.5"	"刺客"	
"200018"	"1.3"	"黑龙堡主"	
"200019"	"1.3"	"古琴女"	
"200020"	"1"	"神官女"	
"900000"	"20"	"组队开启等级"	
