"ID(对应CreatureTypeConfig表索引ID)这里的顺序就是显示在界面中的顺序"	"寻路ID（对应MarkListConfig表）"	"BOSS注释（策划使用）"	"BOSS组（同一时间刷新的同组BOSS只会出现其中一个）"	"BOSS头像（图集，图片名）"	"BOSS刷新地图ID"	"BOSS刷新地图名称"	"刷新坐标X"	"刷新坐标Y"	"刷新坐标Z"	"初始朝向(Z方向的旋转度数)"	"BOSS推荐战力"	"模型缩放"	"模型上下位移"	"模型初始朝向"	"BOSS背景介绍"	"最后一击掉落物品显示（最多四个）"	"参与击杀掉落物品显示（最多四个）这个字段留空，客户端不会显示，实际也不会掉落，废物——张彤"	"BOSS刷新时间(hh:mm:ss)"	"BOSS刷新日期（0-6分别为周日-周六）"	"刷新公告ID--聊天频道（对应ServerStrConfig表ID）"	"刷新公告ID--屏幕中央（对应ServerStrConfig表ID）"	"刷新公告ID--备用（对应ServerStrConfig表ID）"	"提示公告ID（对应ServerStrConfig表ID）"	"提示间隔时间（秒）"	"击杀公告ID（对应ServerStrConfig表ID）"	"对应掉落物品（当该物品出现时才播放掉落公告，对应ItemCommonConfig表,可能对应多个）"	"掉落公告ID（对应ServerStrConfig表ID,可能对应多个）"	
"46008"	"46008"	"仇女霸王"	"8"	"Icon_sc,boss_shenv"	"1003"	"会稽"	"70.200000"	"39.800000"	"405.000000"	"30.000000"	"180000"	"4"	"-2.8"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011"	""	"13:00:00"	"0,1,2,3,4,5,6"	"901008"	"902001"	""	"903008"	"10800"	"905001"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011,20442101,20442102,20442103,20442112,20442201,20442202,20442203,20442212,20442301,20442302,20442303,20442312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46009"	"46009"	"绿衣盗圣"	"9"	"Icon_sc,boss_wumeinvzi"	"1003"	"会稽"	"105.400000"	"40.400000"	"253.000000"	"30.000000"	"180000"	"4"	"-2.8"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011"	""	"15:00:00"	"0,1,2,3,4,5,6"	"901009"	"902001"	""	"903009"	"10800"	"905001"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011,20442101,20442102,20442103,20442112,20442201,20442202,20442203,20442212,20442301,20442302,20442303,20442312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46010"	"46010"	"小神毒剑"	"10"	"Icon_sc,boss_binghuomo"	"1003"	"会稽"	"136.000000"	"39.900000"	"78.000000"	"30.000000"	"180000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011"	""	"17:30:00"	"0,1,2,3,4,5,6"	"901010"	"902001"	""	"903010"	"10800"	"905001"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011,20442101,20442102,20442103,20442112,20442201,20442202,20442203,20442212,20442301,20442302,20442303,20442312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46011"	"46011"	"烟雨鬼判"	"11"	"Icon_sc,boss_xingxingguan"	"1003"	"会稽"	"409.000000"	"49.100000"	"111.000000"	"30.000000"	"180000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011"	""	"20:00:00"	"0,1,2,3,4,5,6"	"901011"	"902001"	""	"903011"	"10800"	"905001"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011,20442101,20442102,20442103,20442112,20442201,20442202,20442203,20442212,20442301,20442302,20442303,20442312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46012"	"46012"	"三头之杰"	"12"	"Icon_sc,boss_santouquan"	"1003"	"会稽"	"180.700000"	"40.400000"	"80.100000"	"30.000000"	"180000"	"6"	"-4.2"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011"	""	"22:30:00"	"0,1,2,3,4,5,6"	"901012"	"902001"	""	"903012"	"10800"	"905001"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011,20442101,20442102,20442103,20442112,20442201,20442202,20442203,20442212,20442301,20442302,20442303,20442312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46013"	"46013"	"圣诸葛"	"13"	"Icon_sc,boss_junshi"	"1004"	"洛阳"	"256.500000"	"12.000000"	"156.600000"	"30.000000"	"430000"	"4.5"	"-3"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011"	""	"10:00:00"	"0,1,2,3,4,5,6"	"901013"	"902001"	""	"903013"	"10800"	"905001"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011,20542101,20542102,20542103,20542112,20542201,20542202,20542203,20542212,20542301,20542302,20542303,20542312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46014"	"46014"	"漠北头领"	"14"	"Icon_sc,boss_jiangjun"	"1004"	"洛阳"	"204.100000"	"10.000000"	"221.200000"	"30.000000"	"430000"	"2"	"-1.4"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011"	""	"13:00:00"	"0,1,2,3,4,5,6"	"901014"	"902001"	""	"903014"	"10800"	"905001"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011,20542101,20542102,20542103,20542112,20542201,20542202,20542203,20542212,20542301,20542302,20542303,20542312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46015"	"46015"	"气寒玄女"	"15"	"Icon_sc,boss_bingxuenvwang"	"1004"	"洛阳"	"412.300000"	"10.000000"	"51.900000"	"30.000000"	"430000"	"3.3"	"-2.4"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011"	""	"15:00:00"	"0,1,2,3,4,5,6"	"901015"	"902001"	""	"903015"	"10800"	"905001"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011,20542101,20542102,20542103,20542112,20542201,20542202,20542203,20542212,20542301,20542302,20542303,20542312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46016"	"46016"	"金眼无霸"	"16"	"Icon_sc,boss_jiangjun"	"1004"	"洛阳"	"262.800000"	"10.000000"	"319.100000"	"30.000000"	"430000"	"4.6"	"-3.1"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011"	""	"17:30:00"	"0,1,2,3,4,5,6"	"901016"	"902001"	""	"903016"	"10800"	"905001"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011,20542101,20542102,20542103,20542112,20542201,20542202,20542203,20542212,20542301,20542302,20542303,20542312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46017"	"46017"	"笑弥陀恶鬼"	"17"	"Icon_sc,boss_jixiemowang"	"1004"	"洛阳"	"450.000000"	"10.000000"	"400.800000"	"30.000000"	"430000"	"4"	"-2.8"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011"	""	"20:00:00"	"0,1,2,3,4,5,6"	"901017"	"902001"	""	"903017"	"10800"	"905001"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011,20542101,20542102,20542103,20542112,20542201,20542202,20542203,20542212,20542301,20542302,20542303,20542312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46018"	"46018"	"九绝神鹰"	"18"	"Icon_sc,boss_niaoren"	"1004"	"洛阳"	"207.600000"	"10.000000"	"456.900000"	"30.000000"	"430000"	"5"	"-4.4"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011"	""	"22:30:00"	"0,1,2,3,4,5,6"	"901018"	"902001"	""	"903018"	"10800"	"905001"	"20542004,20542005,20542006,20542007,20542008,20542009,20542010,20542011,20542101,20542102,20542103,20542112,20542201,20542202,20542203,20542212,20542301,20542302,20542303,20542312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46019"	"46019"	"七毒女菩萨"	"19"	"Icon_sc,boss_nvcike"	"1006"	"千秋城"	"474.800000"	"59.300000"	"127.600000"	"180.000000"	"2500000"	"3.5"	"-2.4"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011"	""	"10:00:00"	"0,1,2,3,4,5,6"	"901019"	"902001"	""	"903019"	"10800"	"905001"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011,20652101,20652102,20652103,20652112,20652201,20652202,20652203,20652212,20652301,20652302,20652303,20652312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46020"	"46020"	"铁骑金屠"	"20"	"Icon_sc,boss_baozhu"	"1006"	"千秋城"	"439.400000"	"12.800000"	"412.800000"	"190.000000"	"2500000"	"5.5"	"-3.8"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011"	""	"13:00:00"	"0,1,2,3,4,5,6"	"901020"	"902001"	""	"903020"	"10800"	"905001"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011,20652101,20652102,20652103,20652112,20652201,20652202,20652203,20652212,20652301,20652302,20652303,20652312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46021"	"46021"	"弹筝渡危"	"21"	"Icon_sc,boss_guqinnv"	"1006"	"千秋城"	"272.600000"	"5.400000"	"384.400000"	"190.000000"	"2500000"	"4"	"-2.8"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011"	""	"15:00:00"	"0,1,2,3,4,5,6"	"901021"	"902001"	""	"903021"	"10800"	"905001"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011,20652101,20652102,20652103,20652112,20652201,20652202,20652203,20652212,20652301,20652302,20652303,20652312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46022"	"46022"	"芙蓉婆婆"	"22"	"Icon_sc,boss_wumeinvzi"	"1006"	"千秋城"	"341.610000"	"46.120000"	"183.500000"	"190.000000"	"2500000"	"4"	"-3.8"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011"	""	"17:30:00"	"0,1,2,3,4,5,6"	"901022"	"902001"	""	"903022"	"10800"	"905001"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011,20652101,20652102,20652103,20652112,20652201,20652202,20652203,20652212,20652301,20652302,20652303,20652312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46023"	"46023"	"轻烟鹞子"	"23"	"Icon_sc,boss_wumeinvzi"	"1006"	"千秋城"	"78.400000"	"0.100000"	"447.100000"	"190.000000"	"2500000"	"8.5"	"-5.8"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011"	""	"20:00:00"	"0,1,2,3,4,5,6"	"901023"	"902001"	""	"903023"	"10800"	"905001"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011,20652101,20652102,20652103,20652112,20652201,20652202,20652203,20652212,20652301,20652302,20652303,20652312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46024"	"46024"	"快刀大侠"	"24"	"Icon_sc,boss_shanzeitouling"	"1006"	"千秋城"	"169.700000"	"0.300000"	"354.900000"	"190.000000"	"2500000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011"	""	"22:30:00"	"0,1,2,3,4,5,6"	"901024"	"902001"	""	"903024"	"10800"	"905001"	"20652004,20652005,20652006,20652007,20652008,20652009,20652010,20652011,20652101,20652102,20652103,20652112,20652201,20652202,20652203,20652212,20652301,20652302,20652303,20652312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46025"	"46025"	"一指盗"	"25"	"Icon_sc,boss_jiefeishouling"	"2070"	"烟云【挂机一层】"	"23.700000"	"26.100000"	"262.400000"	"260.000000"	"115000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011"	""	"10:00:00"	"0,1,2,3,4,5,6"	"901025"	"902001"	""	"903025"	"10800"	"905001"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011,20342101,20342102,20342103,20342112,20342201,20342202,20342203,20342212,20342301,20342302,20342303,20342312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46026"	"46026"	"黄山鬼影儿"	"26"	"Icon_sc,boss_huwang"	"2070"	"烟云【挂机一层】"	"266.600000"	"30.200000"	"29.500000"	"30.000000"	"115000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011"	""	"13:00:00"	"0,1,2,3,4,5,6"	"901026"	"902001"	""	"903026"	"10800"	"905001"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011,20342101,20342102,20342103,20342112,20342201,20342202,20342203,20342212,20342301,20342302,20342303,20342312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46027"	"46027"	"半面天王"	"27"	"Icon_sc,boss_taotie"	"2070"	"烟云【挂机一层】"	"30.800000"	"26.200000"	"45.400000"	"30.000000"	"115000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011"	""	"15:00:00"	"0,1,2,3,4,5,6"	"901027"	"902001"	""	"903027"	"10800"	"905001"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011,20342101,20342102,20342103,20342112,20342201,20342202,20342203,20342212,20342301,20342302,20342303,20342312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46028"	"46028"	"杀人煞"	"28"	"Icon_sc,boss_yemanlingzhu"	"2070"	"烟云【挂机一层】"	"264.800000"	"22.900000"	"168.900000"	"30.000000"	"115000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011"	""	"17:30:00"	"0,1,2,3,4,5,6"	"901028"	"902001"	""	"903028"	"10800"	"905001"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011,20342101,20342102,20342103,20342112,20342201,20342202,20342203,20342212,20342301,20342302,20342303,20342312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46029"	"46029"	"东方白霜"	"29"	"Icon_sc,boss_modaoshi"	"2070"	"烟云【挂机一层】"	"140.300000"	"26.100000"	"146.600000"	"30.000000"	"115000"	"4.8"	"-3.3"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011"	""	"20:00:00"	"0,1,2,3,4,5,6"	"901029"	"902001"	""	"903029"	"10800"	"905001"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011,20342101,20342102,20342103,20342112,20342201,20342202,20342203,20342212,20342301,20342302,20342303,20342312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
