"道具ID："	"物品名称20ABCD0E装备A=第几套B=职业（0通用1丐帮2少林3全真）C=套装（0无属性1阴2阳3内4外）D=品质E=装备subType700101开始是宝石"	"图标ID。填入icon的资源的名称"	"掉落模型ID"	"分类。1=货币，2=装备,3=消耗品，4=宝物，5=礼包，6=宝石，7=任务,8=英雄,9=材料"	"子类型，标识道具子类对于装备，1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品对于消耗品1=一般玩法消耗（用于跟道具类型无关的消耗），2=强化药剂，3=鉴定符,4=龙经验丹，5=自动使用血瓶，6=经验丹，7=喇叭8升级丹9=迷城重置符10=大血包11=大魔包12大魔瓶13尊爵体验卡，14=合成材料，15=合成符石，16=时装碎片，17=坐骑碎片19=宠物碎片20=秘籍升阶道具21=秘籍技能格开启道具,22=华山论剑卷轴,23单人首领卷轴=,24=叱咤王府卷轴,25=海上洪涛卷轴,26=千刃绝顶卷轴,27=大军西征卷轴,28=柔然入寇卷轴,29=未鉴定宝图,29=已鉴定宝图，31=再入琅琊卷轴32=280组队本33=300组队本对于宝物，1=坐骑10=宠物11=背旗12=法阵对于宝石，数字表示宝石种类，共9种对于礼包：1=普通礼包，2=时装包对于英雄：1.英雄碎片2.根骨丹3.助战相关道具4.武魂相关道具5.秘籍相关道具."	"使用等级"	"品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色"	"职业限制。1=丐帮可用，2=少林可用，4=全真可用。填入和值"	"物品规则读ItemRuleConfig里的定义必填项"	"出售价格"	"叠加数量叠加多个与可计时冲突，警告！"	"拾取方式。0=手动拾取，1=自动拾取，2=自动拾取即使用，3=拾取进公会仓库，4=购买并自动使用（时装礼包）"	"物品描述"	"物品使用脚本"	"物品使用条件，[type,param0,param1]，type=1物品ID，物品数量type=2金币，所有金币，充值金币"	"特定场景中使用。0=副本，1=野外地图，2=主城"	"物品寿命（分）与ItemRuleConfig表中的计时规则配合生效"	"掉落拾取时是否有成就提示"	"是否记录log"	"是否批量使用"	"是否连续使用"	"是否快捷使用"	"装备显示"	"装备显示"	"装备显示"	"特殊显示"	"使用时打开功能界面"	"使用性别0=通用1=男2=女"	"获得途径"	""	""	""	""	
"100008"	"繁荣度"	"item,miss_fanrong"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"1"	"城堡发展力的象征，城堡及各个功能建筑的升级都需要繁荣度"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"城堡发展力的象征，城堡及各个功能建筑的升级都需要繁荣度"	""	""	""	""	
"100010"	"历练"	"pic_meridians_png,icon_lilian"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"2"	"重要资源，用于经脉系统养成\n[green]产出途径：环任务、帮派任务、日常奖励等"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"游戏内时间产出的稳定资源之一，通过游戏内玩法来获取"	""	""	""	""	
"100011"	"贡献"	"icon_item_png,icon_gongxiandu"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"2"	"帮派内的货币，可在帮派商店兑换稀有道具\n[green]产出途径：帮派贡献&任务."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"帮派的重要货币之一，通过帮派内的玩法来获取，可在帮派商店兑换稀有道具"	""	""	""	""	
"100012"	"资金"	"item,jian"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"2"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100013"	"龙笛累积值"	"item,jian"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"2"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100014"	"术力"	"item,ui_dadizhiling"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"2"	"游戏内产出的重要货币之一，主要用于角色技能升级"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"游戏内产出的重要货币之一，主要用于角色技能升级"	""	""	""	""	
"100015"	"大量装备"	"item,5_06"	"100001"	"5"	"3"	"1"	"2"	"7"	"3"	"0"	"1"	"2"	"探险者们有可能获得稀有、史诗甚至传说级别的装备。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"探险者们有可能获得稀有、史诗甚至传说级别的装备。"	""	""	""	""	
"100016"	"血脉魔晶"	"xuemai_2013_9_all,chibang3-yellow"	"100001"	"5"	"3"	"1"	"2"	"7"	"3"	"0"	"1"	"2"	"所有探险者都想获得稀有的血脉魔晶。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"所有探险者都想获得稀有的血脉魔晶。"	""	""	""	""	
"100019"	"荣誉"	"icon_item1,icon_rongyu"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"1"	"游戏内的重要货币之一，参加试剑云锦的侠客可得，可在荣誉商店换取战利品\n[green]产出途径：华山论剑"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"参加华山论剑可获得，用于在华山论剑商店换取战利品"	""	""	""	""	
"100021"	"竞技点数"	"ui_1v1_png,icon_jingjidian"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"1"	"游戏内的重要货币之一，可在竞技商店兑换稀有道具\n[green]产出途径：单人竞技&组队竞技"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"跨服竞技奖励点数，可以在跨服竞技商店兑换奖励品"	""	""	""	""	
"100022"	"武神勋章"	"item2,offlink"	"100005"	"1"	"1"	"1"	"3"	"7"	"3"	"0"	"1"	"1"	"游戏中产出的重要资源，奖励在武神争霸中获得荣耀的尊者，可以在武神争霸商人那兑换奖励品\n[green]产出途径：武神争霸."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"奖励在武神争霸中获得荣耀的尊者，可以在武神争霸商人那兑换奖励品"	""	""	""	""	
"100023"	"竞技奖章"	"item,kuafu"	"100005"	"1"	"1"	"1"	"3"	"7"	"3"	"0"	"1"	"1"	"游戏内的重要货币之一，奖励在跨服竞技场中获得荣耀的勇士，可在竞技商店兑换稀有道具\n[green]产出途径：单人竞技&组队竞技"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"奖励在跨服竞技场中获得荣耀的勇士，可以在竞技场商店兑换奖励品"	""	""	""	""	
"100024"	"觉醒点"	"item,ui_dadizhiling"	"100001"	"1"	""	"1"	"2"	"7"	"3"	"0"	"1"	"2"	""	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100025"	"密林印记"	"icon_item1,icon_milinyinji"	"100005"	"1"	"1"	"1"	"3"	"7"	"3"	"0"	"1"	"1"	"游戏内的重要货币之一，参加跨服战场无论输赢均可获取，可在战场商店换取战利品\n[green]产出途径：跨服战场"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"幽暗密林战场商店的货币，参加幽暗密林战场可获得"	""	""	""	""	
"100026"	"水晶魔锭"	"item,ui_mifajingjin"	"100005"	"1"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"1"	"水晶矿洞商店的唯一货币\n\n获取途径：\n[green]在水晶矿洞中击杀敌人获取水晶矿石，活动结束时统一兑换成水晶魔锭[white]"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"水晶矿洞商店的唯一货币\n\n获取途径：\n[green]在水晶矿洞中击杀敌人获取水晶矿石，活动结束时统一兑换成水晶魔锭[white]"	""	""	""	""	
"100027"	"试炼宝钻"	"item,ui_linghunbaozuan"	"100005"	"1"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"1"	"公会活动试炼之地商店的货币，参加试炼之地活动可获得"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"公会活动试炼之地商店的货币，参加试炼之地活动可获得"	""	""	""	""	
"100035"	"初级洗练石"	"icon_item_png,xilianshi1"	"100004"	"3"	"1"	"1"	"2"	"7"	"3"	"1000"	"9999"	"1"	"装备洗练道具\n随机[green]微量[white]增加装备的[green]1种[white]附加属性\n[green]产出途径：组队副本"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"24"	""	"商店"	""	""	""	""	
"100036"	"中级洗练石"	"icon_item_png,xilianshi2"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"3000"	"9999"	"1"	"装备洗练道具\n随机[green]少量[white]增加装备的[green]2种[white]附加属性\n[green]产出途径：每日签到、帮派商店"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"24"	""	"商店"	""	""	""	""	
"100037"	"高级洗练石"	"icon_item_png,xilianshi3"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"10000"	"9999"	"1"	"装备洗练道具\n随机[green]大量[white]增加装备的[green]3种[white]附加属性\n[green]产出途径：家园奇珍阁、商城"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"24"	""	"商店"	""	""	""	""	
"100038"	"时装碎片（已废弃，ID占位）"	"item_time,lr"	"100005"	"3"	"1"	"1"	"3"	"7"	"3"	"0"	"1"	"1"	"用于合成时装套装\n影舞：死亡之翼套装、花之语套装\n毁灭：光明骑士套装、远古图腾套装\n龙语：凤凰之傲套装、蓝色咏叹套装"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100039"	"初级升星石"	"icon_item_png,qianghuashi1"	"100004"	"3"	"1"	"1"	"2"	"7"	"3"	"500"	"9999"	"1"	"拥有提升装备星级能力的神奇石头\n限定装备星级在[green]0星[white]-[green]4星[white]之间可使用.\n[green]产出途径：八王之乱、日常奖励、帮派商店"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"23"	""	"商店"	""	""	""	""	
"100040"	"中级升星石"	"icon_item_png,qianghuashi3"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"3000"	"9999"	"1"	"拥有提升装备星级能力的神奇石头\n限定装备星级在[green]5星[white]-[green]9星[white]之间可使用.\n[green]产出途径：八王之乱、剧情副本宝箱、帮派商店"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"23"	""	"商店"	""	""	""	""	
"100041"	"高级升星石"	"icon_item_png,qianghuashi4"	"100004"	"3"	"1"	"1"	"4"	"7"	"3"	"10000"	"9999"	"1"	"拥有提升装备星级能力的神奇石头\n限定装备星级在[green]10星[white]-[green]14星[white]之间可使用.\n[green]产出途径：帮派商店、家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"23"	""	"商店"	""	""	""	""	
"100042"	"背包扩充符"	"icon_item_png,icon_bag"	"100005"	"3"	"1"	"1"	"2"	"7"	"3"	"1000"	"99"	"1"	"用于开启背包格子的道具，每个背包格子消耗1个道具，点击右键可快速使用\n[green]产出途径：商城、活动"	""	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100043"	"法宝进阶宝石"	"icon_item1,item_jinjiebaoshi"	"100005"	"3"	"1"	"1"	"3"	"7"	"3"	"30000"	"9999"	"1"	"[green]法宝进阶所需道具\n[white]蕴含神秘力量的宝石，可以突破法宝的瓶颈，达到新的境界\n[green]产出途径：帮派商店、商城"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100044"	"魔力水晶"	"icon_item1,item_molishuijing"	"100005"	"3"	"1"	"1"	"3"	"7"	"3"	"5000"	"9999"	"1"	"[green]法宝强化所需材料\n[white]充满能量的水晶石，可以提升法宝威力\n[green]产出途径：世界首领、活跃度、环任务"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100045"	"绿色兑换道具"	"icon_item_png,xilianshi2"	"100004"	"3"	"1"	"1"	"1"	"7"	"3"	"1"	"9999"	"1"	"用于道具兑换活动的神奇道具\n[green]产出途径：世界掉落."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"世界掉落"	""	""	""	""	
"100046"	"侠义令"	"icon_item_png,xiayiling"	"100005"	"8"	"3"	"1"	"2"	"7"	"3"	"0"	"9999"	"1"	"稀有道具，[green]用于开启及强化助战位，让助战英雄提供更多属性\n[white]可以号令天下群雄的信物，得道多助的证明\n[green]产出途径：英雄挑战本"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"37"	""	"商店"	""	""	""	""	
"100047"	"英雄帖"	"icon_item_png,yingxiongtie"	"100005"	"8"	"3"	"1"	"4"	"7"	"3"	"0"	"9999"	"1"	"稀有道具，[green]用于开启助战位\n[white]召集天下英豪的请帖，可以让更多的英雄助战\n[green]产出途径：活动赠送"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"37"	""	"商店"	""	""	""	""	
"100048"	"改名卡"	"icon_item_png,namecard"	"100005"	"3"	"1"	"50"	"3"	"7"	"3"	"1000"	"1"	"1"	"可以更改玩家的名字，点击右键可进行使用\n[green]产出途径：商城、活动"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"42"	""	""	""	""	""	""	
"100050"	"开孔器"	"icon_item_png,zuan"	"100005"	"3"	"1"	"1"	"3"	"7"	"3"	"0"	"9999"	"1"	"用于开启宝石槽位的神奇道具，使用消耗\n[green]产出途径：商城."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"10"	""	"商店"	""	""	""	""	
"100051"	"华山论剑卷轴"	"icon_item_png,juanzhou"	"100005"	"3"	"22"	"1"	"3"	"7"	"3"	"1000"	"99"	"1"	"使用后增加华山论剑挑战1次，点击右键可快速使用\n[green]产出途径：活动"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100052"	"八王之乱卷轴"	"icon_item_png,juanzhou"	"100005"	"3"	"23"	"1"	"3"	"7"	"3"	"1000"	"99"	"1"	"使用后增加八王之乱挑战机会1次，点击右键可快速使用\n[green]产出途径：活动"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100053"	"叱咤王府卷轴"	"icon_item_png,juanzhou"	"100005"	"3"	"24"	"1"	"3"	"7"	"3"	"1000"	"99"	"1"	"使用后增加叱咤王府副本1次，点击右键可快速使用\n[green]产出途径：活动"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100054"	"海上洪涛卷轴"	"icon_item_png,juanzhou"	"100005"	"3"	"25"	"1"	"3"	"7"	"3"	"1000"	"99"	"1"	"使用后增加海上洪涛副本1次，点击右键可快速使用\n[green]产出途径：活动"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100055"	"千刃绝顶卷轴"	"icon_item_png,juanzhou"	"100005"	"3"	"26"	"1"	"3"	"7"	"3"	"1000"	"99"	"1"	"使用后增加千刃绝顶副本1次，点击右键可快速使用\n[green]产出途径：活动"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100056"	"大军西征卷轴"	"icon_item_png,juanzhou"	"100005"	"3"	"27"	"1"	"3"	"7"	"3"	"1000"	"99"	"1"	"使用后增加大军西征副本1次，点击右键可快速使用\n[green]产出途径：活动"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100057"	"天机券"	"icon_item_png,choujiangquan"	"100005"	"3"	"1"	"1"	"4"	"7"	"3"	"100"	"999"	"0"	"消耗天机券可参与天机秘卷活动\n参与一次需要消耗一次天机券\n当天机券不足时将完全使用元宝参与活动\n天机券与元宝不能混合使用\n使用天机券也可增加积分"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100058"	"补天石"	"icon_item_png,shitou"	"100005"	"3"	"1"	"1"	"3"	"7"	"3"	"100"	"999"	"0"	"传说女娲补天后遗留的神石，用来修补神器的道具\n[green]产出途径：环任务、守襄阳"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100059"	"护送令"	"icon_item1,husongling"	"100005"	"3"	"1"	"1"	"3"	"7"	"3"	"100"	"999"	"1"	"稀有道具，[green]用于提升护送目标的品质\n[green]产出途径：商城"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"37"	""	"商店"	""	""	""	""	
"100060"	"提炼经验"	"icon_item_png,exp"	""	"1"	""	""	"3"	""	"3"	"0"	"1"	"1"	"可用于角色升级的重要资源\n[green]产出途径：剧情任务&每日经验等."	""	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"角色升级需要大量经验，可通过游戏内的玩法来获取"	""	""	""	""	
"100061"	"火把"	"icon_item1,gouhuodui"	"100004"	"3"	"1"	"1"	"1"	"7"	"3"	"0"	"9999"	"1"	"可兑换少量经验"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100062"	"火把"	"icon_item1,gouhuodui"	"100004"	"3"	"1"	"1"	"2"	"7"	"3"	"0"	"9999"	"1"	"可兑换大量经验"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100063"	"火把"	"icon_item1,gouhuodui"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"0"	"9999"	"1"	"可兑换巨量经验"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100064"	"烟花"	"icon_item_png,yanhua"	"100004"	"3"	"1"	"1"	"1"	"7"	"3"	"0"	"9999"	"1"	"可兑换少量历练"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100065"	"烟花"	"icon_item_png,yanhua"	"100004"	"3"	"1"	"1"	"2"	"7"	"3"	"0"	"9999"	"1"	"可兑换大量历练"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100066"	"烟花"	"icon_item_png,yanhua"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"0"	"9999"	"1"	"可兑换巨量历练"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100067"	"孔明灯"	"icon_item_png,qianghuashi3"	"100004"	"3"	"1"	"1"	"1"	"7"	"3"	"0"	"9999"	"1"	"可兑换少量铜币"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100068"	"孔明灯"	"icon_item_png,qianghuashi3"	"100004"	"3"	"1"	"1"	"2"	"7"	"3"	"0"	"9999"	"1"	"可兑换大量铜币"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100069"	"孔明灯"	"icon_item_png,qianghuashi3"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"0"	"9999"	"1"	"可兑换巨量铜币"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100070"	"金钱露"	"icon_item_png,icon_shuitong"	"100004"	"3"	"1"	"1"	"4"	"7"	"3"	"0"	"9999"	"1"	"浇灌摇钱树，可增加摇钱树的每分钟铜币产量\n[green]产出途径：VIP奖励"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"49"	""	"商店"	""	""	""	""	
"100071"	"玄铁砂"	"icon_item_png,shitou"	"100004"	"3"	"1"	"1"	"4"	"7"	"3"	"0"	"9999"	"1"	"打磨聚宝盆，可增加聚宝盆的最大铜币储量\n[green]产出途径：VIP奖励"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"49"	""	"商店"	""	""	""	""	
"100072"	"侍从经验（无效）"	"icon_item_png,qianghuashi3"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"0"	"9999"	"1"	"侍从升级所需经验"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100073"	"柔然入寇卷轴"	"icon_item_png,juanzhou"	"100005"	"3"	"28"	"1"	"3"	"7"	"3"	"1000"	"99"	"1"	"使用后增加柔然入寇副本1次，点击右键可快速使用\n[green]产出途径：活动"	""	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100074"	"命运卷"	"icon_item1,icon_fate"	"100005"	"3"	"1"	"1"	"4"	"7"	"3"	"100"	"999"	"0"	"消耗命运卷可参与命运卷活动\n参与一次需要消耗一次命运券\n当命运券不足时将完全使用元宝参与活动\n命运券与元宝不能混合使用\n使用命运券也可增加积分"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100075"	"刷新令"	"icon_item1,flag_02"	"100005"	"3"	"1"	"1"	"3"	"7"	"3"	"100"	"999"	"1"	"稀有道具，[green]用于提升野外激战中挑战BOSS的品质\n[green]产出途径：商城"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"83"	""	"商店"	""	""	""	""	
"100076"	"强化秘籍"	"icon_item1,quan3"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"3000"	"9999"	"1"	"职业强化所需材料\n记载着职业相关的秘技，可以提升主角功力\n[green]产出途径：单人首领、活跃度"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"23"	""	"商店"	""	""	""	""	
