"ID"	"技能等级段"	"升级所需物品1(ID,数量)"	"升级所需物品2(ID,数量)"	"升级所需物品3(ID,数量)"	""	""	""	""	""	""	""	""	
"18"	"18,18"	"100001,6700"	"100045,1"	""	""	""	""	""	""	""	""	""	
"19"	"19,19"	"100001,6800"	"100045,1"	""	""	""	""	""	""	""	""	""	
"20"	"20,20"	"100001,6900"	"100045,1"	""	""	""	""	""	""	""	""	""	
"21"	"21,21"	"100001,7000"	"100045,1"	""	""	""	""	""	""	""	""	""	
"22"	"22,22"	"100001,7100"	"100045,1"	""	""	""	""	""	""	""	""	""	
"23"	"23,23"	"100001,7200"	"100045,1"	""	""	""	""	""	""	""	""	""	
"24"	"24,24"	"100001,7300"	"100045,1"	""	""	""	""	""	""	""	""	""	
"25"	"25,25"	"100001,7400"	"100045,1"	""	""	""	""	""	""	""	""	""	
"26"	"26,26"	"100001,7500"	"100045,1"	""	""	""	""	""	""	""	""	""	
"27"	"27,27"	"100001,7600"	"100045,1"	""	""	""	""	""	""	""	""	""	
"28"	"28,28"	"100001,7700"	"100045,1"	""	""	""	""	""	""	""	""	""	
"29"	"29,29"	"100001,7800"	"100045,1"	""	""	""	""	""	""	""	""	""	
"30"	"30,30"	"100001,7900"	"100045,1"	""	""	""	""	""	""	""	""	""	
"31"	"31,31"	"100001,8000"	"100045,1"	""	""	""	""	""	""	""	""	""	
"32"	"32,32"	"100001,8100"	"100045,1"	""	""	""	""	""	""	""	""	""	
"33"	"33,33"	"100001,8200"	"100045,1"	""	""	""	""	""	""	""	""	""	
"34"	"34,34"	"100001,8300"	"100045,1"	""	""	""	""	""	""	""	""	""	
"35"	"35,35"	"100001,8400"	"100045,1"	""	""	""	""	""	""	""	""	""	
"36"	"36,36"	"100001,8500"	"100045,1"	""	""	""	""	""	""	""	""	""	
"37"	"37,37"	"100001,8600"	"100045,1"	""	""	""	""	""	""	""	""	""	
"38"	"38,38"	"100001,8700"	"100045,1"	""	""	""	""	""	""	""	""	""	
"39"	"39,39"	"100001,8800"	"100045,1"	""	""	""	""	""	""	""	""	""	
"40"	"40,40"	"100001,8900"	"100045,1"	""	""	""	""	""	""	""	""	""	
"41"	"41,41"	"100001,9000"	"100045,1"	""	""	""	""	""	""	""	""	""	
"42"	"42,42"	"100001,9100"	"100045,1"	""	""	""	""	""	""	""	""	""	
"43"	"43,43"	"100001,9200"	"100045,1"	""	""	""	""	""	""	""	""	""	
"44"	"44,44"	"100001,9300"	"100045,1"	""	""	""	""	""	""	""	""	""	
"45"	"45,45"	"100001,9400"	"100045,1"	""	""	""	""	""	""	""	""	""	
"46"	"46,46"	"100001,9500"	"100045,1"	""	""	""	""	""	""	""	""	""	
"47"	"47,47"	"100001,9600"	"100045,1"	""	""	""	""	""	""	""	""	""	
"48"	"48,48"	"100001,9700"	"100045,1"	""	""	""	""	""	""	""	""	""	
"49"	"49,49"	"100001,9800"	"100045,1"	""	""	""	""	""	""	""	""	""	
"50"	"50,50"	"100001,9900"	"100045,1"	""	""	""	""	""	""	""	""	""	
"51"	"51,51"	"100001,10000"	"100045,1"	""	""	""	""	""	""	""	""	""	
"52"	"52,52"	"100001,10100"	"100045,1"	""	""	""	""	""	""	""	""	""	
"53"	"53,53"	"100001,10200"	"100045,1"	""	""	""	""	""	""	""	""	""	
"54"	"54,54"	"100001,10300"	"100045,1"	""	""	""	""	""	""	""	""	""	
"55"	"55,55"	"100001,10600"	"100045,1"	""	""	""	""	""	""	""	""	""	
"56"	"56,56"	"100001,10900"	"100045,1"	""	""	""	""	""	""	""	""	""	
"57"	"57,57"	"100001,11300"	"100045,1"	""	""	""	""	""	""	""	""	""	
"58"	"58,58"	"100001,11600"	"100045,1"	""	""	""	""	""	""	""	""	""	
"59"	"59,59"	"100001,12000"	"100045,1"	""	""	""	""	""	""	""	""	""	
"60"	"60,60"	"100001,12300"	"100045,1"	""	""	""	""	""	""	""	""	""	
"61"	"61,61"	"100001,21100"	"100045,1"	""	""	""	""	""	""	""	""	""	
"62"	"62,62"	"100001,21700"	"100045,1"	""	""	""	""	""	""	""	""	""	
"63"	"63,63"	"100001,22300"	"100045,1"	""	""	""	""	""	""	""	""	""	
"64"	"64,64"	"100001,22900"	"100045,1"	""	""	""	""	""	""	""	""	""	
"65"	"65,65"	"100001,23500"	"100045,2"	""	""	""	""	""	""	""	""	""	
"66"	"66,66"	"100001,33800"	"100045,2"	""	""	""	""	""	""	""	""	""	
"67"	"67,67"	"100001,34600"	"100045,2"	""	""	""	""	""	""	""	""	""	
"68"	"68,68"	"100001,35500"	"100045,2"	""	""	""	""	""	""	""	""	""	
"69"	"69,69"	"100001,36400"	"100045,2"	""	""	""	""	""	""	""	""	""	
"70"	"70,70"	"100001,37300"	"100045,2"	""	""	""	""	""	""	""	""	""	
"71"	"71,71"	"100001,49200"	"100045,3"	""	""	""	""	""	""	""	""	""	
"72"	"72,72"	"100001,50400"	"100045,3"	""	""	""	""	""	""	""	""	""	
"73"	"73,73"	"100001,51600"	"100045,3"	""	""	""	""	""	""	""	""	""	
"74"	"74,74"	"100001,52800"	"100045,3"	""	""	""	""	""	""	""	""	""	
"75"	"75,75"	"100001,54100"	"100045,3"	""	""	""	""	""	""	""	""	""	
"76"	"76,76"	"100001,67600"	"100045,4"	""	""	""	""	""	""	""	""	""	
"77"	"77,77"	"100001,69200"	"100045,4"	""	""	""	""	""	""	""	""	""	
"78"	"78,78"	"100001,70700"	"100045,4"	""	""	""	""	""	""	""	""	""	
"79"	"79,79"	"100001,72300"	"100045,4"	""	""	""	""	""	""	""	""	""	
"80"	"80,80"	"100001,73900"	"100045,4"	""	""	""	""	""	""	""	""	""	
"81"	"81,81"	"100001,89200"	"100045,4"	""	""	""	""	""	""	""	""	""	
"82"	"82,82"	"100001,91100"	"100045,4"	""	""	""	""	""	""	""	""	""	
"83"	"83,83"	"100001,93100"	"100045,4"	""	""	""	""	""	""	""	""	""	
"84"	"84,84"	"100001,95000"	"100045,4"	""	""	""	""	""	""	""	""	""	
"85"	"85,85"	"100001,97000"	"100045,4"	""	""	""	""	""	""	""	""	""	
"86"	"86,86"	"100001,114300"	"100045,5"	""	""	""	""	""	""	""	""	""	
"87"	"87,87"	"100001,116600"	"100045,5"	""	""	""	""	""	""	""	""	""	
"88"	"88,88"	"100001,118900"	"100045,5"	""	""	""	""	""	""	""	""	""	
"89"	"89,89"	"100001,121300"	"100045,5"	""	""	""	""	""	""	""	""	""	
"90"	"90,90"	"100001,123700"	"100045,5"	""	""	""	""	""	""	""	""	""	
"91"	"91,91"	"100001,142900"	"100045,6"	""	""	""	""	""	""	""	""	""	
"92"	"92,92"	"100001,145700"	"100045,6"	""	""	""	""	""	""	""	""	""	
"93"	"93,93"	"100001,148500"	"100045,6"	""	""	""	""	""	""	""	""	""	
"94"	"94,94"	"100001,151300"	"100045,6"	""	""	""	""	""	""	""	""	""	
"95"	"95,95"	"100001,154100"	"100045,6"	""	""	""	""	""	""	""	""	""	
"96"	"96,96"	"100001,175400"	"100045,7"	""	""	""	""	""	""	""	""	""	
"97"	"97,97"	"100001,178600"	"100045,7"	""	""	""	""	""	""	""	""	""	
"98"	"98,98"	"100001,181900"	"100045,7"	""	""	""	""	""	""	""	""	""	
"99"	"99,99"	"100001,185100"	"100045,7"	""	""	""	""	""	""	""	""	""	
"100"	"100,100"	"100001,188400"	"100045,7"	""	""	""	""	""	""	""	""	""	
"101"	"101,101"	"100001,211900"	"100045,8"	""	""	""	""	""	""	""	""	""	
"102"	"102,102"	"100001,215600"	"100045,8"	""	""	""	""	""	""	""	""	""	
"103"	"103,103"	"100001,219400"	"100045,8"	""	""	""	""	""	""	""	""	""	
"104"	"104,104"	"100001,223100"	"100045,8"	""	""	""	""	""	""	""	""	""	
"105"	"105,105"	"100001,226900"	"100045,8"	""	""	""	""	""	""	""	""	""	
"106"	"106,106"	"100001,252700"	"100045,9"	""	""	""	""	""	""	""	""	""	
"107"	"107,107"	"100001,256900"	"100045,9"	""	""	""	""	""	""	""	""	""	
"108"	"108,108"	"100001,261200"	"100045,9"	""	""	""	""	""	""	""	""	""	
"109"	"109,109"	"100001,265400"	"100045,9"	""	""	""	""	""	""	""	""	""	
"110"	"110,110"	"100001,269700"	"100045,9"	""	""	""	""	""	""	""	""	""	
"111"	"111,111"	"100001,297900"	"100045,10"	""	""	""	""	""	""	""	""	""	
"112"	"112,112"	"100001,302700"	"100045,10"	""	""	""	""	""	""	""	""	""	
"113"	"113,113"	"100001,307400"	"100045,10"	""	""	""	""	""	""	""	""	""	
"114"	"114,114"	"100001,312300"	"100045,10"	""	""	""	""	""	""	""	""	""	
"115"	"115,115"	"100001,317100"	"100045,10"	""	""	""	""	""	""	""	""	""	
"116"	"116,116"	"100001,347700"	"100045,11"	""	""	""	""	""	""	""	""	""	
"117"	"117,117"	"100001,353100"	"100045,11"	""	""	""	""	""	""	""	""	""	
"118"	"118,118"	"100001,358400"	"100045,11"	""	""	""	""	""	""	""	""	""	
"119"	"119,119"	"100001,363800"	"100045,11"	""	""	""	""	""	""	""	""	""	
"120"	"120,120"	"100001,369200"	"100045,11"	""	""	""	""	""	""	""	""	""	
"121"	"121,121"	"100001,402400"	"100045,12"	""	""	""	""	""	""	""	""	""	
"122"	"122,122"	"100001,408300"	"100045,12"	""	""	""	""	""	""	""	""	""	
"123"	"123,123"	"100001,414300"	"100045,12"	""	""	""	""	""	""	""	""	""	
"124"	"124,124"	"100001,420200"	"100045,12"	""	""	""	""	""	""	""	""	""	
"125"	"125,125"	"100001,426300"	"100045,12"	""	""	""	""	""	""	""	""	""	
"126"	"126,126"	"100001,462100"	"100045,13"	""	""	""	""	""	""	""	""	""	
"127"	"127,127"	"100001,468700"	"100045,13"	""	""	""	""	""	""	""	""	""	
"128"	"128,128"	"100001,475200"	"100045,13"	""	""	""	""	""	""	""	""	""	
"129"	"129,129"	"100001,481800"	"100045,13"	""	""	""	""	""	""	""	""	""	
"130"	"130,130"	"100001,488400"	"100045,13"	""	""	""	""	""	""	""	""	""	
"131"	"131,131"	"100001,527100"	"100045,14"	""	""	""	""	""	""	""	""	""	
"132"	"132,132"	"100001,534200"	"100045,14"	""	""	""	""	""	""	""	""	""	
"133"	"133,133"	"100001,541400"	"100045,14"	""	""	""	""	""	""	""	""	""	
"134"	"134,134"	"100001,548700"	"100045,14"	""	""	""	""	""	""	""	""	""	
"135"	"135,135"	"100001,555900"	"100045,14"	""	""	""	""	""	""	""	""	""	
"136"	"136,136"	"100001,597400"	"100045,15"	""	""	""	""	""	""	""	""	""	
"137"	"137,137"	"100001,605200"	"100045,15"	""	""	""	""	""	""	""	""	""	
"138"	"138,138"	"100001,613100"	"100045,15"	""	""	""	""	""	""	""	""	""	
"139"	"139,139"	"100001,621000"	"100045,15"	""	""	""	""	""	""	""	""	""	
"140"	"140,140"	"100001,629000"	"100045,15"	""	""	""	""	""	""	""	""	""	
"141"	"141,141"	"100001,673300"	"100045,16"	""	""	""	""	""	""	""	""	""	
"142"	"142,142"	"100001,681900"	"100045,16"	""	""	""	""	""	""	""	""	""	
"143"	"143,143"	"100001,690400"	"100045,16"	""	""	""	""	""	""	""	""	""	
"144"	"144,144"	"100001,699000"	"100045,16"	""	""	""	""	""	""	""	""	""	
"145"	"145,145"	"100001,707700"	"100045,17"	""	""	""	""	""	""	""	""	""	
"146"	"146,146"	"100001,755100"	"100045,17"	""	""	""	""	""	""	""	""	""	
"147"	"147,147"	"100001,764300"	"100045,18"	""	""	""	""	""	""	""	""	""	
"148"	"148,148"	"100001,773600"	"100045,18"	""	""	""	""	""	""	""	""	""	
"149"	"149,149"	"100001,782900"	"100045,18"	""	""	""	""	""	""	""	""	""	
"150"	"150,150"	"100001,792200"	"100045,18"	""	""	""	""	""	""	""	""	""	
"151"	"151,151"	"100001,842800"	"100045,19"	""	""	""	""	""	""	""	""	""	
"152"	"152,152"	"100001,852700"	"100045,19"	""	""	""	""	""	""	""	""	""	
"153"	"153,153"	"100001,862700"	"100045,19"	""	""	""	""	""	""	""	""	""	
"154"	"154,154"	"100001,872800"	"100045,19"	""	""	""	""	""	""	""	""	""	
"155"	"155,155"	"100001,882900"	"100045,19"	""	""	""	""	""	""	""	""	""	
"156"	"156,156"	"100001,936600"	"100045,20"	""	""	""	""	""	""	""	""	""	
"157"	"157,157"	"100001,947400"	"100045,20"	""	""	""	""	""	""	""	""	""	
"158"	"158,158"	"100001,958100"	"100045,20"	""	""	""	""	""	""	""	""	""	
"159"	"159,159"	"100001,968900"	"100045,20"	""	""	""	""	""	""	""	""	""	
"160"	"160,160"	"100001,979800"	"100045,20"	""	""	""	""	""	""	""	""	""	
"161"	"161,161"	"100001,1036800"	"100045,21"	""	""	""	""	""	""	""	""	""	
"162"	"162,162"	"100001,1048300"	"100045,21"	""	""	""	""	""	""	""	""	""	
"163"	"163,163"	"100001,1059900"	"100045,22"	""	""	""	""	""	""	""	""	""	
"164"	"164,164"	"100001,1071500"	"100045,22"	""	""	""	""	""	""	""	""	""	
"165"	"165,165"	"100001,1083200"	"100045,22"	""	""	""	""	""	""	""	""	""	
"166"	"166,166"	"100001,1143600"	"100045,23"	""	""	""	""	""	""	""	""	""	
"167"	"167,167"	"100001,1155900"	"100045,23"	""	""	""	""	""	""	""	""	""	
"168"	"168,168"	"100001,1168200"	"100045,23"	""	""	""	""	""	""	""	""	""	
"169"	"169,169"	"100001,1180700"	"100045,23"	""	""	""	""	""	""	""	""	""	
"170"	"170,170"	"100001,1193100"	"100045,23"	""	""	""	""	""	""	""	""	""	
"171"	"171,171"	"100001,1257000"	"100045,24"	""	""	""	""	""	""	""	""	""	
"172"	"172,172"	"100001,1270100"	"100045,24"	""	""	""	""	""	""	""	""	""	
"173"	"173,173"	"100001,1283300"	"100045,24"	""	""	""	""	""	""	""	""	""	
"174"	"174,174"	"100001,1296600"	"100045,24"	""	""	""	""	""	""	""	""	""	
"175"	"175,175"	"100001,1309900"	"100045,25"	""	""	""	""	""	""	""	""	""	
"176"	"176,176"	"100001,1377300"	"100045,26"	""	""	""	""	""	""	""	""	""	
"177"	"177,177"	"100001,1391300"	"100045,26"	""	""	""	""	""	""	""	""	""	
"178"	"178,178"	"100001,1405300"	"100045,26"	""	""	""	""	""	""	""	""	""	
"179"	"179,179"	"100001,1419500"	"100045,26"	""	""	""	""	""	""	""	""	""	
"180"	"180,180"	"100001,1433600"	"100045,26"	""	""	""	""	""	""	""	""	""	
"181"	"181,181"	"100001,1504700"	"100045,27"	""	""	""	""	""	""	""	""	""	
"182"	"182,182"	"100001,1519500"	"100045,27"	""	""	""	""	""	""	""	""	""	
"183"	"183,183"	"100001,1534500"	"100045,27"	""	""	""	""	""	""	""	""	""	
"184"	"184,184"	"100001,1549500"	"100045,27"	""	""	""	""	""	""	""	""	""	
"185"	"185,185"	"100001,1564500"	"100045,28"	""	""	""	""	""	""	""	""	""	
"186"	"186,186"	"100001,1639300"	"100045,29"	""	""	""	""	""	""	""	""	""	
"187"	"187,187"	"100001,1655000"	"100045,29"	""	""	""	""	""	""	""	""	""	
"188"	"188,188"	"100001,1670900"	"100045,29"	""	""	""	""	""	""	""	""	""	
"189"	"189,189"	"100001,1686800"	"100045,29"	""	""	""	""	""	""	""	""	""	
"190"	"190,190"	"100001,1702700"	"100045,29"	""	""	""	""	""	""	""	""	""	
"191"	"191,191"	"100001,1781300"	"100045,30"	""	""	""	""	""	""	""	""	""	
"192"	"192,192"	"100001,1798000"	"100045,30"	""	""	""	""	""	""	""	""	""	
"193"	"193,193"	"100001,1814700"	"100045,30"	""	""	""	""	""	""	""	""	""	
"194"	"194,194"	"100001,1831600"	"100045,31"	""	""	""	""	""	""	""	""	""	
"195"	"195,195"	"100001,1848500"	"100045,31"	""	""	""	""	""	""	""	""	""	
"196"	"196,196"	"100001,1930900"	"100045,32"	""	""	""	""	""	""	""	""	""	
"197"	"197,197"	"100001,1948500"	"100045,32"	""	""	""	""	""	""	""	""	""	
"198"	"198,198"	"100001,1966200"	"100045,32"	""	""	""	""	""	""	""	""	""	
"199"	"199,199"	"100001,1984000"	"100045,32"	""	""	""	""	""	""	""	""	""	
"200"	"200,200"	"100001,2001900"	"100045,32"	""	""	""	""	""	""	""	""	""	
"201"	"201,201"	"100001,2088300"	"100045,33"	""	""	""	""	""	""	""	""	""	
"202"	"202,202"	"100001,2106900"	"100045,34"	""	""	""	""	""	""	""	""	""	
"203"	"203,203"	"100001,2125500"	"100045,34"	""	""	""	""	""	""	""	""	""	
"204"	"204,204"	"100001,2144300"	"100045,34"	""	""	""	""	""	""	""	""	""	
"205"	"205,205"	"100001,2163100"	"100045,34"	""	""	""	""	""	""	""	""	""	
"206"	"206,206"	"100001,2253600"	"100045,35"	""	""	""	""	""	""	""	""	""	
"207"	"207,207"	"100001,2273200"	"100045,35"	""	""	""	""	""	""	""	""	""	
"208"	"208,208"	"100001,2292800"	"100045,35"	""	""	""	""	""	""	""	""	""	
"209"	"209,209"	"100001,2312600"	"100045,35"	""	""	""	""	""	""	""	""	""	
"210"	"210,210"	"100001,2332400"	"100045,36"	""	""	""	""	""	""	""	""	""	
"211"	"211,211"	"100001,2427000"	"100045,37"	""	""	""	""	""	""	""	""	""	
"212"	"212,212"	"100001,2447600"	"100045,37"	""	""	""	""	""	""	""	""	""	
"213"	"213,213"	"100001,2468300"	"100045,37"	""	""	""	""	""	""	""	""	""	
"214"	"214,214"	"100001,2489000"	"100045,37"	""	""	""	""	""	""	""	""	""	
"215"	"215,215"	"100001,2509900"	"100045,37"	""	""	""	""	""	""	""	""	""	
"216"	"216,216"	"100001,2608700"	"100045,39"	""	""	""	""	""	""	""	""	""	
"217"	"217,217"	"100001,2630300"	"100045,39"	""	""	""	""	""	""	""	""	""	
"218"	"218,218"	"100001,2652000"	"100045,39"	""	""	""	""	""	""	""	""	""	
"219"	"219,219"	"100001,2673800"	"100045,39"	""	""	""	""	""	""	""	""	""	
"220"	"220,220"	"100001,2695700"	"100045,39"	""	""	""	""	""	""	""	""	""	
"221"	"221,221"	"100001,2798800"	"100045,40"	""	""	""	""	""	""	""	""	""	
"222"	"222,222"	"100001,2821500"	"100045,40"	""	""	""	""	""	""	""	""	""	
"223"	"223,223"	"100001,2844300"	"100045,41"	""	""	""	""	""	""	""	""	""	
"224"	"224,224"	"100001,2867100"	"100045,41"	""	""	""	""	""	""	""	""	""	
"225"	"225,225"	"100001,2890100"	"100045,41"	""	""	""	""	""	""	""	""	""	
"226"	"226,226"	"100001,2997600"	"100045,42"	""	""	""	""	""	""	""	""	""	
"227"	"227,227"	"100001,3021300"	"100045,42"	""	""	""	""	""	""	""	""	""	
"228"	"228,228"	"100001,3045200"	"100045,42"	""	""	""	""	""	""	""	""	""	
"229"	"229,229"	"100001,3069100"	"100045,43"	""	""	""	""	""	""	""	""	""	
"230"	"230,230"	"100001,3093200"	"100045,43"	""	""	""	""	""	""	""	""	""	
"231"	"231,231"	"100001,3205100"	"100045,44"	""	""	""	""	""	""	""	""	""	
"232"	"232,232"	"100001,3230000"	"100045,44"	""	""	""	""	""	""	""	""	""	
"233"	"233,233"	"100001,3254900"	"100045,44"	""	""	""	""	""	""	""	""	""	
"234"	"234,234"	"100001,3280000"	"100045,44"	""	""	""	""	""	""	""	""	""	
"235"	"235,235"	"100001,3305100"	"100045,45"	""	""	""	""	""	""	""	""	""	
"236"	"236,236"	"100001,3421600"	"100045,46"	""	""	""	""	""	""	""	""	""	
"237"	"237,237"	"100001,3447600"	"100045,46"	""	""	""	""	""	""	""	""	""	
"238"	"238,238"	"100001,3473700"	"100045,46"	""	""	""	""	""	""	""	""	""	
"239"	"239,239"	"100001,3499900"	"100045,46"	""	""	""	""	""	""	""	""	""	
"240"	"240,240"	"100001,3526100"	"100045,46"	""	""	""	""	""	""	""	""	""	
"241"	"241,241"	"100001,3647200"	"100045,48"	""	""	""	""	""	""	""	""	""	
"242"	"242,242"	"100001,3674400"	"100045,48"	""	""	""	""	""	""	""	""	""	
"243"	"243,243"	"100001,3701600"	"100045,48"	""	""	""	""	""	""	""	""	""	
"244"	"244,244"	"100001,3728900"	"100045,48"	""	""	""	""	""	""	""	""	""	
"245"	"245,245"	"100001,3756300"	"100045,48"	""	""	""	""	""	""	""	""	""	
"246"	"246,246"	"100001,3882100"	"100045,50"	""	""	""	""	""	""	""	""	""	
"247"	"247,247"	"100001,3910400"	"100045,50"	""	""	""	""	""	""	""	""	""	
"248"	"248,248"	"100001,3938800"	"100045,50"	""	""	""	""	""	""	""	""	""	
"249"	"249,249"	"100001,3967300"	"100045,50"	""	""	""	""	""	""	""	""	""	
"250"	"250,250"	"100001,3995900"	"100045,50"	""	""	""	""	""	""	""	""	""	
"251"	"251,251"	"100001,4126500"	"100045,52"	""	""	""	""	""	""	""	""	""	
"252"	"252,252"	"100001,4156000"	"100045,52"	""	""	""	""	""	""	""	""	""	
"253"	"253,253"	"100001,4185600"	"100045,52"	""	""	""	""	""	""	""	""	""	
"254"	"254,254"	"100001,4215300"	"100045,52"	""	""	""	""	""	""	""	""	""	
"255"	"255,255"	"100001,4245000"	"100045,52"	""	""	""	""	""	""	""	""	""	
"256"	"256,256"	"100001,4380500"	"100045,54"	""	""	""	""	""	""	""	""	""	
"257"	"257,257"	"100001,4411200"	"100045,54"	""	""	""	""	""	""	""	""	""	
"258"	"258,258"	"100001,4442000"	"100045,54"	""	""	""	""	""	""	""	""	""	
"259"	"259,259"	"100001,4472900"	"100045,54"	""	""	""	""	""	""	""	""	""	
"260"	"260,260"	"100001,4503900"	"100045,54"	""	""	""	""	""	""	""	""	""	
"261"	"261,261"	"100001,4644200"	"100045,56"	""	""	""	""	""	""	""	""	""	
"262"	"262,262"	"100001,4676200"	"100045,56"	""	""	""	""	""	""	""	""	""	
"263"	"263,263"	"100001,4708200"	"100045,56"	""	""	""	""	""	""	""	""	""	
"264"	"264,264"	"100001,4740300"	"100045,56"	""	""	""	""	""	""	""	""	""	
"265"	"265,265"	"100001,4772600"	"100045,57"	""	""	""	""	""	""	""	""	""	
"266"	"266,266"	"100001,4917900"	"100045,58"	""	""	""	""	""	""	""	""	""	
"267"	"267,267"	"100001,4951100"	"100045,58"	""	""	""	""	""	""	""	""	""	
"268"	"268,268"	"100001,4984400"	"100045,58"	""	""	""	""	""	""	""	""	""	
"269"	"269,269"	"100001,5017800"	"100045,59"	""	""	""	""	""	""	""	""	""	
"270"	"270,270"	"100001,5051300"	"100045,59"	""	""	""	""	""	""	""	""	""	
"271"	"271,271"	"100001,5201800"	"100045,60"	""	""	""	""	""	""	""	""	""	
"272"	"272,272"	"100001,5236200"	"100045,60"	""	""	""	""	""	""	""	""	""	
"273"	"273,273"	"100001,5270800"	"100045,61"	""	""	""	""	""	""	""	""	""	
"274"	"274,274"	"100001,5305400"	"100045,61"	""	""	""	""	""	""	""	""	""	
"275"	"275,275"	"100001,5340200"	"100045,61"	""	""	""	""	""	""	""	""	""	
"276"	"276,276"	"100001,5495900"	"100045,62"	""	""	""	""	""	""	""	""	""	
"277"	"277,277"	"100001,5531600"	"100045,63"	""	""	""	""	""	""	""	""	""	
"278"	"278,278"	"100001,5567500"	"100045,63"	""	""	""	""	""	""	""	""	""	
"279"	"279,279"	"100001,5603400"	"100045,63"	""	""	""	""	""	""	""	""	""	
"280"	"280,280"	"100001,5639500"	"100045,63"	""	""	""	""	""	""	""	""	""	
"281"	"281,281"	"100001,5800400"	"100045,65"	""	""	""	""	""	""	""	""	""	
"282"	"282,282"	"100001,5837400"	"100045,65"	""	""	""	""	""	""	""	""	""	
"283"	"283,283"	"100001,5874600"	"100045,65"	""	""	""	""	""	""	""	""	""	
"284"	"284,284"	"100001,5911900"	"100045,65"	""	""	""	""	""	""	""	""	""	
"285"	"285,285"	"100001,5949300"	"100045,65"	""	""	""	""	""	""	""	""	""	
"286"	"286,286"	"100001,6115500"	"100045,67"	""	""	""	""	""	""	""	""	""	
"287"	"287,287"	"100001,6153900"	"100045,67"	""	""	""	""	""	""	""	""	""	
"288"	"288,288"	"100001,6192400"	"100045,67"	""	""	""	""	""	""	""	""	""	
"289"	"289,289"	"100001,6231000"	"100045,67"	""	""	""	""	""	""	""	""	""	
"290"	"290,290"	"100001,6269700"	"100045,68"	""	""	""	""	""	""	""	""	""	
"291"	"291,291"	"100001,6441400"	"100045,69"	""	""	""	""	""	""	""	""	""	
"292"	"292,292"	"100001,6481100"	"100045,69"	""	""	""	""	""	""	""	""	""	
"293"	"293,293"	"100001,6521000"	"100045,69"	""	""	""	""	""	""	""	""	""	
"294"	"294,294"	"100001,6560900"	"100045,70"	""	""	""	""	""	""	""	""	""	
"295"	"295,295"	"100001,6601000"	"100045,70"	""	""	""	""	""	""	""	""	""	
"296"	"296,296"	"100001,6778100"	"100045,71"	""	""	""	""	""	""	""	""	""	
"297"	"297,297"	"100001,6819300"	"100045,72"	""	""	""	""	""	""	""	""	""	
"298"	"298,298"	"100001,6860500"	"100045,72"	""	""	""	""	""	""	""	""	""	
"299"	"299,299"	"100001,6901900"	"100045,72"	""	""	""	""	""	""	""	""	""	
"300"	"300,300"	"100001,6943300"	"100045,72"	""	""	""	""	""	""	""	""	""	
