"任务id（唯一，顺次递增）"	"任务名称（日志，追踪面板显示）"	"任务分类（0=传统任务，1=联盟任务，2=家园任务,3=7日任务,新增其他后续递增）"	"任务放弃标识（是否可放弃）"	"任务可接描述（索引字典）"	"任务已接未完成描述（索引字典）"	"任务可完成描述（索引字典）"	"任务已完成描述（索引字典）"	"接受等级（显示为可接任务的条件，接受任务的条件）"	"杀怪类(怪id)"	"杀怪类(怪数量)"	"功能类(功能id,5使用龙笛,8点金,9通关任意副本,10通关暗黑擂台,11通关魔王本,12野外场景杀人,13竞技场获胜,14探险,15宝石合成升级,16野外场景杀怪,17野外场景杀精英怪,18龙技能升级,19鉴定装备,20培养坐骑,21融合血脉,22升级技能,23喝血瓶或血球,24竞技场结束(无论输赢),25修炼所领取术力,26塔罗牌翻牌,27收取果实,28龙祝福操作,29龙祭炼操作,30龙参悟操作,31挑战暗黑擂台(无论输赢)，32挑战魔王本(无论输赢),33挑战武神(无论输赢)）,1001所有技能升到指定等级,1002玩家升到指定等级,1003任意龙升到指定等级,1004加入联盟)"	"功能类(功能次数,任务计数上限值)"	"功能类(功能参数)"	"通关副本类(副本ID)"	"通过副本类(通关评分D=1,C=2,B=3,A=4,S=5)"	"升级龙技能(技能ID)"	"升级龙技能(技能等级)"	"7日任务职业限制(1=战士可接;2=弓手可接;4=法师可接;0或7=所有职业可接)"	"7日任务奖励1"	"7日任务奖励2"	"7日任务奖励3"	"7日任务奖励4"	"7日任务奖励5"	"7日任务奖励6"	"7日任务天(任务出现在第几天)"	"7日任务界面显示顺序"	"7日任务难度1=容易2=普通3=困难"	"任务图片"	""	
"20381"	"达到80级"	"3"	"1"	"114182"	"114182"	"114231"	"114231"	""	""	""	"1"	"80"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"2"	"1"	"3"	"dengluIcon,dl_baoshi"	""	
"20382"	"完成40环环任务"	"3"	"1"	"114185"	"114185"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"2"	"2"	"3"	"dengluIcon,day_wuqi"	""	
"20383"	"主角战力达到50000"	"3"	"1"	"114186"	"114186"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"2"	"3"	"2"	"dengluIcon,day_fenghuolun"	""	
"20384"	"拥有4个侍从"	"3"	"1"	"114188"	"114188"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"2"	"4"	"2"	"dengluIcon,dl_shediao"	""	
"20385"	"通关第二组最后一个剧情本"	"3"	"1"	"114189"	"114189"	"114231"	"114231"	""	""	""	""	""	""	"50006"	"1"	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"2"	"5"	"1"	"dengluIcon,day_lu"	""	
"20386"	"侍从总战力达到10000"	"3"	"1"	"114201"	"114201"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"2"	"6"	"1"	"dengluIcon,dl_baoshidai"	""	
"20387"	"坐骑总战力达到10000"	"3"	"1"	"114187"	"114187"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"2"	"7"	"1"	"dengluIcon,dl_jiezhi"	""	
"20390"	"达到90级"	"3"	"1"	"114190"	"114190"	"114231"	"114231"	""	""	""	"1"	"90"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"3"	"1"	"3"	"dengluIcon,dl_baoshi"	""	
"20391"	"拥有4个侍从"	"3"	"1"	"114194"	"114194"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"3"	"2"	"3"	"dengluIcon,day_wuqi"	""	
"20392"	"累计帮贡达到5000"	"3"	"1"	"114193"	"114193"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"3"	"3"	"2"	"dengluIcon,day_fenghuolun"	""	
"20394"	"宠物总战力达到10000"	"3"	"1"	"114196"	"114196"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"3"	"4"	"2"	"dengluIcon,dl_shediao"	""	
"20395"	"主角战力达到100000"	"3"	"1"	"114202"	"114202"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"3"	"5"	"1"	"dengluIcon,day_lu"	""	
"20396"	"任意挑战本通关16层"	"3"	"1"	"114202"	"114202"	"114231"	"114231"	""	""	""	"58"	"16"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"3"	"6"	"1"	"dengluIcon,dl_baoshidai"	""	
"20397"	"达到97级"	"3"	"1"	"114198"	"114198"	"114231"	"114231"	""	""	""	"1"	"97"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"4"	"1"	"3"	"dengluIcon,dl_baoshi"	""	
"20398"	"拥有5个侍从"	"3"	"1"	"114191"	"114191"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"4"	"2"	"3"	"dengluIcon,day_wuqi"	""	
"20399"	"通关第三组倒数第2个剧情本"	"3"	"1"	"114192"	"114192"	"114231"	"114231"	""	""	""	""	""	""	"50006"	"1"	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"4"	"3"	"2"	"dengluIcon,day_fenghuolun"	""	
"20400"	"背旗总战力达到10000"	"3"	"1"	"114200"	"114200"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"4"	"4"	"2"	"dengluIcon,dl_shediao"	""	
"20401"	"侍从总战力达到30000"	"3"	"1"	"114199"	"114199"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"4"	"5"	"1"	"dengluIcon,day_lu"	""	
"20407"	"达到101级"	"3"	"1"	"114207"	"114207"	"114231"	"114231"	""	""	""	"1"	"101"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"5"	"1"	"3"	"dengluIcon,dl_baoshi"	""	
"20408"	"拥有6个侍从"	"3"	"1"	"114209"	"114209"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"5"	"2"	"3"	"dengluIcon,day_wuqi"	""	
"20409"	"任意挑战本通关20层"	"3"	"1"	"114222"	"114222"	"114231"	"114231"	""	""	""	"58"	"20"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"5"	"3"	"2"	"dengluIcon,day_fenghuolun"	""	
"20410"	"坐骑总战力达到30000"	"3"	"1"	"114197"	"114197"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"5"	"4"	"2"	"dengluIcon,dl_shediao"	""	
"20411"	"主角战力达到150000"	"3"	"1"	"114208"	"114208"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"5"	"5"	"1"	"dengluIcon,day_lu"	""	
"20415"	"达到106级"	"3"	"1"	"114215"	"114215"	"114231"	"114231"	""	""	""	"1"	"106"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"6"	"1"	"3"	"dengluIcon,dl_baoshidai"	""	
"20417"	"累计帮贡达到12000"	"3"	"1"	"114206"	"114206"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"6"	"3"	"3"	"dengluIcon,dl_jiezhi"	""	
"20418"	"宠物总战力达到35000"	"3"	"1"	"114218"	"114218"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"6"	"4"	"2"	"dengluIcon,dl_baoshi"	""	
"20419"	"拥有7个侍从"	"3"	"1"	"114211"	"114211"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"6"	"5"	"1"	"dengluIcon,day_wuqi"	""	
"20423"	"达到110级"	"3"	"1"	"114223"	"114223"	"114231"	"114231"	""	""	""	"1"	"110"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"7"	"1"	"3"	"dengluIcon,day_fenghuolun"	""	
"20424"	"侍从总战力达到100000"	"3"	"1"	"114224"	"114224"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"7"	"2"	"3"	"dengluIcon,dl_shediao"	""	
"20425"	"任意挑战本通关25层"	"3"	"1"	"114229"	"114229"	"114231"	"114231"	""	""	""	"58"	"25"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"7"	"3"	"2"	"dengluIcon,day_lu"	""	
"20426"	"背旗总战力达到35000"	"3"	"1"	"114230"	"114230"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"7"	"4"	"2"	"dengluIcon,dl_baoshidai"	""	
"20427"	"主角战力达到200000"	"3"	"1"	"114226"	"114226"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"7"	"5"	"1"	"dengluIcon,dl_jiezhi"	""	
