"装备ID。第一位数字一定要保证是2，不能重复"	"装备名称"	"穿戴模型,ID规则是装备ID+标记位"	"默认升级等级"	"模板起始ID(EquipTemplateConfig)"	"可升星等级"	"套装ID"	"随机技能池"	"技能出现几率"	"斩位值"	"斩位强化值"	"精炼银币消耗"	"装备类型对应的底图"	"可开放宝石孔数目"	"是否为MF顶级进阶装备，橙装才填是"	"装备品质是否固定，全固定和半固定必须填是"	"时装翅膀是否可升级（只针对时装翅膀）"	"附加属性ID（对应ItemEquipExtend表）"	"是否可升级"	"是否可升星"	"是否可洗练"	"基础属性1"	"基础属性1数值"	"基础属性2"	"基础属性2数值"	""	""	
"201014"	"全真挂件II"	"204"	""	"11200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,yifu"	"0"	""	"1"	""	"204"	"0"	"1"	"0"	""	""	""	""	""	""	
"201021"	"少林武器II"	"201"	""	"10100"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,kuzi"	"0"	""	"1"	""	"201"	"0"	"1"	"0"	""	""	""	""	""	""	
"201022"	"少林头盔II"	"202"	""	"10200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,xianglian"	"0"	""	"1"	""	"202"	"0"	"1"	"0"	""	""	""	""	""	""	
"201023"	"少林衣服II"	"203"	""	"10300"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,ring"	"0"	""	"1"	""	"203"	"0"	"1"	"0"	""	""	""	""	""	""	
"201024"	"少林挂件II"	"204"	""	"11200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,xianglian"	"0"	""	"1"	""	"204"	"0"	"1"	"0"	""	""	""	""	""	""	
"201031"	"丐帮武器II"	"201"	""	"10100"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,sword"	"0"	""	""	""	"201"	"0"	"1"	"0"	""	""	""	""	""	""	
"201032"	"丐帮头盔II"	"202"	""	"10200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,bow"	"0"	""	""	""	"202"	"0"	"1"	"0"	""	""	""	""	""	""	
"201033"	"丐帮衣服II"	"203"	""	"10300"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,fazhang"	"0"	""	""	""	"203"	"0"	"1"	"0"	""	""	""	""	""	""	
"201034"	"丐帮挂件II"	"204"	""	"11200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,tou"	"0"	""	""	""	"204"	"0"	"1"	"0"	""	""	""	""	""	""	
"600010"	"喜结连理"	"2001"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	""	""	""	""	"0"	"0"	"0"	""	""	""	""	""	""	
"600020"	"百年好合"	"2002"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	""	""	""	""	"0"	"0"	"0"	""	""	""	""	""	""	
"600030"	"醉红尘"	"2003"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	""	""	""	""	"0"	"0"	"0"	""	""	""	""	""	""	
"600040"	"龙战八方"	"2004"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	""	""	""	""	"0"	"0"	"0"	""	""	""	""	""	""	
"600050"	"惊寒九天"	"2005"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	""	""	""	""	"0"	"0"	"0"	""	""	""	""	""	""	
"600060"	"预留时装6"	"2006"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	""	""	""	""	"0"	"0"	"0"	""	""	""	""	""	""	
"600070"	"韩服"	"2007"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	""	""	""	""	"0"	"0"	"0"	""	""	""	""	""	""	
"600080"	"时装8"	"2008"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	""	""	""	""	"0"	"0"	"0"	""	""	""	""	""	""	
"600090"	"时装9"	"2009"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	""	""	""	""	"0"	"0"	"0"	""	""	""	""	""	""	
"600100"	"时装10"	"2010"	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	""	""	""	""	"0"	"0"	"0"	""	""	""	""	""	""	
"21241004"	"豪侠宝甲-复用40金属性"	""	"12"	"1100400"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21241005"	"豪侠玉带-复用40金属性"	""	"12"	"1100500"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141101"	"秋水寒霜剑"	"800001"	"12"	"1300100"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141102"	"麒麟玉冠"	"800002"	"12"	"1300200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141103"	"战龙铠甲"	"800003"	"12"	"1300300"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141112"	"冷月寒星"	"800012"	"12"	"1301200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141201"	"踏月奔雷枪"	"800001"	"12"	"1300100"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141202"	"武神盔"	"800002"	"12"	"1300200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141203"	"战龙铠甲"	"800003"	"12"	"1300300"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141212"	"冷月寒星"	"800012"	"12"	"1301200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141301"	"邀云揽风琴"	"800001"	"12"	"1300100"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141302"	"徊歌梦带"	"800002"	"12"	"1300200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141303"	"战龙铠甲"	"800003"	"12"	"1300300"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21141312"	"冷月寒星"	"800012"	"12"	"1301200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21241101"	"秋水寒霜剑"	"800001"	"12"	"1100100"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21241102"	"麒麟玉冠"	"800002"	"12"	"1100200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21241201"	"踏月奔雷枪"	"800001"	"12"	"1100100"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21241202"	"武神盔"	"800002"	"12"	"1100200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21241301"	"邀云揽风琴"	"800001"	"12"	"1100100"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21241302"	"徊歌梦带"	"800002"	"12"	"1100200"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551101"	"破虚空·浊清剑"	"700001"	""	"1200100"	"15"	"15511"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551102"	"破虚空·焰戊头巾"	"700002"	""	"1200200"	"15"	"15511"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551103"	"破虚空·紫阳玄天衫"	"700003"	""	"1200300"	"15"	"15511"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551112"	"破虚空·瑞金鞘"	"700012"	""	"1201200"	"15"	"15511"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551201"	"自在天·止硝烟"	"700001"	""	"1200100"	"15"	"15512"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551202"	"自在天·辟砂盔"	"700002"	""	"1200200"	"15"	"15512"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551203"	"自在天·初晓战甲"	"700003"	""	"1200300"	"15"	"15512"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551212"	"自在天·狼烟囊"	"700012"	""	"1201200"	"15"	"15512"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551301"	"昆仑遗音·八方清音琴"	"700001"	""	"1200100"	"15"	"15513"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551302"	"昆仑遗音·清宵冠"	"700002"	""	"1200200"	"15"	"15513"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551303"	"昆仑遗音·月白松风袍"	"700003"	""	"1200300"	"15"	"15513"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21551312"	"昆仑遗音·火琼坠"	"700012"	""	"1201200"	"15"	"15513"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20111004"	"0级护肩-品质1套装1"	""	""	"11000400"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111005"	"0级腰带-品质1套装1"	""	""	"11000500"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111006"	"0级裤子-品质1套装1"	""	""	"11000600"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111007"	"0级靴子-品质1套装1"	""	""	"11000700"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111008"	"0级项链-品质1套装1"	""	""	"11000800"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111009"	"0级护腕-品质1套装1"	""	""	"11000900"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111010"	"0级左戒-品质1套装1"	""	""	"11001000"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111011"	"0级右戒-品质1套装1"	""	""	"11001100"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111101"	"0级转剑武器-品质1套装1"	"100001"	""	"11000100"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111102"	"0级转剑头盔-品质1套装1"	"100002"	""	"11000200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111103"	"0级转剑衣服-品质1套装1"	"100003"	""	"11000300"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111112"	"0级转剑饰品-品质1套装1"	"100012"	""	"11001200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111201"	"0级天威武器-品质1套装1"	"100001"	""	"11000100"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111202"	"0级天威头盔-品质1套装1"	"100002"	""	"11000200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111203"	"0级天威衣服-品质1套装1"	"100003"	""	"11000300"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111212"	"0级天威饰品-品质1套装1"	"100012"	""	"11001200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111301"	"0级云锦武器-品质1套装1"	"100001"	""	"11000100"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111302"	"0级云锦头盔-品质1套装1"	"100002"	""	"11000200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111303"	"0级云锦衣服-品质1套装1"	"100003"	""	"11000300"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20111312"	"0级云锦饰品-品质1套装1"	"100012"	""	"11001200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112004"	"0级护肩-品质1套装2"	""	""	"11000400"	"3"	"1120"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112005"	"0级腰带-品质1套装2"	""	""	"11000500"	"3"	"1120"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112006"	"0级裤子-品质1套装2"	""	""	"11000600"	"3"	"1120"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112007"	"0级靴子-品质1套装2"	""	""	"11000700"	"3"	"1120"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112008"	"0级项链-品质1套装2"	""	""	"11000800"	"3"	"1120"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112009"	"0级护腕-品质1套装2"	""	""	"11000900"	"3"	"1120"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112010"	"0级左戒-品质1套装2"	""	""	"11001000"	"3"	"1120"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112011"	"0级右戒-品质1套装2"	""	""	"11001100"	"3"	"1120"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112101"	"0级转剑武器-品质1套装2"	"100001"	""	"11000100"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112102"	"0级转剑头盔-品质1套装2"	"100002"	""	"11000200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112103"	"0级转剑衣服-品质1套装2"	"100003"	""	"11000300"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112112"	"0级转剑饰品-品质1套装2"	"100012"	""	"11001200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112201"	"0级天威武器-品质1套装2"	"100001"	""	"11000100"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112202"	"0级天威头盔-品质1套装2"	"100002"	""	"11000200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112203"	"0级天威衣服-品质1套装2"	"100003"	""	"11000300"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112212"	"0级天威饰品-品质1套装2"	"100012"	""	"11001200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112301"	"0级云锦武器-品质1套装2"	"100001"	""	"11000100"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112302"	"0级云锦头盔-品质1套装2"	"100002"	""	"11000200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112303"	"0级云锦衣服-品质1套装2"	"100003"	""	"11000300"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20112312"	"0级云锦饰品-品质1套装2"	"100012"	""	"11001200"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"1"	"0"	""	""	""	""	""	""	
"20121004"	"0级护肩-品质2套装1"	""	""	"12000400"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121005"	"0级腰带-品质2套装1"	""	""	"12000500"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121006"	"0级裤子-品质2套装1"	""	""	"12000600"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121007"	"0级靴子-品质2套装1"	""	""	"12000700"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121008"	"0级项链-品质2套装1"	""	""	"12000800"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121009"	"0级护腕-品质2套装1"	""	""	"12000900"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121010"	"0级左戒-品质2套装1"	""	""	"12001000"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121011"	"0级右戒-品质2套装1"	""	""	"12001100"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121101"	"0级转剑武器-品质2套装1"	"100001"	""	"12000100"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121102"	"0级转剑头盔-品质2套装1"	"100002"	""	"12000200"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121103"	"0级转剑衣服-品质2套装1"	"100003"	""	"12000300"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121112"	"0级转剑饰品-品质2套装1"	"100012"	""	"12001200"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121201"	"0级天威武器-品质2套装1"	"100001"	""	"12000100"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121202"	"0级天威头盔-品质2套装1"	"100002"	""	"12000200"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121203"	"0级天威衣服-品质2套装1"	"100003"	""	"12000300"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121212"	"0级天威饰品-品质2套装1"	"100012"	""	"12001200"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121301"	"0级云锦武器-品质2套装1"	"100001"	""	"12000100"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121302"	"0级云锦头盔-品质2套装1"	"100002"	""	"12000200"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121303"	"0级云锦衣服-品质2套装1"	"100003"	""	"12000300"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20121312"	"0级云锦饰品-品质2套装1"	"100012"	""	"12001200"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122004"	"0级护肩-品质2套装2"	""	""	"12000400"	"6"	"1220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122005"	"0级腰带-品质2套装2"	""	""	"12000500"	"6"	"1220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122006"	"0级裤子-品质2套装2"	""	""	"12000600"	"6"	"1220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122007"	"0级靴子-品质2套装2"	""	""	"12000700"	"6"	"1220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122008"	"0级项链-品质2套装2"	""	""	"12000800"	"6"	"1220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122009"	"0级护腕-品质2套装2"	""	""	"12000900"	"6"	"1220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122010"	"0级左戒-品质2套装2"	""	""	"12001000"	"6"	"1220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122011"	"0级右戒-品质2套装2"	""	""	"12001100"	"6"	"1220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122101"	"0级转剑武器-品质2套装2"	"100001"	""	"12000100"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122102"	"0级转剑头盔-品质2套装2"	"100002"	""	"12000200"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122103"	"0级转剑衣服-品质2套装2"	"100003"	""	"12000300"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122112"	"0级转剑饰品-品质2套装2"	"100012"	""	"12001200"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122201"	"0级天威武器-品质2套装2"	"100001"	""	"12000100"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122202"	"0级天威头盔-品质2套装2"	"100002"	""	"12000200"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20122203"	"0级天威衣服-品质2套装2"	"100003"	""	"12000300"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
