"ID第1位：注灵位ID，1头2胸3脚4武器第2位：预留，填0第3，4，5,位：等级，每阶段单独计算"	"注灵位品质（1=绿，2=蓝，3=紫，4=金，5=橙）实质上是阶段，每阶段等级单独结算"	"注灵所需材料ID"	"单次注灵所需材料数量（不能升级时必须为0）"	"注灵所需总材料数量（不能升级时必须为0）"	"注灵增加属性（填总属性值，而非差值）（属性ID，属性值）"	
"10096"	"2"	"100121"	"5"	"5"	"0,384405,1,7688,8,6864,12,6864,14,6864"	
"10097"	"2"	"100121"	"5"	"5"	"0,388825,1,7776,8,6943,12,6943,14,6943"	
"10098"	"2"	"100121"	"5"	"5"	"0,393244,1,7864,8,7022,12,7022,14,7022"	
"10099"	"2"	"100121"	"5"	"5"	"0,397664,1,7953,8,7101,12,7101,14,7101"	
"10100"	"2"	"100121"	"5"	"5"	"0,402083,1,8041,8,7180,12,7180,14,7180"	
"10101"	"3"	"100131"	"3"	"3"	"0,406503,1,8130,8,7258,12,7258,14,7258"	
"10102"	"3"	"100131"	"3"	"3"	"0,415744,1,8314,8,7424,12,7424,14,7424"	
"10103"	"3"	"100131"	"3"	"3"	"0,424985,1,8499,8,7589,12,7589,14,7589"	
"10104"	"3"	"100131"	"3"	"3"	"0,434226,1,8684,8,7754,12,7754,14,7754"	
"10105"	"3"	"100131"	"3"	"3"	"0,443467,1,8869,8,7919,12,7919,14,7919"	
"10106"	"3"	"100131"	"3"	"3"	"0,452708,1,9054,8,8084,12,8084,14,8084"	
"10107"	"3"	"100131"	"3"	"3"	"0,461949,1,9238,8,8249,12,8249,14,8249"	
"10108"	"3"	"100131"	"3"	"3"	"0,471190,1,9423,8,8414,12,8414,14,8414"	
"10109"	"3"	"100131"	"3"	"3"	"0,480431,1,9608,8,8579,12,8579,14,8579"	
"10110"	"3"	"100131"	"3"	"3"	"0,489672,1,9793,8,8744,12,8744,14,8744"	
"10111"	"3"	"100131"	"3"	"3"	"0,498913,1,9978,8,8909,12,8909,14,8909"	
"10112"	"3"	"100131"	"3"	"3"	"0,508154,1,10163,8,9074,12,9074,14,9074"	
"10113"	"3"	"100131"	"3"	"3"	"0,517395,1,10347,8,9239,12,9239,14,9239"	
"10114"	"3"	"100131"	"3"	"3"	"0,526636,1,10532,8,9404,12,9404,14,9404"	
"10115"	"3"	"100131"	"4"	"4"	"0,535877,1,10717,8,9569,12,9569,14,9569"	
"10116"	"3"	"100131"	"4"	"4"	"0,545118,1,10902,8,9734,12,9734,14,9734"	
"10117"	"3"	"100131"	"4"	"4"	"0,554359,1,11087,8,9899,12,9899,14,9899"	
"10118"	"3"	"100131"	"4"	"4"	"0,563600,1,11272,8,10064,12,10064,14,10064"	
"10119"	"3"	"100131"	"4"	"4"	"0,572841,1,11456,8,10229,12,10229,14,10229"	
"10120"	"3"	"100131"	"4"	"4"	"0,582082,1,11641,8,10394,12,10394,14,10394"	
"10121"	"3"	"100131"	"4"	"4"	"0,591323,1,11826,8,10559,12,10559,14,10559"	
"10122"	"3"	"100131"	"4"	"4"	"0,600564,1,12011,8,10724,12,10724,14,10724"	
"10123"	"3"	"100131"	"4"	"4"	"0,609805,1,12196,8,10889,12,10889,14,10889"	
"10124"	"3"	"100131"	"4"	"4"	"0,619046,1,12380,8,11054,12,11054,14,11054"	
"10125"	"3"	"100131"	"4"	"4"	"0,628287,1,12565,8,11219,12,11219,14,11219"	
"10126"	"3"	"100131"	"4"	"4"	"0,637528,1,12750,8,11384,12,11384,14,11384"	
"10127"	"3"	"100131"	"4"	"4"	"0,646769,1,12935,8,11549,12,11549,14,11549"	
"10128"	"3"	"100131"	"5"	"5"	"0,656010,1,13120,8,11714,12,11714,14,11714"	
"10129"	"3"	"100131"	"5"	"5"	"0,665251,1,13305,8,11879,12,11879,14,11879"	
"10130"	"3"	"100131"	"5"	"5"	"0,674492,1,13489,8,12044,12,12044,14,12044"	
"10131"	"3"	"100131"	"5"	"5"	"0,683733,1,13674,8,12209,12,12209,14,12209"	
"10132"	"3"	"100131"	"5"	"5"	"0,692974,1,13859,8,12374,12,12374,14,12374"	
"10133"	"3"	"100131"	"5"	"5"	"0,702215,1,14044,8,12539,12,12539,14,12539"	
"10134"	"3"	"100131"	"5"	"5"	"0,711456,1,14229,8,12704,12,12704,14,12704"	
"10135"	"3"	"100131"	"5"	"5"	"0,720697,1,14413,8,12869,12,12869,14,12869"	
"10136"	"3"	"100131"	"5"	"5"	"0,729938,1,14598,8,13034,12,13034,14,13034"	
"10137"	"3"	"100131"	"5"	"5"	"0,739179,1,14783,8,13199,12,13199,14,13199"	
"10138"	"3"	"100131"	"5"	"5"	"0,748420,1,14968,8,13364,12,13364,14,13364"	
"10139"	"3"	"100131"	"6"	"6"	"0,757661,1,15153,8,13529,12,13529,14,13529"	
"10140"	"3"	"100131"	"6"	"6"	"0,766902,1,15338,8,13694,12,13694,14,13694"	
"10141"	"3"	"100131"	"6"	"6"	"0,776143,1,15522,8,13859,12,13859,14,13859"	
"10142"	"3"	"100131"	"6"	"6"	"0,785384,1,15707,8,14024,12,14024,14,14024"	
"10143"	"3"	"100131"	"6"	"6"	"0,794625,1,15892,8,14189,12,14189,14,14189"	
"10144"	"3"	"100131"	"6"	"6"	"0,803866,1,16077,8,14354,12,14354,14,14354"	
"10145"	"3"	"100131"	"6"	"6"	"0,813107,1,16262,8,14519,12,14519,14,14519"	
"10146"	"3"	"100131"	"6"	"6"	"0,822348,1,16446,8,14684,12,14684,14,14684"	
"10147"	"3"	"100131"	"7"	"7"	"0,831589,1,16631,8,14849,12,14849,14,14849"	
"10148"	"3"	"100131"	"7"	"7"	"0,840830,1,16816,8,15014,12,15014,14,15014"	
"10149"	"3"	"100131"	"7"	"7"	"0,850071,1,17001,8,15179,12,15179,14,15179"	
"10150"	"3"	"100131"	"7"	"7"	"0,859312,1,17186,8,15344,12,15344,14,15344"	
"10151"	"4"	"100141"	"3"	"3"	"0,868553,1,17371,8,15509,12,15509,14,15509"	
"10152"	"4"	"100141"	"3"	"3"	"0,881661,1,17633,8,15743,12,15743,14,15743"	
"10153"	"4"	"100141"	"3"	"3"	"0,894769,1,17895,8,15978,12,15978,14,15978"	
"10154"	"4"	"100141"	"3"	"3"	"0,907877,1,18157,8,16212,12,16212,14,16212"	
"10155"	"4"	"100141"	"4"	"4"	"0,920986,1,18419,8,16446,12,16446,14,16446"	
"10156"	"4"	"100141"	"4"	"4"	"0,934094,1,18681,8,16680,12,16680,14,16680"	
"10157"	"4"	"100141"	"4"	"4"	"0,947202,1,18944,8,16914,12,16914,14,16914"	
"10158"	"4"	"100141"	"4"	"4"	"0,960310,1,19206,8,17148,12,17148,14,17148"	
"10159"	"4"	"100141"	"4"	"4"	"0,973418,1,19468,8,17382,12,17382,14,17382"	
"10160"	"4"	"100141"	"4"	"4"	"0,986526,1,19730,8,17616,12,17616,14,17616"	
"10161"	"4"	"100141"	"4"	"4"	"0,999634,1,19992,8,17850,12,17850,14,17850"	
"10162"	"4"	"100141"	"4"	"4"	"0,1012743,1,20254,8,18084,12,18084,14,18084"	
"10163"	"4"	"100141"	"4"	"4"	"0,1025851,1,20517,8,18318,12,18318,14,18318"	
"10164"	"4"	"100141"	"4"	"4"	"0,1038959,1,20779,8,18552,12,18552,14,18552"	
"10165"	"4"	"100141"	"4"	"4"	"0,1052067,1,21041,8,18786,12,18786,14,18786"	
"10166"	"4"	"100141"	"4"	"4"	"0,1065175,1,21303,8,19020,12,19020,14,19020"	
"10167"	"4"	"100141"	"4"	"4"	"0,1078283,1,21565,8,19255,12,19255,14,19255"	
"10168"	"4"	"100141"	"5"	"5"	"0,1091392,1,21827,8,19489,12,19489,14,19489"	
"10169"	"4"	"100141"	"5"	"5"	"0,1104500,1,22090,8,19723,12,19723,14,19723"	
"10170"	"4"	"100141"	"5"	"5"	"0,1117608,1,22352,8,19957,12,19957,14,19957"	
"10171"	"4"	"100141"	"5"	"5"	"0,1130716,1,22614,8,20191,12,20191,14,20191"	
"10172"	"4"	"100141"	"5"	"5"	"0,1143824,1,22876,8,20425,12,20425,14,20425"	
"10173"	"4"	"100141"	"5"	"5"	"0,1156932,1,23138,8,20659,12,20659,14,20659"	
"10174"	"4"	"100141"	"5"	"5"	"0,1170040,1,23400,8,20893,12,20893,14,20893"	
"10175"	"4"	"100141"	"5"	"5"	"0,1183149,1,23662,8,21127,12,21127,14,21127"	
"10176"	"4"	"100141"	"5"	"5"	"0,1196257,1,23925,8,21361,12,21361,14,21361"	
"10177"	"4"	"100141"	"5"	"5"	"0,1209365,1,24187,8,21595,12,21595,14,21595"	
"10178"	"4"	"100141"	"5"	"5"	"0,1222473,1,24449,8,21829,12,21829,14,21829"	
"10179"	"4"	"100141"	"6"	"6"	"0,1235581,1,24711,8,22063,12,22063,14,22063"	
"10180"	"4"	"100141"	"6"	"6"	"0,1248689,1,24973,8,22298,12,22298,14,22298"	
"10181"	"4"	"100141"	"6"	"6"	"0,1261798,1,25235,8,22532,12,22532,14,22532"	
"10182"	"4"	"100141"	"6"	"6"	"0,1274906,1,25498,8,22766,12,22766,14,22766"	
"10183"	"4"	"100141"	"6"	"6"	"0,1288014,1,25760,8,23000,12,23000,14,23000"	
"10184"	"4"	"100141"	"6"	"6"	"0,1301122,1,26022,8,23234,12,23234,14,23234"	
"10185"	"4"	"100141"	"6"	"6"	"0,1314230,1,26284,8,23468,12,23468,14,23468"	
"10186"	"4"	"100141"	"6"	"6"	"0,1327338,1,26546,8,23702,12,23702,14,23702"	
"10187"	"4"	"100141"	"7"	"7"	"0,1340446,1,26808,8,23936,12,23936,14,23936"	
"10188"	"4"	"100141"	"7"	"7"	"0,1353555,1,27071,8,24170,12,24170,14,24170"	
"10189"	"4"	"100141"	"7"	"7"	"0,1366663,1,27333,8,24404,12,24404,14,24404"	
"10190"	"4"	"100141"	"7"	"7"	"0,1379771,1,27595,8,24638,12,24638,14,24638"	
"10191"	"4"	"100141"	"7"	"7"	"0,1392879,1,27857,8,24872,12,24872,14,24872"	
"10192"	"4"	"100141"	"7"	"7"	"0,1405987,1,28119,8,25106,12,25106,14,25106"	
"10193"	"4"	"100141"	"7"	"7"	"0,1419095,1,28381,8,25340,12,25340,14,25340"	
"10194"	"4"	"100141"	"7"	"7"	"0,1432204,1,28644,8,25575,12,25575,14,25575"	
"10195"	"4"	"100141"	"8"	"8"	"0,1445312,1,28906,8,25809,12,25809,14,25809"	
"10196"	"4"	"100141"	"8"	"8"	"0,1458420,1,29168,8,26043,12,26043,14,26043"	
"10197"	"4"	"100141"	"8"	"8"	"0,1471528,1,29430,8,26277,12,26277,14,26277"	
"10198"	"4"	"100141"	"8"	"8"	"0,1484636,1,29692,8,26511,12,26511,14,26511"	
"10199"	"4"	"100141"	"8"	"8"	"0,1497744,1,29954,8,26745,12,26745,14,26745"	
"10200"	"4"	"100141"	"8"	"8"	"0,1510852,1,30217,8,26979,12,26979,14,26979"	
"10201"	"5"	"100151"	"3"	"3"	"0,1523961,1,30479,8,27213,12,27213,14,27213"	
"10202"	"5"	"100151"	"4"	"4"	"0,1536014,1,30720,8,27428,12,27428,14,27428"	
"10203"	"5"	"100151"	"4"	"4"	"0,1548068,1,30961,8,27644,12,27644,14,27644"	
"10204"	"5"	"100151"	"4"	"4"	"0,1560121,1,31202,8,27859,12,27859,14,27859"	
"10205"	"5"	"100151"	"4"	"4"	"0,1572175,1,31443,8,28074,12,28074,14,28074"	
"10206"	"5"	"100151"	"4"	"4"	"0,1584228,1,31684,8,28289,12,28289,14,28289"	
"10207"	"5"	"100151"	"4"	"4"	"0,1596281,1,31925,8,28505,12,28505,14,28505"	
"10208"	"5"	"100151"	"4"	"4"	"0,1608335,1,32166,8,28720,12,28720,14,28720"	
"10209"	"5"	"100151"	"4"	"4"	"0,1620388,1,32407,8,28935,12,28935,14,28935"	
"10210"	"5"	"100151"	"4"	"4"	"0,1632442,1,32648,8,29150,12,29150,14,29150"	
"10211"	"5"	"100151"	"4"	"4"	"0,1644495,1,32889,8,29365,12,29365,14,29365"	
"10212"	"5"	"100151"	"4"	"4"	"0,1656549,1,33130,8,29581,12,29581,14,29581"	
"10213"	"5"	"100151"	"4"	"4"	"0,1668602,1,33372,8,29796,12,29796,14,29796"	
"10214"	"5"	"100151"	"4"	"4"	"0,1680656,1,33613,8,30011,12,30011,14,30011"	
"10215"	"5"	"100151"	"5"	"5"	"0,1692709,1,33854,8,30226,12,30226,14,30226"	
"10216"	"5"	"100151"	"5"	"5"	"0,1704763,1,34095,8,30442,12,30442,14,30442"	
"10217"	"5"	"100151"	"5"	"5"	"0,1716816,1,34336,8,30657,12,30657,14,30657"	
"10218"	"5"	"100151"	"5"	"5"	"0,1728870,1,34577,8,30872,12,30872,14,30872"	
"10219"	"5"	"100151"	"5"	"5"	"0,1740923,1,34818,8,31087,12,31087,14,31087"	
"10220"	"5"	"100151"	"5"	"5"	"0,1752977,1,35059,8,31303,12,31303,14,31303"	
"10221"	"5"	"100151"	"5"	"5"	"0,1765030,1,35300,8,31518,12,31518,14,31518"	
"10222"	"5"	"100151"	"5"	"5"	"0,1777084,1,35541,8,31733,12,31733,14,31733"	
"10223"	"5"	"100151"	"5"	"5"	"0,1789137,1,35782,8,31948,12,31948,14,31948"	
"10224"	"5"	"100151"	"5"	"5"	"0,1801191,1,36023,8,32164,12,32164,14,32164"	
"10225"	"5"	"100151"	"5"	"5"	"0,1813244,1,36264,8,32379,12,32379,14,32379"	
"10226"	"5"	"100151"	"6"	"6"	"0,1825298,1,36505,8,32594,12,32594,14,32594"	
"10227"	"5"	"100151"	"6"	"6"	"0,1837351,1,36747,8,32809,12,32809,14,32809"	
"10228"	"5"	"100151"	"6"	"6"	"0,1849404,1,36988,8,33025,12,33025,14,33025"	
"10229"	"5"	"100151"	"6"	"6"	"0,1861458,1,37229,8,33240,12,33240,14,33240"	
"10230"	"5"	"100151"	"6"	"6"	"0,1873511,1,37470,8,33455,12,33455,14,33455"	
"10231"	"5"	"100151"	"6"	"6"	"0,1885565,1,37711,8,33670,12,33670,14,33670"	
"10232"	"5"	"100151"	"6"	"6"	"0,1897618,1,37952,8,33886,12,33886,14,33886"	
"10233"	"5"	"100151"	"6"	"6"	"0,1909672,1,38193,8,34101,12,34101,14,34101"	
"10234"	"5"	"100151"	"7"	"7"	"0,1921725,1,38434,8,34316,12,34316,14,34316"	
"10235"	"5"	"100151"	"7"	"7"	"0,1933779,1,38675,8,34531,12,34531,14,34531"	
"10236"	"5"	"100151"	"7"	"7"	"0,1945832,1,38916,8,34747,12,34747,14,34747"	
"10237"	"5"	"100151"	"7"	"7"	"0,1957886,1,39157,8,34962,12,34962,14,34962"	
"10238"	"5"	"100151"	"7"	"7"	"0,1969939,1,39398,8,35177,12,35177,14,35177"	
"10239"	"5"	"100151"	"7"	"7"	"0,1981993,1,39639,8,35392,12,35392,14,35392"	
"10240"	"5"	"100151"	"7"	"7"	"0,1994046,1,39880,8,35607,12,35607,14,35607"	
"10241"	"5"	"100151"	"7"	"7"	"0,2006100,1,40122,8,35823,12,35823,14,35823"	
"10242"	"5"	"100151"	"8"	"8"	"0,2018153,1,40363,8,36038,12,36038,14,36038"	
"10243"	"5"	"100151"	"8"	"8"	"0,2030207,1,40604,8,36253,12,36253,14,36253"	
"10244"	"5"	"100151"	"8"	"8"	"0,2042260,1,40845,8,36468,12,36468,14,36468"	
"10245"	"5"	"100151"	"8"	"8"	"0,2054314,1,41086,8,36684,12,36684,14,36684"	
"10246"	"5"	"100151"	"8"	"8"	"0,2066367,1,41327,8,36899,12,36899,14,36899"	
"10247"	"5"	"100151"	"8"	"8"	"0,2078421,1,41568,8,37114,12,37114,14,37114"	
"10248"	"5"	"100151"	"9"	"9"	"0,2090474,1,41809,8,37329,12,37329,14,37329"	
"10249"	"5"	"100151"	"9"	"9"	"0,2102527,1,42050,8,37545,12,37545,14,37545"	
"10250"	"5"	"100151"	"0"	"0"	"0,2114581,1,42291,8,37760,12,37760,14,37760"	
"20001"	"1"	"100112"	"1"	"1"	"2,0,1,0,10,0,14,0,16,0"	
"20002"	"1"	"100112"	"2"	"2"	"2,118,1,119,10,65,14,65,16,65"	
"20003"	"1"	"100112"	"2"	"2"	"2,237,1,239,10,131,14,131,16,131"	
"20004"	"1"	"100112"	"2"	"2"	"2,355,1,358,10,197,14,197,16,197"	
"20005"	"1"	"100112"	"2"	"2"	"2,474,1,478,10,263,14,263,16,263"	
"20006"	"1"	"100112"	"2"	"2"	"2,593,1,597,10,329,14,329,16,329"	
"20007"	"1"	"100112"	"2"	"2"	"2,711,1,717,10,395,14,395,16,395"	
"20008"	"1"	"100112"	"2"	"2"	"2,830,1,836,10,461,14,461,16,461"	
"20009"	"1"	"100112"	"2"	"2"	"2,949,1,956,10,527,14,527,16,527"	
"20010"	"1"	"100112"	"2"	"2"	"2,1067,1,1075,10,593,14,593,16,593"	
"20011"	"1"	"100112"	"2"	"2"	"2,1186,1,1195,10,659,14,659,16,659"	
"20012"	"1"	"100112"	"2"	"2"	"2,1304,1,1314,10,724,14,724,16,724"	
"20013"	"1"	"100112"	"2"	"2"	"2,1423,1,1434,10,790,14,790,16,790"	
"20014"	"1"	"100112"	"2"	"2"	"2,1542,1,1553,10,856,14,856,16,856"	
"20015"	"1"	"100112"	"2"	"2"	"2,1660,1,1673,10,922,14,922,16,922"	
"20016"	"1"	"100112"	"2"	"2"	"2,1779,1,1792,10,988,14,988,16,988"	
"20017"	"1"	"100112"	"2"	"2"	"2,1898,1,1912,10,1054,14,1054,16,1054"	
"20018"	"1"	"100112"	"2"	"2"	"2,2016,1,2031,10,1120,14,1120,16,1120"	
"20019"	"1"	"100112"	"2"	"2"	"2,2135,1,2151,10,1186,14,1186,16,1186"	
"20020"	"1"	"100112"	"2"	"2"	"2,2253,1,2270,10,1252,14,1252,16,1252"	
