"波数"	"生命比例"	"物理攻击力比例"	"物理防御力比例"	"魔法攻击力比例"	"魔法防御力比例"	"命中值比例"	"闪避值比例"	"暴击值比例"	"韧性值比例"	"穿透值比例"	"格挡值比例"	"暴击伤害值比例"	"暴击抵抗值比例"	"火抗比例"	"冰抗比例"	"电抗比例"	"毒抗比例"	
"27"	"6,1,8.34"	"8,1,5.81"	"10,1,1"	"9,1,5.81"	"11,1,1"	"12,1,2.77"	"14,1,2.77"	"16,1,2.77"	"18,1,2.77"	"20,1,2.77"	"22,1,2.77"	"24,1,2.77"	"26,1,2.77"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"28"	"6,1,9.05"	"8,1,6.21"	"10,1,1"	"9,1,6.21"	"11,1,1"	"12,1,2.88"	"14,1,2.88"	"16,1,2.88"	"18,1,2.88"	"20,1,2.88"	"22,1,2.88"	"24,1,2.88"	"26,1,2.88"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"29"	"6,1,9.82"	"8,1,6.65"	"10,1,1"	"9,1,6.65"	"11,1,1"	"12,1,3"	"14,1,3"	"16,1,3"	"18,1,3"	"20,1,3"	"22,1,3"	"24,1,3"	"26,1,3"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"30"	"6,1,10.65"	"8,1,7.11"	"10,1,1"	"9,1,7.11"	"11,1,1"	"12,1,3.12"	"14,1,3.12"	"16,1,3.12"	"18,1,3.12"	"20,1,3.12"	"22,1,3.12"	"24,1,3.12"	"26,1,3.12"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"31"	"6,1,11.56"	"8,1,7.61"	"10,1,1"	"9,1,7.61"	"11,1,1"	"12,1,3.24"	"14,1,3.24"	"16,1,3.24"	"18,1,3.24"	"20,1,3.24"	"22,1,3.24"	"24,1,3.24"	"26,1,3.24"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"32"	"6,1,12.54"	"8,1,8.15"	"10,1,1"	"9,1,8.15"	"11,1,1"	"12,1,3.37"	"14,1,3.37"	"16,1,3.37"	"18,1,3.37"	"20,1,3.37"	"22,1,3.37"	"24,1,3.37"	"26,1,3.37"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"33"	"6,1,13.61"	"8,1,8.72"	"10,1,1"	"9,1,8.72"	"11,1,1"	"12,1,3.51"	"14,1,3.51"	"16,1,3.51"	"18,1,3.51"	"20,1,3.51"	"22,1,3.51"	"24,1,3.51"	"26,1,3.51"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"34"	"6,1,14.76"	"8,1,9.33"	"10,1,1"	"9,1,9.33"	"11,1,1"	"12,1,3.65"	"14,1,3.65"	"16,1,3.65"	"18,1,3.65"	"20,1,3.65"	"22,1,3.65"	"24,1,3.65"	"26,1,3.65"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"35"	"6,1,16.02"	"8,1,9.98"	"10,1,1"	"9,1,9.98"	"11,1,1"	"12,1,3.79"	"14,1,3.79"	"16,1,3.79"	"18,1,3.79"	"20,1,3.79"	"22,1,3.79"	"24,1,3.79"	"26,1,3.79"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"36"	"6,1,17.38"	"8,1,10.68"	"10,1,1"	"9,1,10.68"	"11,1,1"	"12,1,3.95"	"14,1,3.95"	"16,1,3.95"	"18,1,3.95"	"20,1,3.95"	"22,1,3.95"	"24,1,3.95"	"26,1,3.95"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"37"	"6,1,18.86"	"8,1,11.42"	"10,1,1"	"9,1,11.42"	"11,1,1"	"12,1,4.1"	"14,1,4.1"	"16,1,4.1"	"18,1,4.1"	"20,1,4.1"	"22,1,4.1"	"24,1,4.1"	"26,1,4.1"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"38"	"6,1,20.46"	"8,1,12.22"	"10,1,1"	"9,1,12.22"	"11,1,1"	"12,1,4.27"	"14,1,4.27"	"16,1,4.27"	"18,1,4.27"	"20,1,4.27"	"22,1,4.27"	"24,1,4.27"	"26,1,4.27"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"39"	"6,1,22.2"	"8,1,13.08"	"10,1,1"	"9,1,13.08"	"11,1,1"	"12,1,4.44"	"14,1,4.44"	"16,1,4.44"	"18,1,4.44"	"20,1,4.44"	"22,1,4.44"	"24,1,4.44"	"26,1,4.44"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"40"	"6,1,24.09"	"8,1,13.99"	"10,1,1"	"9,1,13.99"	"11,1,1"	"12,1,4.62"	"14,1,4.62"	"16,1,4.62"	"18,1,4.62"	"20,1,4.62"	"22,1,4.62"	"24,1,4.62"	"26,1,4.62"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"41"	"6,1,26.13"	"8,1,14.97"	"10,1,1"	"9,1,14.97"	"11,1,1"	"12,1,4.8"	"14,1,4.8"	"16,1,4.8"	"18,1,4.8"	"20,1,4.8"	"22,1,4.8"	"24,1,4.8"	"26,1,4.8"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"42"	"6,1,28.35"	"8,1,16.02"	"10,1,1"	"9,1,16.02"	"11,1,1"	"12,1,4.99"	"14,1,4.99"	"16,1,4.99"	"18,1,4.99"	"20,1,4.99"	"22,1,4.99"	"24,1,4.99"	"26,1,4.99"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"43"	"6,1,30.76"	"8,1,17.14"	"10,1,1"	"9,1,17.14"	"11,1,1"	"12,1,5.19"	"14,1,5.19"	"16,1,5.19"	"18,1,5.19"	"20,1,5.19"	"22,1,5.19"	"24,1,5.19"	"26,1,5.19"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"44"	"6,1,33.38"	"8,1,18.34"	"10,1,1"	"9,1,18.34"	"11,1,1"	"12,1,5.4"	"14,1,5.4"	"16,1,5.4"	"18,1,5.4"	"20,1,5.4"	"22,1,5.4"	"24,1,5.4"	"26,1,5.4"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"45"	"6,1,36.22"	"8,1,19.63"	"10,1,1"	"9,1,19.63"	"11,1,1"	"12,1,5.62"	"14,1,5.62"	"16,1,5.62"	"18,1,5.62"	"20,1,5.62"	"22,1,5.62"	"24,1,5.62"	"26,1,5.62"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"46"	"6,1,39.3"	"8,1,21"	"10,1,1"	"9,1,21"	"11,1,1"	"12,1,5.84"	"14,1,5.84"	"16,1,5.84"	"18,1,5.84"	"20,1,5.84"	"22,1,5.84"	"24,1,5.84"	"26,1,5.84"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"47"	"6,1,42.64"	"8,1,22.47"	"10,1,1"	"9,1,22.47"	"11,1,1"	"12,1,6.07"	"14,1,6.07"	"16,1,6.07"	"18,1,6.07"	"20,1,6.07"	"22,1,6.07"	"24,1,6.07"	"26,1,6.07"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"48"	"6,1,46.26"	"8,1,24.05"	"10,1,1"	"9,1,24.05"	"11,1,1"	"12,1,6.32"	"14,1,6.32"	"16,1,6.32"	"18,1,6.32"	"20,1,6.32"	"22,1,6.32"	"24,1,6.32"	"26,1,6.32"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"49"	"6,1,50.19"	"8,1,25.73"	"10,1,1"	"9,1,25.73"	"11,1,1"	"12,1,6.57"	"14,1,6.57"	"16,1,6.57"	"18,1,6.57"	"20,1,6.57"	"22,1,6.57"	"24,1,6.57"	"26,1,6.57"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"50"	"6,1,54.46"	"8,1,27.53"	"10,1,1"	"9,1,27.53"	"11,1,1"	"12,1,6.83"	"14,1,6.83"	"16,1,6.83"	"18,1,6.83"	"20,1,6.83"	"22,1,6.83"	"24,1,6.83"	"26,1,6.83"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
