"次数(最大127次，需要扩充找程序)"	"家园任务购买次数花费"	"家园任务购买次数花费"	"魔王本购买次数花费"	"华山论剑购买次数花费"	"单人首领购买次数花费"	"龙域守护购买次数花费"	"华山论剑购买次数花费道具"	"单人首领购买次数花费道具"	"叱咤王府购买次数花费道具"	"叱咤王府购买次数花费道具"	"叱咤王府购买次数花费道具"	"叱咤王府购买次数花费道具"	"跨服组队200购买次数花费道具"	"跨服组队240购买次数花费道具"	"跨服组队280购买次数花费道具"	"跨服组队300购买次数花费道具"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"54"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"55"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"56"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"57"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"58"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"59"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"60"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"61"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"62"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"63"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"64"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"65"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"66"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"67"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"68"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"69"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"71"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"72"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"73"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"74"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"75"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"76"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"77"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"78"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"79"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"82"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"83"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"84"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"87"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"88"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"89"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"90"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"91"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"92"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"93"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"94"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"95"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"96"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"97"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"98"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"99"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
