"ID(侍从ID的100倍加职责ID)"	"策划备注"	"攻击距离，估量值因算法原因，这个估量值应比射程最近的技能还要更近一些，近战少0.5以上，远程少1以上"	"治疗距离估量值"	"索敌距离"	"避战血量"	"活动范围半径"	"视野范围"	
"10300601"	"钟年年AI1"	"4.000000"	"4.000000"	"20.000000"	"0.250000"	"10.000000"	"30.000000"	
"10300602"	"钟年年AI2"	"4.000000"	"4.000000"	"20.000000"	"0.250000"	"10.000000"	"30.000000"	
"10300603"	"钟年年AI3"	"4.000000"	"4.000000"	"20.000000"	"0.250000"	"10.000000"	"30.000000"	
"10300701"	"恒远AI1"	"11.000000"	"11.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10300702"	"恒远AI2"	"11.000000"	"11.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10300703"	"恒远AI3"	"11.000000"	"11.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10300801"	"冯婷AI1"	"1.800000"	"1.800000"	"20.000000"	"0.250000"	"10.000000"	"30.000000"	
"10300802"	"冯婷AI2"	"1.800000"	"1.800000"	"20.000000"	"0.250000"	"10.000000"	"30.000000"	
"10300803"	"冯婷AI3"	"1.800000"	"1.800000"	"20.000000"	"0.250000"	"10.000000"	"30.000000"	
"10200901"	"阿蛮AI1"	"1.800000"	"1.800000"	"20.000000"	"0.100000"	"10.000000"	"30.000000"	
"10200902"	"阿蛮AI2"	"1.800000"	"1.800000"	"20.000000"	"0.100000"	"10.000000"	"30.000000"	
"10200903"	"阿蛮AI3"	"1.800000"	"1.800000"	"20.000000"	"0.100000"	"10.000000"	"30.000000"	
"10201001"	"幼蓝AI1"	"7.000000"	"7.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201002"	"幼蓝AI2"	"7.000000"	"7.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201003"	"幼蓝AI3"	"7.000000"	"7.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201101"	"粉黛AI1"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201102"	"粉黛AI2"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201103"	"粉黛AI3"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201201"	"越捷飞AI1"	"1.800000"	"1.800000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
"10201202"	"越捷飞AI2"	"1.800000"	"1.800000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
"10201203"	"越捷飞AI3"	"1.800000"	"1.800000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
"10201301"	"柳色AI1"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201302"	"柳色AI2"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201303"	"柳色AI3"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201401"	"百里流桑AI1"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201402"	"百里流桑AI2"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201403"	"百里流桑AI3"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10201501"	"祝英台AI1"	"4.000000"	"4.000000"	"20.000000"	"0.250000"	"10.000000"	"30.000000"	
"10201502"	"祝英台AI2"	"4.000000"	"4.000000"	"20.000000"	"0.250000"	"10.000000"	"30.000000"	
"10201503"	"祝英台AI3"	"4.000000"	"4.000000"	"20.000000"	"0.250000"	"10.000000"	"30.000000"	
"10101601"	"贾南风AI1"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10101602"	"贾南风AI2"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10101603"	"贾南风AI3"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10101701"	"何戢AI1"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10101702"	"何戢AI2"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10101703"	"何戢AI3"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10101801"	"梁绿珠AI1"	"7.000000"	"7.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10101802"	"梁绿珠AI2"	"7.000000"	"7.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10101803"	"梁绿珠AI3"	"7.000000"	"7.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10101901"	"沈庆之AI1"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10101902"	"沈庆之AI2"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10101903"	"沈庆之AI3"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10102001"	"王宪媛AI1"	"12.000000"	"12.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10102002"	"王宪媛AI2"	"12.000000"	"12.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10102003"	"王宪媛AI3"	"12.000000"	"12.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10102101"	"墨香AI1"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10102102"	"墨香AI2"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10102103"	"墨香AI3"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10202201"	"江淹AI1"	"12.000000"	"12.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10202202"	"江淹AI2"	"12.000000"	"12.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10202203"	"江淹AI3"	"12.000000"	"12.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10302301"	"刘子业AI1"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10302302"	"刘子业AI2"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10302303"	"刘子业AI3"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10402401"	"苏小小AI1"	"1.800000"	"1.800000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
"10402402"	"苏小小AI2"	"1.800000"	"1.800000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
"10402403"	"苏小小AI3"	"1.800000"	"1.800000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
"10202501"	"王道怜AI1"	"7.000000"	"7.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10202502"	"王道怜AI2"	"7.000000"	"7.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10202503"	"王道怜AI3"	"7.000000"	"7.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10202601"	"寂然AI1"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10202602"	"寂然AI2"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10202603"	"寂然AI3"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10302701"	"王意之AI1"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10302702"	"王意之AI2"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10302703"	"王意之AI3"	"4.000000"	"4.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10102801"	"萧别AI1"	"12.000000"	"12.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10102802"	"萧别AI2"	"12.000000"	"12.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10102803"	"萧别AI3"	"12.000000"	"12.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10402901"	"天如月AI1"	"7.000000"	"7.000000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
"10402902"	"天如月AI2"	"7.000000"	"7.000000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
"10402903"	"天如月AI3"	"7.000000"	"7.000000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
