"节点ID唯一性标示，暂时无逻辑使用"	"阶段图集"	"阶段图片"	"节点隶属阶"	"最大阶所有行都应该一样"	"阶内数量涉及前端显示，不能随便填目前仅支持4、6、8、10"	"所有节点顺序"	"转剑BuffID阶内最后一个才有Buff-1表示没有区分职业，仅转剑有效"	"天威BuffID阶内最后一个才有Buff-1表示没有区分职业，仅天威有效"	"云锦BuffID阶内最后一个才有Buff-1表示没有区分职业，仅云锦有效"	"道具1数量"	"道具1数量"	"单次修炼获得能量基础值"	"能量随机范围作为系数直接乘给基础值1代表100%，0.1代表90%"	"暴击率，暴击倍数"	"当前阶段坐骑突破所需总能量数量"	"该节点属性"	
"200030"	"shenqiname"	"+2"	"2"	"9"	"6"	"3"	"-1"	"-1"	"-1"	"100076"	"3"	"75"	"0.8,1.2"	"0.3,2.5"	"600"	"0,8682,1,361,2,433,8,52,10,13,12,13,14,13,16,39,18,39"	
"200040"	"shenqiname"	"+2"	"2"	"9"	"6"	"4"	"-1"	"-1"	"-1"	"100076"	"3"	"75"	"0.8,1.2"	"0.3,2.5"	"600"	"0,8682,1,578,2,433,8,52,10,52,12,13,14,13,16,39,18,39"	
"200050"	"shenqiname"	"+2"	"2"	"9"	"6"	"5"	"-1"	"-1"	"-1"	"100076"	"3"	"75"	"0.8,1.2"	"0.3,2.5"	"600"	"0,15194,1,578,2,433,8,52,10,52,12,52,14,13,16,39,18,39"	
"200060"	"shenqiname"	"+2"	"2"	"9"	"6"	"6"	"19011020"	"19012020"	"19013020"	"100076"	"4"	"75"	"0.8,1.2"	"0.3,2.5"	"1000"	"0,15194,1,795,2,433,8,52,10,52,12,52,14,52,16,39,18,39"	
"300010"	"shenqiname"	"+3"	"3"	"9"	"8"	"1"	"-1"	"-1"	"-1"	"100076"	"4"	"75"	"0.8,1.2"	"0.3,2.5"	"1000"	"0,27133,1,795,2,433,8,52,10,52,12,52,14,52,16,110,18,39"	
"300020"	"shenqiname"	"+3"	"3"	"9"	"8"	"2"	"-1"	"-1"	"-1"	"100076"	"4"	"75"	"0.8,1.2"	"0.3,2.5"	"1000"	"0,27133,1,1192,2,433,8,52,10,52,12,52,14,52,16,110,18,110"	
"300030"	"shenqiname"	"+3"	"3"	"9"	"8"	"3"	"-1"	"-1"	"-1"	"100076"	"4"	"75"	"0.8,1.2"	"0.3,2.5"	"1000"	"0,27133,1,1192,2,1029,8,123,10,52,12,52,14,52,16,110,18,110"	
"300040"	"shenqiname"	"+3"	"3"	"9"	"8"	"4"	"-1"	"-1"	"-1"	"100076"	"4"	"75"	"0.8,1.2"	"0.3,2.5"	"1000"	"0,27133,1,1589,2,1029,8,123,10,123,12,52,14,52,16,110,18,110"	
"300050"	"shenqiname"	"+3"	"3"	"9"	"8"	"5"	"-1"	"-1"	"-1"	"100076"	"4"	"75"	"0.8,1.2"	"0.3,2.5"	"1000"	"0,39072,1,1589,2,1029,8,123,10,123,12,123,14,52,16,110,18,110"	
"300060"	"shenqiname"	"+3"	"3"	"9"	"8"	"6"	"-1"	"-1"	"-1"	"100076"	"4"	"75"	"0.8,1.2"	"0.3,2.5"	"1000"	"0,39072,1,1986,2,1029,8,123,10,123,12,123,14,123,16,110,18,110"	
"300070"	"shenqiname"	"+3"	"3"	"9"	"8"	"7"	"-1"	"-1"	"-1"	"100076"	"4"	"75"	"0.8,1.2"	"0.3,2.5"	"1000"	"0,51011,1,1986,2,1029,8,123,10,123,12,123,14,123,16,181,18,110"	
"300080"	"shenqiname"	"+3"	"3"	"9"	"8"	"8"	"19011030"	"19012030"	"19013030"	"100076"	"5"	"75"	"0.8,1.2"	"0.3,2.5"	"1500"	"0,51011,1,2383,2,1029,8,123,10,123,12,123,14,123,16,181,18,181"	
"400010"	"shenqiname"	"+4"	"4"	"9"	"8"	"1"	"-1"	"-1"	"-1"	"100076"	"5"	"75"	"0.8,1.2"	"0.3,2.5"	"1500"	"0,51011,1,2383,2,2005,8,240,10,123,12,123,14,123,16,181,18,181"	
"400020"	"shenqiname"	"+4"	"4"	"9"	"8"	"2"	"-1"	"-1"	"-1"	"100076"	"5"	"75"	"0.8,1.2"	"0.3,2.5"	"1500"	"0,51011,1,3034,2,2005,8,240,10,240,12,123,14,123,16,181,18,181"	
"400030"	"shenqiname"	"+4"	"4"	"9"	"8"	"3"	"-1"	"-1"	"-1"	"100076"	"5"	"75"	"0.8,1.2"	"0.3,2.5"	"1500"	"0,70547,1,3034,2,2005,8,240,10,240,12,240,14,123,16,181,18,181"	
"400040"	"shenqiname"	"+4"	"4"	"9"	"8"	"4"	"-1"	"-1"	"-1"	"100076"	"5"	"75"	"0.8,1.2"	"0.3,2.5"	"1500"	"0,70547,1,3685,2,2005,8,240,10,240,12,240,14,240,16,181,18,181"	
"400050"	"shenqiname"	"+4"	"4"	"9"	"8"	"5"	"-1"	"-1"	"-1"	"100076"	"5"	"75"	"0.8,1.2"	"0.3,2.5"	"1500"	"0,90083,1,3685,2,2005,8,240,10,240,12,240,14,240,16,298,18,181"	
"400060"	"shenqiname"	"+4"	"4"	"9"	"8"	"6"	"-1"	"-1"	"-1"	"100076"	"5"	"75"	"0.8,1.2"	"0.3,2.5"	"1500"	"0,90083,1,4336,2,2005,8,240,10,240,12,240,14,240,16,298,18,298"	
"400070"	"shenqiname"	"+4"	"4"	"9"	"8"	"7"	"-1"	"-1"	"-1"	"100076"	"5"	"75"	"0.8,1.2"	"0.3,2.5"	"1500"	"0,90083,1,4336,2,2981,8,357,10,240,12,240,14,240,16,298,18,298"	
"400080"	"shenqiname"	"+4"	"4"	"9"	"8"	"8"	"19011040"	"19012040"	"19013040"	"100076"	"6"	"75"	"0.8,1.2"	"0.3,2.5"	"2000"	"0,90083,1,4987,2,2981,8,357,10,357,12,240,14,240,16,298,18,298"	
"500010"	"shenqiname"	"+5"	"5"	"9"	"10"	"1"	"-1"	"-1"	"-1"	"100076"	"6"	"75"	"0.8,1.2"	"0.3,2.5"	"2000"	"0,119387,1,4987,2,2981,8,357,10,357,12,415,14,240,16,298,18,298"	
"500020"	"shenqiname"	"+5"	"5"	"9"	"10"	"2"	"-1"	"-1"	"-1"	"100076"	"6"	"75"	"0.8,1.2"	"0.3,2.5"	"2000"	"0,119387,1,5963,2,2981,8,357,10,357,12,415,14,415,16,298,18,298"	
"500030"	"shenqiname"	"+5"	"5"	"9"	"10"	"3"	"-1"	"-1"	"-1"	"100076"	"6"	"75"	"0.8,1.2"	"0.3,2.5"	"2000"	"0,119387,1,5963,2,4446,8,357,10,357,12,415,14,415,16,473,18,298"	
"500040"	"shenqiname"	"+5"	"5"	"9"	"10"	"4"	"-1"	"-1"	"-1"	"100076"	"6"	"75"	"0.8,1.2"	"0.3,2.5"	"2000"	"0,119387,1,6939,2,4446,8,357,10,357,12,415,14,415,16,473,18,473"	
"500050"	"shenqiname"	"+5"	"5"	"9"	"10"	"5"	"-1"	"-1"	"-1"	"100076"	"6"	"75"	"0.8,1.2"	"0.3,2.5"	"2000"	"0,148691,1,6939,2,4446,8,532,10,357,12,415,14,415,16,473,18,473"	
"500060"	"shenqiname"	"+5"	"5"	"9"	"10"	"6"	"-1"	"-1"	"-1"	"100076"	"6"	"75"	"0.8,1.2"	"0.3,2.5"	"2000"	"0,148691,1,7915,2,4446,8,532,10,532,12,415,14,415,16,473,18,473"	
"500070"	"shenqiname"	"+5"	"5"	"9"	"10"	"7"	"-1"	"-1"	"-1"	"100076"	"6"	"75"	"0.8,1.2"	"0.3,2.5"	"2000"	"0,177995,1,7915,2,4446,8,532,10,532,12,590,14,415,16,473,18,473"	
"500080"	"shenqiname"	"+5"	"5"	"9"	"10"	"8"	"-1"	"-1"	"-1"	"100076"	"6"	"75"	"0.8,1.2"	"0.3,2.5"	"2000"	"0,177995,1,8891,2,4446,8,532,10,532,12,590,14,590,16,473,18,473"	
"500090"	"shenqiname"	"+5"	"5"	"9"	"10"	"9"	"-1"	"-1"	"-1"	"100076"	"6"	"75"	"0.8,1.2"	"0.3,2.5"	"2000"	"0,177995,1,8891,2,5911,8,532,10,532,12,590,14,590,16,648,18,473"	
"500100"	"shenqiname"	"+5"	"5"	"9"	"10"	"10"	"19011050"	"19012050"	"19013050"	"100076"	"7"	"75"	"0.8,1.2"	"0.3,2.5"	"3000"	"0,177995,1,9867,2,5911,8,532,10,532,12,590,14,590,16,648,18,648"	
"600010"	"shenqiname"	"+6"	"6"	"9"	"10"	"1"	"-1"	"-1"	"-1"	"100076"	"7"	"75"	"0.8,1.2"	"0.3,2.5"	"3000"	"0,219238,1,9867,2,5911,8,779,10,532,12,590,14,590,16,648,18,648"	
"600020"	"shenqiname"	"+6"	"6"	"9"	"10"	"2"	"-1"	"-1"	"-1"	"100076"	"7"	"75"	"0.8,1.2"	"0.3,2.5"	"3000"	"0,219238,1,11241,2,5911,8,779,10,779,12,590,14,590,16,648,18,648"	
"600030"	"shenqiname"	"+6"	"6"	"9"	"10"	"3"	"-1"	"-1"	"-1"	"100076"	"7"	"75"	"0.8,1.2"	"0.3,2.5"	"3000"	"0,260481,1,11241,2,5911,8,779,10,779,12,837,14,590,16,648,18,648"	
"600040"	"shenqiname"	"+6"	"6"	"9"	"10"	"4"	"-1"	"-1"	"-1"	"100076"	"7"	"75"	"0.8,1.2"	"0.3,2.5"	"3000"	"0,260481,1,12615,2,5911,8,779,10,779,12,837,14,837,16,648,18,648"	
"600050"	"shenqiname"	"+6"	"6"	"9"	"10"	"5"	"-1"	"-1"	"-1"	"100076"	"7"	"75"	"0.8,1.2"	"0.3,2.5"	"3000"	"0,260481,1,12615,2,7973,8,779,10,779,12,837,14,837,16,895,18,648"	
"600060"	"shenqiname"	"+6"	"6"	"9"	"10"	"6"	"-1"	"-1"	"-1"	"100076"	"7"	"75"	"0.8,1.2"	"0.3,2.5"	"3000"	"0,260481,1,13989,2,7973,8,779,10,779,12,837,14,837,16,895,18,895"	
"600070"	"shenqiname"	"+6"	"6"	"9"	"10"	"7"	"-1"	"-1"	"-1"	"100076"	"7"	"75"	"0.8,1.2"	"0.3,2.5"	"3000"	"0,301724,1,13989,2,7973,8,1026,10,779,12,837,14,837,16,895,18,895"	
"600080"	"shenqiname"	"+6"	"6"	"9"	"10"	"8"	"-1"	"-1"	"-1"	"100076"	"7"	"75"	"0.8,1.2"	"0.3,2.5"	"3000"	"0,301724,1,15363,2,7973,8,1026,10,1026,12,837,14,837,16,895,18,895"	
"600090"	"shenqiname"	"+6"	"6"	"9"	"10"	"9"	"-1"	"-1"	"-1"	"100076"	"7"	"75"	"0.8,1.2"	"0.3,2.5"	"3000"	"0,342967,1,15363,2,7973,8,1026,10,1026,12,1084,14,837,16,895,18,895"	
"600100"	"shenqiname"	"+6"	"6"	"9"	"10"	"10"	"19011060"	"19012060"	"19013060"	"100076"	"8"	"75"	"0.8,1.2"	"0.3,2.5"	"4000"	"0,342967,1,16737,2,7973,8,1026,10,1026,12,1084,14,1084,16,895,18,895"	
"700010"	"shenqiname"	"+7"	"7"	"9"	"10"	"1"	"-1"	"-1"	"-1"	"100076"	"8"	"75"	"0.8,1.2"	"0.3,2.5"	"4000"	"0,342967,1,16737,2,10740,8,1026,10,1026,12,1084,14,1084,16,1227,18,895"	
"700020"	"shenqiname"	"+7"	"7"	"9"	"10"	"2"	"-1"	"-1"	"-1"	"100076"	"8"	"75"	"0.8,1.2"	"0.3,2.5"	"4000"	"0,342967,1,18582,2,10740,8,1026,10,1026,12,1084,14,1084,16,1227,18,1227"	
"700030"	"shenqiname"	"+7"	"7"	"9"	"10"	"3"	"-1"	"-1"	"-1"	"100076"	"8"	"75"	"0.8,1.2"	"0.3,2.5"	"4000"	"0,398320,1,18582,2,10740,8,1358,10,1026,12,1084,14,1084,16,1227,18,1227"	
"700040"	"shenqiname"	"+7"	"7"	"9"	"10"	"4"	"-1"	"-1"	"-1"	"100076"	"8"	"75"	"0.8,1.2"	"0.3,2.5"	"4000"	"0,398320,1,20427,2,10740,8,1358,10,1358,12,1084,14,1084,16,1227,18,1227"	
"700050"	"shenqiname"	"+7"	"7"	"9"	"10"	"5"	"-1"	"-1"	"-1"	"100076"	"8"	"75"	"0.8,1.2"	"0.3,2.5"	"4000"	"0,453673,1,20427,2,10740,8,1358,10,1358,12,1416,14,1084,16,1227,18,1227"	
"700060"	"shenqiname"	"+7"	"7"	"9"	"10"	"6"	"-1"	"-1"	"-1"	"100076"	"8"	"75"	"0.8,1.2"	"0.3,2.5"	"4000"	"0,453673,1,22272,2,10740,8,1358,10,1358,12,1416,14,1416,16,1227,18,1227"	
"700070"	"shenqiname"	"+7"	"7"	"9"	"10"	"7"	"-1"	"-1"	"-1"	"100076"	"8"	"75"	"0.8,1.2"	"0.3,2.5"	"4000"	"0,453673,1,22272,2,13507,8,1358,10,1358,12,1416,14,1416,16,1559,18,1227"	
"700080"	"shenqiname"	"+7"	"7"	"9"	"10"	"8"	"-1"	"-1"	"-1"	"100076"	"8"	"75"	"0.8,1.2"	"0.3,2.5"	"4000"	"0,453673,1,24117,2,13507,8,1358,10,1358,12,1416,14,1416,16,1559,18,1559"	
"700090"	"shenqiname"	"+7"	"7"	"9"	"10"	"9"	"-1"	"-1"	"-1"	"100076"	"8"	"75"	"0.8,1.2"	"0.3,2.5"	"4000"	"0,509026,1,24117,2,13507,8,1690,10,1358,12,1416,14,1416,16,1559,18,1559"	
"700100"	"shenqiname"	"+7"	"7"	"9"	"10"	"10"	"19011070"	"19012070"	"19013070"	"100076"	"9"	"75"	"0.8,1.2"	"0.3,2.5"	"5000"	"0,509026,1,25962,2,13507,8,1690,10,1690,12,1416,14,1416,16,1559,18,1559"	
"800010"	"shenqiname"	"+8"	"8"	"9"	"10"	"1"	"-1"	"-1"	"-1"	"100076"	"9"	"75"	"0.8,1.2"	"0.3,2.5"	"5000"	"0,580660,1,25962,2,13507,8,1690,10,1690,12,1845,14,1416,16,1559,18,1559"	
"800020"	"shenqiname"	"+8"	"8"	"9"	"10"	"2"	"-1"	"-1"	"-1"	"100076"	"9"	"75"	"0.8,1.2"	"0.3,2.5"	"5000"	"0,580660,1,28349,2,13507,8,1690,10,1690,12,1845,14,1845,16,1559,18,1559"	
"800030"	"shenqiname"	"+8"	"8"	"9"	"10"	"3"	"-1"	"-1"	"-1"	"100076"	"9"	"75"	"0.8,1.2"	"0.3,2.5"	"5000"	"0,580660,1,28349,2,17088,8,1690,10,1690,12,1845,14,1845,16,1988,18,1559"	
"800040"	"shenqiname"	"+8"	"8"	"9"	"10"	"4"	"-1"	"-1"	"-1"	"100076"	"9"	"75"	"0.8,1.2"	"0.3,2.5"	"5000"	"0,580660,1,30736,2,17088,8,1690,10,1690,12,1845,14,1845,16,1988,18,1988"	
"800050"	"shenqiname"	"+8"	"8"	"9"	"10"	"5"	"-1"	"-1"	"-1"	"100076"	"9"	"75"	"0.8,1.2"	"0.3,2.5"	"5000"	"0,652294,1,30736,2,17088,8,2119,10,1690,12,1845,14,1845,16,1988,18,1988"	
"800060"	"shenqiname"	"+8"	"8"	"9"	"10"	"6"	"-1"	"-1"	"-1"	"100076"	"9"	"75"	"0.8,1.2"	"0.3,2.5"	"5000"	"0,652294,1,33123,2,17088,8,2119,10,2119,12,1845,14,1845,16,1988,18,1988"	
"800070"	"shenqiname"	"+8"	"8"	"9"	"10"	"7"	"-1"	"-1"	"-1"	"100076"	"9"	"75"	"0.8,1.2"	"0.3,2.5"	"5000"	"0,723928,1,33123,2,17088,8,2119,10,2119,12,2274,14,1845,16,1988,18,1988"	
"800080"	"shenqiname"	"+8"	"8"	"9"	"10"	"8"	"-1"	"-1"	"-1"	"100076"	"9"	"75"	"0.8,1.2"	"0.3,2.5"	"5000"	"0,723928,1,35510,2,17088,8,2119,10,2119,12,2274,14,2274,16,1988,18,1988"	
"800090"	"shenqiname"	"+8"	"8"	"9"	"10"	"9"	"-1"	"-1"	"-1"	"100076"	"9"	"75"	"0.8,1.2"	"0.3,2.5"	"5000"	"0,723928,1,35510,2,20669,8,2119,10,2119,12,2274,14,2274,16,2417,18,1988"	
"800100"	"shenqiname"	"+8"	"8"	"9"	"10"	"10"	"19011080"	"19012080"	"19013080"	"100076"	"10"	"75"	"0.8,1.2"	"0.3,2.5"	"6000"	"0,723928,1,37897,2,20669,8,2119,10,2119,12,2274,14,2274,16,2417,18,2417"	
"900010"	"shenqiname"	"+9"	"9"	"9"	"10"	"1"	"-1"	"-1"	"-1"	"100076"	"10"	"75"	"0.8,1.2"	"0.3,2.5"	"6000"	"0,814013,1,37897,2,20669,8,2659,10,2119,12,2274,14,2274,16,2417,18,2417"	
"900020"	"shenqiname"	"+9"	"9"	"9"	"10"	"2"	"-1"	"-1"	"-1"	"100076"	"10"	"75"	"0.8,1.2"	"0.3,2.5"	"6000"	"0,814013,1,40899,2,20669,8,2659,10,2659,12,2274,14,2274,16,2417,18,2417"	
"900030"	"shenqiname"	"+9"	"9"	"9"	"10"	"3"	"-1"	"-1"	"-1"	"100076"	"10"	"75"	"0.8,1.2"	"0.3,2.5"	"6000"	"0,904098,1,40899,2,20669,8,2659,10,2659,12,2814,14,2274,16,2417,18,2417"	
"900040"	"shenqiname"	"+9"	"9"	"9"	"10"	"4"	"-1"	"-1"	"-1"	"100076"	"10"	"75"	"0.8,1.2"	"0.3,2.5"	"6000"	"0,904098,1,43901,2,20669,8,2659,10,2659,12,2814,14,2814,16,2417,18,2417"	
"900050"	"shenqiname"	"+9"	"9"	"9"	"10"	"5"	"-1"	"-1"	"-1"	"100076"	"10"	"75"	"0.8,1.2"	"0.3,2.5"	"6000"	"0,904098,1,43901,2,25173,8,2659,10,2659,12,2814,14,2814,16,2957,18,2417"	
"900060"	"shenqiname"	"+9"	"9"	"9"	"10"	"6"	"-1"	"-1"	"-1"	"100076"	"10"	"75"	"0.8,1.2"	"0.3,2.5"	"6000"	"0,904098,1,46903,2,25173,8,2659,10,2659,12,2814,14,2814,16,2957,18,2957"	
"900070"	"shenqiname"	"+9"	"9"	"9"	"10"	"7"	"-1"	"-1"	"-1"	"100076"	"10"	"75"	"0.8,1.2"	"0.3,2.5"	"6000"	"0,994183,1,46903,2,25173,8,3199,10,2659,12,2814,14,2814,16,2957,18,2957"	
"900080"	"shenqiname"	"+9"	"9"	"9"	"10"	"8"	"-1"	"-1"	"-1"	"100076"	"10"	"75"	"0.8,1.2"	"0.3,2.5"	"6000"	"0,994183,1,49905,2,25173,8,3199,10,3199,12,2814,14,2814,16,2957,18,2957"	
"900090"	"shenqiname"	"+9"	"9"	"9"	"10"	"9"	"-1"	"-1"	"-1"	"100076"	"10"	"75"	"0.8,1.2"	"0.3,2.5"	"6000"	"0,1084268,1,49905,2,25173,8,3199,10,3199,12,3354,14,2814,16,2957,18,2957"	
"900100"	"shenqiname"	"+9"	"9"	"9"	"10"	"10"	"19011090"	"19012090"	"19013090"	"100076"	"1"	"75"	"0.8,1.2"	"0.3,2.5"	"0"	"0,1084268,1,52907,2,25173,8,3199,10,3199,12,3354,14,3354,16,2957,18,2957"	
