"ID,40000-44999给骑龙和龙的技能，45000到45999给坐骑"	"名称"	"描述"	"描述参数"	"图集ID"	"图标ID"	"是否显示图标"	"友好度0=良性,1=负面,2=中立"	"由Magic对象管理"	"切换场景结束"	"死亡结束"	"下线结束"	"下线计时"	"下龙消失(用于控制龙主动技能产生的buff)"	"组ID，注意如果是光环的话，代表被光环笼罩产生的buff的组"	"组中优先级0为最低"	"同id共存方式0=叠加,1=冲抵,2=免疫,3=共存(只用于龙的被动技)4=刷新已存的buff时间"	"光环标志0x01=可叠加，0x02=他人不可见"	"默认叠加层数"	"叠加层数上限"	"光环目标1=单体；2=敌人；4=友军；8=中立"	"光环持续时间"	"光环生效半径只对光环类型是计时型的起作用。次数型光环均是个人光环。"	"光环更新时间光环刷新时只修改目标列表"	"是否为限制效果"	"效果1ID"	"效果2ID"	"效果3ID"	"效果4ID"	"效果5ID"	"效果6ID"	"客户端效果"	"生效场景--不配表示所有场景中生效--否则仅在配置场景中生效"	"效果添加对象5：人2：dummy4：马"	"状态分类0=无1=定身状态2=中毒状态3=眩晕状态4=缓速状态"	"客户端效果是否叠加如果光环是多层的，那么表现效果是否按照层数叠加"	
"13"	"减速2"	"脚下蓝色漩涡"	""	"BuffAtlas"	"newbuff47"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1022"	""	"5"	"4"	"0"	
"14"	"无敌"	"黄色罩子"	""	"BuffAtlas"	"newbuff15"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1003"	""	"5"	"0"	"0"	
"15"	"眩晕"	"头顶黄色螺旋线"	""	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"16"	"冻结"	"全身结冰"	""	"BuffAtlas"	"newbuff11"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1008"	""	"5"	"3"	"0"	
"17"	"移动加速"	"身后蓝色直线拖尾，身上冒蓝色粒子"	""	"BuffAtlas"	"newbuff45"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1011"	""	"5"	"0"	"0"	
"18"	"死亡状态"	"地面一股灵魂的青色烟雾"	""	"BuffAtlas"	"newbuff49"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1012"	""	"5"	"0"	"0"	
"19"	"狂暴小"	"攻击力提高。脚下燃烧着红色火焰。普通小怪，玩家用"	""	"BuffAtlas"	"newbuff7"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1013"	""	"5"	"0"	"0"	
"20"	"狂暴大"	"攻击力提高。脚下燃烧着红色火焰。Boss体型用"	""	"BuffAtlas"	"newbuff7"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1014"	""	"5"	"0"	"0"	
"21"	"虚弱"	"攻击力下降。脚下暗黄色光晕"	""	"BuffAtlas"	"newbuff6"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1015"	""	"5"	"0"	"0"	
"22"	"破甲"	"防御力降低。四周暗黄色光柱"	""	"BuffAtlas"	"newbuff19"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1016"	""	"5"	"0"	"0"	
"23"	"铁壁"	"防御力提高。四周金黄色光柱"	""	"BuffAtlas"	"newbuff5"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1017"	""	"5"	"0"	"0"	
"24"	"霸体1"	"赛亚人变身，浑身金光四射"	""	"BuffAtlas"	"newbuff15"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1018"	""	"5"	"0"	"0"	
"25"	"霸体2"	"赛亚人变身，浑身金光四射，光芒中有佛教梵文"	""	"BuffAtlas"	"newbuff15"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30001340"	""	"5"	"0"	"0"	
"26"	"沉默"	"一个紫色符咒和锁链飘在头顶"	""	"BuffAtlas"	"newbuff44"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1019"	""	"5"	"0"	"0"	
"27"	"复活"	"头顶一道金光"	""	"BuffAtlas"	"newbuff17"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1020"	""	"5"	"0"	"0"	
"28"	"治疗1"	"单体冒绿光一次"	""	"BuffAtlas"	"newbuff3"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30000120"	""	"5"	"0"	"0"	
"29"	"治疗2"	"蓝色透明球体与水雾碎裂一次"	""	"BuffAtlas"	"newbuff67"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30000720"	""	"5"	"0"	"0"	
"30"	"增益状态1"	"强化，脚下红色魔法阵，浑身飘红色花瓣"	""	"BuffAtlas"	"newbuff65"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30001120"	""	"5"	"0"	"0"	
"31"	"增益状态2"	"强化，脚下黄色法阵，双手冒金光"	""	"BuffAtlas"	"newbuff66"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"25002000"	""	"5"	"0"	"0"	
"32"	"增益状态3"	"愤怒，双拳冒黄光"	""	"BuffAtlas"	"newbuff1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"35000230"	""	"5"	"0"	"0"	
"33"	"增益状态4"	"愤怒，脚下蓝火连续喷发"	""	"BuffAtlas"	"newbuff63"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30001830"	""	"5"	"0"	"0"	
"34"	"增益状态5"	"自身攻击力提高，四爪冒火，只有4个爪子的怪物可以用"	""	"BuffAtlas"	"newbuff14"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1023"	""	"5"	"0"	"0"	
"35"	"增益状态6"	"荆棘盾。胸口蓝紫色放射线四射"	""	"BuffAtlas"	"newbuff64"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"25008000"	""	"5"	"0"	"0"	
"36"	"增益状态7"	"攻击力提高，身体四周金色罩子笼罩，罩子上面有土系碎石漂浮环绕飞行"	""	"BuffAtlas"	"newbuff64"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1030"	""	"5"	"0"	"0"	
"37"	"增益状态8"	"扇子，身体四周金色罩子笼罩"	""	"BuffAtlas"	"newbuff64"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1030"	""	"5"	"0"	"0"	
"38"	"罩子1"	"蓝色半透明罩子"	""	"BuffAtlas"	"newbuff40"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30000323"	""	"5"	"0"	"0"	
"39"	"罩子2"	"蓝色瘦长罩子"	""	"BuffAtlas"	"newbuff8"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30001220"	""	"5"	"0"	"0"	
"40"	"罩子3"	"紫色罩子"	""	"BuffAtlas"	"newbuff64"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30001610"	""	"5"	"0"	"0"	
"41"	"罩子4"	"黄绿色罩子"	""	"BuffAtlas"	"newbuff18"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"25011000"	""	"5"	"0"	"0"	
"42"	"负面状态1"	"胸口持续收缩着紫色烟雾"	""	"BuffAtlas"	"newbuff43"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30001331"	""	"5"	"0"	"0"	
"43"	"负面状态2"	"胸口持续散发着紫色灵魂气息"	""	"BuffAtlas"	"newbuff64"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"35000330"	""	"5"	"0"	"0"	
"44"	"负面状态3"	"中毒，胸口绿色毒气团，有拖尾"	""	"BuffAtlas"	"newbuff6"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30000130"	""	"5"	"0"	"0"	
"45"	"负面状态4"	"中毒，胸口散发紫黑色气团"	""	"BuffAtlas"	"newbuff32"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30001011"	""	"5"	"0"	"0"	
"46"	"负面状态5"	"减速，中毒，紫红色胸口光晕"	""	"BuffAtlas"	"newbuff6"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"30001821"	""	"5"	"0"	"0"	
"47"	"负面状态6"	"燃烧，胸口有橘黄色火焰不断燃烧"	""	"BuffAtlas"	"newbuff21"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1021"	""	"5"	"0"	"0"	
"48"	"负面状态7"	"防御力降低。脚下黄色漩涡，身体有护甲片环绕飞行"	""	"BuffAtlas"	"newbuff55"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1024"	""	"5"	"0"	"0"	
"49"	"负面状态8"	"全身笼罩在蓝白色的旋风之中"	""	"BuffAtlas"	"newbuff59"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"25005000"	""	"5"	"0"	"0"	
"50"	"负面状态9"	"紫色光晕在身上，光晕流淌向下，脚下有紫色魔法阵"	""	"BuffAtlas"	"newbuff59"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1031"	""	"5"	"0"	"0"	
"86"	"定身-控制类提示"	""	""	""	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"1000"	"1"	"0"	"1"	"0"	"1"	"2000"	"0.000000"	"2000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1026"	""	"5"	"0"	"0"	
"87"	"中毒-控制类提示"	""	""	""	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"1000"	"1"	"0"	"1"	"0"	"1"	"2000"	"0.000000"	"2000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1027"	""	"5"	"0"	"0"	
"88"	"眩晕-控制类提示"	""	""	""	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"1000"	"1"	"0"	"1"	"0"	"1"	"2000"	"0.000000"	"2000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1028"	""	"5"	"0"	"0"	
"89"	"缓速-控制类提示"	""	""	""	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"2000"	"0.000000"	"2000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1029"	""	"5"	"0"	"0"	
"90"	"光环表现库结束"	""	""	""	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"1000"	"1"	"0"	"1"	"0"	"1"	"1000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"98"	"临时-测试光环效果可叠加"	"/award_aura98可叠加10层"	""	"BuffAtlas"	"newbuff21"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"0"	"0"	"0"	"1"	"10"	"1"	"-1"	"0.000000"	"1000"	"0"	"200"	"-1"	"-1"	"-1"	"-1"	"-1"	"1001"	""	"5"	"0"	"1"	
"99"	"无敌永久"	"无敌"	""	"BuffAtlas"	"newbuff15"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"2"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"100"	"硬直0.5秒"	"硬直"	""	""	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"500"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1005"	""	"5"	"0"	"0"	
"101"	"硬直1秒"	"硬直"	""	""	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1000"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1005"	""	"5"	"0"	"0"	
"102"	"武神争霸定身"	"不能移动"	""	""	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"0"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"1"	"3"	"-1"	"-1"	"-1"	"-1"	"1010"	""	"5"	"0"	"0"	
"110"	"眩晕"	"眩晕[green]1[white]秒"	""	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1000"	"1"	"0"	"1"	"0"	"1"	"1000"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"111"	"眩晕"	"眩晕[green]2[white]秒"	""	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"2000"	"1"	"0"	"1"	"0"	"1"	"2000"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"112"	"眩晕"	"眩晕[green]3[white]秒"	""	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"3000"	"1"	"0"	"1"	"0"	"1"	"3000"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"113"	"眩晕"	"眩晕[green]1.5[white]秒"	""	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1500"	"1"	"0"	"1"	"0"	"1"	"1500"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"114"	"眩晕"	"眩晕[green]0.1[white]秒"	""	"BuffAtlas"	"newbuff48"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"100"	"1"	"0"	"1"	"0"	"1"	"100"	"0.000000"	"1000"	"1"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1004"	""	"5"	"3"	"0"	
"115"	"眩晕3秒，无敌无表现，水晶矿洞传送门使用"	"眩晕[green]3[white]秒"	""	"BuffAtlas"	"newbuff11"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"3000"	"1"	"0"	"1"	"0"	"1"	"3000"	"0.000000"	"1000"	"1"	"1"	"2"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"3"	"0"	
"120"	"硬直抵抗1秒"	"抵抗硬直"	""	""	""	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"1000"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1007"	""	"5"	"0"	"0"	
"121"	"硬直抵抗2秒"	"抵抗硬直"	""	""	""	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"2000"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1007"	""	"5"	"0"	"0"	
"122"	"硬直抵抗3秒"	"抵抗硬直"	""	""	""	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"3000"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1007"	""	"5"	"0"	"0"	
"130"	"霸体"	"霸体"	""	"BuffAtlas"	"newbuff15"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"1000"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1007"	""	"5"	"0"	"0"	
"131"	"霸体"	"霸体"	""	"BuffAtlas"	"newbuff15"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"2000"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1007"	""	"5"	"0"	"0"	
"132"	"霸体"	"霸体"	""	"BuffAtlas"	"newbuff15"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"3000"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1007"	""	"5"	"0"	"0"	
"133"	"霸体"	"霸体"	""	"BuffAtlas"	"newbuff15"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"4000"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1007"	""	"5"	"0"	"0"	
