"层数"	"生命比例"	"物理攻击力比例"	"物理防御力比例"	"魔法攻击力比例"	"魔法防御力比例"	"命中值比例"	"闪避值比例"	"暴击值比例"	"韧性值比例"	"穿透值比例"	"格挡值比例"	"暴击伤害值比例"	"暴击抵抗值比例"	"火抗比例"	"冰抗比例"	"电抗比例"	"毒抗比例"	""	""	""	""	
"26"	"6,1,9.68"	"8,1,1.4"	"10,1,1"	"9,1,1.4"	"11,1,1"	"12,1,1.22"	"14,1,1.22"	"16,1,1.22"	"18,1,1.22"	"20,1,1.22"	"22,1,1.22"	"24,1,1.22"	"26,1,1.22"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"27"	"6,1,9.78"	"8,1,1.5"	"10,1,1"	"9,1,1.5"	"11,1,1"	"12,1,1.27"	"14,1,1.27"	"16,1,1.27"	"18,1,1.27"	"20,1,1.27"	"22,1,1.27"	"24,1,1.27"	"26,1,1.27"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"28"	"6,1,9.88"	"8,1,1.61"	"10,1,1"	"9,1,1.61"	"11,1,1"	"12,1,1.32"	"14,1,1.32"	"16,1,1.32"	"18,1,1.32"	"20,1,1.32"	"22,1,1.32"	"24,1,1.32"	"26,1,1.32"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"29"	"6,1,10.89"	"8,1,1.72"	"10,1,1"	"9,1,1.72"	"11,1,1"	"12,1,1.37"	"14,1,1.37"	"16,1,1.37"	"18,1,1.37"	"20,1,1.37"	"22,1,1.37"	"24,1,1.37"	"26,1,1.37"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"30"	"6,1,12.7"	"8,1,1.84"	"10,1,1"	"9,1,1.84"	"11,1,1"	"12,1,1.42"	"14,1,1.42"	"16,1,1.42"	"18,1,1.42"	"20,1,1.42"	"22,1,1.42"	"24,1,1.42"	"26,1,1.42"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"31"	"6,1,13.51"	"8,1,1"	"10,1,1"	"9,1,1"	"11,1,1"	"12,1,1"	"14,1,1"	"16,1,1"	"18,1,1"	"20,1,1"	"22,1,1"	"24,1,1"	"26,1,1"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"32"	"6,1,14.35"	"8,1,1.07"	"10,1,1"	"9,1,1.07"	"11,1,1"	"12,1,1.04"	"14,1,1.04"	"16,1,1.04"	"18,1,1.04"	"20,1,1.04"	"22,1,1.04"	"24,1,1.04"	"26,1,1.04"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"33"	"6,1,15.19"	"8,1,1.14"	"10,1,1"	"9,1,1.14"	"11,1,1"	"12,1,1.08"	"14,1,1.08"	"16,1,1.08"	"18,1,1.08"	"20,1,1.08"	"22,1,1.08"	"24,1,1.08"	"26,1,1.08"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"34"	"6,1,16.05"	"8,1,1.23"	"10,1,1"	"9,1,1.23"	"11,1,1"	"12,1,1.12"	"14,1,1.12"	"16,1,1.12"	"18,1,1.12"	"20,1,1.12"	"22,1,1.12"	"24,1,1.12"	"26,1,1.12"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"35"	"6,1,16.93"	"8,1,1.31"	"10,1,1"	"9,1,1.31"	"11,1,1"	"12,1,1.17"	"14,1,1.17"	"16,1,1.17"	"18,1,1.17"	"20,1,1.17"	"22,1,1.17"	"24,1,1.17"	"26,1,1.17"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"36"	"6,1,17.81"	"8,1,1.35"	"10,1,1"	"9,1,1.4"	"11,1,1"	"12,1,1.22"	"14,1,1.22"	"16,1,1.22"	"18,1,1.22"	"20,1,1.22"	"22,1,1.22"	"24,1,1.22"	"26,1,1.22"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"37"	"6,1,18.71"	"8,1,1.40"	"10,1,1"	"9,1,1.5"	"11,1,1"	"12,1,1.27"	"14,1,1.27"	"16,1,1.27"	"18,1,1.27"	"20,1,1.27"	"22,1,1.27"	"24,1,1.27"	"26,1,1.27"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"38"	"6,1,19.62"	"8,1,1.43"	"10,1,1"	"9,1,1.61"	"11,1,1"	"12,1,1.32"	"14,1,1.32"	"16,1,1.32"	"18,1,1.32"	"20,1,1.32"	"22,1,1.32"	"24,1,1.32"	"26,1,1.32"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"39"	"6,1,19.54"	"8,1,1.47"	"10,1,1"	"9,1,1.72"	"11,1,1"	"12,1,1.37"	"14,1,1.37"	"16,1,1.37"	"18,1,1.37"	"20,1,1.37"	"22,1,1.37"	"24,1,1.37"	"26,1,1.37"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"40"	"6,1,20.02"	"8,1,1.50"	"10,1,1"	"9,1,1.84"	"11,1,1"	"12,1,1.42"	"14,1,1.42"	"16,1,1.42"	"18,1,1.42"	"20,1,1.42"	"22,1,1.42"	"24,1,1.42"	"26,1,1.42"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"41"	"6,1,26.43"	"8,1,1"	"10,1,1"	"9,1,1"	"11,1,1"	"12,1,1"	"14,1,1"	"16,1,1"	"18,1,1"	"20,1,1"	"22,1,1"	"24,1,1"	"26,1,1"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"42"	"6,1,27.39"	"8,1,1.07"	"10,1,1"	"9,1,1.07"	"11,1,1"	"12,1,1.04"	"14,1,1.04"	"16,1,1.04"	"18,1,1.04"	"20,1,1.04"	"22,1,1.04"	"24,1,1.04"	"26,1,1.04"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"43"	"6,1,28.36"	"8,1,1.14"	"10,1,1"	"9,1,1.14"	"11,1,1"	"12,1,1.08"	"14,1,1.08"	"16,1,1.08"	"18,1,1.08"	"20,1,1.08"	"22,1,1.08"	"24,1,1.08"	"26,1,1.08"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"44"	"6,1,29.34"	"8,1,1.23"	"10,1,1"	"9,1,1.23"	"11,1,1"	"12,1,1.12"	"14,1,1.12"	"16,1,1.12"	"18,1,1.12"	"20,1,1.12"	"22,1,1.12"	"24,1,1.12"	"26,1,1.12"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"45"	"6,1,30.33"	"8,1,1.31"	"10,1,1"	"9,1,1.31"	"11,1,1"	"12,1,1.17"	"14,1,1.17"	"16,1,1.17"	"18,1,1.17"	"20,1,1.17"	"22,1,1.17"	"24,1,1.17"	"26,1,1.17"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"46"	"6,1,31.34"	"8,1,1.4"	"10,1,1"	"9,1,1.4"	"11,1,1"	"12,1,1.22"	"14,1,1.22"	"16,1,1.22"	"18,1,1.22"	"20,1,1.22"	"22,1,1.22"	"24,1,1.22"	"26,1,1.22"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"47"	"6,1,32.36"	"8,1,1.5"	"10,1,1"	"9,1,1.5"	"11,1,1"	"12,1,1.27"	"14,1,1.27"	"16,1,1.27"	"18,1,1.27"	"20,1,1.27"	"22,1,1.27"	"24,1,1.27"	"26,1,1.27"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"48"	"6,1,33.38"	"8,1,1.61"	"10,1,1"	"9,1,1.61"	"11,1,1"	"12,1,1.32"	"14,1,1.32"	"16,1,1.32"	"18,1,1.32"	"20,1,1.32"	"22,1,1.32"	"24,1,1.32"	"26,1,1.32"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"49"	"6,1,34.42"	"8,1,1.72"	"10,1,1"	"9,1,1.72"	"11,1,1"	"12,1,1.37"	"14,1,1.37"	"16,1,1.37"	"18,1,1.37"	"20,1,1.37"	"22,1,1.37"	"24,1,1.37"	"26,1,1.37"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"50"	"6,1,35.47"	"8,1,1.84"	"10,1,1"	"9,1,1.84"	"11,1,1"	"12,1,1.42"	"14,1,1.42"	"16,1,1.42"	"18,1,1.42"	"20,1,1.42"	"22,1,1.42"	"24,1,1.42"	"26,1,1.42"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"51"	"6,1,36.53"	"8,1,1.85"	"10,1,2"	"9,1,1.85"	"11,1,2"	"12,1,1"	"14,1,1"	"16,1,1.43"	"18,1,1.43"	"20,1,1.43"	"22,1,1.43"	"24,1,1.43"	"26,1,1.43"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"52"	"6,1,37.6"	"8,1,1.86"	"10,1,3"	"9,1,1.86"	"11,1,3"	"12,1,1.04"	"14,1,1.04"	"16,1,1.44"	"18,1,1.44"	"20,1,1.44"	"22,1,1.44"	"24,1,1.44"	"26,1,1.44"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"53"	"6,1,38.69"	"8,1,1.87"	"10,1,4"	"9,1,1.87"	"11,1,4"	"12,1,1.08"	"14,1,1.08"	"16,1,1.45"	"18,1,1.45"	"20,1,1.45"	"22,1,1.45"	"24,1,1.45"	"26,1,1.45"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"54"	"6,1,39.78"	"8,1,1.88"	"10,1,5"	"9,1,1.88"	"11,1,5"	"12,1,1.12"	"14,1,1.12"	"16,1,1.46"	"18,1,1.46"	"20,1,1.46"	"22,1,1.46"	"24,1,1.46"	"26,1,1.46"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"55"	"6,1,40.88"	"8,1,1.89"	"10,1,6"	"9,1,1.89"	"11,1,6"	"12,1,1.17"	"14,1,1.17"	"16,1,1.47"	"18,1,1.47"	"20,1,1.47"	"22,1,1.47"	"24,1,1.47"	"26,1,1.47"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"56"	"6,1,41.99"	"8,1,1.90"	"10,1,7"	"9,1,1.90"	"11,1,7"	"12,1,1.22"	"14,1,1.22"	"16,1,1.48"	"18,1,1.48"	"20,1,1.48"	"22,1,1.48"	"24,1,1.48"	"26,1,1.48"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"57"	"6,1,43.12"	"8,1,1.91"	"10,1,8"	"9,1,1.91"	"11,1,8"	"12,1,1.27"	"14,1,1.27"	"16,1,1.49"	"18,1,1.49"	"20,1,1.49"	"22,1,1.49"	"24,1,1.49"	"26,1,1.49"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"58"	"6,1,44.25"	"8,1,1.92"	"10,1,9"	"9,1,1.92"	"11,1,9"	"12,1,1.32"	"14,1,1.32"	"16,1,1.50"	"18,1,1.50"	"20,1,1.50"	"22,1,1.50"	"24,1,1.50"	"26,1,1.50"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"59"	"6,1,45.39"	"8,1,1.93"	"10,1,10"	"9,1,1.93"	"11,1,10"	"12,1,1.37"	"14,1,1.37"	"16,1,1.51"	"18,1,1.51"	"20,1,1.51"	"22,1,1.51"	"24,1,1.51"	"26,1,1.51"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"60"	"6,1,46.55"	"8,1,1.94"	"10,1,11"	"9,1,1.94"	"11,1,11"	"12,1,10"	"14,1,1.42"	"16,1,1.52"	"18,1,1.52"	"20,1,1.52"	"22,1,1.52"	"24,1,1.52"	"26,1,1.52"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"61"	"6,1,48"	"8,1,2"	"10,1,12"	"9,1,1.95"	"11,1,12"	"12,1,11"	"14,1,1"	"16,1,1.53"	"18,1,1.53"	"20,1,1.53"	"22,1,1.53"	"24,1,1.53"	"26,1,1.53"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"62"	"6,1,48.88"	"8,1,2.1"	"10,1,13"	"9,1,1.96"	"11,1,13"	"12,1,12"	"14,1,1.04"	"16,1,1.54"	"18,1,1.54"	"20,1,1.54"	"22,1,1.54"	"24,1,1.54"	"26,1,1.54"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"63"	"6,1,50.06"	"8,1,2.2"	"10,1,14"	"9,1,1.97"	"11,1,14"	"12,1,13"	"14,1,1.08"	"16,1,1.55"	"18,1,1.55"	"20,1,1.55"	"22,1,1.55"	"24,1,1.55"	"26,1,1.55"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"64"	"6,1,51.26"	"8,1,2.3"	"10,1,15"	"9,1,1.98"	"11,1,15"	"12,1,14"	"14,1,1.12"	"16,1,1.56"	"18,1,1.56"	"20,1,1.56"	"22,1,1.56"	"24,1,1.56"	"26,1,1.56"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"65"	"6,1,52.46"	"8,1,2.4"	"10,1,16"	"9,1,1.99"	"11,1,16"	"12,1,15"	"14,1,1.17"	"16,1,1.57"	"18,1,1.57"	"20,1,1.57"	"22,1,1.57"	"24,1,1.57"	"26,1,1.57"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"66"	"6,1,53.67"	"8,1,2.5"	"10,1,17"	"9,1,1.100"	"11,1,17"	"12,1,16"	"14,1,1.22"	"16,1,1.58"	"18,1,1.58"	"20,1,1.58"	"22,1,1.58"	"24,1,1.58"	"26,1,1.58"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"67"	"6,1,54.89"	"8,1,2.6"	"10,1,18"	"9,1,1.101"	"11,1,18"	"12,1,17"	"14,1,1.27"	"16,1,1.59"	"18,1,1.59"	"20,1,1.59"	"22,1,1.59"	"24,1,1.59"	"26,1,1.59"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"68"	"6,1,56.12"	"8,1,2.7"	"10,1,19"	"9,1,1.102"	"11,1,19"	"12,1,18"	"14,1,1.32"	"16,1,1.60"	"18,1,1.60"	"20,1,1.60"	"22,1,1.60"	"24,1,1.60"	"26,1,1.60"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"69"	"6,1,57.36"	"8,1,2.8"	"10,1,20"	"9,1,1.103"	"11,1,20"	"12,1,19"	"14,1,1.37"	"16,1,1.61"	"18,1,1.61"	"20,1,1.61"	"22,1,1.61"	"24,1,1.61"	"26,1,1.61"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"70"	"6,1,58.6"	"8,1,3"	"10,1,21"	"9,1,1.104"	"11,1,21"	"12,1,20"	"14,1,1.42"	"16,1,1.62"	"18,1,1.62"	"20,1,1.62"	"22,1,1.62"	"24,1,1.62"	"26,1,1.62"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"71"	"6,1,59.86"	"8,1,3"	"10,1,22"	"9,1,1.105"	"11,1,22"	"12,1,21"	"14,1,1"	"16,1,1.63"	"18,1,1.63"	"20,1,1.63"	"22,1,1.63"	"24,1,1.63"	"26,1,1.63"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"72"	"6,1,61.13"	"8,1,3.1"	"10,1,23"	"9,1,1.106"	"11,1,23"	"12,1,22"	"14,1,1.04"	"16,1,1.64"	"18,1,1.64"	"20,1,1.64"	"22,1,1.64"	"24,1,1.64"	"26,1,1.64"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"73"	"6,1,62.4"	"8,1,3.2"	"10,1,24"	"9,1,1.107"	"11,1,24"	"12,1,23"	"14,1,1.08"	"16,1,1.65"	"18,1,1.65"	"20,1,1.65"	"22,1,1.65"	"24,1,1.65"	"26,1,1.65"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"74"	"6,1,63.69"	"8,1,3.3"	"10,1,25"	"9,1,1.108"	"11,1,25"	"12,1,24"	"14,1,1.12"	"16,1,1.66"	"18,1,1.66"	"20,1,1.66"	"22,1,1.66"	"24,1,1.66"	"26,1,1.66"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"75"	"6,1,64.98"	"8,1,3.4"	"10,1,26"	"9,1,1.109"	"11,1,26"	"12,1,25"	"14,1,1.17"	"16,1,1.67"	"18,1,1.67"	"20,1,1.67"	"22,1,1.67"	"24,1,1.67"	"26,1,1.67"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"76"	"6,1,66.28"	"8,1,3.5"	"10,1,27"	"9,1,1.110"	"11,1,27"	"12,1,26"	"14,1,1.22"	"16,1,1.68"	"18,1,1.68"	"20,1,1.68"	"22,1,1.68"	"24,1,1.68"	"26,1,1.68"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"77"	"6,1,67.59"	"8,1,3.6"	"10,1,28"	"9,1,1.111"	"11,1,28"	"12,1,27"	"14,1,1.27"	"16,1,1.69"	"18,1,1.69"	"20,1,1.69"	"22,1,1.69"	"24,1,1.69"	"26,1,1.69"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"78"	"6,1,68.91"	"8,1,3.7"	"10,1,29"	"9,1,1.112"	"11,1,29"	"12,1,28"	"14,1,1.32"	"16,1,1.70"	"18,1,1.70"	"20,1,1.70"	"22,1,1.70"	"24,1,1.70"	"26,1,1.70"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
