"提炼ID"	"提炼等级"	"提炼节点"	"升级经验"	"加成属性_1"	"加成属性_2"	"加成属性_3"	"加成属性_4"	"加成属性_5"	"加成属性_6"	"加成属性_7"	
"15"	"2"	"5"	"40"	"0,0,1320"	"1,0,66"	"2,0,33"	"8,0,3"	"10,0,3"	"18,0,3"	"16,0,3"	
"16"	"2"	"6"	"40"	"0,0,1481"	"1,0,74"	"2,0,37"	"8,0,4"	"10,0,4"	"18,0,4"	"16,0,4"	
"17"	"2"	"7"	"40"	"0,0,1635"	"1,0,81"	"2,0,40"	"8,0,4"	"10,0,4"	"18,0,4"	"16,0,4"	
"18"	"2"	"8"	"40"	"0,0,1796"	"1,0,89"	"2,0,44"	"8,0,5"	"10,0,5"	"18,0,5"	"16,0,5"	
"19"	"2"	"9"	"40"	"0,0,1956"	"1,0,97"	"2,0,48"	"8,0,5"	"10,0,5"	"18,0,5"	"16,0,5"	
"20"	"2"	"10"	"40"	"0,0,2111"	"1,0,105"	"2,0,52"	"8,0,6"	"10,0,6"	"18,0,6"	"16,0,6"	
"21"	"3"	"1"	"70"	"0,0,2376"	"1,0,118"	"2,0,59"	"8,0,7"	"10,0,7"	"18,0,7"	"16,0,7"	
"22"	"3"	"2"	"70"	"0,0,2641"	"1,0,132"	"2,0,66"	"8,0,7"	"10,0,7"	"18,0,7"	"16,0,7"	
"23"	"3"	"3"	"70"	"0,0,2907"	"1,0,145"	"2,0,72"	"8,0,8"	"10,0,8"	"18,0,8"	"16,0,8"	
"24"	"3"	"4"	"70"	"0,0,3172"	"1,0,158"	"2,0,79"	"8,0,9"	"10,0,9"	"18,0,9"	"16,0,9"	
"25"	"3"	"5"	"70"	"0,0,3438"	"1,0,171"	"2,0,85"	"8,0,10"	"10,0,10"	"18,0,10"	"16,0,10"	
"26"	"3"	"6"	"70"	"0,0,3703"	"1,0,185"	"2,0,92"	"8,0,11"	"10,0,11"	"18,0,11"	"16,0,11"	
"27"	"3"	"7"	"70"	"0,0,3969"	"1,0,198"	"2,0,99"	"8,0,11"	"10,0,11"	"18,0,11"	"16,0,11"	
"28"	"3"	"8"	"70"	"0,0,4228"	"1,0,211"	"2,0,105"	"8,0,12"	"10,0,12"	"18,0,12"	"16,0,12"	
"29"	"3"	"9"	"70"	"0,0,4493"	"1,0,224"	"2,0,112"	"8,0,13"	"10,0,13"	"18,0,13"	"16,0,13"	
"30"	"3"	"10"	"70"	"0,0,4759"	"1,0,237"	"2,0,118"	"8,0,14"	"10,0,14"	"18,0,14"	"16,0,14"	
"31"	"4"	"1"	"110"	"0,0,5129"	"1,0,256"	"2,0,128"	"8,0,15"	"10,0,15"	"18,0,15"	"16,0,15"	
"32"	"4"	"2"	"110"	"0,0,5500"	"1,0,275"	"2,0,137"	"8,0,16"	"10,0,16"	"18,0,16"	"16,0,16"	
"33"	"4"	"3"	"110"	"0,0,5870"	"1,0,293"	"2,0,146"	"8,0,17"	"10,0,17"	"18,0,17"	"16,0,17"	
"34"	"4"	"4"	"110"	"0,0,6240"	"1,0,312"	"2,0,156"	"8,0,18"	"10,0,18"	"18,0,18"	"16,0,18"	
"35"	"4"	"5"	"110"	"0,0,6611"	"1,0,330"	"2,0,165"	"8,0,19"	"10,0,19"	"18,0,19"	"16,0,19"	
"36"	"4"	"6"	"110"	"0,0,6981"	"1,0,349"	"2,0,174"	"8,0,20"	"10,0,20"	"18,0,20"	"16,0,20"	
"37"	"4"	"7"	"110"	"0,0,7351"	"1,0,367"	"2,0,183"	"8,0,22"	"10,0,22"	"18,0,22"	"16,0,22"	
"38"	"4"	"8"	"110"	"0,0,7722"	"1,0,386"	"2,0,193"	"8,0,23"	"10,0,23"	"18,0,23"	"16,0,23"	
"39"	"4"	"9"	"110"	"0,0,8092"	"1,0,404"	"2,0,202"	"8,0,24"	"10,0,24"	"18,0,24"	"16,0,24"	
"40"	"4"	"10"	"110"	"0,0,8462"	"1,0,423"	"2,0,211"	"8,0,25"	"10,0,25"	"18,0,25"	"16,0,25"	
"41"	"5"	"1"	"150"	"0,0,8944"	"1,0,447"	"2,0,223"	"8,0,26"	"10,0,26"	"18,0,26"	"16,0,26"	
"42"	"5"	"2"	"150"	"0,0,9419"	"1,0,470"	"2,0,235"	"8,0,28"	"10,0,28"	"18,0,28"	"16,0,28"	
"43"	"5"	"3"	"150"	"0,0,9895"	"1,0,494"	"2,0,247"	"8,0,29"	"10,0,29"	"18,0,29"	"16,0,29"	
"44"	"5"	"4"	"150"	"0,0,10370"	"1,0,518"	"2,0,259"	"8,0,31"	"10,0,31"	"18,0,31"	"16,0,31"	
"45"	"5"	"5"	"150"	"0,0,10845"	"1,0,542"	"2,0,271"	"8,0,32"	"10,0,32"	"18,0,32"	"16,0,32"	
"46"	"5"	"6"	"150"	"0,0,11320"	"1,0,566"	"2,0,283"	"8,0,33"	"10,0,33"	"18,0,33"	"16,0,33"	
"47"	"5"	"7"	"150"	"0,0,11802"	"1,0,590"	"2,0,295"	"8,0,35"	"10,0,35"	"18,0,35"	"16,0,35"	
"48"	"5"	"8"	"150"	"0,0,12277"	"1,0,613"	"2,0,306"	"8,0,36"	"10,0,36"	"18,0,36"	"16,0,36"	
"49"	"5"	"9"	"150"	"0,0,12753"	"1,0,637"	"2,0,318"	"8,0,38"	"10,0,38"	"18,0,38"	"16,0,38"	
"50"	"5"	"10"	"150"	"0,0,13228"	"1,0,661"	"2,0,330"	"8,0,39"	"10,0,39"	"18,0,39"	"16,0,39"	
"51"	"6"	"1"	"210"	"0,0,13808"	"1,0,690"	"2,0,345"	"8,0,41"	"10,0,41"	"18,0,41"	"16,0,41"	
"52"	"6"	"2"	"210"	"0,0,14395"	"1,0,719"	"2,0,359"	"8,0,43"	"10,0,43"	"18,0,43"	"16,0,43"	
"53"	"6"	"3"	"210"	"0,0,14975"	"1,0,748"	"2,0,374"	"8,0,44"	"10,0,44"	"18,0,44"	"16,0,44"	
"54"	"6"	"4"	"210"	"0,0,15555"	"1,0,777"	"2,0,388"	"8,0,46"	"10,0,46"	"18,0,46"	"16,0,46"	
"55"	"6"	"5"	"210"	"0,0,16141"	"1,0,807"	"2,0,403"	"8,0,48"	"10,0,48"	"18,0,48"	"16,0,48"	
"56"	"6"	"6"	"210"	"0,0,16722"	"1,0,836"	"2,0,418"	"8,0,50"	"10,0,50"	"18,0,50"	"16,0,50"	
"57"	"6"	"7"	"210"	"0,0,17302"	"1,0,865"	"2,0,432"	"8,0,51"	"10,0,51"	"18,0,51"	"16,0,51"	
"58"	"6"	"8"	"210"	"0,0,17888"	"1,0,894"	"2,0,447"	"8,0,53"	"10,0,53"	"18,0,53"	"16,0,53"	
"59"	"6"	"9"	"210"	"0,0,18469"	"1,0,923"	"2,0,461"	"8,0,55"	"10,0,55"	"18,0,55"	"16,0,55"	
"60"	"6"	"10"	"210"	"0,0,19049"	"1,0,952"	"2,0,476"	"8,0,57"	"10,0,57"	"18,0,57"	"16,0,57"	
"61"	"7"	"1"	"270"	"0,0,19740"	"1,0,987"	"2,0,493"	"8,0,59"	"10,0,59"	"18,0,59"	"16,0,59"	
"62"	"7"	"2"	"270"	"0,0,20425"	"1,0,1021"	"2,0,510"	"8,0,61"	"10,0,61"	"18,0,61"	"16,0,61"	
"63"	"7"	"3"	"270"	"0,0,21117"	"1,0,1055"	"2,0,527"	"8,0,63"	"10,0,63"	"18,0,63"	"16,0,63"	
"64"	"7"	"4"	"270"	"0,0,21802"	"1,0,1090"	"2,0,545"	"8,0,65"	"10,0,65"	"18,0,65"	"16,0,65"	
"65"	"7"	"5"	"270"	"0,0,22493"	"1,0,1124"	"2,0,562"	"8,0,67"	"10,0,67"	"18,0,67"	"16,0,67"	
"66"	"7"	"6"	"270"	"0,0,23179"	"1,0,1158"	"2,0,579"	"8,0,69"	"10,0,69"	"18,0,69"	"16,0,69"	
"67"	"7"	"7"	"270"	"0,0,23870"	"1,0,1193"	"2,0,596"	"8,0,71"	"10,0,71"	"18,0,71"	"16,0,71"	
"68"	"7"	"8"	"270"	"0,0,24555"	"1,0,1227"	"2,0,613"	"8,0,73"	"10,0,73"	"18,0,73"	"16,0,73"	
"69"	"7"	"9"	"270"	"0,0,25246"	"1,0,1262"	"2,0,631"	"8,0,75"	"10,0,75"	"18,0,75"	"16,0,75"	
"70"	"7"	"10"	"270"	"0,0,25932"	"1,0,1296"	"2,0,648"	"8,0,77"	"10,0,77"	"18,0,77"	"16,0,77"	
"71"	"8"	"1"	"340"	"0,0,26728"	"1,0,1336"	"2,0,668"	"8,0,80"	"10,0,80"	"18,0,80"	"16,0,80"	
"72"	"8"	"2"	"340"	"0,0,27518"	"1,0,1375"	"2,0,687"	"8,0,82"	"10,0,82"	"18,0,82"	"16,0,82"	
"73"	"8"	"3"	"340"	"0,0,28314"	"1,0,1415"	"2,0,707"	"8,0,84"	"10,0,84"	"18,0,84"	"16,0,84"	
"74"	"8"	"4"	"340"	"0,0,29111"	"1,0,1455"	"2,0,727"	"8,0,87"	"10,0,87"	"18,0,87"	"16,0,87"	
"75"	"8"	"5"	"340"	"0,0,29901"	"1,0,1495"	"2,0,747"	"8,0,89"	"10,0,89"	"18,0,89"	"16,0,89"	
"76"	"8"	"6"	"340"	"0,0,30697"	"1,0,1534"	"2,0,767"	"8,0,92"	"10,0,92"	"18,0,92"	"16,0,92"	
"77"	"8"	"7"	"340"	"0,0,31487"	"1,0,1574"	"2,0,787"	"8,0,94"	"10,0,94"	"18,0,94"	"16,0,94"	
"78"	"8"	"8"	"340"	"0,0,32283"	"1,0,1614"	"2,0,807"	"8,0,96"	"10,0,96"	"18,0,96"	"16,0,96"	
"79"	"8"	"9"	"340"	"0,0,33080"	"1,0,1654"	"2,0,827"	"8,0,99"	"10,0,99"	"18,0,99"	"16,0,99"	
"80"	"8"	"10"	"340"	"0,0,33870"	"1,0,1693"	"2,0,846"	"8,0,101"	"10,0,101"	"18,0,101"	"16,0,101"	
"81"	"9"	"1"	"410"	"0,0,34771"	"1,0,1738"	"2,0,869"	"8,0,104"	"10,0,104"	"18,0,104"	"16,0,104"	
"82"	"9"	"2"	"410"	"0,0,35672"	"1,0,1783"	"2,0,891"	"8,0,107"	"10,0,107"	"18,0,107"	"16,0,107"	
"83"	"9"	"3"	"410"	"0,0,36574"	"1,0,1828"	"2,0,914"	"8,0,109"	"10,0,109"	"18,0,109"	"16,0,109"	
"84"	"9"	"4"	"410"	"0,0,37469"	"1,0,1873"	"2,0,936"	"8,0,112"	"10,0,112"	"18,0,112"	"16,0,112"	
"85"	"9"	"5"	"410"	"0,0,38370"	"1,0,1918"	"2,0,959"	"8,0,115"	"10,0,115"	"18,0,115"	"16,0,115"	
"86"	"9"	"6"	"410"	"0,0,39271"	"1,0,1963"	"2,0,981"	"8,0,117"	"10,0,117"	"18,0,117"	"16,0,117"	
"87"	"9"	"7"	"410"	"0,0,40172"	"1,0,2008"	"2,0,1004"	"8,0,120"	"10,0,120"	"18,0,120"	"16,0,120"	
"88"	"9"	"8"	"410"	"0,0,41067"	"1,0,2053"	"2,0,1026"	"8,0,123"	"10,0,123"	"18,0,123"	"16,0,123"	
"89"	"9"	"9"	"410"	"0,0,41969"	"1,0,2098"	"2,0,1049"	"8,0,125"	"10,0,125"	"18,0,125"	"16,0,125"	
"90"	"9"	"10"	"410"	"0,0,42870"	"1,0,2143"	"2,0,1071"	"8,0,128"	"10,0,128"	"18,0,128"	"16,0,128"	
"91"	"10"	"1"	"490"	"0,0,43876"	"1,0,2193"	"2,0,1096"	"8,0,131"	"10,0,131"	"18,0,131"	"16,0,131"	
"92"	"10"	"2"	"490"	"0,0,44882"	"1,0,2244"	"2,0,1122"	"8,0,134"	"10,0,134"	"18,0,134"	"16,0,134"	
"93"	"10"	"3"	"490"	"0,0,45888"	"1,0,2294"	"2,0,1147"	"8,0,137"	"10,0,137"	"18,0,137"	"16,0,137"	
"94"	"10"	"4"	"490"	"0,0,46895"	"1,0,2344"	"2,0,1172"	"8,0,140"	"10,0,140"	"18,0,140"	"16,0,140"	
"95"	"10"	"5"	"490"	"0,0,47901"	"1,0,2395"	"2,0,1197"	"8,0,143"	"10,0,143"	"18,0,143"	"16,0,143"	
"96"	"10"	"6"	"490"	"0,0,48901"	"1,0,2445"	"2,0,1222"	"8,0,146"	"10,0,146"	"18,0,146"	"16,0,146"	
"97"	"10"	"7"	"490"	"0,0,49907"	"1,0,2495"	"2,0,1247"	"8,0,149"	"10,0,149"	"18,0,149"	"16,0,149"	
"98"	"10"	"8"	"490"	"0,0,50913"	"1,0,2545"	"2,0,1272"	"8,0,152"	"10,0,152"	"18,0,152"	"16,0,152"	
"99"	"10"	"9"	"490"	"0,0,51919"	"1,0,2595"	"2,0,1297"	"8,0,155"	"10,0,155"	"18,0,155"	"16,0,155"	
"100"	"10"	"10"	"490"	"0,0,52925"	"1,0,2646"	"2,0,1323"	"8,0,158"	"10,0,158"	"18,0,158"	"16,0,158"	
"101"	"11"	"1"	"580"	"0,0,54037"	"1,0,2701"	"2,0,1350"	"8,0,162"	"10,0,162"	"18,0,162"	"16,0,162"	
"102"	"11"	"2"	"580"	"0,0,55148"	"1,0,2757"	"2,0,1378"	"8,0,165"	"10,0,165"	"18,0,165"	"16,0,165"	
"103"	"11"	"3"	"580"	"0,0,56259"	"1,0,2812"	"2,0,1406"	"8,0,168"	"10,0,168"	"18,0,168"	"16,0,168"	
"104"	"11"	"4"	"580"	"0,0,57370"	"1,0,2868"	"2,0,1434"	"8,0,172"	"10,0,172"	"18,0,172"	"16,0,172"	
"105"	"11"	"5"	"580"	"0,0,58481"	"1,0,2924"	"2,0,1462"	"8,0,175"	"10,0,175"	"18,0,175"	"16,0,175"	
"106"	"11"	"6"	"580"	"0,0,59598"	"1,0,2979"	"2,0,1489"	"8,0,178"	"10,0,178"	"18,0,178"	"16,0,178"	
"107"	"11"	"7"	"580"	"0,0,60709"	"1,0,3035"	"2,0,1517"	"8,0,182"	"10,0,182"	"18,0,182"	"16,0,182"	
"108"	"11"	"8"	"580"	"0,0,61820"	"1,0,3091"	"2,0,1545"	"8,0,185"	"10,0,185"	"18,0,185"	"16,0,185"	
"109"	"11"	"9"	"580"	"0,0,62932"	"1,0,3146"	"2,0,1573"	"8,0,188"	"10,0,188"	"18,0,188"	"16,0,188"	
"110"	"11"	"10"	"580"	"0,0,64043"	"1,0,3202"	"2,0,1601"	"8,0,192"	"10,0,192"	"18,0,192"	"16,0,192"	
"111"	"12"	"1"	"670"	"0,0,65259"	"1,0,3262"	"2,0,1631"	"8,0,195"	"10,0,195"	"18,0,195"	"16,0,195"	
"112"	"12"	"2"	"670"	"0,0,66475"	"1,0,3323"	"2,0,1661"	"8,0,199"	"10,0,199"	"18,0,199"	"16,0,199"	
"113"	"12"	"3"	"670"	"0,0,67691"	"1,0,3384"	"2,0,1692"	"8,0,203"	"10,0,203"	"18,0,203"	"16,0,203"	
"114"	"12"	"4"	"670"	"0,0,68913"	"1,0,3445"	"2,0,1722"	"8,0,206"	"10,0,206"	"18,0,206"	"16,0,206"	
"115"	"12"	"5"	"670"	"0,0,70129"	"1,0,3506"	"2,0,1753"	"8,0,210"	"10,0,210"	"18,0,210"	"16,0,210"	
"116"	"12"	"6"	"670"	"0,0,71345"	"1,0,3567"	"2,0,1783"	"8,0,214"	"10,0,214"	"18,0,214"	"16,0,214"	
"117"	"12"	"7"	"670"	"0,0,72561"	"1,0,3628"	"2,0,1814"	"8,0,217"	"10,0,217"	"18,0,217"	"16,0,217"	
"118"	"12"	"8"	"670"	"0,0,73783"	"1,0,3689"	"2,0,1844"	"8,0,221"	"10,0,221"	"18,0,221"	"16,0,221"	
"119"	"12"	"9"	"670"	"0,0,75000"	"1,0,3750"	"2,0,1875"	"8,0,225"	"10,0,225"	"18,0,225"	"16,0,225"	
"120"	"12"	"10"	"670"	"0,0,76216"	"1,0,3810"	"2,0,1905"	"8,0,228"	"10,0,228"	"18,0,228"	"16,0,228"	
"121"	"13"	"1"	"770"	"0,0,77537"	"1,0,3876"	"2,0,1938"	"8,0,232"	"10,0,232"	"18,0,232"	"16,0,232"	
"122"	"13"	"2"	"770"	"0,0,78864"	"1,0,3943"	"2,0,1971"	"8,0,236"	"10,0,236"	"18,0,236"	"16,0,236"	
"123"	"13"	"3"	"770"	"0,0,80185"	"1,0,4009"	"2,0,2004"	"8,0,240"	"10,0,240"	"18,0,240"	"16,0,240"	
"124"	"13"	"4"	"770"	"0,0,81506"	"1,0,4075"	"2,0,2037"	"8,0,244"	"10,0,244"	"18,0,244"	"16,0,244"	
"125"	"13"	"5"	"770"	"0,0,82833"	"1,0,4141"	"2,0,2070"	"8,0,248"	"10,0,248"	"18,0,248"	"16,0,248"	
"126"	"13"	"6"	"770"	"0,0,84154"	"1,0,4207"	"2,0,2103"	"8,0,252"	"10,0,252"	"18,0,252"	"16,0,252"	
"127"	"13"	"7"	"770"	"0,0,85481"	"1,0,4274"	"2,0,2137"	"8,0,256"	"10,0,256"	"18,0,256"	"16,0,256"	
"128"	"13"	"8"	"770"	"0,0,86802"	"1,0,4340"	"2,0,2170"	"8,0,260"	"10,0,260"	"18,0,260"	"16,0,260"	
"129"	"13"	"9"	"770"	"0,0,88123"	"1,0,4406"	"2,0,2203"	"8,0,264"	"10,0,264"	"18,0,264"	"16,0,264"	
"130"	"13"	"10"	"770"	"0,0,89450"	"1,0,4472"	"2,0,2236"	"8,0,268"	"10,0,268"	"18,0,268"	"16,0,268"	
"131"	"14"	"1"	"880"	"0,0,90876"	"1,0,4543"	"2,0,2271"	"8,0,272"	"10,0,272"	"18,0,272"	"16,0,272"	
"132"	"14"	"2"	"880"	"0,0,92308"	"1,0,4615"	"2,0,2307"	"8,0,276"	"10,0,276"	"18,0,276"	"16,0,276"	
"133"	"14"	"3"	"880"	"0,0,93734"	"1,0,4686"	"2,0,2343"	"8,0,281"	"10,0,281"	"18,0,281"	"16,0,281"	
"134"	"14"	"4"	"880"	"0,0,95166"	"1,0,4758"	"2,0,2379"	"8,0,285"	"10,0,285"	"18,0,285"	"16,0,285"	
"135"	"14"	"5"	"880"	"0,0,96592"	"1,0,4829"	"2,0,2414"	"8,0,289"	"10,0,289"	"18,0,289"	"16,0,289"	
"136"	"14"	"6"	"880"	"0,0,98024"	"1,0,4901"	"2,0,2450"	"8,0,294"	"10,0,294"	"18,0,294"	"16,0,294"	
"137"	"14"	"7"	"880"	"0,0,99450"	"1,0,4972"	"2,0,2486"	"8,0,298"	"10,0,298"	"18,0,298"	"16,0,298"	
"138"	"14"	"8"	"880"	"0,0,100882"	"1,0,5044"	"2,0,2522"	"8,0,302"	"10,0,302"	"18,0,302"	"16,0,302"	
"139"	"14"	"9"	"880"	"0,0,102308"	"1,0,5115"	"2,0,2557"	"8,0,306"	"10,0,306"	"18,0,306"	"16,0,306"	
"140"	"14"	"10"	"880"	"0,0,103740"	"1,0,5187"	"2,0,2593"	"8,0,311"	"10,0,311"	"18,0,311"	"16,0,311"	
"141"	"15"	"1"	"1000"	"0,0,105271"	"1,0,5263"	"2,0,2631"	"8,0,315"	"10,0,315"	"18,0,315"	"16,0,315"	
"142"	"15"	"2"	"1000"	"0,0,106808"	"1,0,5340"	"2,0,2670"	"8,0,320"	"10,0,320"	"18,0,320"	"16,0,320"	
"143"	"15"	"3"	"1000"	"0,0,108345"	"1,0,5417"	"2,0,2708"	"8,0,325"	"10,0,325"	"18,0,325"	"16,0,325"	
"144"	"15"	"4"	"1000"	"0,0,109876"	"1,0,5493"	"2,0,2746"	"8,0,329"	"10,0,329"	"18,0,329"	"16,0,329"	
"145"	"15"	"5"	"1000"	"0,0,111413"	"1,0,5570"	"2,0,2785"	"8,0,334"	"10,0,334"	"18,0,334"	"16,0,334"	
"146"	"15"	"6"	"1000"	"0,0,112950"	"1,0,5647"	"2,0,2823"	"8,0,338"	"10,0,338"	"18,0,338"	"16,0,338"	
"147"	"15"	"7"	"1000"	"0,0,114481"	"1,0,5724"	"2,0,2862"	"8,0,343"	"10,0,343"	"18,0,343"	"16,0,343"	
"148"	"15"	"8"	"1000"	"0,0,116018"	"1,0,5800"	"2,0,2900"	"8,0,348"	"10,0,348"	"18,0,348"	"16,0,348"	
"149"	"15"	"9"	"1000"	"0,0,117555"	"1,0,5877"	"2,0,2938"	"8,0,352"	"10,0,352"	"18,0,352"	"16,0,352"	
"150"	"15"	"10"	"1000"	"0,0,119086"	"1,0,5954"	"2,0,2977"	"8,0,357"	"10,0,357"	"18,0,357"	"16,0,357"	
"151"	"16"	"1"	"1120"	"0,0,120728"	"1,0,6036"	"2,0,3018"	"8,0,362"	"10,0,362"	"18,0,362"	"16,0,362"	
"152"	"16"	"2"	"1120"	"0,0,122370"	"1,0,6118"	"2,0,3059"	"8,0,367"	"10,0,367"	"18,0,367"	"16,0,367"	
"153"	"16"	"3"	"1120"	"0,0,124012"	"1,0,6200"	"2,0,3100"	"8,0,372"	"10,0,372"	"18,0,372"	"16,0,372"	
"154"	"16"	"4"	"1120"	"0,0,125654"	"1,0,6282"	"2,0,3141"	"8,0,376"	"10,0,376"	"18,0,376"	"16,0,376"	
"155"	"16"	"5"	"1120"	"0,0,127296"	"1,0,6364"	"2,0,3182"	"8,0,381"	"10,0,381"	"18,0,381"	"16,0,381"	
"156"	"16"	"6"	"1120"	"0,0,128932"	"1,0,6446"	"2,0,3223"	"8,0,386"	"10,0,386"	"18,0,386"	"16,0,386"	
"157"	"16"	"7"	"1120"	"0,0,130574"	"1,0,6528"	"2,0,3264"	"8,0,391"	"10,0,391"	"18,0,391"	"16,0,391"	
"158"	"16"	"8"	"1120"	"0,0,132216"	"1,0,6610"	"2,0,3305"	"8,0,396"	"10,0,396"	"18,0,396"	"16,0,396"	
"159"	"16"	"9"	"1120"	"0,0,133858"	"1,0,6692"	"2,0,3346"	"8,0,401"	"10,0,401"	"18,0,401"	"16,0,401"	
"160"	"16"	"10"	"1120"	"0,0,135500"	"1,0,6775"	"2,0,3387"	"8,0,406"	"10,0,406"	"18,0,406"	"16,0,406"	
"161"	"17"	"1"	"1250"	"0,0,137246"	"1,0,6862"	"2,0,3431"	"8,0,411"	"10,0,411"	"18,0,411"	"16,0,411"	
"162"	"17"	"2"	"1250"	"0,0,138993"	"1,0,6949"	"2,0,3474"	"8,0,416"	"10,0,416"	"18,0,416"	"16,0,416"	
"163"	"17"	"3"	"1250"	"0,0,140740"	"1,0,7037"	"2,0,3518"	"8,0,422"	"10,0,422"	"18,0,422"	"16,0,422"	
"164"	"17"	"4"	"1250"	"0,0,142481"	"1,0,7124"	"2,0,3562"	"8,0,427"	"10,0,427"	"18,0,427"	"16,0,427"	
"165"	"17"	"5"	"1250"	"0,0,144228"	"1,0,7211"	"2,0,3605"	"8,0,432"	"10,0,432"	"18,0,432"	"16,0,432"	
"166"	"17"	"6"	"1250"	"0,0,145975"	"1,0,7298"	"2,0,3649"	"8,0,437"	"10,0,437"	"18,0,437"	"16,0,437"	
"167"	"17"	"7"	"1250"	"0,0,147722"	"1,0,7386"	"2,0,3693"	"8,0,443"	"10,0,443"	"18,0,443"	"16,0,443"	
"168"	"17"	"8"	"1250"	"0,0,149469"	"1,0,7473"	"2,0,3736"	"8,0,448"	"10,0,448"	"18,0,448"	"16,0,448"	
"169"	"17"	"9"	"1250"	"0,0,151216"	"1,0,7560"	"2,0,3780"	"8,0,453"	"10,0,453"	"18,0,453"	"16,0,453"	
"170"	"17"	"10"	"1250"	"0,0,152962"	"1,0,7648"	"2,0,3824"	"8,0,458"	"10,0,458"	"18,0,458"	"16,0,458"	
"171"	"18"	"1"	"1380"	"0,0,154814"	"1,0,7740"	"2,0,3870"	"8,0,464"	"10,0,464"	"18,0,464"	"16,0,464"	
"172"	"18"	"2"	"1380"	"0,0,156666"	"1,0,7833"	"2,0,3916"	"8,0,470"	"10,0,470"	"18,0,470"	"16,0,470"	
"173"	"18"	"3"	"1380"	"0,0,158524"	"1,0,7926"	"2,0,3963"	"8,0,475"	"10,0,475"	"18,0,475"	"16,0,475"	
"174"	"18"	"4"	"1380"	"0,0,160376"	"1,0,8018"	"2,0,4009"	"8,0,481"	"10,0,481"	"18,0,481"	"16,0,481"	
"175"	"18"	"5"	"1380"	"0,0,162228"	"1,0,8111"	"2,0,4055"	"8,0,486"	"10,0,486"	"18,0,486"	"16,0,486"	
"176"	"18"	"6"	"1380"	"0,0,164080"	"1,0,8204"	"2,0,4102"	"8,0,492"	"10,0,492"	"18,0,492"	"16,0,492"	
"177"	"18"	"7"	"1380"	"0,0,165932"	"1,0,8296"	"2,0,4148"	"8,0,497"	"10,0,497"	"18,0,497"	"16,0,497"	
"178"	"18"	"8"	"1380"	"0,0,167783"	"1,0,8389"	"2,0,4194"	"8,0,503"	"10,0,503"	"18,0,503"	"16,0,503"	
"179"	"18"	"9"	"1380"	"0,0,169635"	"1,0,8481"	"2,0,4240"	"8,0,508"	"10,0,508"	"18,0,508"	"16,0,508"	
"180"	"18"	"10"	"1380"	"0,0,171487"	"1,0,8574"	"2,0,4287"	"8,0,514"	"10,0,514"	"18,0,514"	"16,0,514"	
