"坐骑ID"	"坐骑名字"	"坐骑级别1=初级坐骑；2=中级坐骑；3=高级坐骑；4=龙坐骑；5=限时坐骑"	"坐骑类别（首位，1为普通坐骑，2为幻形坐骑，3为多人坐骑）"	"有效期（天数永久填-1）"	"每个坐骑装备槽最大等级（不判断填-1）"	"坐骑最大阶（不判断填-1）"	"坐骑最大级（不判断填-1）"	"等阶"	"坐骑升级类型（对应RideLevelupConfig表中的类型，同类型可进行升级，0=未不可升级）"	"坐骑突破类型（对应RideBreakupConfig表中的类型，同类型可进行升级，0=未不可升级）"	"坐骑属性（针对幻形和多人，其他坐骑不读取填-1）（属性ID，属性值）"	"坐骑头像"	"新获得界面名称美术字"	"模型ID"	"坐骑界面坐标"	"坐骑界面角度"	"模型缩放"	"多人坐骑对应CreatureType的ID"	"坐骑主控者BUFF"	"跟随者BUFF（针对多人，其他坐骑不读取填-1）"	"基础移动速度"	"坐骑速度增量(百分比)"	"角色stand动画"	"角色srun动画"	"特效资源"	"特效挂点"	"排行榜中尺寸"	"排行榜中位置"	"排行榜中角度"	"商城中尺寸"	"商城中位置"	"商城中角度"	"新获得时尺寸"	"新获得时位置"	"新获得时角度"	"列表名称美术字"	"获取途径美术字"	"是否商城购买"	"跳转界面-1:不跳转数字：Gui表中的ID"	"标签页id-1:无数字：Gui表中的ID"	"法宝高度在玩家上坐骑后，法宝会抬起的高度，单位米比如上神雕后法宝高度就比普通马要高"	
"10008"	"布老虎"	"3"	"1008"	"-1"	"50"	"10"	"100"	"8"	"0"	"0"	"-1"	"icon_pet_png,rideicon_tiger"	"shenqiname,ridename08"	"50014"	"0.2,-1.8"	""	"2.5"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"4.6"	"-0.2,-2.5"	""	"1.8"	"0.1,-1.5"	""	"2.3"	"0.,-1.8"	""	"shenqiname,s_ridename08"	""	""	""	""	"0.6"	
"10009"	"神雕"	"3"	"1009"	"-1"	"50"	"10"	"100"	"9"	"0"	"0"	"-1"	"icon_pet_png,rideicon_brid"	"shenqiname,ridename09"	"50015"	"-0.3,-4.5"	""	"4"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"5.5"	"0.6,-5"	""	"5"	"0.1,-5"	""	"4.3"	"0,-5.3"	""	"shenqiname,s_ridename09"	""	""	""	""	"3.9"	
"10010"	"狮子球"	"3"	"1010"	"-1"	"50"	"10"	"100"	"10"	"0"	"0"	"-1"	"icon_pet_png,rideicon_lion"	"shenqiname,ridename10"	"50016"	"0,-2.4"	""	"3.3"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"4.9"	"-0.1,-2.7"	""	"2.5"	"0.1,-2"	""	"3"	"0.1,-2.5"	""	"shenqiname,s_ridename10"	""	""	""	""	"1.6"	
"20001"	"九色鹿"	"3"	"2003"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,8,500,10,500,12,500,14,500,16,500,18,500"	"icon_pet_png,icon_ride_jiuselu"	"shenqiname,ridename13"	"50001"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.4"	"0.2,-1.9"	""	"1.8"	"0.1,-1.4"	""	"2.2"	"0,-1.9"	""	"shenqiname,s_ridename13"	"Pic_sc,light_huodong"	"0"	""	""	"0.7"	
"20002"	"九尾狐"	"3"	"2004"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,50000,1,2000,2,1000,10,1000,12,1000"	"icon_pet_png,icon_ride_jiuweihu"	"shenqiname,ridename14"	"50009"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.3"	"0.1,-1.8"	""	"1.8"	"0.1,-1.4"	""	"2.1"	"0.2,-1.8"	""	"shenqiname,s_ridename14"	"Pic_sc,light_shouchong"	"0"	"200212"	"-1"	"0.4"	
"20003"	"蟒蛇"	"3"	"2001"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,2000,16,1000,18,1000"	"icon_pet_png,mangshe"	"shenqiname,ridename11"	"50011"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.5"	"0,-2"	"0,150,0"	"2.3"	"0.1,-1.5"	"0,150,0"	"2.6"	"0.2,-2.2"	"0,150,0"	"shenqiname,s_ridename11"	"Pic_sc,light_hualinshegui"	"0"	"200101"	"-1"	"1.4"	
"20004"	"大耳兔"	"3"	"2002"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"1,1500,2,1500,8,500,10,500"	"icon_pet_png,daertu"	"shenqiname,ridename12"	"50012"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.5"	"0.1,-2"	""	"1.8"	"0.1,-1.4"	""	"2.2"	"0.1,-1.9"	""	"shenqiname,s_ridename12"	"Pic_sc,light_shop"	"1"	""	""	"0.4"	
"20005"	"九色鹿(限时)"	"5"	"2003"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,8,500,10,500,12,500,14,500,16,500,18,500"	"icon_pet_png,icon_ride_jiuselu"	"shenqiname,ridename16"	"50001"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.4"	"0.2,-1.9"	""	"1.8"	"0.1,-1.4"	""	"2.2"	"0,-1.9"	""	"shenqiname,s_ridename13"	"Pic_sc,light_huodong"	"0"	""	""	"0.7"	
"20006"	"九尾狐(限时)"	"5"	"2004"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,50000,1,2000,2,1000,10,1000,12,1000"	"icon_pet_png,icon_ride_jiuweihu"	"shenqiname,ridename17"	"50009"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.3"	"0.1,-1.8"	""	"1.8"	"0.1,-1.4"	""	"2.1"	"0.2,-1.8"	""	"shenqiname,s_ridename14"	"Pic_sc,light_shouchong"	"0"	"200212"	"-1"	"0.4"	
"20007"	"蟒蛇(限时)"	"5"	"2001"	"1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,2000,16,1000,18,1000"	"icon_pet_png,mangshe"	"shenqiname,ridename18"	"50011"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.5"	"0,-2"	"0,150,0"	"2.3"	"0.1,-1.5"	"0,150,0"	"2.6"	"0.2,-2.2"	"0,150,0"	"shenqiname,s_ridename11"	"Pic_sc,light_hualinshegui"	"0"	"200101"	"-1"	"1.4"	
"20008"	"大耳兔(限时)"	"5"	"2002"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"1,1500,2,1500,8,500,10,500"	"icon_pet_png,daertu"	"shenqiname,ridename19"	"50012"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.5"	"0.1,-2"	""	"1.8"	"0.1,-1.4"	""	"2.2"	"0.1,-1.9"	""	"shenqiname,s_ridename12"	"Pic_sc,light_shop"	"1"	""	""	"0.8"	
"20009"	"狮子球"	"5"	"2005"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,rideicon_lion"	"shenqiname,ridename10"	"50016"	"0,-2.4"	""	"3.3"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"4.9"	"-0.1,-2.7"	""	"2.5"	"0.1,-2"	""	"3"	"0.1,-2.5"	""	"shenqiname,s_ridename22"	"Pic_sc,light_huodong"	"0"	""	""	"2.1"	
"20010"	"狮子球(限时)"	"5"	"2005"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,rideicon_lion"	"shenqiname,ridename10"	"50016"	"0,-2.4"	""	"3.3"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"4.9"	"-0.1,-2.7"	""	"2.5"	"0.1,-2"	""	"3"	"0.1,-2.5"	""	"shenqiname,s_ridename22"	"Pic_sc,light_huodong"	"0"	""	""	"2.1"	
"20011"	"神雕"	"5"	"2006"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,rideicon_brid"	"shenqiname,ridename27"	"50015"	"-0.3,-4.5"	""	"4"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"5.5"	"0.6,-5"	""	"5"	"0.1,-5"	""	"4.3"	"0,-5.3"	""	"shenqiname,s_ridename27"	"Pic_sc,light_huodong"	"0"	""	""	"3.9"	
"20012"	"神雕(限时)"	"5"	"2006"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,rideicon_brid"	"shenqiname,ridename28"	"50015"	"-0.3,-4.5"	""	"4"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"5.5"	"0.6,-5"	""	"5"	"0.1,-5"	""	"4.3"	"0,-5.3"	""	"shenqiname,s_ridename28"	"Pic_sc,light_huodong"	"0"	""	""	"3.9"	
"20013"	"布老虎"	"5"	"2007"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,rideicon_tiger"	"shenqiname,ridename25"	"50014"	"0.2,-1.8"	""	"2.5"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"4.6"	"-0.2,-2.5"	""	"1.8"	"0.1,-1.5"	""	"2.3"	"0,-1.8"	""	"shenqiname,s_ridename25"	"Pic_sc,light_huodong"	"0"	""	""	"0.6"	
"20014"	"布老虎(限时)"	"5"	"2007"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,rideicon_tiger"	"shenqiname,ridename26"	"50014"	"0.2,-1.8"	""	"2.5"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"4.6"	"-0.2,-2.5"	""	"1.8"	"0.1,-1.5"	""	"2.3"	"0,-1.8"	""	"shenqiname,s_ridename26"	"Pic_sc,light_huodong"	"0"	""	""	"0.6"	
"20015"	"岩龙王"	"5"	"2008"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,40000,1,2500,2,1500,14,1000,16,500"	"icon_pet_png,ride_yanlongwang"	"shenqiname,ridename29"	"50020"	"0,-1.6"	""	"2.3"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"4.5"	"0,-2.5"	""	"2"	"0,-1.5"	""	"2.3"	"0,-1.9"	""	"shenqiname,s_ridename29"	"Pic_sc,light_huodong"	"0"	""	""	"1.1"	
"20016"	"岩龙王(限时)"	"5"	"2008"	"2"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,40000,1,2500,2,1500,14,1000,16,500"	"icon_pet_png,ride_yanlongwang"	"shenqiname,ridename30"	"50020"	"0,-1.6"	""	"2.3"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"4.5"	"0,-2.5"	""	"2"	"0,-1.5"	""	"2.3"	"0,-1.9"	""	"shenqiname,s_ridename30"	"Pic_sc,light_huodong"	"0"	""	""	"1.1"	
"20017"	"冥火凤"	"5"	"2009"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,60000,1,2500,2,500,8,1000,18,500"	"icon_pet_png,ride_minghuofeng"	"shenqiname,ridename23"	"50019"	"0.2,-3.6"	""	"4"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"7"	"-0.1,-4"	""	"2.5"	"0.1,-3.5"	""	"4"	"0,-4"	""	"shenqiname,s_ridename23"	"Pic_sc,light_shop"	"1"	""	""	"3"	
"20018"	"冥火凤(限时)"	"5"	"2009"	"2"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,60000,1,2500,2,500,8,1000,18,500"	"icon_pet_png,ride_minghuofeng"	"shenqiname,ridename24"	"50019"	"0.2,-3.6"	""	"4"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"5.5"	"0.6,-5"	""	"2.5"	"0.1,-3.5"	""	"4"	"0,-4"	""	"shenqiname,s_ridename24"	"Pic_sc,light_shop"	"1"	""	""	"3"	
"30001"	"神雕（多人）"	"3"	"3001"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,8,500,10,500,12,500,14,500,16,500,18,500"	"icon_pet_png,rideicon_brid"	"shenqiname,ridename15"	"50004"	""	""	"4"	"51301"	"50000002"	"50000003"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"5.5"	"0.6,-5"	""	"5"	"0.1,-5"	""	"4.3"	"0,-5.3"	""	"shenqiname,s_ridename15"	"Pic_sc,light_huodong"	"0"	""	""	"3.9"	
