"ID"	"节点名称"	"节点增加属性（属性ID对应AttributeFormat表）"	"激活所需物品1(ID,数量)"	"激活所需物品2(ID,数量)"	"激活所需物品3(ID,数量)"	"节点类型（0为小点，1为大点）"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"54"	"白泽之刚"	"18,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"55"	"白泽之血2"	"51,3"	"100001,10000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"56"	"白泽之力2"	"47,2"	"100001,10000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"57"	"白泽之盾2"	"48,2"	"100001,10000"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"58"	"白泽之韧2"	"14,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"59"	"白泽之心2"	"16,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"60"	"白泽之刚2"	"18,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"61"	"金蟾之血"	"0,585"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"62"	"金蟾之力"	"1,33"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"63"	"金蟾之盾"	"2,33"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"64"	"金蟾之眼"	"8,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"65"	"金蟾之翼"	"10,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"66"	"金蟾之怒"	"12,5"	"100001,1000"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"67"	"金蟾之韧"	"14,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"68"	"金蟾之心"	"16,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"69"	"金蟾之刚"	"18,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70"	"金蟾之血2"	"0,1585"	"100001,10000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"71"	"金蟾之力2"	"1,133"	"100001,10000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"72"	"金蟾之盾2"	"2,133"	"100001,10000"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"73"	"金蟾之眼2"	"8,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"74"	"金蟾之翼2"	"10,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"75"	"金蟾之怒2"	"12,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020101"	"貔貅之血"	"0,3240"	"100044,4"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020102"	"貔貅之力"	"1,135"	"100044,5"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020103"	"貔貅之盾"	"2,202"	"100044,5"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020104"	"貔貅之怒"	"1,135"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020105"	"貔貅之韧"	"0,3240"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020106"	"貔貅之爪"	"1,135"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020107"	"貔貅之眼"	"10,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020108"	"貔貅之心"	"12,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020109"	"貔貅之灵"	"18,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020110"	"貔貅之骨"	"0,3240"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020111"	"貔貅之牙"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020112"	"貔貅之刚"	"2,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020113"	"貔貅之尾"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020114"	"貔貅之魂"	"0,3240"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020115"	"貔貅之烈"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020201"	"角端之血"	"0,3240"	"100044,4"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020202"	"角端之力"	"1,135"	"100044,5"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020203"	"角端之盾"	"2,202"	"100044,5"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020204"	"角端之怒"	"1,135"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020205"	"角端之韧"	"0,3240"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020206"	"角端之爪"	"1,135"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020207"	"角端之眼"	"8,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020208"	"角端之心"	"14,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020209"	"角端之灵"	"16,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020210"	"角端之骨"	"0,3240"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020211"	"角端之牙"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020212"	"角端之刚"	"2,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020213"	"角端之尾"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020214"	"角端之魂"	"0,3240"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020215"	"角端之烈"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020301"	"陆吾之血"	"0,3240"	"100044,4"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020302"	"陆吾之力"	"1,135"	"100044,5"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020303"	"陆吾之盾"	"2,202"	"100044,5"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020304"	"陆吾之怒"	"1,135"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020305"	"陆吾之韧"	"0,3240"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020306"	"陆吾之爪"	"1,135"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020307"	"陆吾之眼"	"10,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020308"	"陆吾之心"	"12,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020309"	"陆吾之灵"	"18,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020310"	"陆吾之骨"	"0,3240"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020311"	"陆吾之牙"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020312"	"陆吾之刚"	"2,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020313"	"陆吾之尾"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020314"	"陆吾之魂"	"0,3240"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020315"	"陆吾之烈"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020401"	"白泽之血"	"0,3240"	"100044,4"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020402"	"白泽之力"	"1,135"	"100044,5"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020403"	"白泽之盾"	"2,202"	"100044,5"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020404"	"白泽之怒"	"1,135"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020405"	"白泽之韧"	"0,3240"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020406"	"白泽之爪"	"1,135"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020407"	"白泽之眼"	"8,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020408"	"白泽之心"	"14,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020409"	"白泽之灵"	"16,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020410"	"白泽之骨"	"0,3240"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020411"	"白泽之牙"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020412"	"白泽之刚"	"2,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020413"	"白泽之魂"	"0,3240"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020414"	"白泽之烈"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020415"	"白泽之翼"	"2,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020501"	"金蝉之血"	"0,3240"	"100044,4"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020502"	"金蝉之力"	"1,135"	"100044,5"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020503"	"金蝉之盾"	"2,202"	"100044,5"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020504"	"金蝉之怒"	"1,135"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020505"	"金蝉之韧"	"0,3240"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020506"	"金蝉之爪"	"1,135"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020507"	"金蝉之眼"	"8,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020508"	"金蝉之心"	"10,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020509"	"金蝉之灵"	"12,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020510"	"金蝉之精"	"14,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020511"	"金蝉之魄"	"16,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020512"	"金蝉之钝"	"18,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020513"	"金蝉之魂"	"0,3240"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020514"	"金蝉之烈"	"1,135"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10020515"	"金蝉之足"	"2,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030101"	"貔貅之血"	"0,4861"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030102"	"貔貅之力"	"1,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030103"	"貔貅之盾"	"2,303"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030104"	"貔貅之怒"	"1,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030105"	"貔貅之韧"	"0,4861"	"100044,9"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030106"	"貔貅之爪"	"1,202"	"100044,9"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030107"	"貔貅之眼"	"10,303"	"100044,10"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030108"	"貔貅之心"	"12,303"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030109"	"貔貅之灵"	"18,303"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030110"	"貔貅之骨"	"0,4861"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030111"	"貔貅之牙"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030112"	"貔貅之刚"	"2,303"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030113"	"貔貅之尾"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030114"	"貔貅之魂"	"0,4861"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030115"	"貔貅之烈"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030201"	"角端之血"	"0,4861"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030202"	"角端之力"	"1,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030203"	"角端之盾"	"2,303"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030204"	"角端之怒"	"1,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030205"	"角端之韧"	"0,4861"	"100044,9"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030206"	"角端之爪"	"1,202"	"100044,9"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030207"	"角端之眼"	"8,303"	"100044,10"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030208"	"角端之心"	"14,303"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030209"	"角端之灵"	"16,303"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030210"	"角端之骨"	"0,4861"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030211"	"角端之牙"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030212"	"角端之刚"	"2,303"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030213"	"角端之尾"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030214"	"角端之魂"	"0,4861"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030215"	"角端之烈"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030301"	"陆吾之血"	"0,4861"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030302"	"陆吾之力"	"1,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030303"	"陆吾之盾"	"2,303"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030304"	"陆吾之怒"	"1,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030305"	"陆吾之韧"	"0,4861"	"100044,9"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030306"	"陆吾之爪"	"1,202"	"100044,9"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030307"	"陆吾之眼"	"10,303"	"100044,10"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030308"	"陆吾之心"	"12,303"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030309"	"陆吾之灵"	"18,303"	"100044,11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030310"	"陆吾之骨"	"0,4861"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030311"	"陆吾之牙"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030312"	"陆吾之刚"	"2,303"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030313"	"陆吾之尾"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030314"	"陆吾之魂"	"0,4861"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030315"	"陆吾之烈"	"1,202"	"100044,12"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030401"	"白泽之血"	"0,4861"	"100044,6"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030402"	"白泽之力"	"1,202"	"100044,7"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030403"	"白泽之盾"	"2,303"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030404"	"白泽之怒"	"1,202"	"100044,8"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030405"	"白泽之韧"	"0,4861"	"100044,9"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10030406"	"白泽之爪"	"1,202"	"100044,9"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
