"id"	"名字"	"图标"	"大图标"	"小图标"	"类别(同类别的天赋石不能出现在一头龙上)"	"品质"	"等级"	"最高等级"	"职业限制0x01=战士0x02=游侠0x04=法师"	"龙系别限制0x01=火0x02=冰0x04=雷0x08=毒"	"效果(索引到天赋石效果表中)"	"注释"	"技能tips"	"技能tips参数"	"影响的技能(客户端用)@xl填-1表示对所有技能都影响"	""	""	""	""	""	
"104100"	"圣躯燃烧-玄武"	"skill2,baoqi"	"skill2,baoqi"	"dragon_tianfu_2013.10,mianyikongzhi_l"	"1041"	"0"	"1"	""	"1"	"15"	"104100"	""	"[green]圣躯燃烧[white]过程中免疫眩晕，冻结，减速效果"	""	"1040"	""	""	""	""	""	
"105000"	"劈砍-横扫"	"skill2,shunpizhan"	"skill2,shunpizhan"	"dragon_tianfu_2013.10,mubiaogeshu_l"	"1050"	"0"	"1"	""	"1"	"15"	"105000,105001"	""	"[green]劈砍[white]攻击到的敌人个数上限提升[green]${0},1$[white]个"	"[[`talent_type_id`,2,105000,`oper_val`]]"	"1050"	""	""	""	""	""	
"105010"	"劈砍-横扫"	"skill2,shunpizhan"	"skill2,shunpizhan"	"dragon_tianfu_2013.10,mubiaogeshu_l"	"1050"	"0"	"2"	""	"1"	"15"	"105010,105011"	""	"[green]劈砍[white]攻击到的敌人个数上限提升[green]${0},1$[white]个"	"[[`talent_type_id`,2,105010,`oper_val`]]"	"1050"	""	""	""	""	""	
"105020"	"劈砍-横扫"	"skill2,shunpizhan"	"skill2,shunpizhan"	"dragon_tianfu_2013.10,mubiaogeshu_l"	"1050"	"0"	"3"	""	"1"	"15"	"105020,105021"	""	"[green]劈砍[white]攻击到的敌人个数上限提升[green]${0},1$[white]个"	"[[`talent_type_id`,2,105020,`oper_val`]]"	"1050"	""	""	""	""	""	
"105030"	"劈砍-横扫"	"skill2,shunpizhan"	"skill2,shunpizhan"	"dragon_tianfu_2013.10,mubiaogeshu_l"	"1050"	"0"	"4"	""	"1"	"15"	"105030,105031"	""	"[green]劈砍[white]攻击到的敌人个数上限提升[green]${0},1$[white]个"	"[[`talent_type_id`,2,105030,`oper_val`]]"	"1050"	""	""	""	""	""	
"105040"	"劈砍-横扫"	"skill2,shunpizhan"	"skill2,shunpizhan"	"dragon_tianfu_2013.10,mubiaogeshu_l"	"1050"	"0"	"5"	""	"1"	"15"	"105040,105041"	""	"[green]劈砍[white]攻击到的敌人个数上限提升[green]${0},1$[white]个"	"[[`talent_type_id`,2,105040,`oper_val`]]"	"1050"	""	""	""	""	""	
"105100"	"劈砍-无尽"	"skill2,shunpizhan"	"skill2,shunpizhan"	"dragon_tianfu_2013.10,ewainengliang_l"	"1051"	"0"	"1"	""	"1"	"15"	"105100,105101"	""	"[green]劈砍[white]每次多攻击到一个人额外为毁灭术师增加[green]${0},1$[white]点术元粒"	"[[`talent_type_id`,2,105100,`oper_val`]]"	"1050"	""	""	""	""	""	
"105110"	"劈砍-无尽"	"skill2,shunpizhan"	"skill2,shunpizhan"	"dragon_tianfu_2013.10,ewainengliang_l"	"1051"	"0"	"2"	""	"1"	"15"	"105110,105111"	""	"[green]劈砍[white]每次多攻击到一个人额外为毁灭术师增加[green]${0},1$[white]点术元粒"	"[[`talent_type_id`,2,105110,`oper_val`]]"	"1050"	""	""	""	""	""	
"105120"	"劈砍-无尽"	"skill2,shunpizhan"	"skill2,shunpizhan"	"dragon_tianfu_2013.10,ewainengliang_l"	"1051"	"0"	"3"	""	"1"	"15"	"105120,105121"	""	"[green]劈砍[white]每次多攻击到一个人额外为毁灭术师增加[green]${0},1$[white]点术元粒"	"[[`talent_type_id`,2,105120,`oper_val`]]"	"1050"	""	""	""	""	""	
"105130"	"劈砍-无尽"	"skill2,shunpizhan"	"skill2,shunpizhan"	"dragon_tianfu_2013.10,ewainengliang_l"	"1051"	"0"	"4"	""	"1"	"15"	"105130,105131"	""	"[green]劈砍[white]每次多攻击到一个人额外为毁灭术师增加[green]${0},1$[white]点术元粒"	"[[`talent_type_id`,2,105130,`oper_val`]]"	"1050"	""	""	""	""	""	
"105140"	"劈砍-无尽"	"skill2,shunpizhan"	"skill2,shunpizhan"	"dragon_tianfu_2013.10,ewainengliang_l"	"1051"	"0"	"5"	""	"1"	"15"	"105140,105141"	""	"[green]劈砍[white]每次多攻击到一个人额外为毁灭术师增加[green]${0},1$[white]点术元粒"	"[[`talent_type_id`,2,105140,`oper_val`]]"	"1050"	""	""	""	""	""	
"106000"	"半月斩-强力"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1060"	"0"	"1"	""	"1"	"15"	"106000"	""	"[green]半月斩[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,106000,`oper_val`]]"	"1060"	""	""	""	""	""	
"106010"	"半月斩-强力"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1060"	"0"	"2"	""	"1"	"15"	"106010"	""	"[green]半月斩[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,106010,`oper_val`]]"	"1060"	""	""	""	""	""	
"106020"	"半月斩-强力"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1060"	"0"	"3"	""	"1"	"15"	"106020"	""	"[green]半月斩[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,106020,`oper_val`]]"	"1060"	""	""	""	""	""	
"106030"	"半月斩-强力"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1060"	"0"	"4"	""	"1"	"15"	"106030"	""	"[green]半月斩[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,106030,`oper_val`]]"	"1060"	""	""	""	""	""	
"106040"	"半月斩-强力"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1060"	"0"	"5"	""	"1"	"15"	"106040"	""	"[green]半月斩[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,106040,`oper_val`]]"	"1060"	""	""	""	""	""	
"107000"	"回旋连舞-伤害加深"	"skill2,tusha"	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1070"	"0"	"1"	""	"1"	"15"	"107000,107001,107002"	""	"[green]回旋连舞[white]连续3次造成的物理伤害，每次提升[green]${0},9$[white]"	"[[`talent_type_id`,2,107000,`oper_val`]]"	"1070"	""	""	""	""	""	
"107100"	"回旋连舞-破击"	"skill2,tusha"	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,jituijilv_l"	"1071"	"0"	"1"	""	"1"	"15"	"107100,107101,107102,107103,107104,107105"	""	"[green]回旋连舞[white]的前[green]2[white]次攻击的击退几率提高至[green]100%[white]"	""	"1070"	""	""	""	""	""	
"107200"	"回旋连舞-强力"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1072"	"0"	"1"	""	"1"	"15"	"107200"	""	"[green]回旋连舞[white]最后一次物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,107200,`oper_val`]]"	"1070"	""	""	""	""	""	
"107210"	"回旋连舞-强力"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1072"	"0"	"2"	""	"1"	"15"	"107210"	""	"[green]回旋连舞[white]最后一次物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,107210,`oper_val`]]"	"1070"	""	""	""	""	""	
"107220"	"回旋连舞-强力"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1072"	"0"	"3"	""	"1"	"15"	"107220"	""	"[green]回旋连舞[white]最后一次物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,107220,`oper_val`]]"	"1070"	""	""	""	""	""	
"107230"	"回旋连舞-强力"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1072"	"0"	"4"	""	"1"	"15"	"107230"	""	"[green]回旋连舞[white]最后一次物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,107230,`oper_val`]]"	"1070"	""	""	""	""	""	
"107240"	"回旋连舞-强力"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1072"	"0"	"5"	""	"1"	"15"	"107240"	""	"[green]回旋连舞[white]最后一次物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,107240,`oper_val`]]"	"1070"	""	""	""	""	""	
"107300"	"回旋连舞-待发"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,jiancd_l"	"1073"	"0"	"1"	""	"1"	"15"	"107300"	""	"[green]回旋连舞[white]CD时间减少[green]${0},13$[white]秒"	"[[`talent_type_id`,2,107300,`oper_val`]]"	"1070"	""	""	""	""	""	
"107310"	"回旋连舞-待发"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,jiancd_l"	"1073"	"0"	"2"	""	"1"	"15"	"107310"	""	"[green]回旋连舞[white]CD时间减少[green]${0},13$[white]秒"	"[[`talent_type_id`,2,107310,`oper_val`]]"	"1070"	""	""	""	""	""	
"107320"	"回旋连舞-待发"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,jiancd_l"	"1073"	"0"	"3"	""	"1"	"15"	"107320"	""	"[green]回旋连舞[white]CD时间减少[green]${0},13$[white]秒"	"[[`talent_type_id`,2,107320,`oper_val`]]"	"1070"	""	""	""	""	""	
"107330"	"回旋连舞-待发"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,jiancd_l"	"1073"	"0"	"4"	""	"1"	"15"	"107330"	""	"[green]回旋连舞[white]CD时间减少[green]${0},13$[white]秒"	"[[`talent_type_id`,2,107330,`oper_val`]]"	"1070"	""	""	""	""	""	
"107340"	"回旋连舞-待发"	""	"skill2,sanduanzhan"	"dragon_tianfu_2013.10,jiancd_l"	"1073"	"0"	"5"	""	"1"	"15"	"107340"	""	"[green]回旋连舞[white]CD时间减少[green]${0},13$[white]秒"	"[[`talent_type_id`,2,107340,`oper_val`]]"	"1070"	""	""	""	""	""	
"108000"	"天之重斩-击晕"	""	"skill2,tiaopi"	"dragon_tianfu_2013.10,jiyunxiaoguo_l"	"1080"	"0"	"1"	""	"1"	"15"	"108000"	""	"[green]天之重斩[white]击中后会使目标眩晕[green]2[white]秒"	""	"1080"	""	""	""	""	""	
"108100"	"天之重斩-无尽"	""	"skill2,tiaopi"	"dragon_tianfu_2013.10,ewainengliang_l"	"1081"	"0"	"1"	""	"1"	"15"	"108100"	""	"[green]天之重斩[white]命中敌人后额外恢复[green]${0},1$[white]点术元粒"	"[[`talent_type_id`,2,108100,`oper_val`]]"	"1080"	""	""	""	""	""	
"108110"	"天之重斩-无尽"	""	"skill2,tiaopi"	"dragon_tianfu_2013.10,ewainengliang_l"	"1081"	"0"	"2"	""	"1"	"15"	"108110"	""	"[green]天之重斩[white]命中敌人后额外恢复[green]${0},1$[white]点术元粒"	"[[`talent_type_id`,2,108110,`oper_val`]]"	"1080"	""	""	""	""	""	
"108120"	"天之重斩-无尽"	""	"skill2,tiaopi"	"dragon_tianfu_2013.10,ewainengliang_l"	"1081"	"0"	"3"	""	"1"	"15"	"108120"	""	"[green]天之重斩[white]命中敌人后额外恢复[green]${0},1$[white]点术元粒"	"[[`talent_type_id`,2,108120,`oper_val`]]"	"1080"	""	""	""	""	""	
"108130"	"天之重斩-无尽"	""	"skill2,tiaopi"	"dragon_tianfu_2013.10,ewainengliang_l"	"1081"	"0"	"4"	""	"1"	"15"	"108130"	""	"[green]天之重斩[white]命中敌人后额外恢复[green]${0},1$[white]点术元粒"	"[[`talent_type_id`,2,108130,`oper_val`]]"	"1080"	""	""	""	""	""	
"108140"	"天之重斩-无尽"	""	"skill2,tiaopi"	"dragon_tianfu_2013.10,ewainengliang_l"	"1081"	"0"	"5"	""	"1"	"15"	"108140"	""	"[green]天之重斩[white]命中敌人后额外恢复[green]${0},1$[white]点术元粒"	"[[`talent_type_id`,2,108140,`oper_val`]]"	"1080"	""	""	""	""	""	
"109000"	"血圆斩-吸血"	""	"skill2,shixueyazhi"	"dragon_tianfu_2013.10,xixue_l"	"1090"	"0"	"1"	""	"1"	"15"	"109000"	""	"[green]血圆斩[white]将造成伤害的[green]${0},7$[white]转化为毁灭术师生命值"	"[[`talent_type_id`,2,109000,`oper_val`]]"	"1090"	""	""	""	""	""	
"109010"	"血圆斩-吸血"	""	"skill2,shixueyazhi"	"dragon_tianfu_2013.10,xixue_l"	"1090"	"0"	"2"	""	"1"	"15"	"109010"	""	"[green]血圆斩[white]将造成伤害的[green]${0},7$[white]转化为毁灭术师生命值"	"[[`talent_type_id`,2,109010,`oper_val`]]"	"1090"	""	""	""	""	""	
"109020"	"血圆斩-吸血"	""	"skill2,shixueyazhi"	"dragon_tianfu_2013.10,xixue_l"	"1090"	"0"	"3"	""	"1"	"15"	"109020"	""	"[green]血圆斩[white]将造成伤害的[green]${0},7$[white]转化为毁灭术师生命值"	"[[`talent_type_id`,2,109020,`oper_val`]]"	"1090"	""	""	""	""	""	
"109030"	"血圆斩-吸血"	""	"skill2,shixueyazhi"	"dragon_tianfu_2013.10,xixue_l"	"1090"	"0"	"4"	""	"1"	"15"	"109030"	""	"[green]血圆斩[white]将造成伤害的[green]${0},7$[white]转化为毁灭术师生命值"	"[[`talent_type_id`,2,109030,`oper_val`]]"	"1090"	""	""	""	""	""	
"109040"	"血圆斩-吸血"	""	"skill2,shixueyazhi"	"dragon_tianfu_2013.10,xixue_l"	"1090"	"0"	"5"	""	"1"	"15"	"109040"	""	"[green]血圆斩[white]将造成伤害的[green]${0},7$[white]转化为毁灭术师生命值"	"[[`talent_type_id`,2,109040,`oper_val`]]"	"1090"	""	""	""	""	""	
"109100"	"血圆斩-碾压"	""	"skill2,shixueyazhi"	"dragon_tianfu_2013.10,jituijilv_l"	"1091"	"0"	"1"	""	"1"	"15"	"109100,109101,109102"	""	"[green]血圆斩[white]击退目标的几率增加至[green]${0},7$[white]"	"[[`talent_type_id`,2,109100,`oper_val`]]"	"1090"	""	""	""	""	""	
"109200"	"血圆斩-强力"	""	"skill2,shixueyazhi"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1092"	"0"	"1"	""	"1"	"15"	"109200"	""	"[green]血圆斩[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,109200,`oper_val`]]"	"1090"	""	""	""	""	""	
"109210"	"血圆斩-强力"	""	"skill2,shixueyazhi"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1092"	"0"	"2"	""	"1"	"15"	"109210"	""	"[green]血圆斩[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,109210,`oper_val`]]"	"1090"	""	""	""	""	""	
"109220"	"血圆斩-强力"	""	"skill2,shixueyazhi"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1092"	"0"	"3"	""	"1"	"15"	"109220"	""	"[green]血圆斩[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,109220,`oper_val`]]"	"1090"	""	""	""	""	""	
"109230"	"血圆斩-强力"	""	"skill2,shixueyazhi"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1092"	"0"	"4"	""	"1"	"15"	"109230"	""	"[green]血圆斩[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,109230,`oper_val`]]"	"1090"	""	""	""	""	""	
"109240"	"血圆斩-强力"	""	"skill2,shixueyazhi"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1092"	"0"	"5"	""	"1"	"15"	"109240"	""	"[green]血圆斩[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,109240,`oper_val`]]"	"1090"	""	""	""	""	""	
"110000"	"修罗之怒-暴掠"	""	"skill2,liedi"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1100"	"0"	"1"	""	"1"	"15"	"110000,110001,110002"	""	"[green]修罗之怒[white]的每次伤害提升[green]${0},9$[white]"	"[[`talent_type_id`,2,110000,`oper_val`]]"	"1100"	""	""	""	""	""	
"110100"	"修罗之怒-吞噬"	""	"skill2,liedi"	"dragon_tianfu_2013.10,ewainengliang_l"	"1101"	"0"	"1"	""	"1"	"15"	"110100,110101"	""	"[green]修罗之怒[white]每杀死一个敌人，都会使自己恢复[green]15%[white]的生命值"	""	"1100"	""	""	""	""	""	
"111000"	"无限战意-延长"	""	"skill2,nuhou"	"dragon_tianfu_2013.10,chixushijianzengjia_l"	"1110"	"0"	"1"	""	"1"	"15"	"111000"	""	"[green]无限战意[white]产生的效果持续时间延长[green]${0},8$[white]秒"	"[[`talent_type_id`,2,111000,`oper_val`]]"	"1110"	""	""	""	""	""	
"111100"	"无限战意-威慑"	""	"skill2,nuhou"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1111"	"0"	"1"	""	"1"	"15"	"111100,111101"	""	"[green]无限战意[white]将周围敌人挤开[green]5[white]米距离"	""	"1110"	""	""	""	""	""	
"112000"	"烈焰裁决-压迫"	""	"skill2,zhongkan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1120"	"0"	"1"	""	"1"	"15"	"112000"	""	"[green]烈焰裁决[white]的物理伤害提升[green]${0},9$[white]"	"[[`talent_type_id`,2,112000,`oper_val`]]"	"1120"	""	""	""	""	""	
