"装备ID"	"装备说明，策划注释用，不读"	"指定需求部件1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品"	"区域底图及升阶提示暗/亮"	"阶段图标"	"属性1类型ID"	"属性1取值"	"属性1最小值"	"属性1最大值"	"属性2类型ID"	"属性2取值"	"属性2最小值"	"属性2最大值"	"属性3类型ID"	"属性3取值"	"属性3最小值"	"属性3最大值"	"低级道具"	"低级道具数量"	"中级道具"	"中级道具数量"	"高级道具"	"高级道具属性"	"固定属性指向EquipExttendEffect索引ID"	"属性1取值"	"固定属性2"	"属性2取值"	"固定属性3"	"属性3取值"	"固定属性4"	"属性4取值"	"固定属性5"	"属性5取值"	"固定属性6"	"属性6取值"	"固定属性7"	"属性7取值"	"固定属性8"	"属性8取值"	"固定属性9"	"属性9取值"	"固定属性10"	"属性10取值"	"附加属性品质等级(对应ItemEquipExtendRandom表）"	"附加属性条数"	"使用等级修正区间，固定装填0,0"	"物品等级修正区间，固定装填0,0"	"装备出未鉴定几率10000为100%品质和等级判断通过后，出现未鉴定的几率"	"附加属性生成规则，0为全随机1为全固定2为半固定时装必须1"	"魂链生成几率白，蓝，紫，金，橙"	"魂集合：绿=1白=2蓝=4紫=8黄=16橙=32红=64"	"额外魂几率"	"指定自身魂印"	"指定自身魂链"	"指定需求魂印"	
"8"	"140级武器-蓝3灯"	"1"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"0"	"79925.000000"	"100.000000"	"320.000000"	"12"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"1"	"3"	"0,0"	"650650"	"0"	"0"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"9"	"160级武器-蓝4灯"	"1"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"0"	"122425.000000"	"100.000000"	"320.000000"	"12"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"1"	"3"	"0,0"	"650650"	"0"	"0"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"10"	"180级武器-蓝5灯"	"1"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"0"	"184925.000000"	"100.000000"	"320.000000"	"12"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"1"	"3"	"0,0"	"650650"	"0"	"0"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"11"	"200级武器-紫1灯"	"1"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"0"	"247425.000000"	"100.000000"	"320.000000"	"12"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"1"	"3"	"0,0"	"650650"	"0"	"0"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"12"	"220级武器-紫2灯"	"1"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"0"	"309925.000000"	"100.000000"	"320.000000"	"12"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"2"	"4"	"0,0"	"650650"	"0"	"0"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"13"	"240级武器-紫3灯"	"1"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"0"	"379300.000000"	"100.000000"	"320.000000"	"12"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"2"	"3"	"0,0"	"650650"	"0"	"0"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"14"	"260级武器-紫4灯"	"1"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"0"	"454300.000000"	"100.000000"	"320.000000"	"12"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"2"	"3"	"0,0"	"650650"	"0"	"0"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"15"	"280级武器-紫5灯"	"1"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"12"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"2"	"3"	"0,0"	"650650"	"0"	"0"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"16"	"300级武器-金1灯"	"1"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"12"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1001"	"1级头盔"	"2"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"0"	"3000.000000"	"100.000000"	"320.000000"	"14"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1002"	"20级头盔"	"2"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"0"	"6000.000000"	"100.000000"	"320.000000"	"14"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1003"	"40级头盔"	"2"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"0"	"9000.000000"	"100.000000"	"320.000000"	"14"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1004"	"60级头盔"	"2"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"0"	"14500.000000"	"100.000000"	"320.000000"	"14"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1005"	"80级头盔"	"2"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"0"	"22050.000000"	"100.000000"	"320.000000"	"14"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1006"	"100级头盔"	"2"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"0"	"33675.000000"	"100.000000"	"320.000000"	"14"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1007"	"120级头盔"	"2"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"0"	"51175.000000"	"100.000000"	"320.000000"	"14"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1008"	"140级头盔"	"2"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"0"	"79925.000000"	"100.000000"	"320.000000"	"14"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1009"	"160级头盔"	"2"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"0"	"122425.000000"	"100.000000"	"320.000000"	"14"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1010"	"180级头盔"	"2"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"0"	"184925.000000"	"100.000000"	"320.000000"	"14"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1011"	"200级头盔"	"2"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"0"	"247425.000000"	"100.000000"	"320.000000"	"14"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012"	"220级头盔"	"2"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"0"	"309925.000000"	"100.000000"	"320.000000"	"14"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013"	"240级头盔"	"2"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"0"	"379300.000000"	"100.000000"	"320.000000"	"14"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014"	"260级头盔"	"2"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"0"	"454300.000000"	"100.000000"	"320.000000"	"14"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015"	"280级头盔"	"2"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"14"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1016"	"300级头盔"	"2"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"14"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2001"	"1级衣服"	"3"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"2"	"150.000000"	"3.000000"	"18.000000"	"18"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2002"	"20级衣服"	"3"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"2"	"300.000000"	"3.000000"	"18.000000"	"18"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2003"	"40级衣服"	"3"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"2"	"450.000000"	"3.000000"	"18.000000"	"18"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2004"	"60级衣服"	"3"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"2"	"725.000000"	"3.000000"	"18.000000"	"18"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2005"	"80级衣服"	"3"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"2"	"1102.000000"	"3.000000"	"18.000000"	"18"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2006"	"100级衣服"	"3"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"2"	"1683.000000"	"3.000000"	"18.000000"	"18"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2007"	"120级衣服"	"3"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"2"	"2558.000000"	"3.000000"	"18.000000"	"18"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2008"	"140级衣服"	"3"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"2"	"3996.000000"	"3.000000"	"18.000000"	"18"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2009"	"160级衣服"	"3"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"2"	"6121.000000"	"3.000000"	"18.000000"	"18"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
