"商店ID"	"所属NPCID50=铜钱商店51=金币商店52=XX商店53=荣誉商店54=竞技商店55=战龙商店56=血脉商店57=宝石互换商店58=战场商店59=水晶商店60=试炼商店61=试炼商店"	"银币Silver=1,金币Gold=2,荣誉Honor=4,竞技点Arena=8,物品Item=16,"	"商品在商店中的排列顺序"	"出售道具的道具ID"	"一次出售的数量0=没有限制"	"服务器出售上限。0=没有限制"	"个人购买上限0=没有限制"	"银币价格"	"金币价格"	"荣誉价格"	"竞技点数"	"武神勋章"	"跨服竞技奖章"	"密林印记点数"	"水晶硬币点数"	"试炼宝钻"	"所需道具编号"	"所需道具数量"	"条件1：公会试炼通关ID（试炼之地专用）"	
"202"	"53"	"4"	"3"	"800251"	"1"	"0"	"0"	"0"	"0"	"150"	""	""	""	""	""	""	"0"	"0"	""	
"203"	"53"	"4"	"4"	"110101"	"1"	"0"	"20"	"0"	"0"	"50"	""	""	""	""	""	""	"0"	"0"	""	
"204"	"53"	"4"	"5"	"110102"	"1"	"0"	"5"	"0"	"0"	"200"	""	""	""	""	""	""	"0"	"0"	""	
"205"	"53"	"4"	"6"	"110201"	"1"	"0"	"20"	"0"	"0"	"50"	""	""	""	""	""	""	"0"	"0"	""	
"206"	"53"	"4"	"7"	"110202"	"1"	"0"	"5"	"0"	"0"	"200"	""	""	""	""	""	""	"0"	"0"	""	
"207"	"53"	"4"	"8"	"110301"	"1"	"0"	"20"	"0"	"0"	"50"	""	""	""	""	""	""	"0"	"0"	""	
"208"	"53"	"4"	"9"	"110302"	"1"	"0"	"5"	"0"	"0"	"200"	""	""	""	""	""	""	"0"	"0"	""	
"209"	"53"	"4"	"10"	"807000"	"1"	"0"	"0"	"0"	"0"	"200"	""	""	""	""	""	""	"0"	"0"	""	
"210"	"53"	"4"	"11"	"807010"	"1"	"0"	"0"	"0"	"0"	"2000"	""	""	""	""	""	""	"0"	"0"	""	
"211"	"53"	"4"	"12"	"807020"	"1"	"0"	"0"	"0"	"0"	"5000"	""	""	""	""	""	""	"0"	"0"	""	
"301"	"54"	"24"	"2"	"800131"	"1"	"0"	"0"	"0"	"0"	"0"	"600"	""	""	""	""	""	"0"	"0"	""	
"302"	"54"	"24"	"3"	"800101"	"1"	"0"	"0"	"0"	"0"	"0"	"300"	""	""	""	""	""	"0"	"0"	""	
"303"	"54"	"24"	"4"	"800261"	"1"	"0"	"0"	"0"	"0"	"0"	"300"	""	""	""	""	""	"0"	"0"	""	
"304"	"54"	"24"	"5"	"800091"	"1"	"0"	"0"	"0"	"0"	"0"	"300"	""	""	""	""	""	"0"	"0"	""	
"305"	"54"	"24"	"6"	"110111"	"1"	"0"	"5"	"0"	"0"	"0"	"250"	""	""	""	""	""	"0"	"0"	""	
"306"	"54"	"24"	"7"	"110112"	"1"	"0"	"5"	"0"	"0"	"0"	"250"	""	""	""	""	""	"0"	"0"	""	
"307"	"54"	"24"	"8"	"110113"	"1"	"0"	"5"	"0"	"0"	"0"	"250"	""	""	""	""	""	"0"	"0"	""	
"308"	"54"	"24"	"9"	"110114"	"1"	"0"	"5"	"0"	"0"	"0"	"250"	""	""	""	""	""	"0"	"0"	""	
"309"	"54"	"24"	"10"	"110211"	"1"	"0"	"5"	"0"	"0"	"0"	"250"	""	""	""	""	""	"0"	"0"	""	
"310"	"54"	"24"	"11"	"110212"	"1"	"0"	"5"	"0"	"0"	"0"	"250"	""	""	""	""	""	"0"	"0"	""	
"311"	"54"	"24"	"12"	"110213"	"1"	"0"	"5"	"0"	"0"	"0"	"250"	""	""	""	""	""	"0"	"0"	""	
"312"	"54"	"24"	"13"	"110214"	"1"	"0"	"5"	"0"	"0"	"0"	"250"	""	""	""	""	""	"0"	"0"	""	
"313"	"54"	"24"	"1"	"808253"	"1"	"0"	"5"	"0"	"0"	"0"	"500"	""	""	""	""	""	"0"	"0"	""	
"314"	"54"	"24"	"15"	"131102"	"1"	"0"	"5"	"0"	"0"	"0"	"150"	""	""	""	""	""	"0"	"0"	""	
"315"	"54"	"24"	"16"	"131103"	"1"	"0"	"5"	"0"	"0"	"0"	"150"	""	""	""	""	""	"0"	"0"	""	
"316"	"54"	"24"	"17"	"131104"	"1"	"0"	"5"	"0"	"0"	"0"	"400"	""	""	""	""	""	"0"	"0"	""	
"317"	"54"	"24"	"18"	"131105"	"1"	"0"	"5"	"0"	"0"	"0"	"400"	""	""	""	""	""	"0"	"0"	""	
"401"	"58"	"1"	"2"	"800111"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"60"	""	""	"0"	"0"	""	
"402"	"58"	"1"	"3"	"800101"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"30"	""	""	"0"	"0"	""	
"403"	"58"	"1"	"4"	"800261"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"30"	""	""	"0"	"0"	""	
"404"	"58"	"1"	"5"	"110311"	"1"	"0"	"5"	"0"	"0"	"0"	""	""	""	"25"	""	""	"0"	"0"	""	
"405"	"58"	"1"	"6"	"110312"	"1"	"0"	"5"	"0"	"0"	"0"	""	""	""	"25"	""	""	"0"	"0"	""	
"406"	"58"	"1"	"7"	"110313"	"1"	"0"	"5"	"0"	"0"	"0"	""	""	""	"25"	""	""	"0"	"0"	""	
"407"	"58"	"1"	"8"	"110314"	"1"	"0"	"5"	"0"	"0"	"0"	""	""	""	"25"	""	""	"0"	"0"	""	
"408"	"58"	"1"	"1"	"808253"	"1"	"0"	"5"	"0"	"0"	"0"	""	""	""	"50"	""	""	"0"	"0"	""	
"409"	"58"	"1"	"10"	"131102"	"1"	"0"	"5"	"0"	"0"	"0"	""	""	""	"15"	""	""	"0"	"0"	""	
"410"	"58"	"1"	"11"	"131103"	"1"	"0"	"5"	"0"	"0"	"0"	""	""	""	"15"	""	""	"0"	"0"	""	
"411"	"58"	"1"	"12"	"131104"	"1"	"0"	"5"	"0"	"0"	"0"	""	""	""	"40"	""	""	"0"	"0"	""	
"412"	"58"	"1"	"13"	"131105"	"1"	"0"	"5"	"0"	"0"	"0"	""	""	""	"40"	""	""	"0"	"0"	""	
