"等级（最细碎的等级）"	"升级所需材料ID"	"单次修炼所需材料数量（不能升级时必须为0）"	"升下阶段所需总材料数量（在第n级的行中填写的是从n升到n+1所需材料数量）"	"等级倍数"	
"65"	"100101"	"1"	"1"	"7.500000"	
"66"	"100101"	"1"	"1"	"7.600000"	
"67"	"100101"	"1"	"1"	"7.700000"	
"68"	"100101"	"1"	"1"	"7.800000"	
"69"	"100101"	"1"	"1"	"7.900000"	
"70"	"100101"	"1"	"1"	"8.000000"	
"71"	"100101"	"1"	"1"	"8.100000"	
"72"	"100101"	"1"	"1"	"8.200000"	
"73"	"100101"	"1"	"1"	"8.300000"	
"74"	"100101"	"1"	"1"	"8.400000"	
"75"	"100101"	"1"	"1"	"8.500000"	
"76"	"100101"	"1"	"1"	"8.600000"	
"77"	"100101"	"1"	"1"	"8.700000"	
"78"	"100101"	"1"	"1"	"8.800000"	
"79"	"100101"	"1"	"1"	"8.900000"	
"80"	"100101"	"1"	"1"	"9.000000"	
"81"	"100101"	"1"	"1"	"9.100000"	
"82"	"100101"	"1"	"1"	"9.200000"	
"83"	"100101"	"1"	"1"	"9.300000"	
"84"	"100101"	"1"	"1"	"9.400000"	
"85"	"100101"	"1"	"1"	"9.500000"	
"86"	"100101"	"1"	"1"	"9.600000"	
"87"	"100101"	"1"	"1"	"9.700000"	
"88"	"100101"	"1"	"1"	"9.800000"	
"89"	"100101"	"1"	"1"	"9.900000"	
"90"	"100101"	"1"	"1"	"10.000000"	
"91"	"100101"	"1"	"1"	"10.100000"	
"92"	"100101"	"1"	"1"	"10.200000"	
"93"	"100101"	"1"	"1"	"10.300000"	
"94"	"100101"	"1"	"1"	"10.400000"	
"95"	"100101"	"1"	"1"	"10.500000"	
"96"	"100101"	"1"	"1"	"10.600000"	
"97"	"100101"	"1"	"1"	"10.700000"	
"98"	"100101"	"1"	"1"	"10.800000"	
"99"	"100101"	"1"	"1"	"10.900000"	
"100"	"100101"	"1"	"1"	"11.000000"	
"101"	"100101"	"1"	"1"	"11.100000"	
"102"	"100101"	"1"	"1"	"11.200000"	
"103"	"100101"	"1"	"1"	"11.300000"	
"104"	"100101"	"1"	"1"	"11.400000"	
"105"	"100101"	"1"	"1"	"11.500000"	
"106"	"100101"	"1"	"1"	"11.600000"	
"107"	"100101"	"1"	"1"	"11.700000"	
"108"	"100101"	"1"	"1"	"11.800000"	
"109"	"100101"	"1"	"1"	"11.900000"	
"110"	"100101"	"1"	"1"	"12.000000"	
"111"	"100101"	"1"	"1"	"12.100000"	
"112"	"100101"	"1"	"1"	"12.200000"	
"113"	"100101"	"1"	"1"	"12.300000"	
"114"	"100101"	"1"	"1"	"12.400000"	
"115"	"100101"	"1"	"1"	"12.500000"	
"116"	"100101"	"1"	"1"	"12.600000"	
"117"	"100101"	"1"	"1"	"12.700000"	
"118"	"100101"	"1"	"1"	"12.800000"	
"119"	"100101"	"1"	"1"	"12.900000"	
"120"	"100101"	"1"	"1"	"13.000000"	
"121"	"100101"	"1"	"1"	"13.100000"	
"122"	"100101"	"1"	"1"	"13.200000"	
"123"	"100101"	"1"	"1"	"13.300000"	
"124"	"100101"	"1"	"1"	"13.400000"	
"125"	"100101"	"1"	"1"	"13.500000"	
"126"	"100101"	"1"	"1"	"13.600000"	
"127"	"100101"	"1"	"1"	"13.700000"	
"128"	"100101"	"1"	"1"	"13.800000"	
"129"	"100101"	"1"	"1"	"13.900000"	
"130"	"100101"	"1"	"1"	"14.000000"	
"131"	"100101"	"1"	"1"	"14.100000"	
"132"	"100101"	"1"	"1"	"14.200000"	
"133"	"100101"	"1"	"1"	"14.300000"	
"134"	"100101"	"1"	"1"	"14.400000"	
"135"	"100101"	"1"	"1"	"14.500000"	
"136"	"100101"	"1"	"1"	"14.600000"	
"137"	"100101"	"1"	"1"	"14.700000"	
"138"	"100101"	"1"	"1"	"14.800000"	
"139"	"100101"	"1"	"1"	"14.900000"	
"140"	"100101"	"1"	"1"	"15.000000"	
"141"	"100101"	"1"	"1"	"15.100000"	
"142"	"100101"	"1"	"1"	"15.200000"	
"143"	"100101"	"1"	"1"	"15.300000"	
"144"	"100101"	"1"	"1"	"15.400000"	
"145"	"100101"	"1"	"1"	"15.500000"	
"146"	"100101"	"1"	"1"	"15.600000"	
"147"	"100101"	"1"	"1"	"15.700000"	
"148"	"100101"	"1"	"1"	"15.800000"	
"149"	"100101"	"1"	"1"	"15.900000"	
"150"	"100101"	"1"	"1"	"16.000000"	
"151"	"100101"	"1"	"1"	"16.100000"	
"152"	"100101"	"1"	"1"	"16.200000"	
"153"	"100101"	"1"	"1"	"16.300000"	
"154"	"100101"	"1"	"1"	"16.400000"	
"155"	"100101"	"1"	"1"	"16.500000"	
"156"	"100101"	"1"	"1"	"16.600000"	
"157"	"100101"	"1"	"1"	"16.700000"	
"158"	"100101"	"1"	"1"	"16.800000"	
"159"	"100101"	"1"	"1"	"16.900000"	
"160"	"100101"	"1"	"1"	"17.000000"	
"161"	"100101"	"1"	"1"	"17.100000"	
"162"	"100101"	"1"	"1"	"17.200000"	
"163"	"100101"	"1"	"1"	"17.300000"	
"164"	"100101"	"1"	"1"	"17.400000"	
"165"	"100101"	"1"	"1"	"17.500000"	
"166"	"100101"	"1"	"1"	"17.600000"	
"167"	"100101"	"1"	"1"	"17.700000"	
"168"	"100101"	"1"	"1"	"17.800000"	
"169"	"100101"	"1"	"1"	"17.900000"	
"170"	"100101"	"1"	"1"	"18.000000"	
"171"	"100101"	"1"	"1"	"18.100000"	
"172"	"100101"	"1"	"1"	"18.200000"	
"173"	"100101"	"1"	"1"	"18.300000"	
"174"	"100101"	"1"	"1"	"18.400000"	
"175"	"100101"	"1"	"1"	"18.500000"	
"176"	"100101"	"1"	"1"	"18.600000"	
"177"	"100101"	"1"	"1"	"18.700000"	
"178"	"100101"	"1"	"1"	"18.800000"	
"179"	"100101"	"1"	"1"	"18.900000"	
"180"	"100101"	"1"	"1"	"19.000000"	
"181"	"100101"	"1"	"1"	"19.100000"	
"182"	"100101"	"1"	"1"	"19.200000"	
"183"	"100101"	"1"	"1"	"19.300000"	
"184"	"100101"	"1"	"1"	"19.400000"	
"185"	"100101"	"1"	"1"	"19.500000"	
"186"	"100101"	"1"	"1"	"19.600000"	
"187"	"100101"	"1"	"1"	"19.700000"	
"188"	"100101"	"1"	"1"	"19.800000"	
"189"	"100101"	"1"	"1"	"19.900000"	
"190"	"100101"	"1"	"1"	"20.000000"	
"191"	"100101"	"1"	"1"	"20.100000"	
"192"	"100101"	"1"	"1"	"20.200000"	
"193"	"100101"	"1"	"1"	"20.300000"	
"194"	"100101"	"1"	"1"	"20.400000"	
"195"	"100101"	"1"	"1"	"20.500000"	
"196"	"100101"	"1"	"1"	"20.600000"	
"197"	"100101"	"1"	"1"	"20.700000"	
"198"	"100101"	"1"	"1"	"20.800000"	
"199"	"100101"	"1"	"1"	"20.900000"	
"200"	"100101"	"1"	"1"	"21.000000"	
"201"	"100101"	"1"	"1"	"21.100000"	
"202"	"100101"	"1"	"1"	"21.200000"	
"203"	"100101"	"1"	"1"	"21.300000"	
"204"	"100101"	"1"	"1"	"21.400000"	
"205"	"100101"	"1"	"1"	"21.500000"	
"206"	"100101"	"1"	"1"	"21.600000"	
"207"	"100101"	"1"	"1"	"21.700000"	
"208"	"100101"	"1"	"1"	"21.800000"	
"209"	"100101"	"1"	"1"	"21.900000"	
"210"	"100101"	"1"	"1"	"22.000000"	
"211"	"100101"	"1"	"1"	"22.100000"	
"212"	"100101"	"1"	"1"	"22.200000"	
"213"	"100101"	"1"	"1"	"22.300000"	
"214"	"100101"	"1"	"1"	"22.400000"	
"215"	"100101"	"1"	"1"	"22.500000"	
"216"	"100101"	"1"	"1"	"22.600000"	
"217"	"100101"	"1"	"1"	"22.700000"	
"218"	"100101"	"1"	"1"	"22.800000"	
"219"	"100101"	"1"	"1"	"22.900000"	
"220"	"100101"	"1"	"1"	"23.000000"	
"221"	"100101"	"1"	"1"	"23.100000"	
"222"	"100101"	"1"	"1"	"23.200000"	
"223"	"100101"	"1"	"1"	"23.300000"	
"224"	"100101"	"1"	"1"	"23.400000"	
"225"	"100101"	"1"	"1"	"23.500000"	
"226"	"100101"	"1"	"1"	"23.600000"	
"227"	"100101"	"1"	"1"	"23.700000"	
"228"	"100101"	"1"	"1"	"23.800000"	
"229"	"100101"	"1"	"1"	"23.900000"	
"230"	"100101"	"1"	"1"	"24.000000"	
"231"	"100101"	"1"	"1"	"24.100000"	
"232"	"100101"	"1"	"1"	"24.200000"	
"233"	"100101"	"1"	"1"	"24.300000"	
"234"	"100101"	"1"	"1"	"24.400000"	
"235"	"100101"	"1"	"1"	"24.500000"	
"236"	"100101"	"1"	"1"	"24.600000"	
"237"	"100101"	"1"	"1"	"24.700000"	
"238"	"100101"	"1"	"1"	"24.800000"	
"239"	"100101"	"1"	"1"	"24.900000"	
"240"	"100101"	"1"	"1"	"25.000000"	
"241"	"100101"	"1"	"1"	"25.100000"	
"242"	"100101"	"1"	"1"	"25.200000"	
"243"	"100101"	"1"	"1"	"25.300000"	
"244"	"100101"	"1"	"1"	"25.400000"	
"245"	"100101"	"1"	"1"	"25.500000"	
"246"	"100101"	"1"	"1"	"25.600000"	
"247"	"100101"	"1"	"1"	"25.700000"	
"248"	"100101"	"1"	"1"	"25.800000"	
"249"	"100101"	"1"	"1"	"25.900000"	
"250"	"100101"	"1"	"1"	"26.000000"	
"251"	"100101"	"1"	"1"	"26.100000"	
"252"	"100101"	"1"	"1"	"26.200000"	
"253"	"100101"	"1"	"1"	"26.300000"	
"254"	"100101"	"1"	"1"	"26.400000"	
"255"	"100101"	"1"	"1"	"26.500000"	
"256"	"100101"	"1"	"1"	"26.600000"	
"257"	"100101"	"1"	"1"	"26.700000"	
"258"	"100101"	"1"	"1"	"26.800000"	
"259"	"100101"	"1"	"1"	"26.900000"	
"260"	"100101"	"1"	"1"	"27.000000"	
"261"	"100101"	"1"	"1"	"27.100000"	
"262"	"100101"	"1"	"1"	"27.200000"	
"263"	"100101"	"1"	"1"	"27.300000"	
"264"	"100101"	"1"	"1"	"27.400000"	
"265"	"100101"	"1"	"1"	"27.500000"	
"266"	"100101"	"1"	"1"	"27.600000"	
"267"	"100101"	"1"	"1"	"27.700000"	
"268"	"100101"	"1"	"1"	"27.800000"	
"269"	"100101"	"1"	"1"	"27.900000"	
"270"	"100101"	"1"	"1"	"28.000000"	
"271"	"100101"	"1"	"1"	"28.100000"	
"272"	"100101"	"1"	"1"	"28.200000"	
"273"	"100101"	"1"	"1"	"28.300000"	
"274"	"100101"	"1"	"1"	"28.400000"	
"275"	"100101"	"1"	"1"	"28.500000"	
"276"	"100101"	"1"	"1"	"28.600000"	
"277"	"100101"	"1"	"1"	"28.700000"	
"278"	"100101"	"1"	"1"	"28.800000"	
"279"	"100101"	"1"	"1"	"28.900000"	
"280"	"100101"	"1"	"1"	"29.000000"	
"281"	"100101"	"1"	"1"	"29.100000"	
"282"	"100101"	"1"	"1"	"29.200000"	
"283"	"100101"	"1"	"1"	"29.300000"	
"284"	"100101"	"1"	"1"	"29.400000"	
"285"	"100101"	"1"	"1"	"29.500000"	
"286"	"100101"	"1"	"1"	"29.600000"	
"287"	"100101"	"1"	"1"	"29.700000"	
"288"	"100101"	"1"	"1"	"29.800000"	
"289"	"100101"	"1"	"1"	"29.900000"	
"290"	"100101"	"1"	"1"	"30.000000"	
"291"	"100101"	"1"	"1"	"30.100000"	
"292"	"100101"	"1"	"1"	"30.200000"	
"293"	"100101"	"1"	"1"	"30.300000"	
"294"	"100101"	"1"	"1"	"30.400000"	
"295"	"100101"	"1"	"1"	"30.500000"	
"296"	"100101"	"1"	"1"	"30.600000"	
"297"	"100101"	"1"	"1"	"30.700000"	
"298"	"100101"	"1"	"1"	"30.800000"	
"299"	"100101"	"1"	"1"	"30.900000"	
"300"	"100101"	"1"	"1"	"31.000000"	
"301"	"100101"	"1"	"1"	"31.100000"	
"302"	"100101"	"1"	"1"	"31.200000"	
"303"	"100101"	"1"	"1"	"31.300000"	
"304"	"100101"	"1"	"1"	"31.400000"	
"305"	"100101"	"1"	"1"	"31.500000"	
"306"	"100101"	"1"	"1"	"31.600000"	
"307"	"100101"	"1"	"1"	"31.700000"	
"308"	"100101"	"1"	"1"	"31.800000"	
"309"	"100101"	"1"	"1"	"31.900000"	
"310"	"100101"	"1"	"1"	"32.000000"	
"311"	"100101"	"1"	"1"	"32.100000"	
"312"	"100101"	"1"	"1"	"32.200000"	
"313"	"100101"	"1"	"1"	"32.300000"	
"314"	"100101"	"1"	"1"	"32.400000"	
"315"	"100101"	"1"	"1"	"32.500000"	
"316"	"100101"	"1"	"1"	"32.600000"	
"317"	"100101"	"1"	"1"	"32.700000"	
"318"	"100101"	"1"	"1"	"32.800000"	
"319"	"100101"	"1"	"1"	"32.900000"	
"320"	"100101"	"1"	"1"	"33.000000"	
"321"	"100101"	"1"	"1"	"33.100000"	
"322"	"100101"	"1"	"1"	"33.200000"	
"323"	"100101"	"1"	"1"	"33.300000"	
"324"	"100101"	"1"	"1"	"33.400000"	
"325"	"100101"	"1"	"1"	"33.500000"	
"326"	"100101"	"1"	"1"	"33.600000"	
"327"	"100101"	"1"	"1"	"33.700000"	
"328"	"100101"	"1"	"1"	"33.800000"	
"329"	"100101"	"1"	"1"	"33.900000"	
"330"	"100101"	"1"	"1"	"34.000000"	
"331"	"100101"	"1"	"1"	"34.100000"	
"332"	"100101"	"1"	"1"	"34.200000"	
"333"	"100101"	"1"	"1"	"34.300000"	
"334"	"100101"	"1"	"1"	"34.400000"	
"335"	"100101"	"1"	"1"	"34.500000"	
"336"	"100101"	"1"	"1"	"34.600000"	
"337"	"100101"	"1"	"1"	"34.700000"	
"338"	"100101"	"1"	"1"	"34.800000"	
"339"	"100101"	"1"	"1"	"34.900000"	
"340"	"100101"	"1"	"1"	"35.000000"	
"341"	"100101"	"1"	"1"	"35.100000"	
"342"	"100101"	"1"	"1"	"35.200000"	
"343"	"100101"	"1"	"1"	"35.300000"	
"344"	"100101"	"1"	"1"	"35.400000"	
"345"	"100101"	"1"	"1"	"35.500000"	
"346"	"100101"	"1"	"1"	"35.600000"	
"347"	"100101"	"1"	"1"	"35.700000"	
"348"	"100101"	"1"	"1"	"35.800000"	
"349"	"100101"	"1"	"1"	"35.900000"	
"350"	"100101"	"1"	"1"	"36.000000"	
"351"	"100101"	"1"	"1"	"36.100000"	
"352"	"100101"	"1"	"1"	"36.200000"	
"353"	"100101"	"1"	"1"	"36.300000"	
"354"	"100101"	"1"	"1"	"36.400000"	
"355"	"100101"	"1"	"1"	"36.500000"	
"356"	"100101"	"1"	"1"	"36.600000"	
"357"	"100101"	"1"	"1"	"36.700000"	
"358"	"100101"	"1"	"1"	"36.800000"	
"359"	"100101"	"1"	"1"	"36.900000"	
"360"	"100101"	"1"	"1"	"37.000000"	
"361"	"100101"	"1"	"2"	"37.180000"	
"362"	"100101"	"1"	"2"	"37.370000"	
"363"	"100101"	"1"	"2"	"37.550000"	
"364"	"100101"	"1"	"2"	"37.730000"	
"365"	"100101"	"1"	"2"	"37.920000"	
"366"	"100101"	"1"	"2"	"38.100000"	
"367"	"100101"	"1"	"2"	"38.280000"	
"368"	"100101"	"1"	"2"	"38.470000"	
"369"	"100101"	"1"	"2"	"38.650000"	
"370"	"100101"	"1"	"2"	"38.830000"	
"371"	"100101"	"1"	"2"	"39.020000"	
"372"	"100101"	"1"	"2"	"39.200000"	
"373"	"100101"	"1"	"2"	"39.380000"	
"374"	"100101"	"1"	"2"	"39.570000"	
"375"	"100101"	"1"	"2"	"39.750000"	
"376"	"100101"	"1"	"2"	"39.930000"	
"377"	"100101"	"1"	"2"	"40.120000"	
"378"	"100101"	"2"	"4"	"40.300000"	
"379"	"100101"	"2"	"4"	"40.480000"	
"380"	"100101"	"2"	"4"	"40.670000"	
"381"	"100101"	"2"	"4"	"40.850000"	
"382"	"100101"	"2"	"4"	"41.030000"	
"383"	"100101"	"2"	"4"	"41.220000"	
"384"	"100101"	"2"	"4"	"41.400000"	
"385"	"100101"	"2"	"4"	"41.580000"	
"386"	"100101"	"2"	"4"	"41.770000"	
"387"	"100101"	"2"	"4"	"41.950000"	
"388"	"100101"	"2"	"4"	"42.130000"	
"389"	"100101"	"2"	"4"	"42.320000"	
"390"	"100101"	"2"	"4"	"42.500000"	
"391"	"100101"	"2"	"4"	"42.680000"	
"392"	"100101"	"2"	"4"	"42.870000"	
"393"	"100101"	"2"	"4"	"43.050000"	
"394"	"100101"	"2"	"4"	"43.230000"	
"395"	"100101"	"2"	"4"	"43.420000"	
"396"	"100101"	"2"	"4"	"43.600000"	
"397"	"100101"	"2"	"4"	"43.780000"	
"398"	"100101"	"2"	"4"	"43.970000"	
"399"	"100101"	"2"	"4"	"44.150000"	
"400"	"100101"	"2"	"4"	"44.330000"	
"401"	"100101"	"2"	"4"	"44.520000"	
"402"	"100101"	"2"	"4"	"44.700000"	
"403"	"100101"	"2"	"4"	"44.880000"	
"404"	"100101"	"2"	"4"	"45.070000"	
"405"	"100101"	"2"	"4"	"45.250000"	
"406"	"100101"	"2"	"4"	"45.430000"	
"407"	"100101"	"2"	"4"	"45.620000"	
"408"	"100101"	"2"	"4"	"45.800000"	
"409"	"100101"	"2"	"4"	"45.980000"	
"410"	"100101"	"2"	"4"	"46.170000"	
"411"	"100101"	"2"	"4"	"46.350000"	
"412"	"100101"	"2"	"4"	"46.530000"	
"413"	"100101"	"2"	"4"	"46.720000"	
"414"	"100101"	"2"	"4"	"46.900000"	
"415"	"100101"	"2"	"4"	"47.080000"	
"416"	"100101"	"2"	"4"	"47.270000"	
"417"	"100101"	"2"	"4"	"47.450000"	
"418"	"100101"	"2"	"4"	"47.630000"	
"419"	"100101"	"2"	"4"	"47.820000"	
"420"	"100101"	"2"	"4"	"48.000000"	
"421"	"100101"	"2"	"4"	"48.180000"	
"422"	"100101"	"2"	"4"	"48.370000"	
"423"	"100101"	"2"	"4"	"48.550000"	
"424"	"100101"	"2"	"4"	"48.730000"	
"425"	"100101"	"2"	"4"	"48.920000"	
"426"	"100101"	"2"	"4"	"49.100000"	
"427"	"100101"	"2"	"4"	"49.280000"	
"428"	"100101"	"2"	"4"	"49.470000"	
"429"	"100101"	"2"	"4"	"49.650000"	
"430"	"100101"	"2"	"4"	"49.830000"	
"431"	"100101"	"2"	"4"	"50.020000"	
"432"	"100101"	"2"	"4"	"50.200000"	
"433"	"100101"	"2"	"4"	"50.380000"	
"434"	"100101"	"2"	"4"	"50.570000"	
"435"	"100101"	"2"	"4"	"50.750000"	
"436"	"100101"	"2"	"4"	"50.930000"	
"437"	"100101"	"2"	"4"	"51.120000"	
"438"	"100101"	"2"	"4"	"51.300000"	
"439"	"100101"	"2"	"4"	"51.480000"	
"440"	"100101"	"2"	"4"	"51.670000"	
"441"	"100101"	"2"	"4"	"51.850000"	
"442"	"100101"	"2"	"4"	"52.030000"	
"443"	"100101"	"2"	"4"	"52.220000"	
"444"	"100101"	"2"	"4"	"52.400000"	
"445"	"100101"	"2"	"4"	"52.580000"	
"446"	"100101"	"2"	"4"	"52.770000"	
"447"	"100101"	"2"	"4"	"52.950000"	
"448"	"100101"	"2"	"4"	"53.130000"	
"449"	"100101"	"2"	"4"	"53.320000"	
"450"	"100101"	"2"	"4"	"53.500000"	
"451"	"100101"	"2"	"4"	"53.680000"	
"452"	"100101"	"2"	"4"	"53.870000"	
"453"	"100101"	"2"	"4"	"54.050000"	
"454"	"100101"	"2"	"4"	"54.230000"	
"455"	"100101"	"2"	"4"	"54.420000"	
"456"	"100101"	"2"	"4"	"54.600000"	
"457"	"100101"	"2"	"4"	"54.780000"	
"458"	"100101"	"2"	"4"	"54.970000"	
"459"	"100101"	"2"	"4"	"55.150000"	
"460"	"100101"	"2"	"4"	"55.330000"	
"461"	"100101"	"2"	"4"	"55.520000"	
"462"	"100101"	"2"	"4"	"55.700000"	
"463"	"100101"	"2"	"4"	"55.880000"	
"464"	"100101"	"2"	"4"	"56.070000"	
"465"	"100101"	"2"	"4"	"56.250000"	
"466"	"100101"	"2"	"4"	"56.430000"	
"467"	"100101"	"2"	"4"	"56.620000"	
"468"	"100101"	"2"	"4"	"56.800000"	
"469"	"100101"	"2"	"4"	"56.980000"	
"470"	"100101"	"2"	"4"	"57.170000"	
"471"	"100101"	"2"	"4"	"57.350000"	
"472"	"100101"	"2"	"4"	"57.530000"	
"473"	"100101"	"2"	"4"	"57.720000"	
"474"	"100101"	"2"	"4"	"57.900000"	
"475"	"100101"	"2"	"4"	"58.080000"	
"476"	"100101"	"2"	"4"	"58.270000"	
"477"	"100101"	"2"	"4"	"58.450000"	
"478"	"100101"	"2"	"4"	"58.630000"	
"479"	"100101"	"2"	"4"	"58.820000"	
"480"	"100101"	"2"	"4"	"59.000000"	
"481"	"100101"	"2"	"4"	"59.220000"	
"482"	"100101"	"2"	"4"	"59.440000"	
"483"	"100101"	"2"	"4"	"59.660000"	
"484"	"100101"	"2"	"4"	"59.880000"	
"485"	"100101"	"2"	"4"	"60.100000"	
"486"	"100101"	"2"	"4"	"60.320000"	
"487"	"100101"	"2"	"4"	"60.540000"	
"488"	"100101"	"2"	"4"	"60.770000"	
"489"	"100101"	"2"	"4"	"60.990000"	
"490"	"100101"	"2"	"4"	"61.210000"	
"491"	"100101"	"2"	"4"	"61.440000"	
"492"	"100101"	"2"	"4"	"61.660000"	
"493"	"100101"	"2"	"4"	"61.890000"	
"494"	"100101"	"2"	"4"	"62.110000"	
"495"	"100101"	"2"	"4"	"62.340000"	
"496"	"100101"	"2"	"4"	"62.570000"	
"497"	"100101"	"2"	"4"	"62.790000"	
"498"	"100101"	"2"	"4"	"63.020000"	
"499"	"100101"	"2"	"4"	"63.250000"	
"500"	"100101"	"2"	"4"	"63.480000"	
"501"	"100101"	"2"	"4"	"63.710000"	
"502"	"100101"	"2"	"4"	"63.940000"	
"503"	"100101"	"2"	"4"	"64.170000"	
"504"	"100101"	"2"	"4"	"64.400000"	
"505"	"100101"	"2"	"4"	"64.630000"	
"506"	"100101"	"2"	"4"	"64.870000"	
"507"	"100101"	"2"	"4"	"65.100000"	
"508"	"100101"	"2"	"4"	"65.330000"	
"509"	"100101"	"2"	"4"	"65.570000"	
"510"	"100101"	"2"	"4"	"65.800000"	
"511"	"100101"	"2"	"4"	"66.040000"	
"512"	"100101"	"2"	"4"	"66.270000"	
"513"	"100101"	"2"	"4"	"66.510000"	
"514"	"100101"	"2"	"4"	"66.750000"	
"515"	"100101"	"2"	"4"	"66.980000"	
"516"	"100101"	"2"	"4"	"67.220000"	
"517"	"100101"	"2"	"4"	"67.460000"	
"518"	"100101"	"2"	"4"	"67.700000"	
"519"	"100101"	"2"	"4"	"67.940000"	
"520"	"100101"	"2"	"4"	"68.180000"	
"521"	"100101"	"2"	"4"	"68.420000"	
"522"	"100101"	"2"	"4"	"68.660000"	
"523"	"100101"	"2"	"4"	"68.900000"	
"524"	"100101"	"2"	"4"	"69.150000"	
"525"	"100101"	"2"	"4"	"69.390000"	
"526"	"100101"	"2"	"4"	"69.630000"	
"527"	"100101"	"2"	"4"	"69.880000"	
"528"	"100101"	"2"	"4"	"70.120000"	
"529"	"100101"	"2"	"4"	"70.370000"	
"530"	"100101"	"2"	"4"	"70.610000"	
"531"	"100101"	"2"	"4"	"70.860000"	
"532"	"100101"	"2"	"4"	"71.110000"	
"533"	"100101"	"2"	"4"	"71.350000"	
"534"	"100101"	"2"	"4"	"71.600000"	
"535"	"100101"	"2"	"4"	"71.850000"	
"536"	"100101"	"2"	"4"	"72.100000"	
"537"	"100101"	"2"	"4"	"72.350000"	
"538"	"100101"	"2"	"4"	"72.600000"	
"539"	"100101"	"2"	"4"	"72.850000"	
"540"	"100101"	"2"	"4"	"73.100000"	
"541"	"100101"	"2"	"4"	"73.350000"	
"542"	"100101"	"2"	"4"	"73.610000"	
"543"	"100101"	"2"	"4"	"73.860000"	
"544"	"100101"	"2"	"4"	"74.110000"	
"545"	"100101"	"2"	"4"	"74.370000"	
"546"	"100101"	"2"	"4"	"74.620000"	
"547"	"100101"	"2"	"4"	"74.880000"	
"548"	"100101"	"2"	"4"	"75.130000"	
