"ID"	"场景ID"	"副本时间(秒)"	"可能得到的物品"	"首次奖励"	"首次奖励数量"	"基础奖励"	"基础奖励数量"	"随机Boss1"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能1"	"BOSS攻略1"	"推荐英雄组1"	"随机Boss2"	"新获得时位置xyRenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能2"	"BOSS攻略2"	"推荐英雄组2"	"随机Boss3"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能3"	"BOSS攻略3"	"推荐英雄组3"	"随机Boss4"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能4"	"BOSS攻略4"	"推荐英雄组4"	"随机Boss5"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能5"	"BOSS攻略5"	"推荐英雄组5"	"随机Boss6"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能6"	"BOSS攻略6"	"推荐英雄组6"	"随机Boss7"	"易伤技能7"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"BOSS攻略7"	"推荐英雄组7"	"随机Boss8"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能8"	"BOSS攻略8"	"推荐英雄组8"	
"8"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40081"	"0,-2.2"	"5.5"	"70000100"	"4009"	"104029,102009,103023"	"40082"	"0,-2.9"	"7"	"70000200"	"4010"	"104001,103008,103004"	"40083"	"0,-2.9"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40084"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40091"	"0,-2.5"	"6"	"70000100"	"4009"	"104029,102009,103023"	"40092"	"0,-1.2"	"3"	"70000200"	"4010"	"104001,103008,103004"	"40093"	"0,-2"	"5"	"70000300"	"4011"	"104024,103003,103007"	"40094"	"0,-2.7"	"6.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"5,20,400000"	"100102,100101,100001"	"1,5,1000"	"40101"	"0,-2.3"	"5.7"	"70000100"	"4009"	"104029,102009,103023"	"40102"	"0,-4"	"9"	"70000200"	"4010"	"104001,103008,103004"	"40103"	"0,-2.8"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40104"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40111"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40112"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40113"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40114"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40121"	"0,-2.2"	"5.2"	"70000100"	"4009"	"104029,102009,103023"	"40122"	"0,-3.2"	"7.7"	"70000200"	"4010"	"104001,103008,103004"	"40123"	"0,-3.1"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40124"	"0,-2.5"	"6"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"13"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40131"	"0,-2.2"	"5.5"	"70000100"	"4009"	"104029,102009,103023"	"40132"	"0,-2.9"	"7"	"70000200"	"4010"	"104001,103008,103004"	"40133"	"0,-2.9"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40134"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"14"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40141"	"0,-2.5"	"6"	"70000100"	"4009"	"104029,102009,103023"	"40142"	"0,-1.2"	"3"	"70000200"	"4010"	"104001,103008,103004"	"40143"	"0,-2"	"5"	"70000300"	"4011"	"104024,103003,103007"	"40144"	"0,-2.7"	"6.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"15"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"5,20,600000"	"100102,100101,100001"	"1,5,1000"	"40151"	"0,-2.3"	"5.7"	"70000100"	"4009"	"104029,102009,103023"	"40152"	"0,-4"	"9"	"70000200"	"4010"	"104001,103008,103004"	"40153"	"0,-2.8"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40154"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"16"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40161"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40162"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40163"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40164"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"17"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40171"	"0,-2.2"	"5.2"	"70000100"	"4009"	"104029,102009,103023"	"40172"	"0,-3.2"	"7.7"	"70000200"	"4010"	"104001,103008,103004"	"40173"	"0,-3.1"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40174"	"0,-2.5"	"6"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"18"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40181"	"0,-2.2"	"5.5"	"70000100"	"4009"	"104029,102009,103023"	"40182"	"0,-2.9"	"7"	"70000200"	"4010"	"104001,103008,103004"	"40183"	"0,-2.9"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40184"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"19"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40191"	"0,-2.5"	"6"	"70000100"	"4009"	"104029,102009,103023"	"40192"	"0,-1.2"	"3"	"70000200"	"4010"	"104001,103008,103004"	"40193"	"0,-2"	"5"	"70000300"	"4011"	"104024,103003,103007"	"40194"	"0,-2.7"	"6.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"10,20,800000"	"100102,100101,100001"	"1,5,1000"	"40201"	"0,-2.3"	"5.7"	"70000100"	"4009"	"104029,102009,103023"	"40202"	"0,-4"	"9"	"70000200"	"4010"	"104001,103008,103004"	"40203"	"0,-2.8"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40204"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40211"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40212"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40213"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40214"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"22"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40221"	"0,-2.2"	"5.2"	"70000100"	"4009"	"104029,102009,103023"	"40222"	"0,-3.2"	"7.7"	"70000200"	"4010"	"104001,103008,103004"	"40223"	"0,-3.1"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40224"	"0,-2.5"	"6"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"23"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40231"	"0,-2.2"	"5.5"	"70000100"	"4009"	"104029,102009,103023"	"40232"	"0,-2.9"	"7"	"70000200"	"4010"	"104001,103008,103004"	"40233"	"0,-2.9"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40234"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"24"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40241"	"0,-2.5"	"6"	"70000100"	"4009"	"104029,102009,103023"	"40242"	"0,-1.2"	"3"	"70000200"	"4010"	"104001,103008,103004"	"40243"	"0,-2"	"5"	"70000300"	"4011"	"104024,103003,103007"	"40244"	"0,-2.7"	"6.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"25"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"15,20,1000000"	"100102,100101,100001"	"1,10,1000"	"40251"	"0,-2.3"	"5.7"	"70000100"	"4009"	"104029,102009,103023"	"40252"	"0,-4"	"9"	"70000200"	"4010"	"104001,103008,103004"	"40253"	"0,-2.8"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40254"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40261"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40262"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40263"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40264"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"27"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40271"	"0,-2.2"	"5.2"	"70000100"	"4009"	"104029,102009,103023"	"40272"	"0,-3.2"	"7.7"	"70000200"	"4010"	"104001,103008,103004"	"40273"	"0,-3.1"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40274"	"0,-2.5"	"6"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"28"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40281"	"0,-2.2"	"5.5"	"70000100"	"4009"	"104029,102009,103023"	"40282"	"0,-2.9"	"7"	"70000200"	"4010"	"104001,103008,103004"	"40283"	"0,-2.9"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40284"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"29"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40291"	"0,-2.5"	"6"	"70000100"	"4009"	"104029,102009,103023"	"40292"	"0,-1.2"	"3"	"70000200"	"4010"	"104001,103008,103004"	"40293"	"0,-2"	"5"	"70000300"	"4011"	"104024,103003,103007"	"40294"	"0,-2.7"	"6.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"30"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"15,25,1200000"	"100102,100101,100001"	"1,10,1000"	"40301"	"0,-2.3"	"5.7"	"70000100"	"4009"	"104029,102009,103023"	"40302"	"0,-4"	"9"	"70000200"	"4010"	"104001,103008,103004"	"40303"	"0,-2.8"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40304"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"31"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40311"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40312"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40313"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40314"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"32"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40321"	"0,-2.2"	"5.2"	"70000100"	"4009"	"104029,102009,103023"	"40322"	"0,-3.2"	"7.7"	"70000200"	"4010"	"104001,103008,103004"	"40323"	"0,-3.1"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40324"	"0,-2.5"	"6"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"33"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40331"	"0,-2.2"	"5.5"	"70000100"	"4009"	"104029,102009,103023"	"40332"	"0,-2.9"	"7"	"70000200"	"4010"	"104001,103008,103004"	"40333"	"0,-2.9"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40334"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"34"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40341"	"0,-2.5"	"6"	"70000100"	"4009"	"104029,102009,103023"	"40342"	"0,-1.2"	"3"	"70000200"	"4010"	"104001,103008,103004"	"40343"	"0,-2"	"5"	"70000300"	"4011"	"104024,103003,103007"	"40344"	"0,-2.7"	"6.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"35"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"15,25,1400000"	"100102,100101,100001"	"1,10,1000"	"40351"	"0,-2.3"	"5.7"	"70000100"	"4009"	"104029,102009,103023"	"40352"	"0,-4"	"9"	"70000200"	"4010"	"104001,103008,103004"	"40353"	"0,-2.8"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40354"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"36"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40361"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40362"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40363"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40364"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"37"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40371"	"0,-2.2"	"5.2"	"70000100"	"4009"	"104029,102009,103023"	"40372"	"0,-3.2"	"7.7"	"70000200"	"4010"	"104001,103008,103004"	"40373"	"0,-3.1"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40374"	"0,-2.5"	"6"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"38"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40381"	"0,-2.2"	"5.5"	"70000100"	"4009"	"104029,102009,103023"	"40382"	"0,-2.9"	"7"	"70000200"	"4010"	"104001,103008,103004"	"40383"	"0,-2.9"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40384"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"39"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40391"	"0,-2.5"	"6"	"70000100"	"4009"	"104029,102009,103023"	"40392"	"0,-1.2"	"3"	"70000200"	"4010"	"104001,103008,103004"	"40393"	"0,-2"	"5"	"70000300"	"4011"	"104024,103003,103007"	"40394"	"0,-2.7"	"6.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"40"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"15,30,1600000"	"100102,100101,100001"	"1,10,1000"	"40401"	"0,-2.3"	"5.7"	"70000100"	"4009"	"104029,102009,103023"	"40402"	"0,-4"	"9"	"70000200"	"4010"	"104001,103008,103004"	"40403"	"0,-2.8"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40404"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"41"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40411"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40412"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40413"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40414"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"42"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40421"	"0,-2.2"	"5.2"	"70000100"	"4009"	"104029,102009,103023"	"40422"	"0,-3.2"	"7.7"	"70000200"	"4010"	"104001,103008,103004"	"40423"	"0,-3.1"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40424"	"0,-2.5"	"6"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"43"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40431"	"0,-2.2"	"5.5"	"70000100"	"4009"	"104029,102009,103023"	"40432"	"0,-2.9"	"7"	"70000200"	"4010"	"104001,103008,103004"	"40433"	"0,-2.9"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40434"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"44"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"40441"	"0,-2.5"	"6"	"70000100"	"4009"	"104029,102009,103023"	"40442"	"0,-1.2"	"3"	"70000200"	"4010"	"104001,103008,103004"	"40443"	"0,-2"	"5"	"70000300"	"4011"	"104024,103003,103007"	"40444"	"0,-2.7"	"6.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
