"装备位*1000+星级"	"星级"	"消耗材料（类型，数量）"	"保底符（类型，数量）"	"属性放大百分比"	"成功概率"	"失败回退等级"	
"2013"	"13"	"400200,1"	"300001,1"	"1.120000"	"0.800000"	"12"	
"2014"	"14"	"400200,1"	"300001,1"	"1.130000"	"0.800000"	"13"	
"2015"	"15"	"400200,1"	"300001,1"	"1.140000"	"0.800000"	"14"	
"2016"	"16"	"400200,1"	"300001,1"	"1.150000"	"0.800000"	"15"	
"2017"	"17"	"400200,1"	"300001,1"	"1.160000"	"0.800000"	"16"	
"2018"	"18"	"400200,1"	"300001,1"	"1.170000"	"0.800000"	"17"	
"2019"	"19"	"400200,1"	"300001,1"	"1.180000"	"0.800000"	"18"	
"2020"	"20"	"400200,1"	"300001,1"	"1.190000"	"0.800000"	"19"	
"3001"	"1"	"400200,1"	"300001,1"	"1.000000"	"0.800000"	"0"	
"3002"	"2"	"400200,1"	"300001,1"	"1.010000"	"0.800000"	"1"	
"3003"	"3"	"400200,1"	"300001,1"	"1.020000"	"0.800000"	"2"	
"3004"	"4"	"400200,1"	"300001,1"	"1.030000"	"0.800000"	"3"	
"3005"	"5"	"400200,1"	"300001,1"	"1.040000"	"0.800000"	"4"	
"3006"	"6"	"400200,1"	"300001,1"	"1.050000"	"0.800000"	"5"	
"3007"	"7"	"400200,1"	"300001,1"	"1.060000"	"0.800000"	"6"	
"3008"	"8"	"400200,1"	"300001,1"	"1.070000"	"0.800000"	"7"	
"3009"	"9"	"400200,1"	"300001,1"	"1.080000"	"0.800000"	"8"	
"3010"	"10"	"400200,1"	"300001,1"	"1.090000"	"0.800000"	"9"	
"3011"	"11"	"400200,1"	"300001,1"	"1.100000"	"0.800000"	"10"	
"3012"	"12"	"400200,1"	"300001,1"	"1.110000"	"0.800000"	"11"	
"3013"	"13"	"400200,1"	"300001,1"	"1.120000"	"0.800000"	"12"	
"3014"	"14"	"400200,1"	"300001,1"	"1.130000"	"0.800000"	"13"	
"3015"	"15"	"400200,1"	"300001,1"	"1.140000"	"0.800000"	"14"	
"3016"	"16"	"400200,1"	"300001,1"	"1.150000"	"0.800000"	"15"	
"3017"	"17"	"400200,1"	"300001,1"	"1.160000"	"0.800000"	"16"	
"3018"	"18"	"400200,1"	"300001,1"	"1.170000"	"0.800000"	"17"	
"3019"	"19"	"400200,1"	"300001,1"	"1.180000"	"0.800000"	"18"	
"3020"	"20"	"400200,1"	"300001,1"	"1.190000"	"0.800000"	"19"	
"4001"	"1"	"400200,1"	"300001,1"	"1.000000"	"0.800000"	"0"	
"4002"	"2"	"400200,1"	"300001,1"	"1.010000"	"0.800000"	"1"	
"4003"	"3"	"400200,1"	"300001,1"	"1.020000"	"0.800000"	"2"	
"4004"	"4"	"400200,1"	"300001,1"	"1.030000"	"0.800000"	"3"	
"4005"	"5"	"400200,1"	"300001,1"	"1.040000"	"0.800000"	"4"	
"4006"	"6"	"400200,1"	"300001,1"	"1.050000"	"0.800000"	"5"	
"4007"	"7"	"400200,1"	"300001,1"	"1.060000"	"0.800000"	"6"	
"4008"	"8"	"400200,1"	"300001,1"	"1.070000"	"0.800000"	"7"	
"4009"	"9"	"400200,1"	"300001,1"	"1.080000"	"0.800000"	"8"	
"4010"	"10"	"400200,1"	"300001,1"	"1.090000"	"0.800000"	"9"	
"4011"	"11"	"400200,1"	"300001,1"	"1.100000"	"0.800000"	"10"	
"4012"	"12"	"400200,1"	"300001,1"	"1.110000"	"0.800000"	"11"	
"4013"	"13"	"400200,1"	"300001,1"	"1.120000"	"0.800000"	"12"	
"4014"	"14"	"400200,1"	"300001,1"	"1.130000"	"0.800000"	"13"	
"4015"	"15"	"400200,1"	"300001,1"	"1.140000"	"0.800000"	"14"	
"4016"	"16"	"400200,1"	"300001,1"	"1.150000"	"0.800000"	"15"	
"4017"	"17"	"400200,1"	"300001,1"	"1.160000"	"0.800000"	"16"	
"4018"	"18"	"400200,1"	"300001,1"	"1.170000"	"0.800000"	"17"	
"4019"	"19"	"400200,1"	"300001,1"	"1.180000"	"0.800000"	"18"	
"4020"	"20"	"400200,1"	"300001,1"	"1.190000"	"0.800000"	"19"	
