"特殊掉落ID"	"掉落包描述"	"职业限制(1=对战士可掉;2=对弓手可掉;4=对法师可掉;7=对所有职业可掉)"	"节日特殊掉落1=圣诞"	"击杀者等级限制"	"击杀者变量条件变量,区间1,2区间1：0=挂机迷城，用逗号分隔需要其他和必焕说区间2：挂机迷城击杀怪物数量上下限，用逗号分隔"	"掉落数量"	"掉落1"	"掉落2"	"掉落3"	"掉落4"	"掉落5"	"掉落6"	"掉落7"	"掉落8"	"掉落9"	"掉落10"	"掉落11"	"掉落12"	"掉落13"	"掉落14"	"掉落15"	"掉落16"	"掉落17"	"掉落18"	"掉落19"	"掉落20"	"掉落21"	"掉落22"	"掉落23"	"掉落24"	"掉落25"	"掉落26"	"掉落27"	"掉落28"	"掉落29"	"掉落30"	""	""	""	""	""	""	""	""	""	""	
"1012100"	"40级绿装平分"	"7"	""	""	""	"1"	"2,1012101,100"	"2,1012102,100"	"2,1012103,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012101"	"40级绿装平分转剑"	"1"	""	""	""	"1"	"1,20211004,100"	"1,20211005,100"	"1,20211006,100"	"1,20211007,100"	"1,20211008,100"	"1,20211009,100"	"1,20211010,100"	"1,20211011,100"	"1,20211101,100"	"1,20211102,100"	"1,20211103,100"	"1,20211112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012102"	"40级绿装平分天威"	"2"	""	""	""	"1"	"1,20211004,100"	"1,20211005,100"	"1,20211006,100"	"1,20211007,100"	"1,20211008,100"	"1,20211009,100"	"1,20211010,100"	"1,20211011,100"	""	""	""	""	"1,20211201,100"	"1,20211202,100"	"1,20211203,100"	"1,20211212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012103"	"40级绿装平分云锦"	"4"	""	""	""	"1"	"1,20211004,100"	"1,20211005,100"	"1,20211006,100"	"1,20211007,100"	"1,20211008,100"	"1,20211009,100"	"1,20211010,100"	"1,20211011,100"	""	""	""	""	""	""	""	""	"1,20211301,100"	"1,20211302,100"	"1,20211303,100"	"1,20211312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012200"	"40级蓝装平分"	"7"	""	""	""	"1"	"2,1012201,100"	"2,1012202,100"	"2,1012203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012201"	"40级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20221004,100"	"1,20221005,100"	"1,20221006,100"	"1,20221007,100"	"1,20221008,100"	"1,20221009,100"	"1,20221010,100"	"1,20221011,100"	"1,20221101,100"	"1,20221102,100"	"1,20221103,100"	"1,20221112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012202"	"40级蓝装平分天威"	"2"	""	""	""	"1"	"1,20221004,100"	"1,20221005,100"	"1,20221006,100"	"1,20221007,100"	"1,20221008,100"	"1,20221009,100"	"1,20221010,100"	"1,20221011,100"	""	""	""	""	"1,20221201,100"	"1,20221202,100"	"1,20221203,100"	"1,20221212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012203"	"40级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20221004,100"	"1,20221005,100"	"1,20221006,100"	"1,20221007,100"	"1,20221008,100"	"1,20221009,100"	"1,20221010,100"	"1,20221011,100"	""	""	""	""	""	""	""	""	"1,20221301,100"	"1,20221302,100"	"1,20221303,100"	"1,20221312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012300"	"40级紫装平分"	"7"	""	""	""	"1"	"2,1012301,100"	"2,1012302,100"	"2,1012303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012301"	"40级紫装平分转剑"	"1"	""	""	""	"1"	"1,20231004,100"	"1,20231005,100"	"1,20231006,100"	"1,20231007,100"	"1,20231008,100"	"1,20231009,100"	"1,20231010,100"	"1,20231011,100"	"1,20231101,100"	"1,20231102,100"	"1,20231103,100"	"1,20231112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012302"	"40级紫装平分天威"	"2"	""	""	""	"1"	"1,20231004,100"	"1,20231005,100"	"1,20231006,100"	"1,20231007,100"	"1,20231008,100"	"1,20231009,100"	"1,20231010,100"	"1,20231011,100"	""	""	""	""	"1,20231201,100"	"1,20231202,100"	"1,20231203,100"	"1,20231212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012303"	"40级紫装平分云锦"	"4"	""	""	""	"1"	"1,20231004,100"	"1,20231005,100"	"1,20231006,100"	"1,20231007,100"	"1,20231008,100"	"1,20231009,100"	"1,20231010,100"	"1,20231011,100"	""	""	""	""	""	""	""	""	"1,20231301,100"	"1,20231302,100"	"1,20231303,100"	"1,20231312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013100"	"80级绿装平分"	"7"	""	""	""	"1"	"2,1013101,100"	"2,1013102,100"	"2,1013103,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013101"	"80级绿装平分转剑"	"1"	""	""	""	"1"	"1,20311004,100"	"1,20311005,100"	"1,20311006,100"	"1,20311007,100"	"1,20311008,100"	"1,20311009,100"	"1,20311010,100"	"1,20311011,100"	"1,20311101,100"	"1,20311102,100"	"1,20311103,100"	"1,20311112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013102"	"80级绿装平分天威"	"2"	""	""	""	"1"	"1,20311004,100"	"1,20311005,100"	"1,20311006,100"	"1,20311007,100"	"1,20311008,100"	"1,20311009,100"	"1,20311010,100"	"1,20311011,100"	""	""	""	""	"1,20311201,100"	"1,20311202,100"	"1,20311203,100"	"1,20311212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013103"	"80级绿装平分云锦"	"4"	""	""	""	"1"	"1,20311004,100"	"1,20311005,100"	"1,20311006,100"	"1,20311007,100"	"1,20311008,100"	"1,20311009,100"	"1,20311010,100"	"1,20311011,100"	""	""	""	""	""	""	""	""	"1,20311301,100"	"1,20311302,100"	"1,20311303,100"	"1,20311312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013200"	"80级蓝装平分"	"7"	""	""	""	"1"	"2,1013201,100"	"2,1013202,100"	"2,1013203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013201"	"80级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20321004,100"	"1,20321005,100"	"1,20321006,100"	"1,20321007,100"	"1,20321008,100"	"1,20321009,100"	"1,20321010,100"	"1,20321011,100"	"1,20321101,100"	"1,20321102,100"	"1,20321103,100"	"1,20321112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013202"	"80级蓝装平分天威"	"2"	""	""	""	"1"	"1,20321004,100"	"1,20321005,100"	"1,20321006,100"	"1,20321007,100"	"1,20321008,100"	"1,20321009,100"	"1,20321010,100"	"1,20321011,100"	""	""	""	""	"1,20321201,100"	"1,20321202,100"	"1,20321203,100"	"1,20321212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013203"	"80级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20321004,100"	"1,20321005,100"	"1,20321006,100"	"1,20321007,100"	"1,20321008,100"	"1,20321009,100"	"1,20321010,100"	"1,20321011,100"	""	""	""	""	""	""	""	""	"1,20321301,100"	"1,20321302,100"	"1,20321303,100"	"1,20321312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013300"	"80级紫装平分"	"7"	""	""	""	"1"	"2,1013301,100"	"2,1013302,100"	"2,1013303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013301"	"80级紫装平分转剑"	"1"	""	""	""	"1"	"1,20331004,100"	"1,20331005,100"	"1,20331006,100"	"1,20331007,100"	"1,20331008,100"	"1,20331009,100"	"1,20331010,100"	"1,20331011,100"	"1,20331101,100"	"1,20331102,100"	"1,20331103,100"	"1,20331112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013302"	"80级紫装平分天威"	"2"	""	""	""	"1"	"1,20331004,100"	"1,20331005,100"	"1,20331006,100"	"1,20331007,100"	"1,20331008,100"	"1,20331009,100"	"1,20331010,100"	"1,20331011,100"	""	""	""	""	"1,20331201,100"	"1,20331202,100"	"1,20331203,100"	"1,20331212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013303"	"80级紫装平分云锦"	"4"	""	""	""	"1"	"1,20331004,100"	"1,20331005,100"	"1,20331006,100"	"1,20331007,100"	"1,20331008,100"	"1,20331009,100"	"1,20331010,100"	"1,20331011,100"	""	""	""	""	""	""	""	""	"1,20331301,100"	"1,20331302,100"	"1,20331303,100"	"1,20331312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013400"	"80级金装平分"	"7"	""	""	""	"1"	"2,1013401,100"	"2,1013402,100"	"2,1013403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013401"	"80级金装平分转剑"	"1"	""	""	""	"1"	"1,20341004,100"	"1,20341005,100"	"1,20341006,100"	"1,20341007,100"	"1,20341008,100"	"1,20341009,100"	"1,20341010,100"	"1,20341011,100"	"1,20341101,100"	"1,20341102,100"	"1,20341103,100"	"1,20341112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013402"	"80级金装平分天威"	"2"	""	""	""	"1"	"1,20341004,100"	"1,20341005,100"	"1,20341006,100"	"1,20341007,100"	"1,20341008,100"	"1,20341009,100"	"1,20341010,100"	"1,20341011,100"	""	""	""	""	"1,20341201,100"	"1,20341202,100"	"1,20341203,100"	"1,20341212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013403"	"80级金装平分云锦"	"4"	""	""	""	"1"	"1,20341004,100"	"1,20341005,100"	"1,20341006,100"	"1,20341007,100"	"1,20341008,100"	"1,20341009,100"	"1,20341010,100"	"1,20341011,100"	""	""	""	""	""	""	""	""	"1,20341301,100"	"1,20341302,100"	"1,20341303,100"	"1,20341312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013420"	"80级金套装平分"	"7"	""	""	""	"1"	"2,1013421,100"	"2,1013422,100"	"2,1013423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013421"	"80级金装平分转剑"	"1"	""	""	""	"1"	"1,20342004,100"	"1,20342005,100"	"1,20342006,100"	"1,20342007,100"	"1,20342008,100"	"1,20342009,100"	"1,20342010,100"	"1,20342011,100"	"1,20342101,100"	"1,20342102,100"	"1,20342103,100"	"1,20342112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013422"	"80级金装平分天威"	"2"	""	""	""	"1"	"1,20342004,100"	"1,20342005,100"	"1,20342006,100"	"1,20342007,100"	"1,20342008,100"	"1,20342009,100"	"1,20342010,100"	"1,20342011,100"	""	""	""	""	"1,20342201,100"	"1,20342202,100"	"1,20342203,100"	"1,20342212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1013423"	"80级金装平分云锦"	"4"	""	""	""	"1"	"1,20342004,100"	"1,20342005,100"	"1,20342006,100"	"1,20342007,100"	"1,20342008,100"	"1,20342009,100"	"1,20342010,100"	"1,20342011,100"	""	""	""	""	""	""	""	""	"1,20342301,100"	"1,20342302,100"	"1,20342303,100"	"1,20342312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014100"	"120级绿装平分"	"7"	""	""	""	"1"	"2,1014101,100"	"2,1014102,100"	"2,1014103,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014101"	"120级绿装平分转剑"	"1"	""	""	""	"1"	"1,20411004,100"	"1,20411005,100"	"1,20411006,100"	"1,20411007,100"	"1,20411008,100"	"1,20411009,100"	"1,20411010,100"	"1,20411011,100"	"1,20411101,100"	"1,20411102,100"	"1,20411103,100"	"1,20411112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014102"	"120级绿装平分天威"	"2"	""	""	""	"1"	"1,20411004,100"	"1,20411005,100"	"1,20411006,100"	"1,20411007,100"	"1,20411008,100"	"1,20411009,100"	"1,20411010,100"	"1,20411011,100"	""	""	""	""	"1,20411201,100"	"1,20411202,100"	"1,20411203,100"	"1,20411212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014103"	"120级绿装平分云锦"	"4"	""	""	""	"1"	"1,20411004,100"	"1,20411005,100"	"1,20411006,100"	"1,20411007,100"	"1,20411008,100"	"1,20411009,100"	"1,20411010,100"	"1,20411011,100"	""	""	""	""	""	""	""	""	"1,20411301,100"	"1,20411302,100"	"1,20411303,100"	"1,20411312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014200"	"120级蓝装平分"	"7"	""	""	""	"1"	"2,1014201,100"	"2,1014202,100"	"2,1014203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014201"	"120级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20421004,100"	"1,20421005,100"	"1,20421006,100"	"1,20421007,100"	"1,20421008,100"	"1,20421009,100"	"1,20421010,100"	"1,20421011,100"	"1,20421101,100"	"1,20421102,100"	"1,20421103,100"	"1,20421112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014202"	"120级蓝装平分天威"	"2"	""	""	""	"1"	"1,20421004,100"	"1,20421005,100"	"1,20421006,100"	"1,20421007,100"	"1,20421008,100"	"1,20421009,100"	"1,20421010,100"	"1,20421011,100"	""	""	""	""	"1,20421201,100"	"1,20421202,100"	"1,20421203,100"	"1,20421212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014203"	"120级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20421004,100"	"1,20421005,100"	"1,20421006,100"	"1,20421007,100"	"1,20421008,100"	"1,20421009,100"	"1,20421010,100"	"1,20421011,100"	""	""	""	""	""	""	""	""	"1,20421301,100"	"1,20421302,100"	"1,20421303,100"	"1,20421312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014300"	"120级紫装平分"	"7"	""	""	""	"1"	"2,1014301,100"	"2,1014302,100"	"2,1014303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014301"	"120级紫装平分转剑"	"1"	""	""	""	"1"	"1,20431004,100"	"1,20431005,100"	"1,20431006,100"	"1,20431007,100"	"1,20431008,100"	"1,20431009,100"	"1,20431010,100"	"1,20431011,100"	"1,20431101,100"	"1,20431102,100"	"1,20431103,100"	"1,20431112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014302"	"120级紫装平分天威"	"2"	""	""	""	"1"	"1,20431004,100"	"1,20431005,100"	"1,20431006,100"	"1,20431007,100"	"1,20431008,100"	"1,20431009,100"	"1,20431010,100"	"1,20431011,100"	""	""	""	""	"1,20431201,100"	"1,20431202,100"	"1,20431203,100"	"1,20431212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014303"	"120级紫装平分云锦"	"4"	""	""	""	"1"	"1,20431004,100"	"1,20431005,100"	"1,20431006,100"	"1,20431007,100"	"1,20431008,100"	"1,20431009,100"	"1,20431010,100"	"1,20431011,100"	""	""	""	""	""	""	""	""	"1,20431301,100"	"1,20431302,100"	"1,20431303,100"	"1,20431312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014400"	"120级金装平分"	"7"	""	""	""	"1"	"2,1014401,100"	"2,1014402,100"	"2,1014403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014401"	"120级金装平分转剑"	"1"	""	""	""	"1"	"1,20441004,100"	"1,20441005,100"	"1,20441006,100"	"1,20441007,100"	"1,20441008,100"	"1,20441009,100"	"1,20441010,100"	"1,20441011,100"	"1,20441101,100"	"1,20441102,100"	"1,20441103,100"	"1,20441112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014402"	"120级金装平分天威"	"2"	""	""	""	"1"	"1,20441004,100"	"1,20441005,100"	"1,20441006,100"	"1,20441007,100"	"1,20441008,100"	"1,20441009,100"	"1,20441010,100"	"1,20441011,100"	""	""	""	""	"1,20441201,100"	"1,20441202,100"	"1,20441203,100"	"1,20441212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014403"	"120级金装平分云锦"	"4"	""	""	""	"1"	"1,20441004,100"	"1,20441005,100"	"1,20441006,100"	"1,20441007,100"	"1,20441008,100"	"1,20441009,100"	"1,20441010,100"	"1,20441011,100"	""	""	""	""	""	""	""	""	"1,20441301,100"	"1,20441302,100"	"1,20441303,100"	"1,20441312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014420"	"120级金套装平分"	"7"	""	""	""	"1"	"2,1014421,100"	"2,1014422,100"	"2,1014423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014421"	"120级金装平分转剑"	"1"	""	""	""	"1"	"1,20442004,100"	"1,20442005,100"	"1,20442006,100"	"1,20442007,100"	"1,20442008,100"	"1,20442009,100"	"1,20442010,100"	"1,20442011,100"	"1,20442101,100"	"1,20442102,100"	"1,20442103,100"	"1,20442112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014422"	"120级金装平分天威"	"2"	""	""	""	"1"	"1,20442004,100"	"1,20442005,100"	"1,20442006,100"	"1,20442007,100"	"1,20442008,100"	"1,20442009,100"	"1,20442010,100"	"1,20442011,100"	""	""	""	""	"1,20442201,100"	"1,20442202,100"	"1,20442203,100"	"1,20442212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1014423"	"120级金装平分云锦"	"4"	""	""	""	"1"	"1,20442004,100"	"1,20442005,100"	"1,20442006,100"	"1,20442007,100"	"1,20442008,100"	"1,20442009,100"	"1,20442010,100"	"1,20442011,100"	""	""	""	""	""	""	""	""	"1,20442301,100"	"1,20442302,100"	"1,20442303,100"	"1,20442312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015100"	"160级绿装平分"	"7"	""	""	""	"1"	"2,1015101,100"	"2,1015102,100"	"2,1015103,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015101"	"160级绿装平分转剑"	"1"	""	""	""	"1"	"1,20511004,100"	"1,20511005,100"	"1,20511006,100"	"1,20511007,100"	"1,20511008,100"	"1,20511009,100"	"1,20511010,100"	"1,20511011,100"	"1,20511101,100"	"1,20511102,100"	"1,20511103,100"	"1,20511112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1015102"	"160级绿装平分天威"	"2"	""	""	""	"1"	"1,20511004,100"	"1,20511005,100"	"1,20511006,100"	"1,20511007,100"	"1,20511008,100"	"1,20511009,100"	"1,20511010,100"	"1,20511011,100"	""	""	""	""	"1,20511201,100"	"1,20511202,100"	"1,20511203,100"	"1,20511212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
