"id"	"消息分类"	"消息图标"	"是否离线存储"	"是否显示时间戳"	"消息内容"	"Tip内容"	"子类型（消息球为0，消息框为1）"	"消息框图标"	"消息框对应的界面id(消息球添0即可）"	"生存时间(min)"	"功能开放id"	"该类消息球保存数量上限"	"是否可叠加显示"	
"106"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"你所在联盟的[gold]联盟矿洞[-]升级到了[green]{0}[-]级，稀有水晶的出现几率增加了。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"107"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"恭喜您开启了迷宫探险！[green]经验、银币、稀有坐骑[togold]等你拿！活动每日12:00与20:00开启，详情请点击[green]#{ui_迷宫探险_100190}[togold]查阅。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"110"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"恭喜你开启了战龙专精功能，祭炼专精获得[green]大量自定义属性加成[gold]！"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"111"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"恭喜你开启了战龙悟性功能，提升悟性等级，极大的[green]提升战龙的基础和专精属性！[gold]"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"112"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"恭喜你开启了战龙守护功能，将空闲的战龙设置为守护状态为角色提供[green]属性加成[gold]！"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"113"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"云中城修炼所已经开放了，修炼领取[green]海量术力[togold]！"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"114"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"[togold]云中城的魔法果树开放了，摘取果实获得大量[green]银币[togold]、[green]术力[togold]奖励！"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"115"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"[togold]云中城的佣兵大厅开始招募勇士了，所有完成任务获得丰厚[green]银币[togold]回报！"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"116"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"[togold]云中城的神秘之塔开放了，试试手气，有几率翻到[green]金色血脉[togold]。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"117"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"联盟会战已开始，大量荣誉等你拿，是否进入？"	""	"0"	""	"0"	"30"	"0"	"20"	"0"	
"118"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"迷宫探险"	""	"1"	"act_image,run"	"100190"	"20"	"26"	"20"	"0"	
"119"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"天空试炼已经开启，逐层挑战可获得[green]海量经验[gold]。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"120"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"本次花费{0}银币，购买了{1}个{2}"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"121"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"由于{0}不足，无法自动购买血瓶和蓝瓶"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"122"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"由于背包满了，无法自动购买血瓶和蓝瓶"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"123"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[togold]您对[gold]{0}[togold]出价被超过了，您的竞拍资金[gold]{1}[togold]已返还您的账户。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"124"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[togold]恭喜您，您赢得了对[gold]{0}[togold]的竞拍，竞拍物品已经邮件通过发送给您，请查看邮箱收取物品"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"125"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"您已开通新等级的天空试炼挑战权限"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"126"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"水晶矿洞"	""	"1"	"act_image2,kuangdong"	"100383"	"30"	"102"	"20"	"0"	
"127"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[green]战争雕像[togold]已开启，详情请查看联盟界面。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"128"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[green]联盟矿洞[togold]已开启，详情请查看联盟界面。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"129"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[green]贡献商店[togold]已开启，详情请查看联盟界面。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"130"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[green]联盟仓库[togold]已开启，详情请查看联盟界面。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"131"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[green]升级大厅[togold]已开启，详情请查看联盟界面。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"132"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[green]猎龙[togold]已开启，详情请查看联盟界面。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"133"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[green]号令灯塔[togold]已开启，详情请查看联盟界面。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"134"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[green]试炼之地[togold]已开启，详情请查看联盟界面。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"135"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"跨服竞技"	""	"1"	"act_image,1v1"	"100182"	"120"	"40"	"20"	"0"	
"136"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"跨服战场"	""	"1"	"act_image,kuafuduoren"	"100366"	"120"	"64"	"20"	"0"	
"200"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"{0}无法领取，背包空间不足"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"201"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"{0}已领取"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"202"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"[green]你刚和[gold]【{0}】[green]并肩作战，是否加他为关注？"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"203"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"您的好友[gold][#{{name_{0}_{0}_{1}_{2}}}][yellow]邀请您加入[gold]{5}[yellow](队员状态{4}/3)[yellow]。#{{team_[green]【加入队伍】_{6}_{7}}}"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"204"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"您的联盟好友[gold][#{{name_{0}_{0}_{1}_{2}}}][yellow]邀请您加入[gold]{5}[yellow](队员状态{4}/3)[yellow]。#{{team_[green]【加入队伍】_{6}_{7}}}"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"205"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"魔域之眼"	""	"1"	"act_image3,moyuzhiyan"	"100414"	"0"	"115"	"20"	"0"	
"206"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"世界BOSS"	""	"1"	"act_image_boss,shijieboss"	"100422"	"20"	"118"	"20"	"0"	
"207"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"龙之秘宝"	""	"1"	"choujiang,longzhimibao"	"100428"	"0"	"119"	"20"	"0"	
"300"	"3"	"pic_ball_png,dui_1"	"1"	"0"	"好友请求"	"您有新的好友申请"	"0"	""	"0"	"0"	"0"	"20"	"1"	
"301"	"2"	"pic_ball_png,you_1"	"1"	"1"	"邮件"	"您有新的邮件"	"0"	""	"0"	"0"	"0"	"20"	"1"	
"302"	"5"	"pic_ball_png,qi_1"	"0"	"1"	"{0}Lv.{1}申请加入队伍"	"您有新的入队请求"	"0"	""	"0"	"0"	"0"	"20"	"0"	
"303"	"1"	"pic_ball_png,qi_1"	"0"	"1"	"{0}Lv.{1}邀请您加入队伍"	"您有新的组队邀请"	"0"	""	"0"	"0"	"0"	"20"	"0"	
"304"	"4"	"pic_ball_png,zhan_1"	"1"	"1"	"本次{0}排名结算中，您的名次为第{1}名，恭喜您成功上榜。"	"您有新的战报信息"	"0"	""	"0"	"1440"	"0"	"20"	"0"	
"305"	"1"	"pic_ball_png,qi_1"	"0"	"1"	"{0}Lv.{1}邀请您加入[green]【组队副本】[white]"	"您有新的组队邀请"	"0"	""	"0"	"0"	"0"	"20"	"1"	
"306"	"1"	"pic_ball_png,qi_1"	"0"	"1"	"{0}Lv.{1}邀请您加入跨服战场队伍"	"您有新的组队邀请"	"0"	""	"0"	"0"	"0"	"20"	"0"	
"307"	"1"	"pic_ball_png,qi_1"	"0"	"1"	"[gold]【{0}】[green]邀请您加入竞技场队伍"	"您有新的组队邀请"	"0"	""	"0"	"0"	"0"	"20"	"0"	
"401"	"9"	"pic_ball_png,qi_1"	"0"	"0"	"古墓迷宫"	""	"1"	"act_huodongdating_png,title_gmmg"	"200166"	"10"	"26"	"20"	"0"	
"402"	"9"	"pic_ball_png,qi_1"	"0"	"0"	"帮派战"	""	"1"	"act_huodongdating_png,title_bpz"	"200191"	"10"	"33"	"20"	"0"	
"403"	"9"	"pic_ball_png,qi_1"	"0"	"0"	"全服首领"	""	"1"	"act_huodongdating_png,title_quanfuboss"	"200101"	"10"	"41"	"20"	"0"	
"404"	"9"	"pic_ball_png,qi_1"	"0"	"0"	"野外首领"	""	"1"	"act_huodongdating_png,title_yewaiboss"	"200134"	"10"	"19"	"20"	"0"	
"405"	"9"	"pic_ball_png,qi_1"	"0"	"0"	"单人竞技"	""	"1"	"act_huodongdating_png,title_drjj"	"200065"	"10"	"5"	"20"	"0"	
"406"	"9"	"pic_ball_png,qi_1"	"0"	"0"	"组队竞技"	""	"1"	"act_huodongdating_png,title_zdjj"	"200107"	"10"	"8"	"20"	"0"	
"407"	"9"	"pic_ball_png,qi_1"	"0"	"0"	"守襄阳"	""	"1"	"act_huodongdating_png,title_sxy"	"200191"	"10"	"30"	"20"	"0"	
"408"	"9"	"pic_ball_png,qi_1"	"0"	"0"	"跨服战场"	""	"1"	"act_huodongdating_png,title_kfzz"	"200175"	"10"	"28"	"20"	"0"	
"409"	"9"	"pic_ball_png,gouhuo_1"	"0"	"0"	"篝火狂欢"	""	"1"	"act_huodongdating_png,title_gouhuo"	"200101"	"10"	"48"	"20"	"0"	
"410"	"6"	"pic_ball_png,red_1"	"0"	"0"	"新红包"	"您有一个红包等待拆封"	"0"	""	"200326"	"0"	"0"	"3"	"1"	
