"id"	"类型0=银币基金1=术力基金2=龙玉基金3=血脉基金4=宝石基金5=龙魂基金6=轻羽基金7=琉璃基金8=启航基金9=扬帆基金10=远航基金"	"子类型（012345）"	"等级"	"职业1=战2=弓3=法"	"价格(充值金币)"	"回报率"	"第1天返回物品(itemid+count)"	"第2天返回物品"	"第3天返回物品"	"第4天返回物品"	"第5天返回物品"	"第6天返回物品"	"第7天返回物品"	"第8天返回物品"	"第9天返回物品"	"第10天返回物品"	""	""	""	
"10011"	"1"	"1"	"20"	"1"	"88"	"500"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,12"	"600018,8"	"600018,8"	"600018,8"	""	""	""	
"10012"	"1"	"2"	"20"	"1"	"88"	"500"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,12"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"10013"	"1"	"3"	"20"	"1"	"88"	"500"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,15"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"10014"	"1"	"4"	"20"	"1"	"88"	"500"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,15"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"10015"	"1"	"5"	"20"	"1"	"88"	"500"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,15"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"10020"	"2"	"0"	"30"	"1"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"10021"	"2"	"1"	"30"	"1"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"10022"	"2"	"2"	"30"	"1"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"10023"	"2"	"3"	"30"	"1"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"10024"	"2"	"4"	"30"	"1"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"10025"	"2"	"5"	"30"	"1"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"10030"	"3"	"0"	"30"	"1"	"388"	"2000"	"561001,4"	"561001,4"	"561001,4"	"561001,4"	"561001,4"	"561001,4"	"561001,16"	"561002,5"	"561002,6"	"561002,6"	""	""	""	
"10031"	"3"	"1"	"30"	"1"	"388"	"3000"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,24"	"561002,6"	"561002,6"	"561002,6"	""	""	""	
"10032"	"3"	"2"	"30"	"1"	"388"	"3000"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,24"	"561002,6"	"561002,6"	"561002,6"	""	""	""	
"10033"	"3"	"3"	"30"	"1"	"388"	"4000"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,32"	"561002,7"	"561002,7"	"561002,7"	""	""	""	
"10034"	"3"	"4"	"30"	"1"	"388"	"4000"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,32"	"561002,7"	"561002,7"	"561002,7"	""	""	""	
"10035"	"3"	"5"	"30"	"1"	"388"	"4000"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,32"	"561002,7"	"561002,7"	"561002,7"	""	""	""	
"10040"	"4"	"0"	"50"	"1"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"10041"	"4"	"1"	"50"	"1"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"10042"	"4"	"2"	"50"	"1"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"10043"	"4"	"3"	"50"	"1"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"10044"	"4"	"4"	"50"	"1"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"10045"	"4"	"5"	"50"	"1"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"10050"	"5"	"0"	"50"	"1"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"10051"	"5"	"1"	"50"	"1"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"10052"	"5"	"2"	"50"	"1"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"10053"	"5"	"3"	"50"	"1"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"10054"	"5"	"4"	"50"	"1"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"10055"	"5"	"5"	"50"	"1"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"10060"	"6"	"0"	"45"	"1"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"10061"	"6"	"1"	"45"	"1"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"10062"	"6"	"2"	"45"	"1"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"10063"	"6"	"3"	"45"	"1"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"10064"	"6"	"4"	"45"	"1"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"10065"	"6"	"5"	"45"	"1"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"10070"	"7"	"0"	"45"	"1"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"10071"	"7"	"1"	"45"	"1"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"10072"	"7"	"2"	"45"	"1"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"10073"	"7"	"3"	"45"	"1"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"10074"	"7"	"4"	"45"	"1"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"10075"	"7"	"5"	"45"	"1"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"10080"	"8"	"0"	"20"	"1"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"10081"	"8"	"1"	"20"	"1"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"10082"	"8"	"2"	"20"	"1"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"10083"	"8"	"3"	"20"	"1"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"10084"	"8"	"4"	"20"	"1"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"10085"	"8"	"5"	"20"	"1"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"10090"	"9"	"0"	"20"	"1"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"10091"	"9"	"1"	"20"	"1"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"10092"	"9"	"2"	"20"	"1"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"10093"	"9"	"3"	"20"	"1"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"10094"	"9"	"4"	"20"	"1"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"10095"	"9"	"5"	"20"	"1"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"10100"	"10"	"0"	"20"	"1"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"10101"	"10"	"1"	"20"	"1"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"10102"	"10"	"2"	"20"	"1"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"10103"	"10"	"3"	"20"	"1"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"10104"	"10"	"4"	"20"	"1"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"10105"	"10"	"5"	"20"	"1"	"60"	"360"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"530701,1"	"600006,6"	"600006,6"	"600006,6"	"600006,6"	""	""	""	
"11000"	"0"	"0"	"20"	"2"	"88"	"500"	"600003,1"	"600003,1"	"600003,1"	"600003,1"	"600003,1"	"600003,1"	"600003,2"	"600002,19"	"600002,21"	"600002,21"	""	""	""	
"11001"	"0"	"1"	"20"	"2"	"88"	"500"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,4"	"600002,24"	"600002,24"	"600002,24"	""	""	""	
"11002"	"0"	"2"	"20"	"2"	"88"	"500"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,4"	"600002,27"	"600002,27"	"600002,27"	""	""	""	
"11003"	"0"	"3"	"20"	"2"	"88"	"500"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,6"	"600002,29"	"600002,29"	"600002,29"	""	""	""	
"11004"	"0"	"4"	"20"	"2"	"88"	"500"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,6"	"600002,31"	"600002,31"	"600002,31"	""	""	""	
"11005"	"0"	"5"	"20"	"2"	"88"	"500"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,6"	"600002,19"	"600002,21"	"600002,21"	""	""	""	
"11010"	"1"	"0"	"20"	"2"	"88"	"500"	"600018,3"	"600018,3"	"600018,3"	"600018,3"	"600018,3"	"600018,3"	"600018,9"	"600018,6"	"600018,8"	"600018,8"	""	""	""	
"11011"	"1"	"1"	"20"	"2"	"88"	"500"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,12"	"600018,8"	"600018,8"	"600018,8"	""	""	""	
"11012"	"1"	"2"	"20"	"2"	"88"	"500"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,4"	"600018,12"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"11013"	"1"	"3"	"20"	"2"	"88"	"500"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,15"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"11014"	"1"	"4"	"20"	"2"	"88"	"500"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,15"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"11015"	"1"	"5"	"20"	"2"	"88"	"500"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,5"	"600018,15"	"600018,10"	"600018,10"	"600018,10"	""	""	""	
"11020"	"2"	"0"	"30"	"2"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"11021"	"2"	"1"	"30"	"2"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"11022"	"2"	"2"	"30"	"2"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"11023"	"2"	"3"	"30"	"2"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"11024"	"2"	"4"	"30"	"2"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"11025"	"2"	"5"	"30"	"2"	"188"	"800"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,10"	"400100,20"	"400100,20"	"400100,20"	"400100,20"	""	""	""	
"11030"	"3"	"0"	"30"	"2"	"388"	"2000"	"561001,4"	"561001,4"	"561001,4"	"561001,4"	"561001,4"	"561001,4"	"561001,16"	"561002,5"	"561002,6"	"561002,6"	""	""	""	
"11031"	"3"	"1"	"30"	"2"	"388"	"3000"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,24"	"561002,6"	"561002,6"	"561002,6"	""	""	""	
"11032"	"3"	"2"	"30"	"2"	"388"	"3000"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,6"	"561001,24"	"561002,6"	"561002,6"	"561002,6"	""	""	""	
"11033"	"3"	"3"	"30"	"2"	"388"	"4000"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,32"	"561002,7"	"561002,7"	"561002,7"	""	""	""	
"11034"	"3"	"4"	"30"	"2"	"388"	"4000"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,32"	"561002,7"	"561002,7"	"561002,7"	""	""	""	
"11035"	"3"	"5"	"30"	"2"	"388"	"4000"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,8"	"561001,32"	"561002,7"	"561002,7"	"561002,7"	""	""	""	
"11040"	"4"	"0"	"50"	"2"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"11041"	"4"	"1"	"50"	"2"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"11042"	"4"	"2"	"50"	"2"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"11043"	"4"	"3"	"50"	"2"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"11044"	"4"	"4"	"50"	"2"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"11045"	"4"	"5"	"50"	"2"	"888"	"3000"	"700303,1"	"700301,1"	"700307,1"	"700308,1"	"700305,1"	"700303,1"	"700405,1"	"700307,2"	"700308,2"	"700305,2"	""	""	""	
"11050"	"5"	"0"	"50"	"2"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"11051"	"5"	"1"	"50"	"2"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"11052"	"5"	"2"	"50"	"2"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"11053"	"5"	"3"	"50"	"2"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"11054"	"5"	"4"	"50"	"2"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"11055"	"5"	"5"	"50"	"2"	"988"	"4000"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,5"	"400200,10"	"400200,10"	"400200,10"	"400200,10"	""	""	""	
"11060"	"6"	"0"	"45"	"2"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"11061"	"6"	"1"	"45"	"2"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"11062"	"6"	"2"	"45"	"2"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"11063"	"6"	"3"	"45"	"2"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"11064"	"6"	"4"	"45"	"2"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"11065"	"6"	"5"	"45"	"2"	"388"	"2000"	"820001,25"	"820001,25"	"820001,25"	"820001,30"	"820001,30"	"820001,30"	"820001,35"	"820001,70"	"820001,70"	"820001,70"	""	""	""	
"11070"	"7"	"0"	"45"	"2"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"11071"	"7"	"1"	"45"	"2"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"11072"	"7"	"2"	"45"	"2"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"11073"	"7"	"3"	"45"	"2"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"11074"	"7"	"4"	"45"	"2"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"11075"	"7"	"5"	"45"	"2"	"588"	"3000"	"820002,5"	"820002,5"	"820002,7"	"820002,7"	"820002,10"	"820002,13"	"820002,13"	"820002,25"	"820002,25"	"820002,25"	""	""	""	
"11080"	"8"	"0"	"20"	"2"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"11081"	"8"	"1"	"20"	"2"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"11082"	"8"	"2"	"20"	"2"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"11083"	"8"	"3"	"20"	"2"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"11084"	"8"	"4"	"20"	"2"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"11085"	"8"	"5"	"20"	"2"	"10"	"100"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600002,2"	"600017,5"	"600006,1"	"600006,1"	"600006,1"	"600006,1"	""	""	""	
"11090"	"9"	"0"	"20"	"2"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"11091"	"9"	"1"	"20"	"2"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
"11092"	"9"	"2"	"20"	"2"	"30"	"240"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"561001,1"	"400100,2"	"600006,3"	"600006,3"	"600006,3"	"600006,3"	""	""	""	
