"ID"	"武魂名称"	"武魂点ID(对应HeroSpiritPoint表id列)"	"激活武魂所需物品1(ID,数量)"	"激活武魂所需物品2(ID,数量)"	"激活武魂所需物品3(ID,数量)"	"武魂激活属性"	"武魂名称图片（图集，图片名）"	"武魂底图（图集，图片名）"	"武魂节点模板ID"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100203"	"陆吾"	"10020301,10020302,10020303,10020304,10020305,10020306,10020307,10020308,10020309,10020310,10020311,10020312,10020313,10020314,10020315"	"100043,32"	""	""	"0,2700,1,168,2,84,8,11,10,11,12,11,14,11,18,11,16,11"	"pic_yingxiongmiji_png,w_luwu"	"pic_wuhun_png,luwu"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100204"	"白泽"	"10020401,10020402,10020403,10020404,10020405,10020406,10020407,10020408,10020409,10020410,10020411,10020412,10020413,10020414,10020415"	"100043,36"	""	""	"0,2700,1,168,2,84,8,11,10,11,12,11,14,11,18,11,16,11"	"pic_yingxiongmiji_png,w_baize"	"pic_wuhun_png,baize"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100205"	"金蟾"	"10020501,10020502,10020503,10020504,10020505,10020506,10020507,10020508,10020509,10020510,10020511,10020512,10020513,10020514,10020515"	"100043,40"	""	""	"0,2700,1,168,2,84,8,11,10,11,12,11,14,11,18,11,16,11"	"pic_yingxiongmiji_png,w_jinchan"	"pic_wuhun_png,jinchan"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100301"	"貔貅"	"10030101,10030102,10030103,10030104,10030105,10030106,10030107,10030108,10030109,10030110,10030111,10030112,10030113,10030114,10030115"	"100043,36"	""	""	"0,4051,1,253,2,126,8,16,10,16,12,16,14,16,18,16,16,16"	"pic_yingxiongmiji_png,w_pixiu"	"pic_wuhun_png,pixiu"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100302"	"角端"	"10030201,10030202,10030203,10030204,10030205,10030206,10030207,10030208,10030209,10030210,10030211,10030212,10030213,10030214,10030215"	"100043,42"	""	""	"0,4051,1,253,2,126,8,16,10,16,12,16,14,16,18,16,16,16"	"pic_yingxiongmiji_png,w_jiaoduan"	"pic_wuhun_png,jiaoduan"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100303"	"陆吾"	"10030301,10030302,10030303,10030304,10030305,10030306,10030307,10030308,10030309,10030310,10030311,10030312,10030313,10030314,10030315"	"100043,48"	""	""	"0,4051,1,253,2,126,8,16,10,16,12,16,14,16,18,16,16,16"	"pic_yingxiongmiji_png,w_luwu"	"pic_wuhun_png,luwu"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100304"	"白泽"	"10030401,10030402,10030403,10030404,10030405,10030406,10030407,10030408,10030409,10030410,10030411,10030412,10030413,10030414,10030415"	"100043,54"	""	""	"0,4051,1,253,2,126,8,16,10,16,12,16,14,16,18,16,16,16"	"pic_yingxiongmiji_png,w_baize"	"pic_wuhun_png,baize"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100305"	"金蟾"	"10030501,10030502,10030503,10030504,10030505,10030506,10030507,10030508,10030509,10030510,10030511,10030512,10030513,10030514,10030515"	"100043,60"	""	""	"0,4051,1,253,2,126,8,16,10,16,12,16,14,16,18,16,16,16"	"pic_yingxiongmiji_png,w_jinchan"	"pic_wuhun_png,jinchan"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100401"	"貔貅"	"10040101,10040102,10040103,10040104,10040105,10040106,10040107,10040108,10040109,10040110,10040111,10040112,10040113,10040114,10040115"	"100043,60"	""	""	"0,6752,1,422,2,211,8,28,10,28,12,28,14,28,18,28,16,28"	"pic_yingxiongmiji_png,w_pixiu"	"pic_wuhun_png,pixiu"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100402"	"角端"	"10040201,10040202,10040203,10040204,10040205,10040206,10040207,10040208,10040209,10040210,10040211,10040212,10040213,10040214,10040215"	"100043,70"	""	""	"0,6752,1,422,2,211,8,28,10,28,12,28,14,28,18,28,16,28"	"pic_yingxiongmiji_png,w_jiaoduan"	"pic_wuhun_png,jiaoduan"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100403"	"陆吾"	"10040301,10040302,10040303,10040304,10040305,10040306,10040307,10040308,10040309,10040310,10040311,10040312,10040313,10040314,10040315"	"100043,80"	""	""	"0,6752,1,422,2,211,8,28,10,28,12,28,14,28,18,28,16,28"	"pic_yingxiongmiji_png,w_luwu"	"pic_wuhun_png,luwu"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100404"	"白泽"	"10040401,10040402,10040403,10040404,10040405,10040406,10040407,10040408,10040409,10040410,10040411,10040412,10040413,10040414,10040415"	"100043,90"	""	""	"0,6752,1,422,2,211,8,28,10,28,12,28,14,28,18,28,16,28"	"pic_yingxiongmiji_png,w_baize"	"pic_wuhun_png,baize"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100405"	"金蟾"	"10040501,10040502,10040503,10040504,10040505,10040506,10040507,10040508,10040509,10040510,10040511,10040512,10040513,10040514,10040515"	"100043,100"	""	""	"0,6752,1,422,2,211,8,28,10,28,12,28,14,28,18,28,16,28"	"pic_yingxiongmiji_png,w_jinchan"	"pic_wuhun_png,jinchan"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
