"id(0-255)"	"开放条件:等级(-1为无需求)"	"过滤条件：开服日期(开服第N天开，默认不填)"	"开放条件:任务填(类型,任务id)类型：0=无条件类型：1=接任务类型：2=完成任务(未交)类型：3=完成任务(已交)"	"场景要求(是否必须在主城触发)"	"是否新手指引出发"	"功能接口"	"功能对应的GUIconfigID。"	"对应的UI界面ID"	"对应页的页签编号"	""	"是否添加功能引导"	"tips展示类型1.侍从.2.背旗.3.宠物.4.坐骑5.法宝6.经脉7.帮派8,法阵9,如影10,神器"	"ID英雄ID:HeroConfig坐骑ID:RideConfig宠物ID:PetConfig神器ID:HolyWeaponConfig模型ID:CharacterConfig法阵ID:MagicCircleConfig如影ID：ShadowConfig神器ID：WeaponConfig"	"尺寸"	"位置"	"位置偏移"	"功能引导描述id"	"功能引导图集"	"PVP、PVE类型"	"功能开启文字"	"所属主功能ID"	
"8"	"60"	""	"0,0"	"0"	"0"	""	""	""	""	"竞技场3V3"	"0"	""	""	""	""	""	""	""	"pic_lingsan,pvp"	""	""	
"9"	"500"	""	"0,0"	"0"	"0"	""	""	""	""	"竞技场5v5"	"0"	""	""	""	""	""	""	""	"pic_lingsan,pvp"	""	""	
"10"	"60"	""	"0,0"	"0"	"0"	""	""	"200117"	"3"	"装备宝石"	"0"	""	""	""	""	""	"6006"	"pic_main_png,opentite09"	""	"140018"	"23"	
"11"	"50"	"1"	"0,0"	"0"	"0"	""	""	"100161"	""	"排行榜"	"0"	""	""	""	""	""	""	""	""	""	""	
"12"	"500"	"1"	"0,0"	"0"	"0"	""	""	""	""	"神装活动"	"0"	""	""	""	""	""	""	""	""	""	""	
"13"	"20"	"1"	"0,0"	"0"	"0"	""	""	""	""	"扫荡功能"	"0"	""	""	""	""	""	""	""	""	""	""	
"14"	"3"	""	"0,0"	"0"	"0"	""	""	""	""	"新在线奖励"	"0"	""	""	""	""	""	""	""	""	""	""	
"15"	"1"	""	"0,0"	"0"	"0"	""	"100130"	"100130"	""	"登录N天奖励"	"0"	""	""	""	""	""	""	""	""	""	""	
"16"	"58"	""	"0,0"	"0"	"0"	""	"200140"	"200140"	""	"环任务"	"0"	""	""	""	""	""	""	""	""	""	""	
"17"	"1"	""	"0,0"	"0"	"0"	""	""	"200101"	""	"活动大厅"	"0"	""	""	""	""	""	"6001"	""	""	""	""	
"18"	"44"	""	"0,0"	"0"	"0"	""	"200071"	"200071"	""	"单人副本"	"0"	""	""	""	""	""	"6000"	""	""	""	""	
"19"	"50"	""	"0,0"	"0"	"0"	""	"200134"	"200134"	""	"野外BOSS"	"0"	""	""	""	""	""	"6002"	""	""	""	""	
"20"	"500"	""	"0,0"	"0"	"0"	""	"200202"	"200202"	""	"旧宠物"	"0"	""	""	""	""	""	""	""	""	""	""	
"21"	"500"	""	"0,0"	"0"	"0"	""	"200202"	"200202"	"1"	"英雄"	"0"	""	""	""	""	""	""	""	""	""	""	
"22"	"22"	""	"0,0"	"0"	"0"	""	"200021"	"200021"	""	"经脉界面"	"1"	"6"	"80004"	"1.2"	"0,-0.25"	"-7,0,2.3"	"6300"	"pic_main_png,opentite07"	""	""	""	
"23"	"28"	""	"0,0"	"0"	"0"	""	"200117"	"200117"	"1"	"装备升星"	"0"	""	""	""	""	""	"6126"	""	""	""	""	
"24"	"41"	""	"0,0"	"0"	"0"	""	""	"200117"	"4"	"装备洗练"	"0"	""	""	""	""	""	""	""	""	"140019"	"23"	
"25"	"42"	""	"0,0"	"0"	"0"	""	""	"200117"	"2"	"装备提炼"	"0"	""	""	""	""	""	""	""	""	"140017"	"23"	
"26"	"58"	""	"0,0"	"0"	"0"	""	"200166"	"200166"	""	"古墓迷宫"	"0"	""	""	""	""	""	""	""	""	""	""	
"27"	"58"	""	"0,0"	"0"	"0"	""	"200161"	"200161"	""	"华山论剑"	"0"	""	""	""	""	""	""	""	""	""	""	
"28"	"80"	""	"0,0"	"0"	"0"	""	""	""	""	"跨服战场"	"0"	""	""	""	""	""	""	""	""	""	""	
"29"	"500"	""	"0,0"	"0"	"0"	""	"200162"	"200162"	""	"英雄抽卡"	"0"	""	""	""	""	""	""	""	""	""	""	
"30"	"80"	""	"0,0"	"0"	"0"	""	""	""	""	"襄阳守卫战"	"0"	""	""	""	""	""	""	""	""	""	""	
"31"	"30"	""	"0,0"	"0"	"0"	""	""	""	""	"每日签到"	"0"	""	""	""	""	""	""	""	""	""	""	
"32"	"45"	""	"0,0"	"0"	"0"	""	"200183"	"200183"	""	"单人首领"	"0"	""	""	""	""	""	""	""	""	""	""	
"33"	"35"	""	"0,0"	"0"	"0"	""	"200191"	"200191"	""	"帮派战"	"0"	""	""	""	""	""	""	""	""	""	""	
"34"	"30"	""	"0,0"	"0"	"0"	""	"200157"	"200157"	""	"活跃度"	"0"	""	""	""	""	""	""	""	""	""	""	
"35"	"10"	""	"0,0"	"0"	"0"	""	""	"200004"	""	"成就系统"	"0"	""	""	""	""	""	""	""	""	""	""	
"36"	"500"	""	"0,0"	"0"	"0"	""	""	"200202"	"3"	"英雄助战"	"0"	""	""	""	""	""	""	""	""	""	""	
"37"	"500"	""	"0,0"	"0"	"0"	""	""	"200202"	"2"	"英雄根骨"	"0"	""	""	""	""	""	""	""	""	""	""	
"38"	"500"	""	"0,0"	"0"	"0"	""	""	"200202"	"4"	"英雄武魂"	"0"	""	""	""	""	""	""	""	""	""	""	
"39"	"500"	""	"0,0"	"0"	"0"	""	"200186"	"200186"	"2"	"秘籍界面"	"0"	""	""	""	""	""	""	""	""	""	""	
"40"	"10"	""	"0,0"	"0"	"0"	""	"200224"	"200224"	""	"等级礼包"	"0"	""	""	""	""	""	""	""	""	""	""	
"41"	"63"	""	"0,0"	"0"	"0"	""	"200231"	""	""	"全服首领"	"0"	""	""	""	""	""	""	""	""	""	""	
"42"	"1"	""	"0,0"	"0"	"0"	""	"200228"	""	""	"改名界面"	"0"	""	""	""	""	""	""	""	""	""	""	
"43"	"500"	""	"0,0"	"0"	"0"	""	"200243"	"200243"	""	"神器"	"0"	""	""	""	""	""	""	""	""	""	""	
"44"	"35"	""	"0,0"	"0"	"0"	""	"200247"	""	""	"跨服帮派战"	"0"	""	""	""	""	""	""	""	""	""	""	
"45"	"120"	""	"0,0"	"0"	"0"	""	"200243"	"200243"	""	"幸运转盘"	"0"	""	""	""	""	""	""	""	""	""	""	
"46"	"70"	""	"0,0"	"0"	"0"	""	"200259"	""	""	"每日护送"	"0"	""	""	""	""	""	""	""	""	""	""	
"47"	"50"	""	"0,0"	"0"	"0"	""	""	"200157"	""	"资源找回"	"0"	""	""	""	""	""	""	""	""	""	""	
"48"	"60"	""	"0,0"	"0"	"0"	""	""	""	""	"篝火狂欢"	"0"	""	""	""	""	""	""	""	""	""	""	
"49"	"5"	""	"0,0"	"0"	"0"	""	"200293"	"200293"	"1"	"家园摇钱树"	"0"	""	""	""	""	""	""	""	""	""	""	
"50"	"90"	""	"0,0"	"0"	"0"	""	"200296"	"200296"	""	"背旗"	"1"	"2"	"1001"	"1.000000"	"0,-0.4"	"0,-121,0"	"6300"	"pic_main_png,opentite03"	""	""	""	
"51"	"25"	""	"0,0"	"0"	"0"	""	"200202"	"200202"	""	"侍从"	"1"	"1"	"102012"	"1.6"	"0,-0.5"	""	"6300"	"pic_main_png,opentite08"	""	""	""	
"52"	"25"	""	"0,0"	"0"	"0"	""	"200202"	"200202"	"1"	"侍从升星"	"0"	""	""	""	""	""	""	""	""	""	""	
"53"	"34"	""	"0,0"	"0"	"0"	""	""	"200202"	"2"	"侍从升级"	"0"	""	""	""	""	""	""	""	""	"140012"	"51"	
"54"	"25"	""	"0,0"	"0"	"0"	""	""	"200202"	"3"	"侍从战斗"	"0"	""	""	""	""	""	""	""	""	""	""	
"55"	"49"	""	"0,0"	"0"	"0"	""	""	"200202"	"5"	"侍从心法"	"0"	""	""	""	""	""	""	""	""	"140014"	"51"	
"56"	"70"	""	"0,0"	"0"	"0"	""	""	"200202"	"4"	"侍从注灵"	"0"	""	""	""	""	""	""	""	""	"140013"	"51"	
"57"	"38"	""	"0,0"	"0"	"0"	""	"200245"	"200245"	""	"法宝"	"1"	"5"	"1006"	"1.000000"	"0.1,-1"	"-1,115,-16"	"6300"	"pic_main_png,opentite05"	""	""	""	
"58"	"38"	""	"0,0"	"0"	"0"	""	"200245"	"200245"	"1"	"法宝升星"	"0"	""	""	""	""	""	""	""	""	""	""	
"59"	"47"	""	"0,0"	"0"	"0"	""	""	"200245"	"2"	"法宝强化"	"0"	""	""	""	""	""	""	""	""	"140010"	"57"	
"60"	"55"	""	"0,0"	"0"	"0"	""	""	"200245"	"3"	"法宝充能"	"0"	""	""	""	""	""	""	""	""	"140011"	"57"	
"61"	"60"	""	"0,0"	"0"	"0"	""	"200146"	"200146"	""	"新宠物"	"1"	"3"	"1001"	"1"	"0,-0.25"	""	"6300"	"pic_main_png,opentite04"	""	""	""	
"62"	"60"	""	"0,0"	"0"	"0"	""	"200146"	"200146"	"1"	"宠物升级"	"0"	""	""	""	""	""	""	""	""	""	""	
"63"	"60"	""	"0,0"	"0"	"0"	""	"200146"	"200146"	"2"	"宠物突破"	"0"	""	""	""	""	""	""	""	""	"140004"	"61"	
"64"	"80"	""	"0,0"	"0"	"0"	""	"200146"	"200146"	"3"	"宠物兽魂"	"0"	""	""	""	""	""	""	""	""	"140005"	"61"	
"65"	"60"	""	"0,0"	"0"	"0"	""	"200146"	"200146"	"4"	"宠物幻化"	"0"	""	""	""	""	""	""	""	""	"140006"	"61"	
"66"	"20"	""	"0,0"	"0"	"0"	""	"200055"	"200055"	""	"坐骑"	"1"	"4"	"10001"	"2.350000"	"0,-0.55"	"2,140,0"	"6300"	"pic_main_png,opentite10"	""	""	""	
"67"	"20"	""	"0,0"	"0"	"0"	""	"200055"	"200055"	"1"	"坐骑升级"	"0"	""	""	""	""	""	""	""	""	""	""	
"68"	"29"	""	"0,0"	"0"	"0"	""	"200055"	"200055"	"2"	"坐骑突破"	"0"	""	""	""	""	""	""	""	""	"140001"	"66"	
"69"	"80"	""	"0,0"	"0"	"0"	""	"200055"	"200055"	"3"	"坐骑兽魂"	"0"	""	""	""	""	""	""	""	""	"140002"	"66"	
"70"	"20"	""	"0,0"	"0"	"0"	""	"200055"	"200055"	"4"	"坐骑幻化"	"0"	""	""	""	""	""	""	""	""	"140003"	"66"	
"71"	"7"	""	"0,0"	"0"	"0"	""	"200287"	"200287"	"2"	"新技能界面"	"0"	""	""	""	""	""	""	""	""	""	""	
"72"	"1"	""	"0,0"	"0"	"0"	""	"200293"	"200293"	""	"家园"	"0"	""	""	""	""	""	""	""	""	""	""	
"73"	"57"	""	"0,0"	"0"	"0"	""	"200293"	"200293"	"3"	"家园随机商店"	"0"	""	""	""	""	""	""	""	""	""	""	
"74"	"62"	""	"0,0"	"0"	"0"	""	"200293"	"200293"	"2"	"家园侍从探索"	"0"	""	""	""	""	""	""	""	""	""	""	
"75"	"10"	""	"0,0"	"0"	"0"	""	"200311"	"200311"	""	"7日目标"	"0"	""	""	""	""	""	""	""	""	""	""	
"76"	"1"	""	"0,0"	"0"	"0"	""	"200314"	"200314"	""	"拍卖行"	"0"	""	""	""	""	""	""	""	""	""	""	
"77"	"55"	""	"0,0"	"0"	"0"	""	"200315"	"200315"	""	"挂机战场"	"0"	""	""	""	""	""	""	""	""	""	""	
"78"	"75"	""	"0,0"	"0"	"0"	""	"200317"	"200317"	"1"	"法阵"	"1"	"8"	"1001"	"2.500000"	"0,0.5"	""	"6300"	"pic_main_png,opentite11"	""	""	""	
"79"	"61"	""	"0,0"	"0"	"0"	""	"200324"	"200324"	""	"怪物图鉴"	"0"	""	""	""	""	""	""	""	""	""	""	
"80"	"65"	""	"0,0"	"0"	"0"	""	"200330"	"200330"	""	"命运轮"	"0"	""	""	""	""	""	""	""	""	""	""	
"81"	"95"	""	"0,0"	"0"	"0"	""	"200329"	"200329"	""	"如影随形"	"1"	"9"	"1001"	"2.500000"	"0,0.5"	""	"6300"	"pic_main_png,opentite12"	""	""	""	
"82"	"95"	""	"0,0"	"0"	"0"	""	"200329"	"200329"	"1"	"如影强化"	"0"	""	""	""	""	""	""	""	""	""	""	
"83"	"78"	""	"0,0"	"0"	"0"	""	"200335"	"200335"	""	"野外激战"	"0"	""	""	""	""	""	""	""	""	""	""	
"84"	"78"	""	"0,0"	"0"	"0"	""	"200332"	"200332"	""	"职业强化"	"0"	""	""	""	""	""	""	""	""	""	""	
"85"	"30"	""	"0,0"	"0"	"0"	""	"200332"	"200332"	""	"官职系统"	"0"	""	""	""	""	""	""	""	""	""	""	
"86"	"75"	""	"0,0"	"0"	"0"	""	"200317"	"200317"	"2"	"法阵突破"	"0"	""	""	""	""	""	""	""	""	"140015"	"78"	
"87"	"90"	""	"0,0"	"0"	"0"	""	"200296"	"200296"	"1"	"背旗升级"	"0"	""	""	""	""	""	""	""	""	""	""	
"88"	"90"	""	"0,0"	"0"	"0"	""	"200296"	"200296"	"2"	"背旗突破"	"0"	""	""	""	""	""	""	""	""	"140007"	"50"	
"89"	"90"	""	"0,0"	"0"	"0"	""	"200296"	"200296"	"3"	"背旗兽魂"	"0"	""	""	""	""	""	""	""	""	"140008"	"50"	
"90"	"90"	""	"0,0"	"0"	"0"	""	"200296"	"200296"	"4"	"背旗幻化"	"0"	""	""	""	""	""	""	""	""	"140009"	"50"	
"91"	"100"	""	"0,0"	"0"	"0"	""	"200288"	"200288"	""	"神器系统"	"1"	"10"	"1001"	"1.500000"	"0,0.5"	""	"6300"	"pic_main_png,opentite14"	""	""	""	
"92"	"60"	""	"0,0"	"0"	"0"	""	"200341"	"200341"	"1"	"1v1军衔开启"	"0"	""	""	""	""	""	""	""	""	""	""	
"93"	"60"	""	"0,0"	"0"	"0"	""	"200341"	"200341"	"2"	"3v3军衔开启"	"0"	""	""	""	""	""	""	""	""	""	""	
"94"	"80"	""	"0,0"	"0"	"0"	""	"200341"	"200341"	"3"	"15v15军衔开启"	"0"	""	""	""	""	""	""	""	""	""	""	
"95"	"60"	""	"0,0"	"0"	"0"	""	"200341"	"200341"	"4"	"野外军衔开启（主要）"	"0"	""	""	""	""	""	""	""	""	""	""	
"96"	"60"	""	"0,0"	"0"	"0"	""	"200341"	"200341"	"5"	"帮派军衔开启"	"0"	""	""	""	""	""	""	""	""	""	""	
"97"	"92"	""	"0,0"	"0"	"0"	""	"200342"	"200342"	""	"天下美食"	"0"	""	""	""	""	""	""	""	""	""	""	
"98"	"1"	""	"0,0"	"0"	"0"	""	"200004"	"200004"	""	"丹药"	"0"	""	""	""	""	""	""	""	""	""	""	
"99"	"103"	""	"0,0"	"0"	"0"	""	"200345"	"200345"	""	"钓鱼界面"	"0"	""	""	""	""	""	""	""	""	""	""	
