"ID第1位：注魂位ID，1护鞍2蹄甲3项圈4护盔第2位：预留，填0第3，4，5,位：等级，每阶段单独计算"	"注魂位品质（1=绿，2=蓝，3=紫，4=金，5=橙）实质上是阶段，每阶段等级单独结算"	"注魂所需材料ID"	"单次注魂所需材料数量（不能升级时必须为0）"	"注魂所需总材料数量（不能升级时必须为0）"	"注魂增加属性（填总属性值，而非差值）（属性ID，属性值）"	
"30022"	"3"	"110213"	"3"	"12"	"0,21102,1,1055,2,527"	
"30023"	"3"	"110213"	"3"	"12"	"0,24012,1,1200,2,600"	
"30024"	"3"	"110213"	"3"	"12"	"0,26922,1,1346,2,673"	
"30025"	"3"	"110213"	"3"	"12"	"0,29832,1,1491,2,745"	
"30026"	"3"	"110213"	"3"	"12"	"0,32742,1,1637,2,818"	
"30027"	"3"	"110213"	"3"	"12"	"0,35652,1,1782,2,891"	
"30028"	"3"	"110213"	"3"	"12"	"0,38562,1,1928,2,964"	
"30029"	"3"	"110213"	"3"	"12"	"0,41472,1,2073,2,1036"	
"30030"	"3"	"110213"	"3"	"12"	"0,44382,1,2219,2,1109"	
"30031"	"4"	"110213"	"4"	"24"	"0,48147,1,2407,2,1203"	
"30032"	"4"	"110213"	"4"	"24"	"0,51912,1,2595,2,1297"	
"30033"	"4"	"110213"	"4"	"24"	"0,55677,1,2783,2,1391"	
"30034"	"4"	"110213"	"4"	"24"	"0,59442,1,2972,2,1486"	
"30035"	"4"	"110213"	"4"	"24"	"0,63207,1,3160,2,1580"	
"30036"	"4"	"110213"	"4"	"24"	"0,66972,1,3348,2,1674"	
"30037"	"4"	"110213"	"4"	"24"	"0,70737,1,3536,2,1768"	
"30038"	"4"	"110213"	"4"	"24"	"0,74502,1,3725,2,1862"	
"30039"	"4"	"110213"	"4"	"24"	"0,78267,1,3913,2,1956"	
"30040"	"4"	"110213"	"4"	"24"	"0,82032,1,4101,2,2050"	
"30041"	"5"	"110213"	"5"	"35"	"0,86532,1,4326,2,2163"	
"30042"	"5"	"110213"	"5"	"35"	"0,91032,1,4551,2,2275"	
"30043"	"5"	"110213"	"5"	"35"	"0,95532,1,4776,2,2388"	
"30044"	"5"	"110213"	"5"	"35"	"0,100032,1,5001,2,2500"	
"30045"	"5"	"110213"	"5"	"35"	"0,104532,1,5226,2,2613"	
"30046"	"5"	"110213"	"5"	"35"	"0,109032,1,5451,2,2725"	
"30047"	"5"	"110213"	"5"	"35"	"0,113532,1,5676,2,2838"	
"30048"	"5"	"110213"	"5"	"35"	"0,118032,1,5901,2,2950"	
"30049"	"5"	"110213"	"5"	"35"	"0,122532,1,6126,2,3063"	
"30050"	"5"	"110213"	"0"	"0"	"0,127032,1,6351,2,3175"	
"40001"	"1"	"110214"	"1"	"2"	"0,529,1,26,2,13"	
"40002"	"1"	"110214"	"1"	"2"	"0,1058,1,52,2,26"	
"40003"	"1"	"110214"	"1"	"2"	"0,1587,1,79,2,39"	
"40004"	"1"	"110214"	"1"	"2"	"0,2116,1,105,2,52"	
"40005"	"1"	"110214"	"1"	"2"	"0,2646,1,132,2,66"	
"40006"	"1"	"110214"	"1"	"2"	"0,3175,1,158,2,79"	
"40007"	"1"	"110214"	"1"	"2"	"0,3704,1,185,2,92"	
"40008"	"1"	"110214"	"1"	"2"	"0,4233,1,211,2,105"	
"40009"	"1"	"110214"	"1"	"2"	"0,4762,1,238,2,119"	
"40010"	"1"	"110214"	"1"	"2"	"0,5292,1,264,2,132"	
"40011"	"2"	"110214"	"1"	"4"	"0,6291,1,314,2,157"	
"40012"	"2"	"110214"	"1"	"4"	"0,7290,1,364,2,182"	
"40013"	"2"	"110214"	"1"	"4"	"0,8289,1,414,2,207"	
"40014"	"2"	"110214"	"1"	"4"	"0,9288,1,464,2,232"	
"40015"	"2"	"110214"	"1"	"4"	"0,10287,1,514,2,257"	
"40016"	"2"	"110214"	"1"	"4"	"0,11286,1,564,2,282"	
"40017"	"2"	"110214"	"1"	"4"	"0,12285,1,614,2,307"	
"40018"	"2"	"110214"	"1"	"4"	"0,13284,1,664,2,332"	
"40019"	"2"	"110214"	"1"	"4"	"0,14283,1,714,2,357"	
"40020"	"2"	"110214"	"1"	"4"	"0,15282,1,764,2,382"	
"40021"	"3"	"110214"	"3"	"12"	"0,18192,1,909,2,454"	
"40022"	"3"	"110214"	"3"	"12"	"0,21102,1,1055,2,527"	
"40023"	"3"	"110214"	"3"	"12"	"0,24012,1,1200,2,600"	
"40024"	"3"	"110214"	"3"	"12"	"0,26922,1,1346,2,673"	
"40025"	"3"	"110214"	"3"	"12"	"0,29832,1,1491,2,745"	
"40026"	"3"	"110214"	"3"	"12"	"0,32742,1,1637,2,818"	
"40027"	"3"	"110214"	"3"	"12"	"0,35652,1,1782,2,891"	
"40028"	"3"	"110214"	"3"	"12"	"0,38562,1,1928,2,964"	
"40029"	"3"	"110214"	"3"	"12"	"0,41472,1,2073,2,1036"	
"40030"	"3"	"110214"	"3"	"12"	"0,44382,1,2219,2,1109"	
"40031"	"4"	"110214"	"4"	"24"	"0,48147,1,2407,2,1203"	
"40032"	"4"	"110214"	"4"	"24"	"0,51912,1,2595,2,1297"	
"40033"	"4"	"110214"	"4"	"24"	"0,55677,1,2783,2,1391"	
"40034"	"4"	"110214"	"4"	"24"	"0,59442,1,2972,2,1486"	
"40035"	"4"	"110214"	"4"	"24"	"0,63207,1,3160,2,1580"	
"40036"	"4"	"110214"	"4"	"24"	"0,66972,1,3348,2,1674"	
"40037"	"4"	"110214"	"4"	"24"	"0,70737,1,3536,2,1768"	
"40038"	"4"	"110214"	"4"	"24"	"0,74502,1,3725,2,1862"	
"40039"	"4"	"110214"	"4"	"24"	"0,78267,1,3913,2,1956"	
"40040"	"4"	"110214"	"4"	"24"	"0,82032,1,4101,2,2050"	
"40041"	"5"	"110214"	"5"	"35"	"0,86532,1,4326,2,2163"	
"40042"	"5"	"110214"	"5"	"35"	"0,91032,1,4551,2,2275"	
"40043"	"5"	"110214"	"5"	"35"	"0,95532,1,4776,2,2388"	
"40044"	"5"	"110214"	"5"	"35"	"0,100032,1,5001,2,2500"	
"40045"	"5"	"110214"	"5"	"35"	"0,104532,1,5226,2,2613"	
"40046"	"5"	"110214"	"5"	"35"	"0,109032,1,5451,2,2725"	
"40047"	"5"	"110214"	"5"	"35"	"0,113532,1,5676,2,2838"	
"40048"	"5"	"110214"	"5"	"35"	"0,118032,1,5901,2,2950"	
"40049"	"5"	"110214"	"5"	"35"	"0,122532,1,6126,2,3063"	
"40050"	"5"	"110214"	"0"	"0"	"0,127032,1,6351,2,3175"	
