"赛季"	"开始时间"	"开始时分秒"	"结束时间"	"结束时分秒"	"1v1奖励1"	"1v1奖励2"	"1v1奖励3"	"1v1奖励4"	"1v1奖励5"	"3v3奖励1"	"3v3奖励2"	"3v3奖励3"	"3v3奖励4"	"3v3奖励5"	
"15"	"2015-01-14"	"00:05:00"	"2015-01-28"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"16"	"2015-01-28"	"00:05:00"	"2015-02-11"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"17"	"2015-02-11"	"00:05:00"	"2015-02-25"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"18"	"2015-02-25"	"00:05:00"	"2015-03-11"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"19"	"2015-03-11"	"00:05:00"	"2015-03-25"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"20"	"2015-03-25"	"00:05:00"	"2015-04-08"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"21"	"2015-04-08"	"00:05:00"	"2015-04-22"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"22"	"2015-04-22"	"00:05:00"	"2015-05-06"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"23"	"2015-05-06"	"00:05:00"	"2015-05-20"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"24"	"2015-05-20"	"00:05:00"	"2015-06-03"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"25"	"2015-06-03"	"00:05:00"	"2015-06-17"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"26"	"2015-06-17"	"00:05:00"	"2015-07-01"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"27"	"2015-07-01"	"00:05:00"	"2015-07-15"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"28"	"2015-07-15"	"00:05:00"	"2015-07-29"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"29"	"2015-07-29"	"00:05:00"	"2015-08-12"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"30"	"2015-08-12"	"00:05:00"	"2015-08-26"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"31"	"2015-08-26"	"00:05:00"	"2015-09-09"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"32"	"2015-09-09"	"00:05:00"	"2015-09-23"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"33"	"2015-09-23"	"00:05:00"	"2015-10-07"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"34"	"2015-10-07"	"00:05:00"	"2015-10-21"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"35"	"2015-10-21"	"00:05:00"	"2015-11-04"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"36"	"2015-11-04"	"00:05:00"	"2015-11-18"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"37"	"2015-11-18"	"00:05:00"	"2015-12-02"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"38"	"2015-12-02"	"00:05:00"	"2015-12-16"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"39"	"2015-12-16"	"00:05:00"	"2015-12-30"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"40"	"2015-12-30"	"00:05:00"	"2016-01-13"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"41"	"2016-01-13"	"00:05:00"	"2016-01-27"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"42"	"2016-01-27"	"00:05:00"	"2016-02-10"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"43"	"2016-02-10"	"00:05:00"	"2016-02-24"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"44"	"2016-02-24"	"00:05:00"	"2016-03-09"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"45"	"2016-03-09"	"00:05:00"	"2016-03-23"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"46"	"2016-03-23"	"00:05:00"	"2016-04-06"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"47"	"2016-04-06"	"00:05:00"	"2016-04-20"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"48"	"2016-04-20"	"00:05:00"	"2016-05-04"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"49"	"2016-05-04"	"00:05:00"	"2016-05-18"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"50"	"2016-05-18"	"00:05:00"	"2016-06-01"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"51"	"2016-06-01"	"00:05:00"	"2016-06-15"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"52"	"2016-06-15"	"00:05:00"	"2016-06-29"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"53"	"2016-06-29"	"00:05:00"	"2016-07-13"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"54"	"2016-07-13"	"00:05:00"	"2016-07-27"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"55"	"2016-07-27"	"00:05:00"	"2016-08-10"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"56"	"2016-08-10"	"00:05:00"	"2016-08-24"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"57"	"2016-08-24"	"00:05:00"	"2016-09-07"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"58"	"2016-09-07"	"00:05:00"	"2016-09-21"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"59"	"2016-09-21"	"00:05:00"	"2016-10-05"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"60"	"2016-10-05"	"00:05:00"	"2016-10-19"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"61"	"2016-10-19"	"00:05:00"	"2016-11-02"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"62"	"2016-11-02"	"00:05:00"	"2016-11-16"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"63"	"2016-11-16"	"00:05:00"	"2016-11-30"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"64"	"2016-11-30"	"00:05:00"	"2016-12-14"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"65"	"2016-12-14"	"00:05:00"	"2016-12-28"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"66"	"2016-12-28"	"00:05:00"	"2017-01-11"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"67"	"2017-01-11"	"00:05:00"	"2017-01-25"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"68"	"2017-01-25"	"00:05:00"	"2017-02-08"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"69"	"2017-02-08"	"00:05:00"	"2017-02-22"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"70"	"2017-02-22"	"00:05:00"	"2017-03-08"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"71"	"2017-03-08"	"00:05:00"	"2017-03-22"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"72"	"2017-03-22"	"00:05:00"	"2017-04-05"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"73"	"2017-04-05"	"00:05:00"	"2017-04-19"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"74"	"2017-04-19"	"00:05:00"	"2017-05-03"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"75"	"2017-05-03"	"00:05:00"	"2017-05-17"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"76"	"2017-05-17"	"00:05:00"	"2017-05-31"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"77"	"2017-05-31"	"00:05:00"	"2017-06-14"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"78"	"2017-06-14"	"00:05:00"	"2017-06-28"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"79"	"2017-06-28"	"00:05:00"	"2017-07-12"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"80"	"2017-07-12"	"00:05:00"	"2017-07-26"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"81"	"2017-07-26"	"00:05:00"	"2017-08-09"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"82"	"2017-08-09"	"00:05:00"	"2017-08-23"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"83"	"2017-08-23"	"00:05:00"	"2017-09-06"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"84"	"2017-09-06"	"00:05:00"	"2017-09-20"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"85"	"2017-09-20"	"00:05:00"	"2017-10-04"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"86"	"2017-10-04"	"00:05:00"	"2017-10-18"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"87"	"2017-10-18"	"00:05:00"	"2017-11-01"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
"88"	"2017-11-01"	"00:05:00"	"2017-11-15"	"00:04:59"	"1,1,530101,1"	"2,10,530102,1"	"11,20,530103,1"	"21,100,530104,1"	"31,1000,530105,1"	"1,1,530201,1"	"2,10,530202,1"	"11,20,530203,1"	"21,100,530204,1"	"31,1000,530205,1"	
