"模板ID"	"升星等级"	"基础属性1"	"基础属性1数值"	"基础属性2"	"基础属性2数值"	"升星几率"	"元宝数量"	"道具1"	"道具数量"	"道具2"	"道具数量"	"铜币数量"	"回收经验"	"返还铜币"	"返还道具1"	"返还数量"	"返还道具2"	"返还数量"	"返还道具3"	"返还数量"	
"11000208"	"8"	"0"	"5520.000000"	"14"	"26.000000"	"0.550000"	"7"	"100040"	"3"	"-1"	"-1"	"3600"	"1"	"7200"	"100039"	"7"	"100040"	"4"	""	""	
"11000209"	"9"	"0"	"6240.000000"	"14"	"30.000000"	"0.500000"	"8"	"100040"	"3"	"-1"	"-1"	"4000"	"1"	"9000"	"100039"	"7"	"100040"	"6"	""	""	
"11000210"	"10"	"0"	"6960.000000"	"14"	"33.000000"	"0.500000"	"15"	"100041"	"1"	"-1"	"-1"	"4400"	"1"	"11000"	"100039"	"7"	"100040"	"8"	""	""	
"11000211"	"11"	"0"	"8160.000000"	"14"	"39.000000"	"0.500000"	"18"	"100041"	"1"	"-1"	"-1"	"4800"	"1"	"13200"	"100039"	"7"	"100040"	"8"	"100041"	"1"	
"11000212"	"12"	"0"	"9360.000000"	"14"	"45.000000"	"0.500000"	"42"	"100041"	"2"	"-1"	"-1"	"5200"	"1"	"15600"	"100039"	"7"	"100040"	"8"	"100041"	"2"	
"11000213"	"13"	"0"	"10560.000000"	"14"	"51.000000"	"0.500000"	"51"	"100041"	"2"	"-1"	"-1"	"5600"	"1"	"18200"	"100039"	"7"	"100040"	"8"	"100041"	"4"	
"11000214"	"14"	"0"	"11760.000000"	"14"	"57.000000"	"0.500000"	"66"	"100041"	"2"	"-1"	"-1"	"6000"	"1"	"21000"	"100039"	"7"	"100040"	"8"	"100041"	"6"	
"11000215"	"15"	"0"	"12960.000000"	"14"	"63.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"24000"	"100039"	"7"	"100040"	"8"	"100041"	"8"	
"11000300"	"0"	"2"	"48.000000"	"18"	"4.000000"	"1.000000"	"0"	"100039"	"1"	"-1"	"-1"	"400"	"1"	"0"	""	""	""	""	""	""	
"11000301"	"1"	"2"	"72.000000"	"18"	"6.000000"	"1.000000"	"0"	"100039"	"2"	"-1"	"-1"	"800"	"1"	"200"	"100039"	"0"	""	""	""	""	
"11000302"	"2"	"2"	"96.000000"	"18"	"8.000000"	"1.000000"	"1"	"100039"	"3"	"-1"	"-1"	"1200"	"1"	"600"	"100039"	"1"	""	""	""	""	
"11000303"	"3"	"2"	"120.000000"	"18"	"11.000000"	"0.800000"	"1"	"100039"	"4"	"-1"	"-1"	"1600"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"11000304"	"4"	"2"	"144.000000"	"18"	"13.000000"	"0.750000"	"2"	"100039"	"5"	"-1"	"-1"	"2000"	"1"	"2000"	"100039"	"5"	""	""	""	""	
"11000305"	"5"	"2"	"168.000000"	"18"	"16.000000"	"0.700000"	"2"	"100040"	"1"	"-1"	"-1"	"2400"	"1"	"3000"	"100039"	"7"	""	""	""	""	
"11000306"	"6"	"2"	"204.000000"	"18"	"19.000000"	"0.650000"	"3"	"100040"	"2"	"-1"	"-1"	"2800"	"1"	"4200"	"100039"	"7"	"100040"	"0"	""	""	
"11000307"	"7"	"2"	"240.000000"	"18"	"23.000000"	"0.600000"	"4"	"100040"	"2"	"-1"	"-1"	"3200"	"1"	"5600"	"100039"	"7"	"100040"	"2"	""	""	
"11000308"	"8"	"2"	"276.000000"	"18"	"26.000000"	"0.550000"	"7"	"100040"	"3"	"-1"	"-1"	"3600"	"1"	"7200"	"100039"	"7"	"100040"	"4"	""	""	
"11000309"	"9"	"2"	"312.000000"	"18"	"30.000000"	"0.500000"	"8"	"100040"	"3"	"-1"	"-1"	"4000"	"1"	"9000"	"100039"	"7"	"100040"	"6"	""	""	
"11000310"	"10"	"2"	"348.000000"	"18"	"33.000000"	"0.500000"	"15"	"100041"	"1"	"-1"	"-1"	"4400"	"1"	"11000"	"100039"	"7"	"100040"	"8"	""	""	
"11000311"	"11"	"2"	"408.000000"	"18"	"39.000000"	"0.500000"	"18"	"100041"	"1"	"-1"	"-1"	"4800"	"1"	"13200"	"100039"	"7"	"100040"	"8"	"100041"	"1"	
"11000312"	"12"	"2"	"468.000000"	"18"	"45.000000"	"0.500000"	"42"	"100041"	"2"	"-1"	"-1"	"5200"	"1"	"15600"	"100039"	"7"	"100040"	"8"	"100041"	"2"	
"11000313"	"13"	"2"	"528.000000"	"18"	"51.000000"	"0.500000"	"51"	"100041"	"2"	"-1"	"-1"	"5600"	"1"	"18200"	"100039"	"7"	"100040"	"8"	"100041"	"4"	
"11000314"	"14"	"2"	"588.000000"	"18"	"57.000000"	"0.500000"	"66"	"100041"	"2"	"-1"	"-1"	"6000"	"1"	"21000"	"100039"	"7"	"100040"	"8"	"100041"	"6"	
"11000315"	"15"	"2"	"648.000000"	"18"	"63.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"24000"	"100039"	"7"	"100040"	"8"	"100041"	"8"	
"11000400"	"0"	"0"	"960.000000"	"16"	"4.000000"	"1.000000"	"0"	"100039"	"1"	"-1"	"-1"	"400"	"1"	"0"	""	""	""	""	""	""	
"11000401"	"1"	"0"	"1440.000000"	"16"	"6.000000"	"1.000000"	"0"	"100039"	"2"	"-1"	"-1"	"800"	"1"	"200"	"100039"	"0"	""	""	""	""	
"11000402"	"2"	"0"	"1920.000000"	"16"	"8.000000"	"1.000000"	"1"	"100039"	"3"	"-1"	"-1"	"1200"	"1"	"600"	"100039"	"1"	""	""	""	""	
"11000403"	"3"	"0"	"2400.000000"	"16"	"11.000000"	"0.800000"	"1"	"100039"	"4"	"-1"	"-1"	"1600"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"11000404"	"4"	"0"	"2880.000000"	"16"	"13.000000"	"0.750000"	"2"	"100039"	"5"	"-1"	"-1"	"2000"	"1"	"2000"	"100039"	"5"	""	""	""	""	
"11000405"	"5"	"0"	"3360.000000"	"16"	"16.000000"	"0.700000"	"2"	"100040"	"1"	"-1"	"-1"	"2400"	"1"	"3000"	"100039"	"7"	""	""	""	""	
"11000406"	"6"	"0"	"4080.000000"	"16"	"19.000000"	"0.650000"	"3"	"100040"	"2"	"-1"	"-1"	"2800"	"1"	"4200"	"100039"	"7"	"100040"	"0"	""	""	
"11000407"	"7"	"0"	"4800.000000"	"16"	"23.000000"	"0.600000"	"4"	"100040"	"2"	"-1"	"-1"	"3200"	"1"	"5600"	"100039"	"7"	"100040"	"2"	""	""	
"11000408"	"8"	"0"	"5520.000000"	"16"	"26.000000"	"0.550000"	"7"	"100040"	"3"	"-1"	"-1"	"3600"	"1"	"7200"	"100039"	"7"	"100040"	"4"	""	""	
"11000409"	"9"	"0"	"6240.000000"	"16"	"30.000000"	"0.500000"	"8"	"100040"	"3"	"-1"	"-1"	"4000"	"1"	"9000"	"100039"	"7"	"100040"	"6"	""	""	
"11000410"	"10"	"0"	"6960.000000"	"16"	"33.000000"	"0.500000"	"15"	"100041"	"1"	"-1"	"-1"	"4400"	"1"	"11000"	"100039"	"7"	"100040"	"8"	""	""	
"11000411"	"11"	"0"	"8160.000000"	"16"	"39.000000"	"0.500000"	"18"	"100041"	"1"	"-1"	"-1"	"4800"	"1"	"13200"	"100039"	"7"	"100040"	"8"	"100041"	"1"	
"11000412"	"12"	"0"	"9360.000000"	"16"	"45.000000"	"0.500000"	"42"	"100041"	"2"	"-1"	"-1"	"5200"	"1"	"15600"	"100039"	"7"	"100040"	"8"	"100041"	"2"	
"11000413"	"13"	"0"	"10560.000000"	"16"	"51.000000"	"0.500000"	"51"	"100041"	"2"	"-1"	"-1"	"5600"	"1"	"18200"	"100039"	"7"	"100040"	"8"	"100041"	"4"	
"11000414"	"14"	"0"	"11760.000000"	"16"	"57.000000"	"0.500000"	"66"	"100041"	"2"	"-1"	"-1"	"6000"	"1"	"21000"	"100039"	"7"	"100040"	"8"	"100041"	"6"	
"11000415"	"15"	"0"	"12960.000000"	"16"	"63.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"24000"	"100039"	"7"	"100040"	"8"	"100041"	"8"	
"11000500"	"0"	"0"	"960.000000"	"8"	"4.000000"	"1.000000"	"0"	"100039"	"1"	"-1"	"-1"	"400"	"1"	"0"	""	""	""	""	""	""	
"11000501"	"1"	"0"	"1440.000000"	"8"	"6.000000"	"1.000000"	"0"	"100039"	"2"	"-1"	"-1"	"800"	"1"	"200"	"100039"	"0"	""	""	""	""	
"11000502"	"2"	"0"	"1920.000000"	"8"	"8.000000"	"1.000000"	"1"	"100039"	"3"	"-1"	"-1"	"1200"	"1"	"600"	"100039"	"1"	""	""	""	""	
"11000503"	"3"	"0"	"2400.000000"	"8"	"11.000000"	"0.800000"	"1"	"100039"	"4"	"-1"	"-1"	"1600"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"11000504"	"4"	"0"	"2880.000000"	"8"	"13.000000"	"0.750000"	"2"	"100039"	"5"	"-1"	"-1"	"2000"	"1"	"2000"	"100039"	"5"	""	""	""	""	
"11000505"	"5"	"0"	"3360.000000"	"8"	"16.000000"	"0.700000"	"2"	"100040"	"1"	"-1"	"-1"	"2400"	"1"	"3000"	"100039"	"7"	""	""	""	""	
"11000506"	"6"	"0"	"4080.000000"	"8"	"19.000000"	"0.650000"	"3"	"100040"	"2"	"-1"	"-1"	"2800"	"1"	"4200"	"100039"	"7"	"100040"	"0"	""	""	
"11000507"	"7"	"0"	"4800.000000"	"8"	"23.000000"	"0.600000"	"4"	"100040"	"2"	"-1"	"-1"	"3200"	"1"	"5600"	"100039"	"7"	"100040"	"2"	""	""	
"11000508"	"8"	"0"	"5520.000000"	"8"	"26.000000"	"0.550000"	"7"	"100040"	"3"	"-1"	"-1"	"3600"	"1"	"7200"	"100039"	"7"	"100040"	"4"	""	""	
"11000509"	"9"	"0"	"6240.000000"	"8"	"30.000000"	"0.500000"	"8"	"100040"	"3"	"-1"	"-1"	"4000"	"1"	"9000"	"100039"	"7"	"100040"	"6"	""	""	
"11000510"	"10"	"0"	"6960.000000"	"8"	"33.000000"	"0.500000"	"15"	"100041"	"1"	"-1"	"-1"	"4400"	"1"	"11000"	"100039"	"7"	"100040"	"8"	""	""	
"11000511"	"11"	"0"	"8160.000000"	"8"	"39.000000"	"0.500000"	"18"	"100041"	"1"	"-1"	"-1"	"4800"	"1"	"13200"	"100039"	"7"	"100040"	"8"	"100041"	"1"	
"11000512"	"12"	"0"	"9360.000000"	"8"	"45.000000"	"0.500000"	"42"	"100041"	"2"	"-1"	"-1"	"5200"	"1"	"15600"	"100039"	"7"	"100040"	"8"	"100041"	"2"	
"11000513"	"13"	"0"	"10560.000000"	"8"	"51.000000"	"0.500000"	"51"	"100041"	"2"	"-1"	"-1"	"5600"	"1"	"18200"	"100039"	"7"	"100040"	"8"	"100041"	"4"	
"11000514"	"14"	"0"	"11760.000000"	"8"	"57.000000"	"0.500000"	"66"	"100041"	"2"	"-1"	"-1"	"6000"	"1"	"21000"	"100039"	"7"	"100040"	"8"	"100041"	"6"	
"11000515"	"15"	"0"	"12960.000000"	"8"	"63.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"24000"	"100039"	"7"	"100040"	"8"	"100041"	"8"	
"11000600"	"0"	"2"	"48.000000"	"14"	"4.000000"	"1.000000"	"0"	"100039"	"1"	"-1"	"-1"	"400"	"1"	"0"	""	""	""	""	""	""	
"11000601"	"1"	"2"	"72.000000"	"14"	"6.000000"	"1.000000"	"0"	"100039"	"2"	"-1"	"-1"	"800"	"1"	"200"	"100039"	"0"	""	""	""	""	
"11000602"	"2"	"2"	"96.000000"	"14"	"8.000000"	"1.000000"	"1"	"100039"	"3"	"-1"	"-1"	"1200"	"1"	"600"	"100039"	"1"	""	""	""	""	
"11000603"	"3"	"2"	"120.000000"	"14"	"11.000000"	"0.800000"	"1"	"100039"	"4"	"-1"	"-1"	"1600"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"11000604"	"4"	"2"	"144.000000"	"14"	"13.000000"	"0.750000"	"2"	"100039"	"5"	"-1"	"-1"	"2000"	"1"	"2000"	"100039"	"5"	""	""	""	""	
"11000605"	"5"	"2"	"168.000000"	"14"	"16.000000"	"0.700000"	"2"	"100040"	"1"	"-1"	"-1"	"2400"	"1"	"3000"	"100039"	"7"	""	""	""	""	
"11000606"	"6"	"2"	"204.000000"	"14"	"19.000000"	"0.650000"	"3"	"100040"	"2"	"-1"	"-1"	"2800"	"1"	"4200"	"100039"	"7"	"100040"	"0"	""	""	
"11000607"	"7"	"2"	"240.000000"	"14"	"23.000000"	"0.600000"	"4"	"100040"	"2"	"-1"	"-1"	"3200"	"1"	"5600"	"100039"	"7"	"100040"	"2"	""	""	
"11000608"	"8"	"2"	"276.000000"	"14"	"26.000000"	"0.550000"	"7"	"100040"	"3"	"-1"	"-1"	"3600"	"1"	"7200"	"100039"	"7"	"100040"	"4"	""	""	
"11000609"	"9"	"2"	"312.000000"	"14"	"30.000000"	"0.500000"	"8"	"100040"	"3"	"-1"	"-1"	"4000"	"1"	"9000"	"100039"	"7"	"100040"	"6"	""	""	
"11000610"	"10"	"2"	"348.000000"	"14"	"33.000000"	"0.500000"	"15"	"100041"	"1"	"-1"	"-1"	"4400"	"1"	"11000"	"100039"	"7"	"100040"	"8"	""	""	
"11000611"	"11"	"2"	"408.000000"	"14"	"39.000000"	"0.500000"	"18"	"100041"	"1"	"-1"	"-1"	"4800"	"1"	"13200"	"100039"	"7"	"100040"	"8"	"100041"	"1"	
"11000612"	"12"	"2"	"468.000000"	"14"	"45.000000"	"0.500000"	"42"	"100041"	"2"	"-1"	"-1"	"5200"	"1"	"15600"	"100039"	"7"	"100040"	"8"	"100041"	"2"	
"11000613"	"13"	"2"	"528.000000"	"14"	"51.000000"	"0.500000"	"51"	"100041"	"2"	"-1"	"-1"	"5600"	"1"	"18200"	"100039"	"7"	"100040"	"8"	"100041"	"4"	
"11000614"	"14"	"2"	"588.000000"	"14"	"57.000000"	"0.500000"	"66"	"100041"	"2"	"-1"	"-1"	"6000"	"1"	"21000"	"100039"	"7"	"100040"	"8"	"100041"	"6"	
"11000615"	"15"	"2"	"648.000000"	"14"	"63.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"24000"	"100039"	"7"	"100040"	"8"	"100041"	"8"	
"11000700"	"0"	"1"	"32.000000"	"10"	"4.000000"	"1.000000"	"0"	"100039"	"1"	"-1"	"-1"	"400"	"1"	"0"	""	""	""	""	""	""	
"11000701"	"1"	"1"	"48.000000"	"10"	"6.000000"	"1.000000"	"0"	"100039"	"2"	"-1"	"-1"	"800"	"1"	"200"	"100039"	"0"	""	""	""	""	
"11000702"	"2"	"1"	"64.000000"	"10"	"8.000000"	"1.000000"	"1"	"100039"	"3"	"-1"	"-1"	"1200"	"1"	"600"	"100039"	"1"	""	""	""	""	
"11000703"	"3"	"1"	"80.000000"	"10"	"11.000000"	"0.800000"	"1"	"100039"	"4"	"-1"	"-1"	"1600"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"11000704"	"4"	"1"	"96.000000"	"10"	"13.000000"	"0.750000"	"2"	"100039"	"5"	"-1"	"-1"	"2000"	"1"	"2000"	"100039"	"5"	""	""	""	""	
"11000705"	"5"	"1"	"112.000000"	"10"	"16.000000"	"0.700000"	"2"	"100040"	"1"	"-1"	"-1"	"2400"	"1"	"3000"	"100039"	"7"	""	""	""	""	
"11000706"	"6"	"1"	"136.000000"	"10"	"19.000000"	"0.650000"	"3"	"100040"	"2"	"-1"	"-1"	"2800"	"1"	"4200"	"100039"	"7"	"100040"	"0"	""	""	
"11000707"	"7"	"1"	"160.000000"	"10"	"23.000000"	"0.600000"	"4"	"100040"	"2"	"-1"	"-1"	"3200"	"1"	"5600"	"100039"	"7"	"100040"	"2"	""	""	
"11000708"	"8"	"1"	"184.000000"	"10"	"26.000000"	"0.550000"	"7"	"100040"	"3"	"-1"	"-1"	"3600"	"1"	"7200"	"100039"	"7"	"100040"	"4"	""	""	
"11000709"	"9"	"1"	"208.000000"	"10"	"30.000000"	"0.500000"	"8"	"100040"	"3"	"-1"	"-1"	"4000"	"1"	"9000"	"100039"	"7"	"100040"	"6"	""	""	
"11000710"	"10"	"1"	"232.000000"	"10"	"33.000000"	"0.500000"	"15"	"100041"	"1"	"-1"	"-1"	"4400"	"1"	"11000"	"100039"	"7"	"100040"	"8"	""	""	
"11000711"	"11"	"1"	"272.000000"	"10"	"39.000000"	"0.500000"	"18"	"100041"	"1"	"-1"	"-1"	"4800"	"1"	"13200"	"100039"	"7"	"100040"	"8"	"100041"	"1"	
"11000712"	"12"	"1"	"312.000000"	"10"	"45.000000"	"0.500000"	"42"	"100041"	"2"	"-1"	"-1"	"5200"	"1"	"15600"	"100039"	"7"	"100040"	"8"	"100041"	"2"	
"11000713"	"13"	"1"	"352.000000"	"10"	"51.000000"	"0.500000"	"51"	"100041"	"2"	"-1"	"-1"	"5600"	"1"	"18200"	"100039"	"7"	"100040"	"8"	"100041"	"4"	
"11000714"	"14"	"1"	"392.000000"	"10"	"57.000000"	"0.500000"	"66"	"100041"	"2"	"-1"	"-1"	"6000"	"1"	"21000"	"100039"	"7"	"100040"	"8"	"100041"	"6"	
"11000715"	"15"	"1"	"432.000000"	"10"	"63.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"24000"	"100039"	"7"	"100040"	"8"	"100041"	"8"	
"11000800"	"0"	"0"	"960.000000"	"12"	"4.000000"	"1.000000"	"0"	"100039"	"1"	"-1"	"-1"	"400"	"1"	"0"	""	""	""	""	""	""	
"11000801"	"1"	"0"	"1440.000000"	"12"	"6.000000"	"1.000000"	"0"	"100039"	"2"	"-1"	"-1"	"800"	"1"	"200"	"100039"	"0"	""	""	""	""	
"11000802"	"2"	"0"	"1920.000000"	"12"	"8.000000"	"1.000000"	"1"	"100039"	"3"	"-1"	"-1"	"1200"	"1"	"600"	"100039"	"1"	""	""	""	""	
"11000803"	"3"	"0"	"2400.000000"	"12"	"11.000000"	"0.800000"	"1"	"100039"	"4"	"-1"	"-1"	"1600"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"11000804"	"4"	"0"	"2880.000000"	"12"	"13.000000"	"0.750000"	"2"	"100039"	"5"	"-1"	"-1"	"2000"	"1"	"2000"	"100039"	"5"	""	""	""	""	
"11000805"	"5"	"0"	"3360.000000"	"12"	"16.000000"	"0.700000"	"2"	"100040"	"1"	"-1"	"-1"	"2400"	"1"	"3000"	"100039"	"7"	""	""	""	""	
"11000806"	"6"	"0"	"4080.000000"	"12"	"19.000000"	"0.650000"	"3"	"100040"	"2"	"-1"	"-1"	"2800"	"1"	"4200"	"100039"	"7"	"100040"	"0"	""	""	
"11000807"	"7"	"0"	"4800.000000"	"12"	"23.000000"	"0.600000"	"4"	"100040"	"2"	"-1"	"-1"	"3200"	"1"	"5600"	"100039"	"7"	"100040"	"2"	""	""	
"11000808"	"8"	"0"	"5520.000000"	"12"	"26.000000"	"0.550000"	"7"	"100040"	"3"	"-1"	"-1"	"3600"	"1"	"7200"	"100039"	"7"	"100040"	"4"	""	""	
"11000809"	"9"	"0"	"6240.000000"	"12"	"30.000000"	"0.500000"	"8"	"100040"	"3"	"-1"	"-1"	"4000"	"1"	"9000"	"100039"	"7"	"100040"	"6"	""	""	
"11000810"	"10"	"0"	"6960.000000"	"12"	"33.000000"	"0.500000"	"15"	"100041"	"1"	"-1"	"-1"	"4400"	"1"	"11000"	"100039"	"7"	"100040"	"8"	""	""	
"11000811"	"11"	"0"	"8160.000000"	"12"	"39.000000"	"0.500000"	"18"	"100041"	"1"	"-1"	"-1"	"4800"	"1"	"13200"	"100039"	"7"	"100040"	"8"	"100041"	"1"	
"11000812"	"12"	"0"	"9360.000000"	"12"	"45.000000"	"0.500000"	"42"	"100041"	"2"	"-1"	"-1"	"5200"	"1"	"15600"	"100039"	"7"	"100040"	"8"	"100041"	"2"	
"11000813"	"13"	"0"	"10560.000000"	"12"	"51.000000"	"0.500000"	"51"	"100041"	"2"	"-1"	"-1"	"5600"	"1"	"18200"	"100039"	"7"	"100040"	"8"	"100041"	"4"	
"11000814"	"14"	"0"	"11760.000000"	"12"	"57.000000"	"0.500000"	"66"	"100041"	"2"	"-1"	"-1"	"6000"	"1"	"21000"	"100039"	"7"	"100040"	"8"	"100041"	"6"	
"11000815"	"15"	"0"	"12960.000000"	"12"	"63.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"	"24000"	"100039"	"7"	"100040"	"8"	"100041"	"8"	
"11000900"	"0"	"1"	"32.000000"	"18"	"4.000000"	"1.000000"	"0"	"100039"	"1"	"-1"	"-1"	"400"	"1"	"0"	""	""	""	""	""	""	
"11000901"	"1"	"1"	"48.000000"	"18"	"6.000000"	"1.000000"	"0"	"100039"	"2"	"-1"	"-1"	"800"	"1"	"200"	"100039"	"0"	""	""	""	""	
"11000902"	"2"	"1"	"64.000000"	"18"	"8.000000"	"1.000000"	"1"	"100039"	"3"	"-1"	"-1"	"1200"	"1"	"600"	"100039"	"1"	""	""	""	""	
"11000903"	"3"	"1"	"80.000000"	"18"	"11.000000"	"0.800000"	"1"	"100039"	"4"	"-1"	"-1"	"1600"	"1"	"1200"	"100039"	"3"	""	""	""	""	
"11000904"	"4"	"1"	"96.000000"	"18"	"13.000000"	"0.750000"	"2"	"100039"	"5"	"-1"	"-1"	"2000"	"1"	"2000"	"100039"	"5"	""	""	""	""	
"11000905"	"5"	"1"	"112.000000"	"18"	"16.000000"	"0.700000"	"2"	"100040"	"1"	"-1"	"-1"	"2400"	"1"	"3000"	"100039"	"7"	""	""	""	""	
"11000906"	"6"	"1"	"136.000000"	"18"	"19.000000"	"0.650000"	"3"	"100040"	"2"	"-1"	"-1"	"2800"	"1"	"4200"	"100039"	"7"	"100040"	"0"	""	""	
