"玩家等级"	"凛冬金币完成花费"	"凛冬通关奖励经验"	"凛冬通关奖励物品1"	"凛冬通关奖励物品2"	"凛冬通关奖励物品3"	"凛冬通关奖励物品4"	"凛冬通关奖励物品5"	"凛冬哥林布宝箱"	"凛冬格林布宝箱掉落ID"	"龙域金币完成花费"	"龙域每天可领奖次数"	"龙域通关奖励经验"	"龙域通关奖励物品1"	"龙域通关奖励物品2"	"龙域通关奖励物品3"	"龙域通关奖励物品4"	"龙域VIP0奖励物品1"	"龙域VIP0奖励物品2"	"龙域VIP1奖励物品1"	"龙域VIP1奖励物品2"	"龙域VIP2奖励物品1"	"龙域VIP2奖励物品2"	"龙域VIP3奖励物品1"	"龙域VIP3奖励物品2"	"龙域VIP4奖励物品1"	"龙域VIP4奖励物品2"	"龙域VIP5奖励物品1"	"龙域VIP5奖励物品2"	"龙域VIP6奖励物品1"	"龙域VIP6奖励物品2"	"龙域VIP7奖励物品1"	"龙域VIP7奖励物品2"	"龙域VIP8奖励物品1"	"龙域VIP8奖励物品2"	"龙域VIP9奖励物品1"	"龙域VIP9奖励物品2"	"龙域VIP10奖励物品1"	"龙域VIP10奖励物品2"	"龙域VIP11奖励物品1"	"龙域VIP11奖励物品2"	"龙域VIP12奖励物品1"	"龙域VIP12奖励物品2"	"龙域VIP13奖励物品1"	"龙域VIP13奖励物品2"	
"23"	"30"	""	""	""	""	""	""	""	""	"30"	"1"	"15000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"24"	"30"	""	""	""	""	""	""	""	""	"30"	"1"	"15000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"25"	"30"	"500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1916"	"30"	"1"	"15000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"26"	"30"	"500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1916"	"30"	"1"	"15000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"27"	"30"	"500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1916"	"30"	"1"	"15000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"28"	"30"	"500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1916"	"30"	"1"	"15000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"29"	"30"	"500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1916"	"30"	"1"	"15000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"30"	"30"	"500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1916"	"30"	"1"	"25000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"31"	"30"	"500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1916"	"30"	"1"	"25000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"32"	"30"	"600000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1916"	"30"	"1"	"25000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"33"	"30"	"700000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1916"	"30"	"1"	"25000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"34"	"30"	"800000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1916"	"30"	"1"	"25000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"35"	"30"	"900000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1917"	"30"	"1"	"25000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"36"	"30"	"1000000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1917"	"30"	"1"	"25000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"37"	"30"	"1100000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1917"	"30"	"1"	"25000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"38"	"30"	"1200000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1917"	"30"	"1"	"25000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"39"	"30"	"1300000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,1"	"100001"	"1917"	"30"	"1"	"25000"	"561001,2"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"40"	"30"	"1400000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,2"	"100001"	"1918"	"30"	"1"	"60000"	"561001,3"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"41"	"30"	"1500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,2"	"100001"	"1918"	"30"	"1"	"60000"	"561001,3"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"42"	"30"	"1600000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,2"	"100001"	"1918"	"30"	"1"	"60000"	"561001,3"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"43"	"30"	"1700000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,2"	"100001"	"1918"	"30"	"1"	"60000"	"561001,3"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"44"	"30"	"1800000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,2"	"100001"	"1918"	"30"	"1"	"60000"	"561001,3"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"45"	"30"	"1900000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,2"	"100001"	"1919"	"30"	"1"	"60000"	"561001,3"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"46"	"30"	"2000000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,2"	"100001"	"1919"	"30"	"1"	"60000"	"561001,3"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"47"	"30"	"2100000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,2"	"100001"	"1919"	"30"	"1"	"60000"	"561001,3"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"48"	"30"	"2300000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,2"	"100001"	"1919"	"30"	"1"	"60000"	"561001,3"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"49"	"30"	"2500000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,2"	"100001"	"1919"	"30"	"1"	"60000"	"561001,3"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"50"	"30"	"2700000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,3"	"100001"	"1920"	"30"	"1"	"115000"	"561001,4"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"51"	"30"	"2900000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,3"	"100001"	"1920"	"30"	"1"	"115000"	"561001,4"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"52"	"30"	"3100000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,3"	"100001"	"1920"	"30"	"1"	"115000"	"561001,4"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
"53"	"30"	"3300000"	"100001,1"	"530896,1"	"100001,3"	"600035,1"	"410014,3"	"100001"	"1920"	"30"	"1"	"115000"	"561001,4"	"400014,10"	"100001,10"	"100001,10"	"410014,1"	"410014,0"	"410014,2"	"410014,0"	"410014,2"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,3"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,5"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	"410014,10"	"410014,0"	
