"ID"	"背包解锁的格子"	"消耗时间（单位S）"	"消耗元宝"	"消耗背包扩充符（100042）数量"	"仓库解锁的格子"	"消耗时间（单位S）"	"消耗元宝"	
"28"	"56"	"6600"	"10"	"1"	"63"	"16800"	"10"	
"29"	"57"	"7200"	"10"	"1"	"64"	"17400"	"10"	
"30"	"58"	"7800"	"10"	"1"	"65"	"18000"	"10"	
"31"	"59"	"8400"	"10"	"1"	"66"	"18600"	"10"	
"32"	"60"	"9000"	"10"	"1"	"67"	"19200"	"10"	
"33"	"61"	"9600"	"10"	"1"	"68"	"19800"	"10"	
"34"	"62"	"10200"	"10"	"1"	"69"	"20400"	"10"	
"35"	"63"	"10800"	"10"	"1"	"70"	"21000"	"10"	
"36"	"64"	"11400"	"10"	"1"	"71"	"21600"	"10"	
"37"	"65"	"12000"	"10"	"1"	"72"	"22200"	"10"	
"38"	"66"	"12600"	"10"	"1"	"73"	"22800"	"10"	
"39"	"67"	"13200"	"10"	"1"	"74"	"23400"	"10"	
"40"	"68"	"13800"	"10"	"1"	"75"	"24000"	"10"	
"41"	"69"	"14400"	"10"	"1"	"76"	"24600"	"10"	
"42"	"70"	"15000"	"10"	"1"	"77"	"25200"	"10"	
"43"	"71"	"15600"	"10"	"1"	"78"	"25800"	"10"	
"44"	"72"	"16200"	"10"	"1"	"79"	"26400"	"10"	
"45"	"73"	"16800"	"10"	"1"	"80"	"27000"	"10"	
"46"	"74"	"17400"	"10"	"1"	"81"	"27600"	"10"	
"47"	"75"	"18000"	"10"	"1"	"82"	"28200"	"10"	
"48"	"76"	"18600"	"10"	"1"	"83"	"28800"	"10"	
"49"	"77"	"19200"	"10"	"1"	"84"	"29400"	"10"	
"50"	"78"	"19800"	"10"	"1"	"85"	"30000"	"10"	
"51"	"79"	"20400"	"10"	"1"	"86"	"30600"	"10"	
"52"	"80"	"21000"	"10"	"1"	"87"	"31200"	"10"	
"53"	"81"	"21600"	"10"	"1"	"88"	"31800"	"10"	
"54"	"82"	"22200"	"10"	"1"	"89"	"32400"	"10"	
"55"	"83"	"22800"	"10"	"1"	"90"	"33000"	"10"	
"56"	"84"	"23400"	"10"	"1"	"91"	"33600"	"10"	
"57"	"85"	"24000"	"10"	"1"	"92"	"34200"	"10"	
"58"	"86"	"24600"	"10"	"1"	"93"	"34800"	"10"	
"59"	"87"	"25200"	"10"	"1"	"94"	"35400"	"10"	
"60"	"88"	"25800"	"10"	"1"	"95"	"36000"	"10"	
"61"	"89"	"26400"	"10"	"1"	"96"	"36600"	"10"	
"62"	"90"	"27000"	"10"	"1"	"97"	"37200"	"10"	
"63"	"91"	"27600"	"10"	"1"	"98"	"37800"	"10"	
"64"	"92"	"28200"	"10"	"1"	"99"	"38400"	"10"	
"65"	"93"	"28800"	"10"	"1"	"100"	"39000"	"10"	
"66"	"94"	"29400"	"10"	"1"	"101"	"39600"	"10"	
"67"	"95"	"30000"	"10"	"1"	"102"	"40200"	"10"	
"68"	"96"	"30600"	"10"	"1"	"103"	"40800"	"10"	
"69"	"97"	"31200"	"10"	"1"	"104"	"41400"	"10"	
"70"	"98"	"31800"	"10"	"1"	"105"	"42000"	"10"	
"71"	"99"	"32400"	"10"	"1"	"106"	"42600"	"10"	
"72"	"100"	"33000"	"10"	"1"	"107"	"43200"	"10"	
"73"	"101"	"33600"	"10"	"1"	"108"	"43800"	"10"	
"74"	"102"	"34200"	"10"	"1"	"109"	"44400"	"10"	
"75"	"103"	"34800"	"10"	"1"	"110"	"45000"	"10"	
"76"	"104"	"35400"	"10"	"1"	""	""	""	
"77"	"105"	"36000"	"10"	"1"	""	""	""	
"78"	"106"	"36600"	"10"	"1"	""	""	""	
"79"	"107"	"37200"	"10"	"1"	""	""	""	
"80"	"108"	"37800"	"10"	"1"	""	""	""	
"81"	"109"	"38400"	"10"	"1"	""	""	""	
"82"	"110"	"39000"	"10"	"1"	""	""	""	
"83"	"111"	"39600"	"10"	"1"	""	""	""	
"84"	"112"	"40200"	"10"	"1"	""	""	""	
"85"	"113"	"40800"	"10"	"1"	""	""	""	
"86"	"114"	"41400"	"10"	"1"	""	""	""	
"87"	"115"	"42000"	"10"	"1"	""	""	""	
"88"	"116"	"42600"	"10"	"1"	""	""	""	
"89"	"117"	"43200"	"10"	"1"	""	""	""	
"90"	"118"	"43800"	"10"	"1"	""	""	""	
"91"	"119"	"44400"	"10"	"1"	""	""	""	
"92"	"120"	"45000"	"10"	"1"	""	""	""	
"93"	"121"	"45600"	"10"	"1"	""	""	""	
"94"	"122"	"46200"	"10"	"1"	""	""	""	
"95"	"123"	"46800"	"10"	"1"	""	""	""	
"96"	"124"	"47400"	"10"	"1"	""	""	""	
"97"	"125"	"48000"	"10"	"1"	""	""	""	
"98"	"126"	"48600"	"10"	"1"	""	""	""	
"99"	"127"	"49200"	"10"	"1"	""	""	""	
"100"	"128"	"49800"	"10"	"1"	""	""	""	
"101"	"129"	"50400"	"10"	"1"	""	""	""	
"102"	"130"	"51000"	"10"	"1"	""	""	""	
"103"	"131"	"51600"	"10"	"1"	""	""	""	
"104"	"132"	"52200"	"10"	"1"	""	""	""	
"105"	"133"	"52800"	"10"	"1"	""	""	""	
"106"	"134"	"53400"	"10"	"1"	""	""	""	
"107"	"135"	"54000"	"10"	"1"	""	""	""	
"108"	"136"	"54600"	"10"	"1"	""	""	""	
"109"	"137"	"55200"	"10"	"1"	""	""	""	
"110"	"138"	"55800"	"10"	"1"	""	""	""	
"111"	"139"	"56400"	"10"	"1"	""	""	""	
"112"	"140"	"57000"	"10"	"1"	""	""	""	
"113"	"141"	"57600"	"10"	"1"	""	""	""	
"114"	"142"	"58200"	"10"	"1"	""	""	""	
"115"	"143"	"58800"	"10"	"1"	""	""	""	
"116"	"144"	"59400"	"10"	"1"	""	""	""	
"117"	"145"	"60000"	"10"	"1"	""	""	""	
"118"	"146"	"60600"	"10"	"1"	""	""	""	
"119"	"147"	"61200"	"10"	"1"	""	""	""	
"120"	"148"	"61800"	"10"	"1"	""	""	""	
"121"	"149"	"62400"	"10"	"1"	""	""	""	
"122"	"150"	"63000"	"10"	"1"	""	""	""	
"123"	"151"	"63600"	"10"	"1"	""	""	""	
"124"	"152"	"64200"	"10"	"1"	""	""	""	
"125"	"153"	"64800"	"10"	"1"	""	""	""	
"126"	"154"	"65400"	"10"	"1"	""	""	""	
"127"	"155"	"66000"	"10"	"1"	""	""	""	
"128"	"156"	"66600"	"10"	"1"	""	""	""	
"129"	"157"	"67200"	"10"	"1"	""	""	""	
"130"	"158"	"67800"	"10"	"1"	""	""	""	
"131"	"159"	"68400"	"10"	"1"	""	""	""	
"132"	"160"	"69000"	"10"	"1"	""	""	""	
"133"	"161"	"69600"	"10"	"1"	""	""	""	
"134"	"162"	"70200"	"10"	"1"	""	""	""	
"135"	"163"	"70800"	"10"	"1"	""	""	""	
"136"	"164"	"71400"	"10"	"1"	""	""	""	
"137"	"165"	"72000"	"10"	"1"	""	""	""	
"138"	"166"	"72600"	"10"	"1"	""	""	""	
"139"	"167"	"73200"	"10"	"1"	""	""	""	
"140"	"168"	"73800"	"10"	"1"	""	""	""	
"141"	"169"	"74400"	"10"	"1"	""	""	""	
"142"	"170"	"75000"	"10"	"1"	""	""	""	
"143"	"171"	"75600"	"10"	"1"	""	""	""	
"144"	"172"	"76200"	"10"	"1"	""	""	""	
"145"	"173"	"76800"	"10"	"1"	""	""	""	
"146"	"174"	"77400"	"10"	"1"	""	""	""	
"147"	"175"	"78000"	"10"	"1"	""	""	""	
"148"	"176"	"78600"	"10"	"1"	""	""	""	
"149"	"177"	"79200"	"10"	"1"	""	""	""	
"150"	"178"	"79800"	"10"	"1"	""	""	""	
"151"	"179"	"80400"	"10"	"1"	""	""	""	
"152"	"180"	"81000"	"10"	"1"	""	""	""	
"153"	"181"	"81600"	"10"	"1"	""	""	""	
"154"	"182"	"82200"	"10"	"1"	""	""	""	
"155"	"183"	"82800"	"10"	"1"	""	""	""	
"156"	"184"	"83400"	"10"	"1"	""	""	""	
"157"	"185"	"84000"	"10"	"1"	""	""	""	
"158"	"186"	"84600"	"10"	"1"	""	""	""	
"159"	"187"	"85200"	"10"	"1"	""	""	""	
"160"	"188"	"85800"	"10"	"1"	""	""	""	
"161"	"189"	"86400"	"10"	"1"	""	""	""	
"162"	"190"	"87000"	"10"	"1"	""	""	""	
"163"	"191"	"87600"	"10"	"1"	""	""	""	
"164"	"192"	"88200"	"10"	"1"	""	""	""	
"165"	"193"	"88800"	"10"	"1"	""	""	""	
"166"	"194"	"89400"	"10"	"1"	""	""	""	
"167"	"195"	"90000"	"10"	"1"	""	""	""	
"168"	"196"	"90600"	"10"	"1"	""	""	""	
"169"	"197"	"91200"	"10"	"1"	""	""	""	
"170"	"198"	"91800"	"10"	"1"	""	""	""	
"171"	"199"	"92400"	"10"	"1"	""	""	""	
"172"	"200"	"93000"	"10"	"1"	""	""	""	
"173"	"201"	"93600"	"10"	"1"	""	""	""	
"174"	"202"	"94200"	"10"	"1"	""	""	""	
"175"	"203"	"94800"	"10"	"1"	""	""	""	
"176"	"204"	"95400"	"10"	"1"	""	""	""	
"177"	"205"	"96000"	"10"	"1"	""	""	""	
"178"	"206"	"96600"	"10"	"1"	""	""	""	
"179"	"207"	"97200"	"10"	"1"	""	""	""	
"180"	"208"	"97800"	"10"	"1"	""	""	""	
"181"	"209"	"98400"	"10"	"1"	""	""	""	
"182"	"210"	"99000"	"10"	"1"	""	""	""	
"183"	"211"	"99600"	"10"	"1"	""	""	""	
"184"	"212"	"100200"	"10"	"1"	""	""	""	
"185"	"213"	"100800"	"10"	"1"	""	""	""	
"186"	"214"	"101400"	"10"	"1"	""	""	""	
"187"	"215"	"102000"	"10"	"1"	""	""	""	
"188"	"216"	"102600"	"10"	"1"	""	""	""	
