"ID(签到年份+月份+签到天数)"	"奖励ID"	"奖励数量"	""	""	
"20170127"	"100004"	"50"	""	""	
"20170128"	"100004"	"50"	""	""	
"20170129"	"100004"	"50"	""	""	
"20170130"	"100004"	"50"	""	""	
"20170131"	"100004"	"50"	""	""	
"20170201"	"100004"	"50"	""	""	
"20170202"	"100004"	"50"	""	""	
"20170203"	"100004"	"50"	""	""	
"20170204"	"100004"	"50"	""	""	
"20170205"	"100004"	"50"	""	""	
"20170206"	"100004"	"50"	""	""	
"20170207"	"100004"	"50"	""	""	
"20170208"	"100004"	"50"	""	""	
"20170209"	"100004"	"50"	""	""	
"20170210"	"100004"	"50"	""	""	
"20170211"	"100004"	"50"	""	""	
"20170212"	"100004"	"50"	""	""	
"20170213"	"100004"	"50"	""	""	
"20170214"	"100004"	"50"	""	""	
"20170215"	"100004"	"50"	""	""	
"20170216"	"100004"	"50"	""	""	
"20170217"	"100004"	"50"	""	""	
"20170218"	"100004"	"50"	""	""	
"20170219"	"100004"	"50"	""	""	
"20170220"	"100004"	"50"	""	""	
"20170221"	"100004"	"50"	""	""	
"20170222"	"100004"	"50"	""	""	
"20170223"	"100004"	"50"	""	""	
"20170224"	"100004"	"50"	""	""	
"20170225"	"100004"	"50"	""	""	
"20170226"	"100004"	"50"	""	""	
"20170227"	"100004"	"50"	""	""	
"20170228"	"100004"	"50"	""	""	
"20170301"	"100004"	"50"	""	""	
"20170302"	"100004"	"50"	""	""	
"20170303"	"100004"	"50"	""	""	
"20170304"	"100004"	"50"	""	""	
"20170305"	"100004"	"50"	""	""	
"20170306"	"100004"	"50"	""	""	
"20170307"	"100004"	"50"	""	""	
"20170308"	"100004"	"50"	""	""	
"20170309"	"100004"	"50"	""	""	
"20170310"	"100004"	"50"	""	""	
"20170311"	"100004"	"50"	""	""	
"20170312"	"100004"	"50"	""	""	
"20170313"	"100004"	"50"	""	""	
"20170314"	"100004"	"50"	""	""	
"20170315"	"100004"	"50"	""	""	
"20170316"	"100004"	"50"	""	""	
"20170317"	"100004"	"50"	""	""	
"20170318"	"100004"	"50"	""	""	
"20170319"	"100004"	"50"	""	""	
"20170320"	"100004"	"50"	""	""	
"20170321"	"100004"	"50"	""	""	
"20170322"	"100004"	"50"	""	""	
"20170323"	"100004"	"50"	""	""	
"20170324"	"100004"	"50"	""	""	
"20170325"	"100004"	"50"	""	""	
"20170326"	"100004"	"50"	""	""	
"20170327"	"100004"	"50"	""	""	
"20170328"	"100004"	"50"	""	""	
"20170329"	"100004"	"50"	""	""	
"20170330"	"100004"	"50"	""	""	
"20170331"	"100004"	"50"	""	""	
"20170401"	"100004"	"50"	""	""	
"20170402"	"100004"	"50"	""	""	
"20170403"	"100004"	"50"	""	""	
"20170404"	"100004"	"50"	""	""	
"20170405"	"100004"	"50"	""	""	
"20170406"	"100004"	"50"	""	""	
"20170407"	"100004"	"50"	""	""	
"20170408"	"100004"	"50"	""	""	
"20170409"	"100004"	"50"	""	""	
"20170410"	"100004"	"50"	""	""	
"20170411"	"100004"	"50"	""	""	
"20170412"	"100004"	"50"	""	""	
"20170413"	"100004"	"50"	""	""	
"20170414"	"100004"	"50"	""	""	
"20170415"	"100004"	"50"	""	""	
"20170416"	"100004"	"50"	""	""	
"20170417"	"100004"	"50"	""	""	
"20170418"	"100004"	"50"	""	""	
"20170419"	"100004"	"50"	""	""	
"20170420"	"100004"	"50"	""	""	
"20170421"	"100004"	"50"	""	""	
"20170422"	"100004"	"50"	""	""	
"20170423"	"100004"	"50"	""	""	
"20170424"	"100004"	"50"	""	""	
"20170425"	"100004"	"50"	""	""	
"20170426"	"100004"	"50"	""	""	
"20170427"	"100004"	"50"	""	""	
"20170428"	"100004"	"50"	""	""	
"20170429"	"100004"	"50"	""	""	
"20170430"	"100004"	"50"	""	""	
"20170501"	"100004"	"50"	""	""	
"20170502"	"100004"	"50"	""	""	
"20170503"	"100004"	"50"	""	""	
"20170504"	"100004"	"50"	""	""	
"20170505"	"100004"	"50"	""	""	
"20170506"	"100004"	"50"	""	""	
"20170507"	"100004"	"50"	""	""	
"20170508"	"100004"	"50"	""	""	
"20170509"	"100004"	"50"	""	""	
"20170510"	"100004"	"50"	""	""	
"20170511"	"100004"	"50"	""	""	
"20170512"	"100004"	"50"	""	""	
"20170513"	"100004"	"50"	""	""	
"20170514"	"100004"	"50"	""	""	
"20170515"	"100004"	"50"	""	""	
"20170516"	"100004"	"50"	""	""	
"20170517"	"100004"	"50"	""	""	
"20170518"	"100004"	"50"	""	""	
"20170519"	"100004"	"50"	""	""	
"20170520"	"100004"	"50"	""	""	
"20170521"	"100004"	"50"	""	""	
"20170522"	"100004"	"50"	""	""	
"20170523"	"100004"	"50"	""	""	
"20170524"	"100004"	"50"	""	""	
"20170525"	"100004"	"50"	""	""	
"20170526"	"100004"	"50"	""	""	
"20170527"	"100004"	"50"	""	""	
"20170528"	"100004"	"50"	""	""	
"20170529"	"100004"	"50"	""	""	
"20170530"	"100004"	"50"	""	""	
"20170531"	"100004"	"50"	""	""	
"20170601"	"100004"	"50"	""	""	
"20170602"	"100004"	"50"	""	""	
"20170603"	"100004"	"50"	""	""	
"20170604"	"100004"	"50"	""	""	
"20170605"	"100004"	"50"	""	""	
"20170606"	"100004"	"50"	""	""	
"20170607"	"100004"	"50"	""	""	
"20170608"	"100004"	"50"	""	""	
"20170609"	"100004"	"50"	""	""	
"20170610"	"100004"	"50"	""	""	
"20170611"	"100004"	"50"	""	""	
"20170612"	"100004"	"50"	""	""	
"20170613"	"100004"	"50"	""	""	
"20170614"	"100004"	"50"	""	""	
"20170615"	"100004"	"50"	""	""	
"20170616"	"100004"	"50"	""	""	
"20170617"	"100004"	"50"	""	""	
"20170618"	"100004"	"50"	""	""	
"20170619"	"100004"	"50"	""	""	
"20170620"	"100004"	"50"	""	""	
"20170621"	"100004"	"50"	""	""	
"20170622"	"100004"	"50"	""	""	
"20170623"	"100004"	"50"	""	""	
"20170624"	"100004"	"50"	""	""	
"20170625"	"100004"	"50"	""	""	
"20170626"	"100004"	"50"	""	""	
"20170627"	"100004"	"50"	""	""	
"20170628"	"100004"	"50"	""	""	
"20170629"	"100004"	"50"	""	""	
"20170630"	"100004"	"50"	""	""	
"20170701"	"100004"	"50"	""	""	
"20170702"	"100004"	"50"	""	""	
"20170703"	"100004"	"50"	""	""	
"20170704"	"100004"	"50"	""	""	
"20170705"	"100004"	"50"	""	""	
"20170706"	"100004"	"50"	""	""	
"20170707"	"100004"	"50"	""	""	
"20170708"	"100004"	"50"	""	""	
"20170709"	"100004"	"50"	""	""	
"20170710"	"100004"	"50"	""	""	
"20170711"	"100004"	"50"	""	""	
"20170712"	"100004"	"50"	""	""	
"20170713"	"100004"	"50"	""	""	
"20170714"	"100004"	"50"	""	""	
"20170715"	"100004"	"50"	""	""	
"20170716"	"100004"	"50"	""	""	
"20170717"	"100004"	"50"	""	""	
"20170718"	"100004"	"50"	""	""	
"20170719"	"100004"	"50"	""	""	
"20170720"	"100004"	"50"	""	""	
"20170721"	"100004"	"50"	""	""	
"20170722"	"100004"	"50"	""	""	
"20170723"	"100004"	"50"	""	""	
"20170724"	"100004"	"50"	""	""	
"20170725"	"100004"	"50"	""	""	
"20170726"	"100004"	"50"	""	""	
"20170727"	"100004"	"50"	""	""	
"20170728"	"100004"	"50"	""	""	
"20170729"	"100004"	"50"	""	""	
"20170730"	"100004"	"50"	""	""	
"20170731"	"100004"	"50"	""	""	
"20170801"	"100004"	"50"	""	""	
"20170802"	"100004"	"50"	""	""	
"20170803"	"100004"	"50"	""	""	
"20170804"	"100004"	"50"	""	""	
"20170805"	"100004"	"50"	""	""	
"20170806"	"100004"	"50"	""	""	
"20170807"	"100004"	"50"	""	""	
"20170808"	"100004"	"50"	""	""	
"20170809"	"100004"	"50"	""	""	
"20170810"	"100004"	"50"	""	""	
"20170811"	"100004"	"50"	""	""	
"20170812"	"100004"	"50"	""	""	
"20170813"	"100004"	"50"	""	""	
"20170814"	"100004"	"50"	""	""	
"20170815"	"100004"	"50"	""	""	
"20170816"	"100004"	"50"	""	""	
"20170817"	"100004"	"50"	""	""	
"20170818"	"100004"	"50"	""	""	
"20170819"	"100004"	"50"	""	""	
"20170820"	"100004"	"50"	""	""	
"20170821"	"100004"	"50"	""	""	
"20170822"	"100004"	"50"	""	""	
"20170823"	"100004"	"50"	""	""	
"20170824"	"100004"	"50"	""	""	
"20170825"	"100004"	"50"	""	""	
"20170826"	"100004"	"50"	""	""	
"20170827"	"100004"	"50"	""	""	
"20170828"	"100004"	"50"	""	""	
"20170829"	"100004"	"50"	""	""	
"20170830"	"100004"	"50"	""	""	
"20170831"	"100004"	"50"	""	""	
"20170901"	"100004"	"50"	""	""	
"20170902"	"100004"	"50"	""	""	
"20170903"	"100004"	"50"	""	""	
"20170904"	"100004"	"50"	""	""	
"20170905"	"100004"	"50"	""	""	
"20170906"	"100004"	"50"	""	""	
"20170907"	"100004"	"50"	""	""	
"20170908"	"100004"	"50"	""	""	
"20170909"	"100004"	"50"	""	""	
"20170910"	"100004"	"50"	""	""	
"20170911"	"100004"	"50"	""	""	
"20170912"	"100004"	"50"	""	""	
"20170913"	"100004"	"50"	""	""	
"20170914"	"100004"	"50"	""	""	
"20170915"	"100004"	"50"	""	""	
"20170916"	"100004"	"50"	""	""	
"20170917"	"100004"	"50"	""	""	
"20170918"	"100004"	"50"	""	""	
"20170919"	"100004"	"50"	""	""	
"20170920"	"100004"	"50"	""	""	
"20170921"	"100004"	"50"	""	""	
"20170922"	"100004"	"50"	""	""	
"20170923"	"100004"	"50"	""	""	
"20170924"	"100004"	"50"	""	""	
"20170925"	"100004"	"50"	""	""	
"20170926"	"100004"	"50"	""	""	
"20170927"	"100004"	"50"	""	""	
"20170928"	"100004"	"50"	""	""	
"20170929"	"100004"	"50"	""	""	
"20170930"	"100004"	"50"	""	""	
"20171001"	"100004"	"50"	""	""	
"20171002"	"100004"	"50"	""	""	
"20171003"	"100004"	"50"	""	""	
"20171004"	"100004"	"50"	""	""	
"20171005"	"100004"	"50"	""	""	
"20171006"	"100004"	"50"	""	""	
"20171007"	"100004"	"50"	""	""	
"20171008"	"100004"	"50"	""	""	
"20171009"	"100004"	"50"	""	""	
"20171010"	"100004"	"50"	""	""	
"20171011"	"100004"	"50"	""	""	
"20171012"	"100004"	"50"	""	""	
"20171013"	"100004"	"50"	""	""	
"20171014"	"100004"	"50"	""	""	
"20171015"	"100004"	"50"	""	""	
"20171016"	"100004"	"50"	""	""	
"20171017"	"100004"	"50"	""	""	
"20171018"	"100004"	"50"	""	""	
"20171019"	"100004"	"50"	""	""	
"20171020"	"100004"	"50"	""	""	
"20171021"	"100004"	"50"	""	""	
"20171022"	"100004"	"50"	""	""	
"20171023"	"100004"	"50"	""	""	
"20171024"	"100004"	"50"	""	""	
"20171025"	"100004"	"50"	""	""	
"20171026"	"100004"	"50"	""	""	
"20171027"	"100004"	"50"	""	""	
"20171028"	"100004"	"50"	""	""	
"20171029"	"100004"	"50"	""	""	
"20171030"	"100004"	"50"	""	""	
"20171031"	"100004"	"50"	""	""	
"20171101"	"100004"	"50"	""	""	
"20171102"	"100004"	"50"	""	""	
"20171103"	"100004"	"50"	""	""	
"20171104"	"100004"	"50"	""	""	
"20171105"	"100004"	"50"	""	""	
"20171106"	"100004"	"50"	""	""	
"20171107"	"100004"	"50"	""	""	
"20171108"	"100004"	"50"	""	""	
"20171109"	"100004"	"50"	""	""	
"20171110"	"100004"	"50"	""	""	
"20171111"	"100004"	"50"	""	""	
"20171112"	"100004"	"50"	""	""	
"20171113"	"100004"	"50"	""	""	
"20171114"	"100004"	"50"	""	""	
"20171115"	"100004"	"50"	""	""	
"20171116"	"100004"	"50"	""	""	
"20171117"	"100004"	"50"	""	""	
"20171118"	"100004"	"50"	""	""	
"20171119"	"100004"	"50"	""	""	
"20171120"	"100004"	"50"	""	""	
"20171121"	"100004"	"50"	""	""	
"20171122"	"100004"	"50"	""	""	
"20171123"	"100004"	"50"	""	""	
"20171124"	"100004"	"50"	""	""	
"20171125"	"100004"	"50"	""	""	
"20171126"	"100004"	"50"	""	""	
"20171127"	"100004"	"50"	""	""	
"20171128"	"100004"	"50"	""	""	
"20171129"	"100004"	"50"	""	""	
"20171130"	"100004"	"50"	""	""	
"20171201"	"100004"	"50"	""	""	
"20171202"	"100004"	"50"	""	""	
"20171203"	"100004"	"50"	""	""	
"20171204"	"100004"	"50"	""	""	
"20171205"	"100004"	"50"	""	""	
"20171206"	"100004"	"50"	""	""	
"20171207"	"100004"	"50"	""	""	
"20171208"	"100004"	"50"	""	""	
"20171209"	"100004"	"50"	""	""	
"20171210"	"100004"	"50"	""	""	
"20171211"	"100004"	"50"	""	""	
"20171212"	"100004"	"50"	""	""	
"20171213"	"100004"	"50"	""	""	
"20171214"	"100004"	"50"	""	""	
"20171215"	"100004"	"50"	""	""	
"20171216"	"100004"	"50"	""	""	
"20171217"	"100004"	"50"	""	""	
"20171218"	"100004"	"50"	""	""	
"20171219"	"100004"	"50"	""	""	
"20171220"	"100004"	"50"	""	""	
"20171221"	"100004"	"50"	""	""	
"20171222"	"100004"	"50"	""	""	
"20171223"	"100004"	"50"	""	""	
"20171224"	"100004"	"50"	""	""	
"20171225"	"100004"	"50"	""	""	
"20171226"	"100004"	"50"	""	""	
"20171227"	"100004"	"50"	""	""	
"20171228"	"100004"	"50"	""	""	
"20171229"	"100004"	"50"	""	""	
"20171230"	"100004"	"50"	""	""	
"20171231"	"100004"	"50"	""	""	
"20180101"	"100004"	"50"	""	""	
"20180102"	"100004"	"50"	""	""	
"20180103"	"100004"	"50"	""	""	
"20180104"	"100004"	"50"	""	""	
"20180105"	"100004"	"50"	""	""	
"20180106"	"100004"	"50"	""	""	
"20180107"	"100004"	"50"	""	""	
"20180108"	"100004"	"50"	""	""	
"20180109"	"100004"	"50"	""	""	
"20180110"	"100004"	"50"	""	""	
"20180111"	"100004"	"50"	""	""	
"20180112"	"100004"	"50"	""	""	
"20180113"	"100004"	"50"	""	""	
"20180114"	"100004"	"50"	""	""	
"20180115"	"100004"	"50"	""	""	
"20180116"	"100004"	"50"	""	""	
"20180117"	"100004"	"50"	""	""	
"20180118"	"100004"	"50"	""	""	
"20180119"	"100004"	"50"	""	""	
"20180120"	"100004"	"50"	""	""	
"20180121"	"100004"	"50"	""	""	
"20180122"	"100004"	"50"	""	""	
"20180123"	"100004"	"50"	""	""	
"20180124"	"100004"	"50"	""	""	
"20180125"	"100004"	"50"	""	""	
"20180126"	"100004"	"50"	""	""	
"20180127"	"100004"	"50"	""	""	
"20180128"	"100004"	"50"	""	""	
"20180129"	"100004"	"50"	""	""	
"20180130"	"100004"	"50"	""	""	
"20180131"	"100004"	"50"	""	""	
"20180201"	"100004"	"50"	""	""	
"20180202"	"100004"	"50"	""	""	
"20180203"	"100004"	"50"	""	""	
"20180204"	"100004"	"50"	""	""	
"20180205"	"100004"	"50"	""	""	
"20180206"	"100004"	"50"	""	""	
"20180207"	"100004"	"50"	""	""	
"20180208"	"100004"	"50"	""	""	
"20180209"	"100004"	"50"	""	""	
"20180210"	"100004"	"50"	""	""	
"20180211"	"100004"	"50"	""	""	
"20180212"	"100004"	"50"	""	""	
"20180213"	"100004"	"50"	""	""	
"20180214"	"100004"	"50"	""	""	
"20180215"	"100004"	"50"	""	""	
"20180216"	"100004"	"50"	""	""	
"20180217"	"100004"	"50"	""	""	
"20180218"	"100004"	"50"	""	""	
"20180219"	"100004"	"50"	""	""	
"20180220"	"100004"	"50"	""	""	
"20180221"	"100004"	"50"	""	""	
"20180222"	"100004"	"50"	""	""	
"20180223"	"100004"	"50"	""	""	
"20180224"	"100004"	"50"	""	""	
"20180225"	"100004"	"50"	""	""	
"20180226"	"100004"	"50"	""	""	
"20180227"	"100004"	"50"	""	""	
"20180228"	"100004"	"50"	""	""	
"20180301"	"100004"	"50"	""	""	
"20180302"	"100004"	"50"	""	""	
"20180303"	"100004"	"50"	""	""	
"20180304"	"100004"	"50"	""	""	
"20180305"	"100004"	"50"	""	""	
"20180306"	"100004"	"50"	""	""	
"20180307"	"100004"	"50"	""	""	
"20180308"	"100004"	"50"	""	""	
"20180309"	"100004"	"50"	""	""	
"20180310"	"100004"	"50"	""	""	
"20180311"	"100004"	"50"	""	""	
"20180312"	"100004"	"50"	""	""	
"20180313"	"100004"	"50"	""	""	
"20180314"	"100004"	"50"	""	""	
"20180315"	"100004"	"50"	""	""	
"20180316"	"100004"	"50"	""	""	
"20180317"	"100004"	"50"	""	""	
"20180318"	"100004"	"50"	""	""	
"20180319"	"100004"	"50"	""	""	
"20180320"	"100004"	"50"	""	""	
"20180321"	"100004"	"50"	""	""	
"20180322"	"100004"	"50"	""	""	
