"成就id"	"成就分组[4个大类分组]一级标题名字ID"	"一级标题名字"	"成就名字"	"成就排序id"	"成就描述"	"获得成就需完成的目标"	"成就对应称号道具ID"	"属性索引"	"属性修改方式0=基础值1=基础百分比2=总值3=总值百分比"	"属性修改值"	"成就光环描述"	"称号图片"	
"3109003"	"3"	"PVE"	"登堂入室"	"103"	"征服挑战副本第30层"	"109003"	""	"0,12,14"	"0,0,0"	"4000,200,200"	"生命值+4000暴击值+200韧性值+200"	""	
"3109004"	"3"	"PVE"	"造化玄机"	"104"	"征服挑战副本第40层"	"109004"	""	"0,12,14"	"0,0,0"	"6000,300,300"	"生命值+6000暴击值+300韧性值+300"	""	
"3109005"	"3"	"PVE"	"勘破天机"	"105"	"征服挑战副本第50层"	"109005"	""	"0,12,14"	"0,0,0"	"10000,500,500"	"生命值+10000暴击值+500韧性值+500"	""	
"3106101"	"3"	"PVE"	"破阵奇兵"	"201"	"通关经验副本"	"106101"	""	"1"	"0"	"20"	"攻击+20"	""	
"3106401"	"3"	"PVE"	"魔头的末路"	"501"	"3星通关组队副本"	"106401"	""	"1"	"0"	"30"	"攻击+30"	""	
"4107001"	"4"	"任务"	"洞若观火"	"1"	"完成-引子:府邸风波"	"107001"	""	"0,8,10"	"0,0,0"	"300,30,30"	"生命值+300命中值+30闪避值+30"	""	
"4107002"	"4"	"任务"	"独掌权谋"	"2"	"完成-第一章:新仇旧恨"	"107002"	""	"0,8,10"	"0,0,0"	"300,30,30"	"生命值+300命中值+30闪避值+30"	""	
"4107003"	"4"	"任务"	"斩妖除魔"	"3"	"完成-第二章:红颜祸水"	"107003"	""	"0,8,10"	"0,0,0"	"300,30,30"	"生命值+300命中值+30闪避值+30"	""	
"4107004"	"4"	"任务"	"临危不惧"	"4"	"完成-第三章:危机四伏"	"107004"	""	"0,8,10"	"0,0,0"	"300,30,30"	"生命值+300命中值+30闪避值+30"	""	
"4107005"	"4"	"任务"	"逃出生天"	"5"	"完成-第四章:绝命逃亡"	"107005"	""	"0,12,14"	"0,0,0"	"400,30,30"	"生命值+400暴击值+30韧性值+30"	""	
"4107006"	"4"	"任务"	"动如脱兔"	"6"	"完成-第五章:穷追不舍"	"107006"	""	"0,12,14"	"0,0,0"	"400,30,30"	"生命值+400暴击值+30韧性值+30"	""	
"4107007"	"4"	"任务"	"浪客剑心"	"7"	"完成-第六章:绝命天涯"	"107007"	""	"0,12,14"	"0,0,0"	"400,30,30"	"生命值+400暴击值+30韧性值+30"	""	
"4107008"	"4"	"任务"	"魏晋风流"	"8"	"完成-第七章:不速之客"	"107008"	""	"0,12,14"	"0,0,0"	"400,30,30"	"生命值+400暴击值+30韧性值+30"	""	
"4107009"	"4"	"任务"	"探宝达人"	"9"	"完成-第八章:三件法器"	"107009"	""	"0,18,16"	"0,0,0"	"500,30,30"	"生命值+500格挡值+30穿透值+30"	""	
"4107010"	"4"	"任务"	"普度众生"	"10"	"完成-第九章:分道扬镳"	"107010"	""	"0,18,16"	"0,0,0"	"500,30,30"	"生命值+500格挡值+30穿透值+30"	""	
"4107011"	"4"	"任务"	"封印大师"	"11"	"完成-第十章：前尘往事"	"107011"	""	"0,18,16"	"0,0,0"	"500,30,30"	"生命值+500格挡值+30穿透值+30"	""	
"4107012"	"4"	"任务"	"乱世英杰"	"12"	"完成-第十一章：明争暗斗"	"107012"	""	"0,8,10"	"0,0,0"	"500,30,30"	"生命值+500命中值+30闪避值+30"	""	
"4107013"	"4"	"任务"	"大祭司"	"13"	"完成-第十二章：神秘星罗"	"107013"	""	"0,12,14"	"0,0,0"	"500,30,30"	"生命值+500暴击值+30韧性值+30"	""	
"4107014"	"4"	"任务"	"考古达人"	"14"	"完成-第十三章：乱象将起"	"107014"	""	"0,18,16"	"0,0,0"	"500,30,30"	"生命值+500格挡值+30穿透值+30"	""	
"4107015"	"4"	"任务"	"拂衣神教"	"15"	"完成-第十四章：千秋大劫"	"107015"	""	"0,8,10"	"0,0,0"	"500,30,30"	"生命值+500命中值+30闪避值+30"	""	
"4107016"	"4"	"任务"	"千秋鼎盛"	"16"	"完成-第十五章：千秋之阵"	"107016"	""	"0,12,14"	"0,0,0"	"500,30,30"	"生命值+500暴击值+30韧性值+30"	""	
"4107017"	"4"	"任务"	"大梦一场"	"17"	"完成-第十六章：江湖大梦"	"107017"	""	"0,18,16"	"0,0,0"	"500,30,30"	"生命值+500格挡值+30穿透值+30"	""	
"4107018"	"4"	"任务"	"执迷千古"	"18"	"完成-第十七章：武林之外"	"107018"	""	"0,8,10"	"0,0,0"	"500,30,30"	"生命值+500命中值+30闪避值+30"	""	
"4103601"	"4"	"任务"	"兢兢业业"	"101"	"完成环任务10次"	"103601"	""	"1,2"	"0,0"	"50,25"	"攻击+50防御+25"	""	
"4103602"	"4"	"任务"	"天道循环"	"102"	"完成环任务100次"	"103602"	""	"1,2"	"0,0"	"100,50"	"攻击+100防御+50"	""	
"4107101"	"4"	"任务"	"装备强化"	"201"	"完成强化装备支线任务"	"107101"	""	"1,2"	"0,0"	"20,20"	"攻击+20防御+20"	""	
