"id，1000开始为怪物随机技能；40000和70000开始为龙的触发性技能；80000开始为装备魂链占用"	"效果名称"	"效果图标"	"描述"	"触发时机0=施法时1=攻击结算时2=受击结算时3=攻击结算前4=攻击结算后5=受击结算前6=受击结算后--begin以下作为攻击者触发7=击中目标时8=目标格档时9=目标闪避时10=暴击时--end--begin以下作为受击者触发11=被击中时12=格档时13=闪避时14=被暴击时---end15=击杀目标时16=被击杀时17=计算击退时(仅用于击退)18=每秒"	"触发的效果类型"	"条件判断脚本名称"	"触发的效果类型索引(不填,程序用)"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数4"	"效果参数5"	"效果参数6"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数4"	"效果参数5"	"效果参数6"	"条件:内置cd(毫秒)0=无cd"	"条件:触发几率(毫秒)1=100%"	"条件:目标生命值0=值1=百分比(1=100%)负数=无条件"	"条件:目标生命值"	"效果参数1等级修正"	"效果参数2等级修正"	"效果参数3等级修正"	"效果参数4等级修正"	"效果参数5等级修正"	"效果参数6等级修正"	"效果参数1等级修正"	"效果参数2等级修正"	"效果参数3等级修正"	"效果参数4等级修正"	"效果参数5等级修正"	"效果参数6等级修正"	"条件:触发几率(毫秒)1=100%等级修正"	"同技能允许触发次数(小等于0表示不限)"	"战斗力"	"在触发器所有者身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	"在触发器涉及其他角色（非所有者）身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	"特殊的表现txt的使用方式0.不使用特殊表现1.基于宠物播放2.基于坐骑播放"	"在触发器涉及其他角色（非所有者）身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	
"8"	""	""	"攻击前回复生命1000点"	"3"	"recover"	""	""	"0"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9"	""	""	"攻击前回复法力1000点"	"3"	"recover"	""	""	"2"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10"	""	""	"攻击后回复生命10%"	"4"	"recover"	""	""	"1"	""	""	""	""	""	"0.100000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11"	""	""	"攻击后回复本次攻击的10%"	"4"	"recover"	""	""	"4"	""	""	""	""	""	"0.100000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12"	""	""	"攻击前减少对方生命1000点"	"3"	"reducetarget"	""	""	"0"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"13"	""	""	"攻击前减少对方法力1000点"	"3"	"reducetarget"	""	""	"3"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"14"	""	""	"攻击后减少对方生命10%"	"4"	"reducetarget"	""	""	"1"	""	""	""	""	""	"0.100000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"15"	""	""	"攻击后减少对方当前生命10%"	"4"	"reducetarget"	""	""	"2"	""	""	""	""	""	"0.100000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"16"	""	""	"攻击时增加100%本次伤害"	"3"	"casteramplifydamage"	""	""	""	""	""	""	""	""	"1.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"17"	""	""	"此次攻击按照力量+1000计算"	"1"	"casteradditionattrincalc"	""	""	"0"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"18"	""	""	"此次攻击按照敌人力量-1000计算"	"1"	"targetadditionattrincalc"	""	""	"0"	""	""	""	""	""	"-1000.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"19"	""	""	"此次攻击一击必杀"	"3"	"ciritcalstrike"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4000"	"1.000000"	"0"	"100000.000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20"	""	""	"受击吸收1000点伤害"	"5"	"absorbdamage"	""	""	"0"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21"	""	""	"受击吸收伤害50%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.500000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"22"	""	""	"受击反弹伤害50%"	"5"	"throns"	""	""	""	""	""	""	""	""	"0.500000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"23"	""	""	"攻击时忽略对方100%火抗"	"1"	"ignore_resistance"	""	""	"1"	""	""	""	""	""	"1.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"24"	""	""	"攻击时忽略对方100%全抗"	"1"	"ignore_resistance"	""	""	"16"	""	""	""	""	""	"1.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"25"	""	""	"攻击时忽略对方50%物理防御"	"1"	"ignore_resistance"	""	""	"32"	""	""	""	""	""	"0.500000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26"	""	""	"受击是削减100%火伤害"	"2"	"reduce_damage"	""	""	"1"	""	""	""	""	""	"1.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"27"	""	""	"受击时削减100%物理伤害"	"2"	"reduce_damage"	""	""	"32"	""	""	""	""	""	"1.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"28"	""	""	"攻击时附加1000点火伤害"	"1"	"additionattrdamage"	""	""	"0"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"29"	""	""	"施法时有几率减少技能冷却时间50%"	"0"	"reduce_magiccooldown_oncasted"	""	""	""	""	""	""	""	""	"0.500000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"30"	""	""	"施法时有几率减少技能消耗50%"	"0"	"reduce_magicconsumevalueon_casted"	""	""	""	""	""	""	""	""	"0.500000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"31"	""	""	"攻击时有几率击退目标2m"	"17"	"knockback"	""	""	""	""	""	""	""	""	"2.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1012"	""	""	"精英怪，攻击时几率减速40%3秒"	"7"	"castaura_on_target"	""	""	"5030"	"1"	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042"	""	""	"精英怪，霸体"	"11"	"castaura_on_self"	""	""	"5040"	"1"	""	""	""	""	""	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2001"	""	""	"boss，诅咒，受到伤害增加"	"7"	"castaura_on_target"	""	""	"5050"	"1"	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2012"	""	""	"boss，冰冻强化，受击时几率放冰霜新星"	"6"	"castmagic_on_selfposition"	""	""	"5060"	"1"	""	""	""	""	""	""	""	""	""	""	"5000"	"0.080000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2013"	""	""	"凛冬修炼场吃球buff，受击时几率放冰霜新星"	"6"	"castmagic_on_selfposition"	""	""	"5060"	"1"	""	""	""	""	""	""	""	""	""	""	"5000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2062"	""	""	"boss，魔化皮肤，反弹5%伤害"	"5"	"throns"	""	""	""	""	""	""	""	""	"0.050000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2072"	""	""	"boss，石头皮肤，反弹5%伤害"	"5"	"throns"	""	""	""	""	""	""	""	""	"0.050000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2081"	""	""	"boss，生命偷取"	"4"	"recover"	""	""	"4"	""	""	""	""	""	"0.100000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2091"	""	""	"boss，术元燃烧"	"3"	"reducetarget"	""	""	"4"	""	""	""	""	""	"0.010000"	""	""	""	""	""	"2000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10000"	""	""	"命中时有几率令目标减速3秒"	"7"	"castaura_on_target"	""	""	"214"	"1"	""	""	""	""	""	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10001"	""	""	"暴击时有几率产生1级火球"	"10"	"castmagic_on_targetposition"	""	""	"200"	"1"	""	""	""	""	""	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10002"	""	""	"攻击后回复生命1000点"	"4"	"recover"	""	""	"0"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"43150"	""	""	"霜冻螺旋（怪）反弹伤害"	"5"	"throns"	""	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"43240"	""	""	"冰龙霜冻护甲"	"11"	"castaura_on_caster"	""	""	"70241"	"1"	""	""	""	""	""	""	""	""	""	""	"100"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"43550"	""	""	"静电场（怪）"	"7"	"castaura_on_caster"	""	""	"43551"	"1"	""	""	""	""	""	""	""	""	""	""	"0"	"0.600000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"[[2,5,0.1]]"	"1"	""	""	""	""	""	
"43850"	""	""	"天使壁垒（怪）"	"11"	"castaura_on_target"	""	""	"43851"	"1"	""	""	""	""	""	""	""	""	""	""	"30000"	"1.000000"	"1"	"0.500000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70050"	""	""	"火龙（飞）被动吸血"	"4"	"recover"	""	""	"4"	""	""	""	""	""	"10.000000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70060"	""	""	"火龙（飞）当目标生命低于40%，加暴击率"	"1"	"casteradditionattrincalc"	""	""	"17"	""	""	""	""	""	"0.300000"	""	""	""	""	""	"0"	"1.000000"	"1"	"0.400000"	""	""	""	""	""	""	"[[2,5,0.05]]"	""	""	""	""	""	""	""	""	""	""	""	""	
"70170"	""	""	"黑曜龙攻击时有几率不计算技能CD"	"0"	"reduce_magiccooldown_oncasted"	""	""	""	""	""	""	""	""	"1.000000"	""	""	""	""	""	"5000"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"[[2,5,0.025]]"	""	""	""	""	""	""	
"70240"	""	""	"冰龙霜冻护甲"	"11"	"castaura_on_caster"	""	""	"70241"	"1"	""	""	""	""	""	""	""	""	""	""	"100"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"[[2,5,0.2]]"	""	""	""	""	""	""	
"70260"	""	""	"冰龙攻击时有几率给目标施加冻结效果"	"7"	"castaura_on_target"	""	""	"70261"	"1"	""	""	""	""	""	""	""	""	""	""	"3000"	"0.040000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"[[2,5,0.01]]"	""	""	""	""	""	""	
"70350"	""	""	"霜冻螺旋反弹伤害"	"5"	"throns"	""	""	""	""	""	""	""	""	"0.080000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	"[[2,4,0.04]]"	""	""	""	""	""	""	""	""	""	""	""	""	
"70380"	""	""	"白龙被动触发减少攻击"	"10"	"castaura_on_target"	""	""	"70381"	"1"	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	
"70550"	""	""	"红龙血之饥渴"	"11"	"castaura_on_target"	""	""	"70551"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"1.000000"	"1"	"0.500000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70740"	""	""	"毒龙死亡爆炸"	"16"	"castmagic_on_selfposition"	""	""	"70741"	"1"	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70850"	""	""	"静电场"	"7"	"castaura_on_caster"	""	""	"70851"	"1"	""	""	""	""	""	""	""	""	""	""	"0"	"0.600000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"[[2,5,0.1]]"	"1"	""	""	""	""	""	
"71150"	""	""	"天使壁垒"	"11"	"castaura_on_target"	""	""	"71151"	"1"	""	""	""	""	""	""	""	""	""	""	"30000"	"1.000000"	"1"	"0.500000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"72150"	""	""	"地狱霸主"	"1"	"ignore_resistance"	""	""	"1"	""	""	""	""	""	"0.500000"	""	""	""	""	""	""	"0.300000"	""	""	""	""	""	""	""	""	"[[2,5,0.1]]"	""	""	""	""	""	"[[2,5,0.05]]"	""	""	""	""	""	""	
"80000"	""	""	"命中时有几率令目标减速3秒"	"7"	"castaura_on_target"	""	""	"214"	"1"	""	""	""	""	""	""	""	""	""	""	"20000"	"0.050000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80010"	""	""	"命中时可触发霸体效果5秒"	"7"	"castaura_on_self"	""	""	"134"	"1"	""	""	""	""	""	""	""	""	""	""	"20000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80020"	""	""	"暴击时回复本身生命值"	"10"	"recover"	""	""	"1"	""	""	""	""	""	"0.010000"	""	""	""	""	""	"1000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80030"	""	""	"击中时有几率提升自身速度"	"7"	"castaura_on_self"	""	""	"80030"	"1"	""	""	""	""	""	""	""	""	""	""	"20000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80040"	""	""	"击中时有几率造成击退"	"17"	"knockback"	""	""	""	""	""	""	""	""	"1.000000"	""	""	""	""	""	"5000"	"0.050000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80050"	""	""	"击中时有几率忽视物理防御"	"1"	"ignore_resistance"	""	""	"32"	""	""	""	""	""	"0.300000"	""	""	""	""	""	"5000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80060"	""	""	"击中时有几率提升暴击率25%，持续10秒"	"7"	"castaura_on_self"	""	""	"80060"	"1"	""	""	""	""	""	""	""	""	""	""	"20000"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80070"	""	""	"攻击时有几率射出一颗200%火焰伤害的火球"	"0"	"castmagic_on_targetposition"	""	""	"80070"	"1"	""	""	""	""	""	""	""	""	""	""	"5000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80080"	""	""	"攻击时有几率射出一颗100%冰寒伤害的冰箭并减速"	"0"	"castmagic_on_targetposition"	""	""	"80080"	"1"	""	""	""	""	""	""	""	""	""	""	"5000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80090"	""	""	"击中时有几率吸取本次伤害30%的生命值"	"7"	"recover"	""	""	"4"	""	""	""	""	""	"0.300000"	""	""	""	""	""	"3000"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	
"80100"	""	""	"生命值低时，受到伤害降低20%"	"11"	"reduce_damage"	""	""	"111"	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"1"	"0.200000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80110"	""	""	"被击中时有10%几率提升闪避率，持续5秒"	"11"	"castaura_on_target"	""	""	"80110"	"1"	""	""	""	""	""	""	""	""	""	""	"10000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80120"	""	""	"被击中时有几率冻结敌人1秒"	"11"	"castaura_on_caster"	""	""	"140"	"1"	""	""	""	""	""	""	""	""	""	""	"5000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80130"	""	""	"格挡时有几率反弹受到的所有伤害"	"12"	"throns"	""	""	""	""	""	""	""	""	"1.000000"	""	""	""	""	""	"0"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80140"	""	""	"闪避时有几率提升25%移动速度，持续5秒"	"13"	"castaura_on_target"	""	""	"80140"	"1"	""	""	""	""	""	""	""	""	""	""	"20000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80150"	""	""	"格挡时有几率施放一次冰霜新星，冻结敌人2秒"	"12"	"castmagic_on_targetposition"	""	""	"80150"	"1"	""	""	""	""	""	""	""	""	""	""	"20000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81000"	""	""	"攻击计算时，有20%几率提升物理攻击力"	"1"	"casteradditionattrincalc"	""	""	"8"	""	""	""	""	""	"400.000000"	""	""	""	""	""	"0"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81010"	""	""	"攻击计算时，有20%几率提升魔法攻击力"	"1"	"casteradditionattrincalc"	""	""	"9"	""	""	""	""	""	"400.000000"	""	""	""	""	""	"0"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81020"	""	""	"攻击计算时，有20%几率提升火焰伤害"	"1"	"casteradditionattrincalc"	""	""	"30"	""	""	""	""	""	"400.000000"	""	""	""	""	""	"0"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81030"	""	""	"攻击计算时，有20%几率提升冰寒伤害"	"1"	"casteradditionattrincalc"	""	""	"31"	""	""	""	""	""	"400.000000"	""	""	""	""	""	"0"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81040"	""	""	"攻击计算时，有20%几率提升闪电伤害"	"1"	"casteradditionattrincalc"	""	""	"32"	""	""	""	""	""	"400.000000"	""	""	""	""	""	"0"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81050"	""	""	"攻击计算时，有20%几率提升毒素伤害"	"1"	"casteradditionattrincalc"	""	""	"33"	""	""	""	""	""	"400.000000"	""	""	""	""	""	"0"	"0.200000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81060"	""	""	"受击计算时，有30%几率提升格挡值"	"2"	"targetadditionattrincalc"	""	""	"22"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"0"	"0.300000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81070"	""	""	"受击计算时，有30%几率提升闪避值"	"2"	"targetadditionattrincalc"	""	""	"14"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"0"	"0.300000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81080"	""	""	"受击计算时，有30%几率提升韧性值"	"2"	"targetadditionattrincalc"	""	""	"18"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"0"	"0.300000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81090"	""	""	"受击计算时，有30%几率提升暴伤减免"	"2"	"targetadditionattrincalc"	""	""	"26"	""	""	""	""	""	"1000.000000"	""	""	""	""	""	"0"	"0.300000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85000"	""	""	"本次攻击有15%几率忽视敌人20%物理及魔法防御"	"1"	"ignore_resistance"	""	""	"96"	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"0.150000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
