"节点ID第1位：类型第4、5位：阶数"	"军衔图集"	"军衔图片"	"军衔图片特效指引到GameEffectConfig"	"军衔名称"	"标签名字"	"积分获得规则strID"	"类型1.1v12.3v33.15v154.野外5.帮派再加需要服务器加，表里不能乱加"	"顺序"	"下一阶的ID"	"包含星级数量每阶从0星开始，所以填写的星级数量比实际能显示的最大星星数多1"	"该阶每个星级所需积分"	"每日积分上限"	"属性ID，对应后面列的属性值必须一一对应"	"到该阶为止的总属性每阶当前属性=当前星级/星级数量*（该阶属性-前一阶属性）+上一阶总属性每阶0星没有属性，最大星时不是全属性（因为最大星比星级数量少1），要到下一阶才能得到前一阶的全部属性"	
"400090"	"Pic_huizhang01"	"huizhang09"	"10178"	"大将军"	"野外生存"	"46004"	"4"	"9"	"400100"	"10"	"2000"	"200"	"0,1,2,8,10,12,14,16,18"	"26347,1317,659,165,165,165,165,165,165"	
"400100"	"Pic_huizhang01"	"huizhang10"	"10179"	"元帅"	"野外生存"	"46004"	"4"	"10"	"-1"	"10"	"2500"	"200"	"0,1,2,8,10,12,14,16,18"	"33875,1694,847,212,212,212,212,212,212"	
"500010"	"Pic_huizhang01"	"huizhang01"	"10170"	"伍长"	"帮派荣耀"	"46005"	"5"	"1"	"500020"	"4"	"50"	"100"	"0,1,2,8,10,12,14,16,18"	"578,29,14,4,4,4,4,4,4"	
"500020"	"Pic_huizhang01"	"huizhang02"	"10171"	"牙门将"	"帮派荣耀"	"46005"	"5"	"2"	"500030"	"4"	"100"	"100"	"0,1,2,8,10,12,14,16,18"	"1415,71,35,9,9,9,9,9,9"	
"500030"	"Pic_huizhang01"	"huizhang03"	"10172"	"都尉"	"帮派荣耀"	"46005"	"5"	"3"	"500040"	"6"	"200"	"100"	"0,1,2,8,10,12,14,16,18"	"2927,146,73,18,18,18,18,18,18"	
"500040"	"Pic_huizhang01"	"huizhang04"	"10173"	"校尉"	"帮派荣耀"	"46005"	"5"	"4"	"500050"	"6"	"300"	"100"	"0,1,2,8,10,12,14,16,18"	"5019,251,125,31,31,31,31,31,31"	
"500050"	"Pic_huizhang01"	"huizhang05"	"10174"	"中郎将"	"帮派荣耀"	"46005"	"5"	"5"	"500060"	"6"	"500"	"100"	"0,1,2,8,10,12,14,16,18"	"7528,376,188,47,47,47,47,47,47"	
"500060"	"Pic_huizhang01"	"huizhang06"	"10175"	"裨将军"	"帮派荣耀"	"46005"	"5"	"6"	"500070"	"8"	"700"	"100"	"0,1,2,8,10,12,14,16,18"	"10874,544,272,68,68,68,68,68,68"	
"500070"	"Pic_huizhang01"	"huizhang07"	"10176"	"偏将军"	"帮派荣耀"	"46005"	"5"	"7"	"500080"	"8"	"1000"	"100"	"0,1,2,8,10,12,14,16,18"	"15056,753,376,94,94,94,94,94,94"	
"500080"	"Pic_huizhang01"	"huizhang08"	"10177"	"骠骑将军"	"帮派荣耀"	"46005"	"5"	"8"	"500090"	"8"	"1500"	"100"	"0,1,2,8,10,12,14,16,18"	"20074,1004,502,125,125,125,125,125,125"	
"500090"	"Pic_huizhang01"	"huizhang09"	"10178"	"大将军"	"帮派荣耀"	"46005"	"5"	"9"	"500100"	"10"	"2000"	"100"	"0,1,2,8,10,12,14,16,18"	"26347,1317,659,165,165,165,165,165,165"	
"500100"	"Pic_huizhang01"	"huizhang10"	"10179"	"元帅"	"帮派荣耀"	"46005"	"5"	"10"	"-1"	"10"	"2500"	"100"	"0,1,2,8,10,12,14,16,18"	"33875,1694,847,212,212,212,212,212,212"	
