"id"	"策划注释"	"类型(1=普通坐骑类型，其他类型依次增加)"	"等级"	"技能ID"	"消耗材料ID"	"升级消耗材料数量"	"是否可以金币代替"	""	""	""	""	""	""	""	""	""	
"35"	"坐骑测试技能"	"1"	"35"	"50002035"	"6000003"	"35"	"0"	""	""	""	""	""	""	""	""	""	
"36"	"坐骑测试技能"	"1"	"36"	"50002036"	"6000003"	"36"	"0"	""	""	""	""	""	""	""	""	""	
"37"	"坐骑测试技能"	"1"	"37"	"50002037"	"6000003"	"37"	"0"	""	""	""	""	""	""	""	""	""	
"38"	"坐骑测试技能"	"1"	"38"	"50002038"	"6000003"	"38"	"0"	""	""	""	""	""	""	""	""	""	
"39"	"坐骑测试技能"	"1"	"39"	"50002039"	"6000003"	"39"	"0"	""	""	""	""	""	""	""	""	""	
"40"	"坐骑测试技能"	"1"	"40"	"50002040"	"6000003"	"40"	"0"	""	""	""	""	""	""	""	""	""	
"41"	"坐骑测试技能"	"1"	"41"	"50002041"	"6000003"	"41"	"0"	""	""	""	""	""	""	""	""	""	
"42"	"坐骑测试技能"	"1"	"42"	"50002042"	"6000003"	"42"	"0"	""	""	""	""	""	""	""	""	""	
"43"	"坐骑测试技能"	"1"	"43"	"50002043"	"6000003"	"43"	"0"	""	""	""	""	""	""	""	""	""	
"44"	"坐骑测试技能"	"1"	"44"	"50002044"	"6000003"	"44"	"0"	""	""	""	""	""	""	""	""	""	
"45"	"坐骑测试技能"	"1"	"45"	"50002045"	"6000003"	"45"	"0"	""	""	""	""	""	""	""	""	""	
"46"	"坐骑测试技能"	"1"	"46"	"50002046"	"6000003"	"46"	"0"	""	""	""	""	""	""	""	""	""	
"47"	"坐骑测试技能"	"1"	"47"	"50002047"	"6000003"	"47"	"0"	""	""	""	""	""	""	""	""	""	
"48"	"坐骑测试技能"	"1"	"48"	"50002048"	"6000003"	"48"	"0"	""	""	""	""	""	""	""	""	""	
"49"	"坐骑测试技能"	"1"	"49"	"50002049"	"6000003"	"49"	"0"	""	""	""	""	""	""	""	""	""	
"50"	"坐骑测试技能"	"1"	"50"	"50002050"	"6000003"	"50"	"0"	""	""	""	""	""	""	""	""	""	
"51"	"坐骑测试技能"	"1"	"51"	"50002051"	"6000003"	"51"	"0"	""	""	""	""	""	""	""	""	""	
"52"	"坐骑测试技能"	"1"	"52"	"50002052"	"6000003"	"52"	"0"	""	""	""	""	""	""	""	""	""	
"53"	"坐骑测试技能"	"1"	"53"	"50002053"	"6000003"	"53"	"0"	""	""	""	""	""	""	""	""	""	
"54"	"坐骑测试技能"	"1"	"54"	"50002054"	"6000003"	"54"	"0"	""	""	""	""	""	""	""	""	""	
"55"	"坐骑测试技能"	"1"	"55"	"50002055"	"6000003"	"55"	"0"	""	""	""	""	""	""	""	""	""	
"56"	"坐骑测试技能"	"1"	"56"	"50002056"	"6000003"	"56"	"0"	""	""	""	""	""	""	""	""	""	
"57"	"坐骑测试技能"	"1"	"57"	"50002057"	"6000003"	"57"	"0"	""	""	""	""	""	""	""	""	""	
"58"	"坐骑测试技能"	"1"	"58"	"50002058"	"6000003"	"58"	"0"	""	""	""	""	""	""	""	""	""	
"59"	"坐骑测试技能"	"1"	"59"	"50002059"	"6000003"	"59"	"0"	""	""	""	""	""	""	""	""	""	
"60"	"坐骑测试技能"	"1"	"60"	"50002060"	"6000003"	"60"	"0"	""	""	""	""	""	""	""	""	""	
"61"	"坐骑测试技能"	"1"	"61"	"50002061"	"6000003"	"61"	"0"	""	""	""	""	""	""	""	""	""	
"62"	"坐骑测试技能"	"1"	"62"	"50002062"	"6000003"	"62"	"0"	""	""	""	""	""	""	""	""	""	
"63"	"坐骑测试技能"	"1"	"63"	"50002063"	"6000003"	"63"	"0"	""	""	""	""	""	""	""	""	""	
"64"	"坐骑测试技能"	"1"	"64"	"50002064"	"6000003"	"64"	"0"	""	""	""	""	""	""	""	""	""	
"65"	"坐骑测试技能"	"1"	"65"	"50002065"	"6000003"	"65"	"0"	""	""	""	""	""	""	""	""	""	
"66"	"坐骑测试技能"	"1"	"66"	"50002066"	"6000003"	"66"	"0"	""	""	""	""	""	""	""	""	""	
"67"	"坐骑测试技能"	"1"	"67"	"50002067"	"6000003"	"67"	"0"	""	""	""	""	""	""	""	""	""	
"68"	"坐骑测试技能"	"1"	"68"	"50002068"	"6000003"	"68"	"0"	""	""	""	""	""	""	""	""	""	
"69"	"坐骑测试技能"	"1"	"69"	"50002069"	"6000003"	"69"	"0"	""	""	""	""	""	""	""	""	""	
"70"	"坐骑测试技能"	"1"	"70"	"50002070"	"6000003"	"70"	"0"	""	""	""	""	""	""	""	""	""	
"71"	"坐骑测试技能"	"1"	"71"	"50002071"	"6000003"	"71"	"0"	""	""	""	""	""	""	""	""	""	
"72"	"坐骑测试技能"	"1"	"72"	"50002072"	"6000003"	"72"	"0"	""	""	""	""	""	""	""	""	""	
"73"	"坐骑测试技能"	"1"	"73"	"50002073"	"6000003"	"73"	"0"	""	""	""	""	""	""	""	""	""	
"74"	"坐骑测试技能"	"1"	"74"	"50002074"	"6000003"	"74"	"0"	""	""	""	""	""	""	""	""	""	
"75"	"坐骑测试技能"	"1"	"75"	"50002075"	"6000003"	"75"	"0"	""	""	""	""	""	""	""	""	""	
"76"	"坐骑测试技能"	"1"	"76"	"50002076"	"6000003"	"76"	"0"	""	""	""	""	""	""	""	""	""	
"77"	"坐骑测试技能"	"1"	"77"	"50002077"	"6000003"	"77"	"0"	""	""	""	""	""	""	""	""	""	
"78"	"坐骑测试技能"	"1"	"78"	"50002078"	"6000003"	"78"	"0"	""	""	""	""	""	""	""	""	""	
"79"	"坐骑测试技能"	"1"	"79"	"50002079"	"6000003"	"79"	"0"	""	""	""	""	""	""	""	""	""	
"80"	"坐骑测试技能"	"1"	"80"	"50002080"	"6000003"	"80"	"0"	""	""	""	""	""	""	""	""	""	
"81"	"坐骑测试技能"	"1"	"81"	"50002081"	"6000003"	"81"	"0"	""	""	""	""	""	""	""	""	""	
"82"	"坐骑测试技能"	"1"	"82"	"50002082"	"6000003"	"82"	"0"	""	""	""	""	""	""	""	""	""	
"83"	"坐骑测试技能"	"1"	"83"	"50002083"	"6000003"	"83"	"0"	""	""	""	""	""	""	""	""	""	
"84"	"坐骑测试技能"	"1"	"84"	"50002084"	"6000003"	"84"	"0"	""	""	""	""	""	""	""	""	""	
"85"	"坐骑测试技能"	"1"	"85"	"50002085"	"6000003"	"85"	"0"	""	""	""	""	""	""	""	""	""	
"86"	"坐骑测试技能"	"1"	"86"	"50002086"	"6000003"	"86"	"0"	""	""	""	""	""	""	""	""	""	
"87"	"坐骑测试技能"	"1"	"87"	"50002087"	"6000003"	"87"	"0"	""	""	""	""	""	""	""	""	""	
"88"	"坐骑测试技能"	"1"	"88"	"50002088"	"6000003"	"88"	"0"	""	""	""	""	""	""	""	""	""	
"89"	"坐骑测试技能"	"1"	"89"	"50002089"	"6000003"	"89"	"0"	""	""	""	""	""	""	""	""	""	
"90"	"坐骑测试技能"	"1"	"90"	"50002090"	"6000003"	"90"	"0"	""	""	""	""	""	""	""	""	""	
"91"	"坐骑测试技能"	"1"	"91"	"50002091"	"6000003"	"91"	"0"	""	""	""	""	""	""	""	""	""	
"92"	"坐骑测试技能"	"1"	"92"	"50002092"	"6000003"	"92"	"0"	""	""	""	""	""	""	""	""	""	
"93"	"坐骑测试技能"	"1"	"93"	"50002093"	"6000003"	"93"	"0"	""	""	""	""	""	""	""	""	""	
"94"	"坐骑测试技能"	"1"	"94"	"50002094"	"6000003"	"94"	"0"	""	""	""	""	""	""	""	""	""	
"95"	"坐骑测试技能"	"1"	"95"	"50002095"	"6000003"	"95"	"0"	""	""	""	""	""	""	""	""	""	
"96"	"坐骑测试技能"	"1"	"96"	"50002096"	"6000003"	"96"	"0"	""	""	""	""	""	""	""	""	""	
"97"	"坐骑测试技能"	"1"	"97"	"50002097"	"6000003"	"97"	"0"	""	""	""	""	""	""	""	""	""	
"98"	"坐骑测试技能"	"1"	"98"	"50002098"	"6000003"	"98"	"0"	""	""	""	""	""	""	""	""	""	
"99"	"坐骑测试技能"	"1"	"99"	"50002099"	"6000003"	"99"	"0"	""	""	""	""	""	""	""	""	""	
"100"	"坐骑测试技能"	"1"	"100"	"50002100"	"6000003"	"100"	"0"	""	""	""	""	""	""	""	""	""	
