"条件技能id"	"备注"	"自身HP区间（百分比，100=%100）"	"目标HP区间（百分比，100=%100）"	"距离区间（单位：米）"	"脚本条件"	"进入战斗后多久可以施放（单位：ms）"	"CD（单位：ms）"	"技能释放的概率（10000=%100）"	"技能ID"	"放条件技能前说话(索引到NpcTalkConfig表)"	
"300120002"	"墨香直线击退"	""	""	""	""	"8000"	"10000"	"10000"	"30001130"	""	
"300130000"	"何戢四周aoe"	""	""	""	""	"5000"	"10000"	"10000"	"30001210"	""	
"300130001"	"何戢直线乱刺"	""	""	""	""	"8000"	"10000"	"10000"	"30001220"	""	
"300130002"	"何戢直线直线攻击"	""	""	""	""	"8000"	"10000"	"10000"	"30001230"	""	
"300140000"	"寂然目标点debuff"	""	""	""	""	"2000"	"10000"	"10000"	"30001330"	""	
"300140001"	"寂然自身buff"	""	""	""	""	"5000"	"10000"	"10000"	"30001340"	""	
"300140002"	"寂然四周aoe"	""	""	""	""	"8000"	"10000"	"10000"	"30001350"	""	
"300150000"	"天如月召唤陨石砸地"	""	""	""	""	"2000"	"10000"	"10000"	"30001410"	""	
"300150001"	"天如月天崩地裂"	""	""	""	""	"5000"	"10000"	"10000"	"30001420"	""	
"300150002"	"天如月自身buff"	""	""	""	""	"8000"	"10000"	"10000"	"30001430"	""	
"300160000"	"刘子业四周多次吸血"	""	""	""	""	"2000"	"10000"	"10000"	"30001510"	""	
"300160001"	"刘子业正前方多次攻击"	""	""	""	""	"5000"	"10000"	"10000"	"30001530"	""	
"300160002"	"刘子业四周群攻减速"	""	""	""	""	"8000"	"10000"	"10000"	"30001520"	""	
"300170000"	"王意之可破碎护罩"	""	""	""	""	"2000"	"10000"	"10000"	"30001610"	""	
"300170001"	"王意之前方多次攻击"	""	""	""	""	"5000"	"10000"	"10000"	"30001620"	""	
"300170002"	"王意之四周群体减速"	""	""	""	""	"8000"	"10000"	"10000"	"30001630"	""	
"300180000"	"冯婷持续周围单伤"	""	""	""	""	"2000"	"10000"	"10000"	"30001710"	""	
"300180001"	"冯婷将敌人拉近并减速"	""	""	""	""	"5000"	"10000"	"10000"	"30001720"	""	
"300190000"	"萧别沧海龙吟"	""	""	""	""	"2000"	"10000"	"10000"	"30001820"	""	
"300190001"	"萧别华胥引"	""	""	""	""	"5000"	"10000"	"10000"	"30001830"	""	
"300200000"	"沈庆之逐月式"	""	""	""	""	"2000"	"10000"	"10000"	"30001920"	""	
"300200001"	"沈庆之六绝笑尘"	""	""	""	""	"5000"	"10000"	"10000"	"30001930"	""	
"300210000"	"阿蛮灭水空焰"	""	""	""	""	"2000"	"10000"	"10000"	"30002010"	""	
"300210001"	"阿蛮断土狂雷"	""	""	""	""	"5000"	"10000"	"10000"	"30002020"	""	
"300220000"	"苏小小湖山埋玉"	""	""	""	""	"2000"	"10000"	"10000"	"30002110"	""	
"300220001"	"苏小小西陵松柏"	""	""	""	""	"5000"	"10000"	"10000"	"30002130"	""	
"300230000"	"王道怜大音希声"	""	""	""	""	"2000"	"10000"	"10000"	"30002220"	""	
"300230001"	"王道怜动合无形"	""	""	""	""	"5000"	"10000"	"10000"	"30002230"	""	
"300240000"	"花木兰守神"	""	""	""	""	"2000"	"10000"	"10000"	"30002310"	""	
"300240001"	"花木兰追魂"	""	""	""	""	"5000"	"10000"	"10000"	"30002320"	""	
"350000110"	"妩媚女子举伞四周aoe"	""	""	""	""	"2000"	"10000"	"10000"	"35000020"	""	
"350000111"	"妩媚女子转伞四周aoe"	""	""	""	""	"5000"	"10000"	"10000"	"35000030"	""	
"350001010"	"山贼首领3连劈"	""	""	""	""	"2000"	"10000"	"10000"	"35000110"	""	
"350001011"	"山贼首领旋风斩位移"	""	""	""	""	"5000"	"20000"	"10000"	"35000120"	""	
"350002010"	"劫匪首领怒吼+四周减速"	""	""	""	""	"2000"	"20000"	"10000"	"35000210"	""	
"350002011"	"劫匪首领冲刺"	""	""	""	""	"5000"	"20000"	"10000"	"35000220"	""	
"350002012"	"劫匪首领怒吼+自己buff"	""	""	""	""	"5000"	"30000"	"10000"	"35000230"	""	
"350003010"	"虎王跳砸"	""	""	""	""	"2000"	"10000"	"10000"	"35000310"	""	
"350003011"	"虎王怒吼大范围带伤害"	""	""	""	""	"2000"	"30000"	"10000"	"35000320"	""	
"350003012"	"虎王怒吼大范围目标减速"	""	""	""	""	"2000"	"20000"	"10000"	"35000330"	""	
"350003013"	"虎王怒吼喷吐火焰"	""	""	""	""	"2000"	"15000"	"10000"	"35000360"	""	
"350003020"	"虎王跳砸"	""	""	""	""	"2000"	"10000"	"10000"	"35000310"	""	
"350003021"	"虎王怒吼小范围带伤害"	""	""	""	""	"2000"	"30000"	"10000"	"35000340"	""	
"350003022"	"虎王怒吼小范围目标减速"	""	""	""	""	"2000"	"20000"	"10000"	"35000350"	""	
"350003023"	"虎王怒吼喷吐火焰"	""	""	""	""	"2000"	"15000"	"10000"	"35000370"	""	
"350004010"	"饕餮前方吸血"	""	""	""	""	"5000"	"30000"	"10000"	"35000410"	""	
"350004011"	"饕餮嘴炮"	""	""	""	""	"5000"	"10000"	"10000"	"35000420"	""	
"350005010"	"野蛮领主劈砍召唤流星雨4个"	"66,100"	""	""	""	"5000"	"15000"	"10000"	"35000510"	""	
"350005011"	"野蛮领主劈砍召唤流星雨8个"	"34,66"	""	""	""	"5000"	"15000"	"10000"	"35000511"	""	
"350005012"	"野蛮领主劈砍召唤流星雨12个"	"0,34"	""	""	""	"5000"	"15000"	"10000"	"35000512"	""	
"350005013"	"野蛮领主旋转"	""	""	""	""	"5000"	"15000"	"10000"	"35000520"	""	
"350005014"	"野蛮领主4次插地大"	""	""	""	""	"5000"	"20000"	"10000"	"35000530"	""	
"350005015"	"野蛮领主4次插地小"	""	""	""	""	"5000"	"20000"	"10000"	"35000540"	""	
"350006010"	"魔道士召唤雷电劈地"	""	""	""	""	"5000"	"10000"	"10000"	"35000610"	""	
"350006011"	"魔道士激光炮"	""	""	""	""	"5000"	"20000"	"10000"	"35000620"	""	
"350006012"	"魔道士罩子+乱射4次+最后爆炸"	""	""	""	""	"5000"	"30000"	"10000"	"35000630"	""	
"350007010"	"蛇女召唤地刺"	""	""	""	""	"5000"	"10000"	"10000"	"35000710"	""	
"350007011"	"蛇女群蛇发射"	""	""	""	""	"5000"	"20000"	"10000"	"35000720"	""	
"350007012"	"蛇女召唤毒液液滴"	""	""	""	""	"5000"	"30000"	"10000"	"35000730"	""	
"350008010"	"柳沉云X斩远程"	""	""	""	""	"5000"	"10000"	"10000"	"35000810"	""	
"350008011"	"柳沉云乱舞远程"	""	""	""	""	"5000"	"30000"	"10000"	"35000820"	""	
"350009000"	"冰火魔跳起双剑插地火"	""	""	""	""	"5000"	"10000"	"6000"	"35000910"	""	
"350009001"	"冰火魔跳起双剑插地冰"	""	""	""	""	"5000"	"10000"	"6000"	"35000920"	""	
"350009002"	"冰火魔X斩远程火"	""	""	""	""	"5000"	"15000"	"6000"	"35000930"	""	
"350009003"	"冰火魔X斩远程冰"	""	""	""	""	"5000"	"15000"	"6000"	"35000940"	""	
"350009004"	"冰火魔旋风斩火"	""	""	""	""	"5000"	"20000"	"6000"	"35000950"	""	
"350009005"	"冰火魔旋风斩冰"	""	""	""	""	"5000"	"20000"	"6000"	"35000960"	""	
"350010000"	"行刑官旋风斩"	""	""	""	""	"5000"	"10000"	"10000"	"35001010"	""	
"350010001"	"行刑官砸地"	""	""	""	""	"5000"	"15000"	"10000"	"35001020"	""	
"350010002"	"行刑官乱舞"	""	""	""	""	"5000"	"20000"	"10000"	"35001030"	""	
"350011000"	"三头犬三方向喷火"	""	""	""	""	"5000"	"10000"	"10000"	"35001110"	""	
"350011001"	"三头犬吼叫减速"	""	""	""	""	"5000"	"20000"	"10000"	"35001120"	""	
"350011002"	"三头犬吼叫自身攻击力提高"	""	""	""	""	"5000"	"30000"	"10000"	"35001130"	""	
"350011003"	"三头犬吼叫护甲降低"	""	""	""	""	"5000"	"20000"	"10000"	"35001140"	""	
"350012000"	"军师激光炮"	""	""	""	""	"5000"	"10000"	"10000"	"35001210"	""	
"350012001"	"军师方阵杀气"	""	""	""	""	"5000"	"40000"	"10000"	"35001220"	""	
"350012002"	"军师轰雷"	""	""	""	""	"5000"	"20000"	"10000"	"35001230"	""	
"350012100"	"军师激光炮"	""	""	""	""	"2000"	"3000"	"10000"	"35001210"	""	
"350012101"	"军师方阵杀气"	""	""	""	""	"2000"	"6000"	"10000"	"35001220"	""	
"350012102"	"军师轰雷"	""	""	""	""	"0"	"20000"	"10000"	"35001230"	""	
"350013000"	"骑马头领旋风斩一圈"	""	""	""	""	"5000"	"10000"	"10000"	"35001310"	""	
"350013001"	"骑马头领乱舞"	""	""	""	""	"5000"	"20000"	"10000"	"35001320"	""	
"350014000"	"冰雪女王冰柱"	""	""	""	""	"5000"	"10000"	"10000"	"35001410"	""	
"350014001"	"冰雪女王乱射远程"	""	""	""	""	"5000"	"15000"	"10000"	"35001420"	""	
"350014002"	"冰雪女王追踪箭远程"	""	""	""	""	"5000"	"20000"	"10000"	"35001430"	""	
"350015000"	"将军自我buff：攻击力速度提高"	""	""	""	""	"5000"	"15000"	"10000"	"35001510"	""	
"350015001"	"将军万马奔腾远程"	""	""	""	""	"5000"	"30000"	"10000"	"35001520"	""	
"350015100"	"将军自我buff：攻击力速度提高"	""	""	""	""	"0"	"5000"	"10000"	"35001510"	""	
"350015101"	"将军万马奔腾远程"	""	""	""	""	"0"	"1000"	"10000"	"35001520"	""	
"350016000"	"火炮魔王横扫"	""	""	""	""	"5000"	"10000"	"10000"	"35001620"	""	
"350016001"	"火炮魔王召唤炮弹砸地6个"	"66,100"	""	""	""	"5000"	"20000"	"10000"	"35001630"	""	
"350016002"	"火炮魔王召唤炮弹砸地10个"	"34,66"	""	""	""	"5000"	"20000"	"10000"	"35001632"	""	
"350016003"	"火炮魔王召唤炮弹砸地14个"	"0,34"	""	""	""	"5000"	"20000"	"10000"	"35001633"	""	
"350016004"	"火炮魔王火焰柱扫射8米"	""	""	""	""	"5000"	"15000"	"10000"	"35001610"	""	
"350016005"	"火炮魔王火焰柱扫射15米"	""	""	""	""	"5000"	"15000"	"10000"	"35001640"	""	
"350017000"	"鸟人冲锋位移"	""	""	""	""	"5000"	"10000"	"10000"	"35001710"	""	
"350017001"	"鸟人目标点aoe大"	""	""	""	""	"5000"	"20000"	"10000"	"35001720"	""	
"350017002"	"鸟人目标点aoe小"	""	""	""	""	"5000"	"20000"	"10000"	"35001721"	""	
"350017003"	"鸟人乱舞"	""	""	""	""	"5000"	"30000"	"10000"	"35001730"	""	
"350018000"	"女刺客冲锋位移"	""	""	""	""	"5000"	"10000"	"10000"	"35001810"	""	
"350018001"	"女刺客目标变羊"	""	""	""	""	"5000"	"30000"	"10000"	"35001820"	""	
"350019000"	"黑龙堡主砸地直线攻击"	""	""	""	""	"5000"	"10000"	"10000"	"35001910"	""	
"350019001"	"黑龙堡主旋风斩位移"	""	""	""	""	"5000"	"15000"	"10000"	"35001920"	""	
"350019002"	"黑龙堡主乱舞"	""	""	""	""	"5000"	"20000"	"10000"	"35001930"	""	
"350019100"	"黑龙堡主砸地直线攻击"	""	""	""	""	"5000"	"10000"	"10000"	"35001910"	""	
"350019101"	"黑龙堡主旋风斩位移"	""	""	""	""	"2000"	"4000"	"10000"	"35001920"	""	
"350019102"	"黑龙堡主乱舞"	""	""	""	""	"2000"	"5000"	"10000"	"35001930"	""	
"350020000"	"古琴女反伤罩子"	""	""	""	""	"5000"	"20000"	"10000"	"35002010"	""	
"350020001"	"古琴女全屏击退"	""	""	""	""	"5000"	"15000"	"10000"	"35002020"	""	
"350020002"	"古琴女乱舞"	""	""	""	""	"5000"	"30000"	"10000"	"35002030"	""	
"350021000"	"神官女闪避罩子"	""	""	""	""	"5000"	"30000"	"10000"	"35003010"	""	
"350021001"	"神官女扇形子弹"	""	""	""	""	"5000"	"20000"	"10000"	"35003020"	""	
"350021002"	"神官女召唤莲花"	""	""	""	""	"5000"	"30000"	"10000"	"35003030"	""	
"400001000"	"野猪冲锋"	""	""	""	""	"0"	"10000"	"10000"	"40000020"	""	
"400002000"	"野狼原地飞扑"	""	""	""	""	"2000"	"10000"	"10000"	"40000110"	""	
"400003000"	"飞贼扇形扔飞刀远程"	""	""	""	""	"2000"	"10000"	"10000"	"40000210"	""	
"400003001"	"飞贼扇形扔飞刀近战"	""	""	""	""	"2000"	"10000"	"10000"	"40000230"	""	
"400004000"	"云锦弟子吹牛逼笛子"	""	""	""	""	"2000"	"10000"	"10000"	"40000310"	""	
"400005000"	"恒远旧部蓄力纵劈"	""	""	""	""	"2000"	"10000"	"10000"	"40000410"	""	
"400006000"	"邪道士猛甩远程"	""	""	""	""	"2000"	"10000"	"10000"	"40000510"	""	
"400006001"	"邪道士猛甩远程无特效"	""	""	""	""	"2000"	"10000"	"10000"	"40000530"	""	
"400006002"	"邪道士猛甩近战无特效"	""	""	""	""	"2000"	"10000"	"10000"	"40000550"	""	
"400007000"	"僧人纵劈"	""	""	""	""	"2000"	"10000"	"10000"	"40000610"	""	
"400008000"	"北魏士兵三连桶"	""	""	""	""	"2000"	"10000"	"10000"	"40000710"	""	
"400009000"	"北魏刀剑兵三连斩"	""	""	""	""	"2000"	"10000"	"10000"	"40000810"	""	
"400010000"	"老虎扑击"	""	""	""	""	"2000"	"10000"	"10000"	"40000910"	""	
"400011000"	"山贼纵劈"	""	""	""	""	"2000"	"10000"	"10000"	"40001010"	""	
"400012000"	"羽林卫回旋斩"	""	""	""	""	"2000"	"10000"	"10000"	"40001110"	""	
"400015000"	"士兵普攻2"	""	""	""	""	"2000"	"10000"	"10000"	"40001410"	""	
"400016000"	"精英头领上撩斩"	""	""	""	""	"2000"	"10000"	"10000"	"40001510"	""	
"400017000"	"宦官推掌远程"	""	""	""	""	"2000"	"10000"	"10000"	"40001610"	""	
"400018000"	"雪狐甩尾巴"	""	""	""	""	"2000"	"10000"	"10000"	"40001710"	""	
"400020000"	"天机阁帮众直刺"	""	""	""	""	"2000"	"10000"	"10000"	"40001910"	""	
"400021000"	"太监推掌远程"	""	""	""	""	"2000"	"10000"	"10000"	"40002010"	""	
"400022000"	"北魏骑兵三连刺"	""	""	""	""	"2000"	"10000"	"10000"	"40002110"	""	
"400024000"	"天机卫挥击"	""	""	""	""	"2000"	"10000"	"10000"	"40002310"	""	
