"id"	"道具特殊标签(填写的是资源图标图集pic_shop_png，名字pic_re是热卖，time是限时，zhekou是折扣)"	"道具特殊表现2（仅打折特效生效时间才会取）"	"商品折扣(填0-100,0和100均表示无折扣)"	"商品手填价格(优先级高于商品折扣)"	"上架时间(不填不上架)(如2016-04-0118:00:00)"	"下架时间(不填不下架)(如2014-04-0118:30:00)"	"折扣或特价生效时间(不填不打折)(如2014-04-0118:00:00)"	"折扣或特价失效时间(不填不取消打折)(如2014-04-0118:30:00)"	"是否显示在每日特惠1为每日限购2为尊爵限购3为精品特惠"	"全服限量"	"单人限量"	"单人每日限量"	"单次购买数量上限"	"购买尊爵限制"	""	""	""	""	
"1703"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1704"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1705"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	"1"	""	"1"	"0"	""	""	""	""	
"1401"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1402"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1403"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1404"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1405"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1406"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1407"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1408"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1409"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1410"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1411"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1412"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1413"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1414"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1415"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1416"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1417"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1418"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1419"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1420"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1421"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1422"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1423"	"pic_shop_png,pic_re"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"9999"	"0"	""	""	""	""	
"1424"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1425"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1426"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1427"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1428"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1429"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1430"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1431"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1432"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1433"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1434"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1435"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1436"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"99"	"0"	""	""	""	""	
"1437"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	"50"	"50"	"0"	""	""	""	""	
"1438"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1439"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"20"	"0"	""	""	""	""	
"1440"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"20"	"0"	""	""	""	""	
"1441"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"20"	"0"	""	""	""	""	
"1442"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	"10"	"10"	"0"	""	""	""	""	
"1443"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	"10"	"10"	"0"	""	""	""	""	
"1444"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	"5"	"5"	"0"	""	""	""	""	
"1445"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1446"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1447"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1448"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1449"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1450"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1451"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1452"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1501"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1502"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1503"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1504"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1505"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1506"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1507"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1508"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1509"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1201"	"icon_item_png,baoshi_700101"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1202"	"icon_item_png,baoshi_700102"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1203"	"icon_item_png,baoshi_700103"	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1204"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1205"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1206"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1207"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1208"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1209"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1210"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1211"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1212"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1213"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1214"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1215"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1216"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1217"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1218"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1219"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1220"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1221"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1222"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1223"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
"1224"	""	""	""	""	"2016-04-01-00:00:00"	""	""	""	""	""	""	""	"999"	"0"	""	""	""	""	
