"新手指引ID"	"自动关闭等级(玩家达到多少级后，登录时该指引会自动关闭)"	"触发条件"	"触发条件参数"	"触发后激活条件"	"激活条件的关系"	"前置指引ID"	"后置指引ID（打开）"	"激活时关闭其他ID（填数组)"	"打开自动完成（一般只用来关闭别人）"	"groupname"	"指引名称（策划专用）"	"utfname(程序用,不填)"	"指引倒计时"	""	
"22"	"300"	"24"	"1523"	""	""	""	""	""	"0"	"shediao_qirijiangli.helpergroup.txt"	"七日奖励"	""	"5"	""	
"23"	"300"	"24"	"1524"	""	""	""	""	""	"0"	"shediao_zuoqiben.helpergroup.txt"	"坐骑挑战"	""	"5"	""	
"24"	"300"	"24"	"1525"	""	""	""	""	""	"0"	"shediao_anheileitai.helpergroup.txt"	"挑战首领"	""	"5"	""	
"25"	"300"	"24"	"1526"	""	""	""	""	""	"0"	"shediao_3v3.helpergroup.txt"	"3v3"	""	"5"	""	
"26"	"300"	"24"	"1527"	""	""	""	""	""	"0"	"shediao_danjingmai.helpergroup.txt"	"第二次自动冲穴"	""	"5"	""	
"27"	"300"	"24"	"1528"	""	""	""	""	""	"0"	"shediao_zhuangbeishengxing2.helpergroup.txt"	"第二次升星指引"	""	"3"	""	
"28"	"300"	"24"	"1529"	""	""	""	""	""	"0"	"shediao_zbsx.helpergroup.txt"	"四星装备指引"	""	"5"	""	
"29"	"300"	"24"	"1530"	""	""	""	""	""	"0"	"shediao_tilian.helpergroup.txt"	"装备提炼"	""	"5"	""	
"30"	"300"	"24"	"1533"	""	""	""	""	""	"0"	"fqh_shicongxinfa.helpergroup.txt"	"侍从心法"	""	"5"	""	
"31"	"300"	"24"	"1531"	""	""	""	""	""	"0"	"shediao_tilian.helpergroup.txt"	"第二次装备提炼"	""	"5"	""	
"32"	"300"	"24"	"1507"	""	""	""	""	""	"0"	"fqh_zhuangbeixilian.helpergroup.txt"	"装备洗练"	""	"5"	""	
"33"	"300"	"24"	"1519"	""	""	""	""	""	"0"	"fqh_fabao.helpergroup.txt"	"法宝强化"	""	"5"	""	
"34"	"300"	"24"	"1532"	""	""	""	""	""	"0"	"fqh_fabaochongneng.helpergroup.txt"	"法宝充能"	""	"5"	""	
"35"	"300"	"24"	"1534"	""	""	""	""	""	"0"	"fqh_fabaojihuo.helpergroup.txt"	"法宝激活"	""	"5"	""	
"36"	"300"	"24"	"1535"	""	""	""	""	""	"0"	"fqh_jingmairenwu.helpergroup.txt"	"经脉任务"	""	"5"	""	
"37"	"300"	"24"	"1536"	""	""	""	""	""	"0"	"fqh_chongwu.helpergroup.txt"	"宠物系统"	""	"5"	""	
"38"	"300"	"24"	"1541"	""	""	""	""	""	"0"	"fqh_shicong1.helpergroup.txt"	"王宪嫄指引"	""	"5"	""	
"39"	"300"	"24"	"1542"	""	""	""	""	""	"0"	"shediao_zuoqitupo.helpergroup.txt"	"坐骑突破"	""	"5"	""	
"40"	"300"	"24"	"1550"	""	""	""	""	""	"0"	"fqh_shicongbeizhan.helpergroup.txt"	"侍从备战"	""	"5"	""	
"41"	"300"	"24"	"1550"	""	""	""	""	""	"0"	"fqh_shicongchuzhan.helpergroup.txt"	"侍从出战"	""	"5"	""	
"42"	"300"	"24"	"1545"	""	""	""	""	""	"0"	"fqh_jiayuan.helpergroup.txt"	"家园系统"	""	"5"	""	
"43"	"300"	"24"	"1546"	""	""	""	""	""	"0"	"fqh_jineng1.helpergroup.txt"	"技能系统第二次"	""	"5"	""	
"44"	"300"	"24"	"1547"	""	""	""	""	""	"0"	"shediao_zuoqitupo.helpergroup.txt"	"坐骑突破第二次"	""	"5"	""	
"45"	"300"	"24"	"1548"	""	""	""	""	""	"0"	"fqh_shicongjineng.helpergroup.txt"	"侍从技能"	""	"5"	""	
"46"	"300"	"24"	"1549"	""	""	""	""	""	"0"	"fqh_fabaojineng.helpergroup.txt"	"法宝技能"	""	"5"	""	
"47"	"300"	"24"	"1551"	""	""	""	""	""	"0"	"fqh_guaitujian.helpergroup.txt"	"怪物图鉴"	""	"5"	""	
"48"	"300"	"24"	"1552"	""	""	""	""	""	"0"	"shediao_zhixiankaiqi1.helpergroup.txt"	"支线任务1"	""	"5"	""	
"49"	"300"	"24"	"1553"	""	""	""	""	""	"0"	"shediao_zhixiankaiqi2.helpergroup.txt"	"支线任务2"	""	"5"	""	
"50"	"300"	"24"	"1554"	""	""	""	""	""	"0"	"shediao_zhixiankaiqi3.helpergroup.txt"	"支线任务3"	""	"5"	""	
"51"	"300"	"24"	"1555"	""	""	""	""	""	"0"	"shediao_zuoqiben.helpergroup.txt"	"坐骑挑战"	""	"5"	""	
"52"	"300"	"24"	"1556"	""	""	""	""	""	"0"	"shediao_zhanshen.helpergroup.txt"	"战神"	""	"5"	""	
"53"	"300"	"24"	"1557"	""	""	""	""	""	"0"	"fqh_danyao.helpergroup.txt"	"丹药"	""	"5"	""	
"54"	"300"	"24"	"1558"	""	""	""	""	""	"0"	"shediao_bossjizhan.helpergroup.txt"	"野外激战"	""	"5"	""	
"55"	"300"	"24"	"1559"	""	""	""	""	""	"0"	"fqh_haoyou.helpergroup.txt"	"好友推荐"	""	"5"	""	
"56"	"300"	"24"	"1560"	""	""	""	""	""	"0"	"fqh_zhixian2.helpergroup.txt"	"支线任务4"	""	"5"	""	
