"id"	"类型0=修改MagicType表1=修改EffectCommon表2=修改EffectCollison表3=修改EffectMotion表4=修改EffectFlexible表5=修改Aura表6=修改AuraEffect表"	"要修改的字段"	"字段hash(不填,程序用)"	"技能id"	"操作0=增加1=减少2=替换"	"操作值(对整数类型的字段操作,会自动转换为整数)"	""	""	""	""	""	""	""	""	
"103000"	"1"	"hitBuff3"	""	"1030"	"2"	"112.000000"	""	""	""	""	""	""	""	""	
"103001"	"1"	"hitBuffChance3"	""	"1030"	"2"	"1.000000"	""	""	""	""	""	""	""	""	
"103100"	"1"	"objectNum"	""	"1030"	"2"	"10.000000"	""	""	""	""	""	""	""	""	
"104000"	"5"	"auraTarget"	""	"1040"	"2"	"5.000000"	""	""	""	""	""	""	""	""	
"104001"	"5"	"auraRadius"	""	"1040"	"2"	"10.000000"	""	""	""	""	""	""	""	""	
"104100"	"5"	"groupID"	""	"1040"	"2"	"2.000000"	""	""	""	""	""	""	""	""	
"105000"	"1"	"objectNum"	""	"1050"	"0"	"1.000000"	""	""	""	""	""	""	""	""	
"105001"	"1"	"objectNum"	""	"1051"	"0"	"1.000000"	""	""	""	""	""	""	""	""	
"105010"	"1"	"objectNum"	""	"1050"	"0"	"2.000000"	""	""	""	""	""	""	""	""	
"105011"	"1"	"objectNum"	""	"1051"	"0"	"2.000000"	""	""	""	""	""	""	""	""	
"105020"	"1"	"objectNum"	""	"1050"	"0"	"3.000000"	""	""	""	""	""	""	""	""	
"105021"	"1"	"objectNum"	""	"1051"	"0"	"3.000000"	""	""	""	""	""	""	""	""	
"105030"	"1"	"objectNum"	""	"1050"	"0"	"4.000000"	""	""	""	""	""	""	""	""	
"105031"	"1"	"objectNum"	""	"1051"	"0"	"4.000000"	""	""	""	""	""	""	""	""	
"105040"	"1"	"objectNum"	""	"1050"	"0"	"5.000000"	""	""	""	""	""	""	""	""	
"105041"	"1"	"objectNum"	""	"1051"	"0"	"5.000000"	""	""	""	""	""	""	""	""	
"105100"	"0"	"add_mp_hit_first"	""	"1050"	"0"	"10.000000"	""	""	""	""	""	""	""	""	
"105101"	"0"	"add_mp_hit_other"	""	"1051"	"0"	"10.000000"	""	""	""	""	""	""	""	""	
"105110"	"0"	"add_mp_hit_other"	""	"1050"	"0"	"10.000000"	""	""	""	""	""	""	""	""	
"105111"	"0"	"add_mp_hit_other"	""	"1051"	"0"	"10.000000"	""	""	""	""	""	""	""	""	
"105120"	"0"	"add_mp_hit_other"	""	"1050"	"0"	"15.000000"	""	""	""	""	""	""	""	""	
"105121"	"0"	"add_mp_hit_other"	""	"1051"	"0"	"15.000000"	""	""	""	""	""	""	""	""	
"105130"	"0"	"add_mp_hit_other"	""	"1050"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"105131"	"0"	"add_mp_hit_other"	""	"1051"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"105140"	"0"	"add_mp_hit_other"	""	"1050"	"0"	"25.000000"	""	""	""	""	""	""	""	""	
"105141"	"0"	"add_mp_hit_other"	""	"1051"	"0"	"25.000000"	""	""	""	""	""	""	""	""	
"106000"	"1"	"hurtValuePhys"	""	"1061"	"0"	"50.000000"	""	""	""	""	""	""	""	""	
"106010"	"1"	"hurtValuePhys"	""	"1061"	"0"	"80.000000"	""	""	""	""	""	""	""	""	
"106020"	"1"	"hurtValuePhys"	""	"1061"	"0"	"110.000000"	""	""	""	""	""	""	""	""	
"106030"	"1"	"hurtValuePhys"	""	"1061"	"0"	"150.000000"	""	""	""	""	""	""	""	""	
"106040"	"1"	"hurtValuePhys"	""	"1061"	"0"	"180.000000"	""	""	""	""	""	""	""	""	
"107000"	"1"	"hurtPercentagePhys"	""	"1070"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"107001"	"1"	"hurtPercentagePhys"	""	"1071"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"107002"	"1"	"hurtPercentagePhys"	""	"1072"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"107100"	"1"	"beatBackProbablity"	""	"1070"	"2"	"1.000000"	""	""	""	""	""	""	""	""	
"107101"	"1"	"beatBackProbablity"	""	"1071"	"2"	"1.000000"	""	""	""	""	""	""	""	""	
"107102"	"1"	"beatBackDistMin"	""	"1070"	"2"	"5.000000"	""	""	""	""	""	""	""	""	
"107103"	"1"	"beatBackDistMax"	""	"1070"	"2"	"10.000000"	""	""	""	""	""	""	""	""	
"107104"	"1"	"beatBackDistMin"	""	"1071"	"2"	"5.000000"	""	""	""	""	""	""	""	""	
"107105"	"1"	"beatBackDistMax"	""	"1071"	"2"	"10.000000"	""	""	""	""	""	""	""	""	
"107200"	"1"	"hurtValuePhys"	""	"1072"	"0"	"100.000000"	""	""	""	""	""	""	""	""	
"107210"	"1"	"hurtValuePhys"	""	"1072"	"0"	"200.000000"	""	""	""	""	""	""	""	""	
"107220"	"1"	"hurtValuePhys"	""	"1072"	"0"	"300.000000"	""	""	""	""	""	""	""	""	
"107230"	"1"	"hurtValuePhys"	""	"1072"	"0"	"400.000000"	""	""	""	""	""	""	""	""	
"107240"	"1"	"hurtValuePhys"	""	"1072"	"0"	"500.000000"	""	""	""	""	""	""	""	""	
"107300"	"0"	"CDTime"	""	"1070"	"1"	"500.000000"	""	""	""	""	""	""	""	""	
"107310"	"0"	"CDTime"	""	"1070"	"1"	"1000.000000"	""	""	""	""	""	""	""	""	
"107320"	"0"	"CDTime"	""	"1070"	"1"	"1500.000000"	""	""	""	""	""	""	""	""	
"107330"	"0"	"CDTime"	""	"1070"	"1"	"2000.000000"	""	""	""	""	""	""	""	""	
"107340"	"0"	"CDTime"	""	"1070"	"1"	"2500.000000"	""	""	""	""	""	""	""	""	
"108000"	"1"	"hitBuff3"	""	"1081"	"2"	"113.000000"	""	""	""	""	""	""	""	""	
"108100"	"0"	"add_mp_use_magic"	""	"1081"	"0"	"40.000000"	""	""	""	""	""	""	""	""	
"108110"	"0"	"add_mp_use_magic"	""	"1081"	"0"	"80.000000"	""	""	""	""	""	""	""	""	
"108120"	"0"	"add_mp_use_magic"	""	"1081"	"0"	"120.000000"	""	""	""	""	""	""	""	""	
"108130"	"0"	"add_mp_use_magic"	""	"1081"	"0"	"160.000000"	""	""	""	""	""	""	""	""	
"108140"	"0"	"add_mp_use_magic"	""	"1081"	"0"	"200.000000"	""	""	""	""	""	""	""	""	
"109000"	"0"	"additionEffectParam4"	""	"1090"	"0"	"0.020000"	""	""	""	""	""	""	""	""	
"109010"	"0"	"additionEffectParam4"	""	"1090"	"0"	"0.040000"	""	""	""	""	""	""	""	""	
"109020"	"0"	"additionEffectParam4"	""	"1090"	"0"	"0.060000"	""	""	""	""	""	""	""	""	
"109030"	"0"	"additionEffectParam4"	""	"1090"	"0"	"0.080000"	""	""	""	""	""	""	""	""	
"109040"	"0"	"additionEffectParam4"	""	"1090"	"0"	"0.100000"	""	""	""	""	""	""	""	""	
"109100"	"1"	"beatBackProbablity"	""	"1090"	"0"	"0.300000"	""	""	""	""	""	""	""	""	
"109101"	"1"	"beatBackDistMin"	""	"1090"	"2"	"2.000000"	""	""	""	""	""	""	""	""	
"109102"	"1"	"beatBackDistMax"	""	"1090"	"2"	"4.000000"	""	""	""	""	""	""	""	""	
"109200"	"1"	"hurtValuePhys"	""	"1090"	"0"	"50.000000"	""	""	""	""	""	""	""	""	
"109210"	"1"	"hurtValuePhys"	""	"1090"	"0"	"80.000000"	""	""	""	""	""	""	""	""	
"109220"	"1"	"hurtValuePhys"	""	"1090"	"0"	"110.000000"	""	""	""	""	""	""	""	""	
"109230"	"1"	"hurtValuePhys"	""	"1090"	"0"	"150.000000"	""	""	""	""	""	""	""	""	
"109240"	"1"	"hurtValuePhys"	""	"1090"	"0"	"180.000000"	""	""	""	""	""	""	""	""	
"110000"	"1"	"hurtPercentagePhys"	""	"1101"	"0"	"30.000000"	""	""	""	""	""	""	""	""	
"110001"	"1"	"hurtPercentagePhys"	""	"1102"	"0"	"30.000000"	""	""	""	""	""	""	""	""	
"110002"	"1"	"hurtPercentagePhys"	""	"1103"	"0"	"30.000000"	""	""	""	""	""	""	""	""	
"110100"	"0"	"effectType5"	""	"1100"	"2"	"3.000000"	""	""	""	""	""	""	""	""	
"110101"	"0"	"effectID5"	""	"1100"	"2"	"1100.000000"	""	""	""	""	""	""	""	""	
"111000"	"5"	"auraTime"	""	"1110"	"0"	"5000.000000"	""	""	""	""	""	""	""	""	
"111100"	"0"	"effectType2"	""	"1110"	"2"	"0.000000"	""	""	""	""	""	""	""	""	
"111101"	"0"	"effectID2"	""	"1110"	"2"	"1110.000000"	""	""	""	""	""	""	""	""	
"112000"	"1"	"hurtPercentagePhys"	""	"1120"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"112100"	"0"	"effectType2"	""	"1120"	"2"	"3.000000"	""	""	""	""	""	""	""	""	
"112101"	"0"	"effectID2"	""	"1120"	"2"	"1120.000000"	""	""	""	""	""	""	""	""	
"112200"	"1"	"hurtValuePhys"	""	"1120"	"0"	"60.000000"	""	""	""	""	""	""	""	""	
"112210"	"1"	"hurtValuePhys"	""	"1120"	"0"	"100.000000"	""	""	""	""	""	""	""	""	
"112220"	"1"	"hurtValuePhys"	""	"1120"	"0"	"140.000000"	""	""	""	""	""	""	""	""	
"112230"	"1"	"hurtValuePhys"	""	"1120"	"0"	"180.000000"	""	""	""	""	""	""	""	""	
"112240"	"1"	"hurtValuePhys"	""	"1120"	"0"	"220.000000"	""	""	""	""	""	""	""	""	
"113000"	"6"	"trigger_id"	""	"1130"	"2"	"113000.000000"	""	""	""	""	""	""	""	""	
"113100"	"6"	"trigger_id"	""	"1133"	"2"	"113100.000000"	""	""	""	""	""	""	""	""	
"114000"	"6"	"cycleTime"	""	"1141"	"2"	"120.000000"	""	""	""	""	""	""	""	""	
"114100"	"0"	"additionEffectParam4"	""	"1142"	"0"	"0.200000"	""	""	""	""	""	""	""	""	
"200000"	"5"	"effectID3"	""	"2000"	"2"	"2001.000000"	""	""	""	""	""	""	""	""	
"200100"	"5"	"auraTime"	""	"2000"	"0"	"2000.000000"	""	""	""	""	""	""	""	""	
"200200"	"1"	"hurtValuePhys"	""	"2001"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"200210"	"1"	"hurtValuePhys"	""	"2001"	"0"	"35.000000"	""	""	""	""	""	""	""	""	
"200220"	"1"	"hurtValuePhys"	""	"2001"	"0"	"50.000000"	""	""	""	""	""	""	""	""	
"200230"	"1"	"hurtValuePhys"	""	"2001"	"0"	"65.000000"	""	""	""	""	""	""	""	""	
"200240"	"1"	"hurtValuePhys"	""	"2001"	"0"	"80.000000"	""	""	""	""	""	""	""	""	
"200300"	"0"	"add_mp_hit_other"	""	"2001"	"0"	"8.000000"	""	""	""	""	""	""	""	""	
"200310"	"0"	"add_mp_hit_other"	""	"2001"	"0"	"16.000000"	""	""	""	""	""	""	""	""	
"200320"	"0"	"add_mp_hit_other"	""	"2001"	"0"	"24.000000"	""	""	""	""	""	""	""	""	
"200330"	"0"	"add_mp_hit_other"	""	"2001"	"0"	"32.000000"	""	""	""	""	""	""	""	""	
"200340"	"0"	"add_mp_hit_other"	""	"2001"	"0"	"40.000000"	""	""	""	""	""	""	""	""	
"201000"	"1"	"hitBuff2"	""	"2011"	"2"	"2011.000000"	""	""	""	""	""	""	""	""	
"201001"	"1"	"hitBuffChance2"	""	"2011"	"2"	"1.000000"	""	""	""	""	""	""	""	""	
"201100"	"1"	"hurtPercentagePhys"	""	"2011"	"0"	"10.000000"	""	""	""	""	""	""	""	""	
"201200"	"1"	"hurtValuePhys"	""	"2011"	"0"	"50.000000"	""	""	""	""	""	""	""	""	
"201210"	"1"	"hurtValuePhys"	""	"2011"	"0"	"90.000000"	""	""	""	""	""	""	""	""	
"201220"	"1"	"hurtValuePhys"	""	"2011"	"0"	"120.000000"	""	""	""	""	""	""	""	""	
"201230"	"1"	"hurtValuePhys"	""	"2011"	"0"	"150.000000"	""	""	""	""	""	""	""	""	
"201240"	"1"	"hurtValuePhys"	""	"2011"	"0"	"180.000000"	""	""	""	""	""	""	""	""	
"202000"	"5"	"effectID5"	""	"2021"	"2"	"2023.000000"	""	""	""	""	""	""	""	""	
"202100"	"5"	"effectID6"	""	"2021"	"2"	"2024.000000"	""	""	""	""	""	""	""	""	
"203000"	"2"	"generateNum"	""	"2030"	"2"	"7.000000"	""	""	""	""	""	""	""	""	
"203100"	"2"	"speed"	""	"2030"	"0"	"10.000000"	""	""	""	""	""	""	""	""	
"204000"	"1"	"additionalColdHurtTransRate"	""	"2041"	"0"	"0.200000"	""	""	""	""	""	""	""	""	
"204100"	"1"	"additionalFireHurtTransRate"	""	"2041"	"0"	"0.200000"	""	""	""	""	""	""	""	""	
"204200"	"1"	"additionalLightHurtTransRate"	""	"2041"	"0"	"0.200000"	""	""	""	""	""	""	""	""	
"204300"	"1"	"hurtValuePhys"	""	"2041"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"204310"	"1"	"hurtValuePhys"	""	"2041"	"0"	"35.000000"	""	""	""	""	""	""	""	""	
"204320"	"1"	"hurtValuePhys"	""	"2041"	"0"	"50.000000"	""	""	""	""	""	""	""	""	
"204330"	"1"	"hurtValuePhys"	""	"2041"	"0"	"65.000000"	""	""	""	""	""	""	""	""	
"204340"	"1"	"hurtValuePhys"	""	"2041"	"0"	"80.000000"	""	""	""	""	""	""	""	""	
"204400"	"0"	"add_mp_hit_other"	""	"2041"	"0"	"8.000000"	""	""	""	""	""	""	""	""	
"204410"	"0"	"add_mp_hit_other"	""	"2041"	"0"	"16.000000"	""	""	""	""	""	""	""	""	
"204420"	"0"	"add_mp_hit_other"	""	"2041"	"0"	"24.000000"	""	""	""	""	""	""	""	""	
"204430"	"0"	"add_mp_hit_other"	""	"2041"	"0"	"32.000000"	""	""	""	""	""	""	""	""	
"204440"	"0"	"add_mp_hit_other"	""	"2041"	"0"	"40.000000"	""	""	""	""	""	""	""	""	
"204500"	"2"	"maxCollisionTimes"	""	"2040"	"2"	"3.000000"	""	""	""	""	""	""	""	""	
"205000"	"6"	"trigger_id"	""	"2050"	"2"	"205000.000000"	""	""	""	""	""	""	""	""	
"205100"	"5"	"effectID5"	""	"2050"	"2"	"2051.000000"	""	""	""	""	""	""	""	""	
"206000"	"5"	"auraTime"	""	"2061"	"0"	"3000.000000"	""	""	""	""	""	""	""	""	
"206100"	"0"	"CDTime"	""	"2060"	"1"	"10000.000000"	""	""	""	""	""	""	""	""	
"207000"	"1"	"hurtPercentagePhys"	""	"2071"	"0"	"30.000000"	""	""	""	""	""	""	""	""	
"207100"	"1"	"beatBackType"	""	"2071"	"2"	"0.000000"	""	""	""	""	""	""	""	""	
"207101"	"1"	"beatBackProbablity"	""	"2071"	"2"	"0.200000"	""	""	""	""	""	""	""	""	
"207102"	"1"	"beatBackDistMin"	""	"2071"	"2"	"1.000000"	""	""	""	""	""	""	""	""	
"207103"	"1"	"beatBackDistMax"	""	"2071"	"2"	"3.000000"	""	""	""	""	""	""	""	""	
"207111"	"1"	"beatBackProbablity"	""	"2071"	"2"	"0.400000"	""	""	""	""	""	""	""	""	
"207121"	"1"	"beatBackProbablity"	""	"2071"	"2"	"0.600000"	""	""	""	""	""	""	""	""	
"207131"	"1"	"beatBackProbablity"	""	"2071"	"2"	"0.800000"	""	""	""	""	""	""	""	""	
"207141"	"1"	"beatBackProbablity"	""	"2071"	"2"	"1.000000"	""	""	""	""	""	""	""	""	
"207200"	"1"	"hurtValuePhys"	""	"2071"	"0"	"70.000000"	""	""	""	""	""	""	""	""	
"207210"	"1"	"hurtValuePhys"	""	"2071"	"0"	"120.000000"	""	""	""	""	""	""	""	""	
"207220"	"1"	"hurtValuePhys"	""	"2071"	"0"	"170.000000"	""	""	""	""	""	""	""	""	
"207230"	"1"	"hurtValuePhys"	""	"2071"	"0"	"220.000000"	""	""	""	""	""	""	""	""	
"207240"	"1"	"hurtValuePhys"	""	"2071"	"0"	"270.000000"	""	""	""	""	""	""	""	""	
"208000"	"6"	"cycleTime"	""	"2080"	"0"	"160.000000"	""	""	""	""	""	""	""	""	
"208100"	"1"	"hurtPercentagePhys"	""	"2082"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"209000"	"1"	"isMustHit"	""	"2091"	"2"	"1.000000"	""	""	""	""	""	""	""	""	
"209100"	"5"	"auraTime"	""	"2090"	"0"	"1000.000000"	""	""	""	""	""	""	""	""	
"209110"	"5"	"auraTime"	""	"2090"	"0"	"1500.000000"	""	""	""	""	""	""	""	""	
"209120"	"5"	"auraTime"	""	"2090"	"0"	"2000.000000"	""	""	""	""	""	""	""	""	
"209130"	"5"	"auraTime"	""	"2090"	"0"	"2500.000000"	""	""	""	""	""	""	""	""	
"209140"	"5"	"auraTime"	""	"2090"	"0"	"3000.000000"	""	""	""	""	""	""	""	""	
"210000"	"1"	"hitBuff3"	""	"2101"	"2"	"2100.000000"	""	""	""	""	""	""	""	""	
"210100"	"1"	"additionalFireHurtTransRate"	""	"2103"	"0"	"0.090000"	""	""	""	""	""	""	""	""	
"210101"	"1"	"hitBuff3"	""	"2102"	"0"	"2101.000000"	""	""	""	""	""	""	""	""	
"210110"	"1"	"additionalFireHurtTransRate"	""	"2103"	"0"	"0.180000"	""	""	""	""	""	""	""	""	
"210120"	"1"	"additionalFireHurtTransRate"	""	"2103"	"0"	"0.270000"	""	""	""	""	""	""	""	""	
"210130"	"1"	"additionalFireHurtTransRate"	""	"2103"	"0"	"0.360000"	""	""	""	""	""	""	""	""	
"210140"	"1"	"additionalFireHurtTransRate"	""	"2103"	"0"	"0.450000"	""	""	""	""	""	""	""	""	
"210200"	"1"	"hurtValuePhys"	""	"2101"	"0"	"70.000000"	""	""	""	""	""	""	""	""	
"210210"	"1"	"hurtValuePhys"	""	"2101"	"0"	"110.000000"	""	""	""	""	""	""	""	""	
"210220"	"1"	"hurtValuePhys"	""	"2101"	"0"	"160.000000"	""	""	""	""	""	""	""	""	
"210230"	"1"	"hurtValuePhys"	""	"2101"	"0"	"200.000000"	""	""	""	""	""	""	""	""	
"210240"	"1"	"hurtValuePhys"	""	"2101"	"0"	"250.000000"	""	""	""	""	""	""	""	""	
"211000"	"1"	"hurtPercentagePhys"	""	"2111"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"211100"	"0"	"additionEffectParam4"	""	"2110"	"2"	"0.200000"	""	""	""	""	""	""	""	""	
"212000"	"1"	"hitBuff2"	""	"2121"	"2"	"2120.000000"	""	""	""	""	""	""	""	""	
"212100"	"1"	"hitBuff3"	""	"2121"	"2"	"2121.000000"	""	""	""	""	""	""	""	""	
"212200"	"1"	"additionalLightHurtTransRate"	""	"2121"	"2"	"5.000000"	""	""	""	""	""	""	""	""	
"213000"	"1"	"hurtPercentagePhys"	""	"2131"	"0"	"5.000000"	""	""	""	""	""	""	""	""	
"213100"	"4"	"fparam3"	""	"2130"	"0"	"5000.000000"	""	""	""	""	""	""	""	""	
"300000"	"6"	"para5"	""	"3000"	"2"	"0.500000"	""	""	""	""	""	""	""	""	
"300100"	"6"	"trigger_id"	""	"3000"	"2"	"300100.000000"	""	""	""	""	""	""	""	""	
"301000"	"1"	"hurtPercentageMage"	""	"3011"	"0"	"30.000000"	""	""	""	""	""	""	""	""	
"301100"	"5"	"effectID1"	""	"3010"	"2"	"3010.000000"	""	""	""	""	""	""	""	""	
"301200"	"1"	"hurtValueMage"	""	"3011"	"0"	"40.000000"	""	""	""	""	""	""	""	""	
"301210"	"1"	"hurtValueMage"	""	"3011"	"0"	"70.000000"	""	""	""	""	""	""	""	""	
"301220"	"1"	"hurtValueMage"	""	"3011"	"0"	"100.000000"	""	""	""	""	""	""	""	""	
"301230"	"1"	"hurtValueMage"	""	"3011"	"0"	"130.000000"	""	""	""	""	""	""	""	""	
"301240"	"1"	"hurtValueMage"	""	"3011"	"0"	"160.000000"	""	""	""	""	""	""	""	""	
"302000"	"5"	"auraTime"	""	"3020"	"0"	"3000.000000"	""	""	""	""	""	""	""	""	
"302100"	"1"	"hitBuff3"	""	"3021"	"2"	"3021.000000"	""	""	""	""	""	""	""	""	
"302200"	"0"	"add_mp_hit_first"	""	"3021"	"0"	"12.000000"	""	""	""	""	""	""	""	""	
"302210"	"0"	"add_mp_hit_first"	""	"3021"	"0"	"24.000000"	""	""	""	""	""	""	""	""	
"302220"	"0"	"add_mp_hit_first"	""	"3021"	"0"	"36.000000"	""	""	""	""	""	""	""	""	
"302230"	"0"	"add_mp_hit_first"	""	"3021"	"0"	"48.000000"	""	""	""	""	""	""	""	""	
"302240"	"0"	"add_mp_hit_first"	""	"3021"	"0"	"60.000000"	""	""	""	""	""	""	""	""	
"303000"	"5"	"auraTime"	""	"3030"	"0"	"2000.000000"	""	""	""	""	""	""	""	""	
"303100"	"1"	"hitBuff3"	""	"3031"	"2"	"3031.000000"	""	""	""	""	""	""	""	""	
"303101"	"1"	"hitBuffChance3"	""	"3031"	"2"	"0.200000"	""	""	""	""	""	""	""	""	
"304000"	"4"	"fparam2"	""	"3040"	"1"	"0.100000"	""	""	""	""	""	""	""	""	
"304010"	"4"	"fparam2"	""	"3040"	"1"	"0.200000"	""	""	""	""	""	""	""	""	
"304020"	"4"	"fparam2"	""	"3040"	"1"	"0.300000"	""	""	""	""	""	""	""	""	
"304030"	"4"	"fparam2"	""	"3040"	"1"	"0.400000"	""	""	""	""	""	""	""	""	
"304040"	"4"	"fparam2"	""	"3040"	"1"	"0.500000"	""	""	""	""	""	""	""	""	
"304100"	"4"	"nparam3"	""	"3040"	"2"	"7.000000"	""	""	""	""	""	""	""	""	
"304200"	"1"	"hurtValueMage"	""	"3041"	"0"	"50.000000"	""	""	""	""	""	""	""	""	
"304210"	"1"	"hurtValueMage"	""	"3041"	"0"	"80.000000"	""	""	""	""	""	""	""	""	
"304220"	"1"	"hurtValueMage"	""	"3041"	"0"	"120.000000"	""	""	""	""	""	""	""	""	
"304230"	"1"	"hurtValueMage"	""	"3041"	"0"	"150.000000"	""	""	""	""	""	""	""	""	
"304240"	"1"	"hurtValueMage"	""	"3041"	"0"	"180.000000"	""	""	""	""	""	""	""	""	
"305000"	"6"	"para4"	""	"3050"	"0"	"1.000000"	""	""	""	""	""	""	""	""	
"305100"	"5"	"effectID2"	""	"3050"	"2"	"3051.000000"	""	""	""	""	""	""	""	""	
"305200"	"5"	"auraTime"	""	"3050"	"0"	"5000.000000"	""	""	""	""	""	""	""	""	
"306000"	"5"	"auraTime"	""	"3060"	"0"	"500.000000"	""	""	""	""	""	""	""	""	
"306010"	"5"	"auraTime"	""	"3060"	"0"	"1000.000000"	""	""	""	""	""	""	""	""	
"306020"	"5"	"auraTime"	""	"3060"	"0"	"1500.000000"	""	""	""	""	""	""	""	""	
"306030"	"5"	"auraTime"	""	"3060"	"0"	"2000.000000"	""	""	""	""	""	""	""	""	
"306040"	"5"	"auraTime"	""	"3060"	"0"	"2500.000000"	""	""	""	""	""	""	""	""	
"306100"	"1"	"hurtPercentageMage"	""	"3061"	"0"	"5.000000"	""	""	""	""	""	""	""	""	
"306200"	"1"	"hurtValueMage"	""	"3062"	"0"	"20.000000"	""	""	""	""	""	""	""	""	
"306210"	"1"	"hurtValueMage"	""	"3062"	"0"	"35.000000"	""	""	""	""	""	""	""	""	
"306220"	"1"	"hurtValueMage"	""	"3062"	"0"	"50.000000"	""	""	""	""	""	""	""	""	
"306230"	"1"	"hurtValueMage"	""	"3062"	"0"	"65.000000"	""	""	""	""	""	""	""	""	
"306240"	"1"	"hurtValueMage"	""	"3062"	"0"	"80.000000"	""	""	""	""	""	""	""	""	
"307000"	"2"	"maxCollisionTimes"	""	"3070"	"0"	"4.000000"	""	""	""	""	""	""	""	""	
"307200"	"1"	"hurtValueMage"	""	"3071"	"0"	"30.000000"	""	""	""	""	""	""	""	""	
"307210"	"1"	"hurtValueMage"	""	"3071"	"0"	"50.000000"	""	""	""	""	""	""	""	""	
"307220"	"1"	"hurtValueMage"	""	"3071"	"0"	"70.000000"	""	""	""	""	""	""	""	""	
"307230"	"1"	"hurtValueMage"	""	"3071"	"0"	"90.000000"	""	""	""	""	""	""	""	""	
"307240"	"1"	"hurtValueMage"	""	"3071"	"0"	"110.000000"	""	""	""	""	""	""	""	""	
"310000"	"0"	"CDTime"	""	"3100"	"1"	"2000.000000"	""	""	""	""	""	""	""	""	
"310100"	"3"	"objParam1"	""	"3100"	"0"	"3.000000"	""	""	""	""	""	""	""	""	
