"效果ID"	"备注"	"效果类型"	"效果索引(程序用,不填)"	"周期时间"	"参数1"	"参数2"	"参数3"	"参数4"	"参数5"	"参数6"	"参数1等级修正"	"参数2等级修正"	"参数3等级修正"	"参数4等级修正"	"参数5等级修正"	"参数6等级修正"	"触发条件（触发型效果需填）"	"内置CD（触发型效果需填）"	"光环生效期间，附带触发器id=CombatTriggerConfig.xls"	""	""	
"3070"	"冰锥减速"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3090"	"射线光环"	"ray"	"0"	"300"	"3091"	"5"	"0"	"15.000000"	"6.600000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3100"	"瞬移无敌"	"keepbitex"	"0"	"0"	"5"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3101"	"瞬移加物防"	"attr"	"0"	"0"	"10"	"0"	"0"	"42.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,20,7],[21,40,24],[41,50,73],[51,200,105]]"	""	""	"null"	"0"	"-1"	""	""	
"3102"	"瞬移加魔防"	"attr"	"0"	"0"	"11"	"0"	"0"	"42.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,20,7],[21,40,24],[41,50,73],[51,200,105]]"	""	""	"null"	"0"	"-1"	""	""	
"3110"	"火鸟dot"	"dot"	"0"	"1000"	"3112"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3121"	"冰雪王冠减速"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.800000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3130"	"电流子弹脉冲"	"jetmagic"	"0"	"400"	"3131"	"0"	"0"	"7.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"3170"	"火buff"	"attr"	"0"	"0"	"17"	"0"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	"[[2,200,0.002]]"	""	""	"null"	"0"	"-1"	""	""	
"3171"	"火buff火焰伤害"	"attr"	"0"	"0"	"30"	"0"	"0"	"49.000000"	"0.000000"	"0.000000"	""	""	""	"[[2,20,8],[21,40,29],[41,50,85],[51,200,123]]"	""	""	"null"	"0"	"-1"	""	""	
"3172"	"龙天赋火buff火焰伤害"	"attr"	"0"	"0"	"30"	"1"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"5000"	"闪电护体"	"lightning_storm"	"0"	"500"	"1"	"5000"	"0"	"6.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"5010"	"熔岩效果"	"whirlwind"	"0"	"1000"	"5010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"5011"	"单个熔岩效果"	"whirlwind"	"0"	"500"	"5011"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"5020"	"群体减速"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.200000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"5050"	"降低物防"	"attr"	"0"	"0"	"10"	"1"	"0"	"-0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"6020"	"变羊沉默"	"keepbitex"	"0"	"0"	"10"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"6021"	"变羊模型"	"changemodel"	"0"	"0"	"49055"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"6022"	"变羊减速"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.700000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"8888"	"骑龙"	"keepbitex"	"0"	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9000"	"骑龙"	"summonhero"	"0"	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9001"	"物攻提升10%"	"attr"	"0"	"0"	"8"	"1"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9002"	"物防提升10%"	"attr"	"0"	"0"	"10"	"1"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9010"	"强击光环加2%攻击"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.020000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9011"	"强加光环加4%攻击"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.040000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9012"	"强击光环加6%攻击"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.060000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9013"	"强加光环加8%攻击"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.080000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9014"	"强击光环加10%攻击"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9020"	"狂猛光环加2%暴击率"	"attr"	"0"	"0"	"13"	"0"	"0"	"0.020000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9021"	"狂猛光环加4%暴击率"	"attr"	"0"	"0"	"13"	"0"	"0"	"0.040000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9022"	"狂猛光环加6%暴击率"	"attr"	"0"	"0"	"13"	"0"	"0"	"0.060000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9023"	"狂猛光环加8%暴击率"	"attr"	"0"	"0"	"13"	"0"	"0"	"0.080000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9024"	"狂猛光环加10%暴击率"	"attr"	"0"	"0"	"13"	"0"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"9999"	"程序测试"	"bonus"	"0"	"1500"	"0"	""	""	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"12130"	"暗法师火抗"	"amplifydamage"	"0"	"0"	"1"	"0"	"0"	"-0.800000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"12161"	"减速40%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.400000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"12165"	"减速60%"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.600000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"14660"	"野人头目加buff"	"attr"	"0"	"0"	"32"	"1"	"0"	"100.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"15020"	"大地精矿长冲撞攻击"	"whirlwind"	"0"	"200"	"15021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"30400"	"战场加速buff"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"30410"	"战场血上限buff"	"attr"	"0"	"0"	"0"	"1"	"0"	"0.500000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"30411"	"战场血回满buff"	"renew"	"0"	"100"	"1"	"0"	"0"	"1.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"15040"	"天空试炼大地精矿长天生减速光环"	"attr"	"0"	"0"	"32"	"1"	"0"	"-0.600000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"21231"	"熔火元素熔岩冲击1"	"whirlwind"	"0"	"800"	"21231"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"21232"	"熔火元素熔岩冲击1最远"	"whirlwind"	"0"	"800"	"21232"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"21233"	"熔火元素熔岩冲击1最近"	"whirlwind"	"0"	"800"	"21233"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"50010"	"骑龙"	"summondragon"	"0"	"0"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60200"	"加血hot"	"renew"	"0"	"2000"	"1"	"0"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60201"	"加攻击10%"	"attr"	"0"	"0"	"1"	"1"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60202"	"加防10%"	"attr"	"0"	"0"	"2"	"1"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60203"	"加速10%"	"attr"	"0"	"0"	"32"	"1"	"0"	"0.100000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60204"	"加经验"	"bonus"	"0"	"20000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60205"	"光环禁魔"	"keepbitex"	"0"	"0"	"10"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60206"	"光环无敌"	"keepbitex"	"0"	"0"	"5"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60207"	"加经验"	"bonus"	"0"	"15000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60208"	"加经验"	"bonus"	"0"	"10000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60209"	"加经验"	"bonus"	"0"	"8000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60800"	"帮派战复活无敌buff"	"keepbitex"	"0"	"0"	"5"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60810"	"帮派战半径10m回血buff"	"renew"	"0"	"5000"	"1"	"0"	"0"	"0.050000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
"60820"	"帮派战半径5m回血buff"	"renew"	"0"	"5000"	"1"	"0"	"0"	"0.050000"	"0.000000"	"0.000000"	""	""	""	""	""	""	"null"	"0"	"-1"	""	""	
