"所属法宝（ID*100+阶数ID）"	"当前阶法宝总属性（属性ID，属性值）"	"进阶所需材料"	"单次进阶所需材料数量"	"进阶所需材料总数量"	"升级所需材料"	"单次升级所需材料数量"	"各级所需升级材料数量第1个数据是1升2"	"当前阶当前级属性占比（每次升级占总属性的百分之多少，填累加值，结果向下取整）"	"技能ID（读MagicType表）"	
"100203"	"1,2580,2,1642,0,53952,16,703,18,703,12,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25002020"	
"100204"	"1,4300,2,2736,0,89920,16,1172,18,1172,12,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25002030"	
"100205"	"1,6192,2,3940,0,129486,16,1688,18,1688,12,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25002040"	
"100206"	"1,8085,2,5145,0,169051,16,2205,18,2205,12,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25002050"	
"100207"	"1,10149,2,6458,0,212213,16,2767,18,2767,12,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25002060"	
"100208"	"1,12213,2,7772,0,255375,16,3330,18,3330,12,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25002070"	
"100209"	"1,14621,2,9304,0,305730,16,3987,18,3987,12,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25002080"	
"100210"	"1,17202,2,10946,0,359683,16,4691,18,4691,12,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25002090"	
"100301"	"1,265,2,66,0,9304,10,79,8,79,18,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25003000"	
"100302"	"1,1094,2,273,0,38314,10,328,8,328,18,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25003010"	
"100303"	"1,2345,2,586,0,82101,10,703,8,703,18,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25003020"	
"100304"	"1,3909,2,977,0,136836,10,1172,8,1172,18,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25003030"	
"100305"	"1,5629,2,1407,0,197043,10,1688,8,1688,18,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25003040"	
"100306"	"1,7350,2,1837,0,257251,10,2205,8,2205,18,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25003050"	
"100307"	"1,9226,2,2306,0,322933,10,2767,8,2767,18,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25003060"	
"100308"	"1,11103,2,2775,0,388614,10,3330,8,3330,18,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25003070"	
"100309"	"1,13292,2,3323,0,465242,10,3987,8,3987,18,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25003080"	
"100310"	"1,15638,2,3909,0,547344,10,4691,8,4691,18,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25003090"	
"100401"	"1,345,2,79,0,6646,8,79,12,79,14,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25004000"	
"100402"	"1,1423,2,328,0,27367,8,328,12,328,14,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25004010"	
"100403"	"1,3049,2,703,0,58644,8,703,12,703,14,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25004020"	
"100404"	"1,5082,2,1172,0,97740,8,1172,12,1172,14,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25004030"	
"100405"	"1,7318,2,1688,0,140745,8,1688,12,1688,14,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25004040"	
"100406"	"1,9555,2,2205,0,183751,8,2205,12,2205,14,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25004050"	
"100407"	"1,11994,2,2767,0,230666,8,2767,12,2767,14,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25004060"	
"100408"	"1,14434,2,3330,0,277581,8,3330,12,3330,14,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25004070"	
"100409"	"1,17280,2,3987,0,332316,8,3987,12,3987,14,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25004080"	
"100410"	"1,20329,2,4691,0,390960,8,4691,12,4691,14,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25004090"	
"100501"	"1,327,2,199,0,4785,18,79,8,79,16,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25005000"	
"100502"	"1,1350,2,821,0,19704,18,328,8,328,16,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25005010"	
"100503"	"1,2893,2,1759,0,42223,18,703,8,703,16,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25005020"	
"100504"	"1,4821,2,2932,0,70372,18,1172,8,1172,16,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25005030"	
"100505"	"1,6943,2,4222,0,101336,18,1688,8,1688,16,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25005040"	
"100506"	"1,9065,2,5512,0,132300,18,2205,8,2205,16,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25005050"	
"100507"	"1,11379,2,6919,0,166079,18,2767,8,2767,16,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25005060"	
"100508"	"1,13694,2,8327,0,199858,18,3330,8,3330,16,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25005070"	
"100509"	"1,16394,2,9969,0,239267,18,3987,8,3987,16,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25005080"	
"100510"	"1,19287,2,11728,0,281491,18,4691,8,4691,16,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25005090"	
"100601"	"1,319,2,93,0,7178,14,79,10,79,12,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25006000"	
"100602"	"1,1313,2,383,0,29556,14,328,10,328,12,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25006010"	
"100603"	"1,2814,2,821,0,63335,14,703,10,703,12,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25006020"	
"100604"	"1,4691,2,1368,0,105559,14,1172,10,1172,12,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25006030"	
"100605"	"1,6755,2,1970,0,152005,14,1688,10,1688,12,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25006040"	
"100606"	"1,8820,2,2572,0,198451,14,2205,10,2205,12,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25006050"	
"100607"	"1,11071,2,3229,0,249119,14,2767,10,2767,12,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25006060"	
"100608"	"1,13323,2,3886,0,299788,14,3330,10,3330,12,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25006070"	
"100609"	"1,15951,2,4652,0,358901,14,3987,10,3987,12,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25006080"	
"100610"	"1,18766,2,5473,0,422237,14,4691,10,4691,12,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25006090"	
"100701"	"1,381,2,132,0,4519,12,79,16,79,18,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25007000"	
"100702"	"1,1569,2,547,0,18609,12,328,16,328,18,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25007010"	
"100703"	"1,3362,2,1172,0,39877,12,703,16,703,18,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25007020"	
"100704"	"1,5603,2,1954,0,66463,12,1172,16,1172,18,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25007030"	
"100705"	"1,8069,2,2814,0,95707,12,1688,16,1688,18,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25007040"	
"100706"	"1,10535,2,3675,0,124950,12,2205,16,2205,18,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25007050"	
"100707"	"1,13224,2,4613,0,156853,12,2767,16,2767,18,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25007060"	
"100708"	"1,15914,2,5551,0,188755,12,3330,16,3330,18,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25007070"	
"100709"	"1,19052,2,6646,0,225975,12,3987,16,3987,18,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25007080"	
"100710"	"1,22415,2,7819,0,265852,12,4691,16,4691,18,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25007090"	
"100801"	"1,256,2,252,0,5848,18,79,14,79,16,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25008000"	
"100802"	"1,1058,2,1039,0,24083,18,328,14,328,16,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25008010"	
"100803"	"1,2267,2,2228,0,51606,18,703,14,703,16,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25008020"	
"100804"	"1,3779,2,3714,0,86011,18,1172,14,1172,16,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25008030"	
"100805"	"1,5442,2,5348,0,123856,18,1688,14,1688,16,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25008040"	
"100806"	"1,7105,2,6982,0,161701,18,2205,14,2205,16,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25008050"	
"100807"	"1,8919,2,8765,0,202986,18,2767,14,2767,16,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25008060"	
"100808"	"1,10733,2,10548,0,244271,18,3330,14,3330,16,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25008070"	
"100809"	"1,12849,2,12628,0,292438,18,3987,14,3987,16,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25008080"	
"100810"	"1,15117,2,14856,0,344045,18,4691,14,4691,16,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25008090"	
"100901"	"1,248,2,159,0,7975,16,79,8,79,10,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25009000"	
"100902"	"1,1021,2,656,0,32840,16,328,8,328,10,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25009010"	
"100903"	"1,2189,2,1407,0,70372,16,703,8,703,10,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25009020"	
"100904"	"1,3648,2,2345,0,117288,16,1172,8,1172,10,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25009030"	
"100905"	"1,5254,2,3377,0,168894,16,1688,8,1688,10,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25009040"	
"100906"	"1,6860,2,4410,0,220501,16,2205,8,2205,10,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25009050"	
"100907"	"1,8611,2,5535,0,276799,16,2767,8,2767,10,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25009060"	
"100908"	"1,10363,2,6661,0,333098,16,3330,8,3330,10,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25009070"	
"100909"	"1,12406,2,7975,0,398779,16,3987,8,3987,10,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25009080"	
"100910"	"1,14595,2,9383,0,469152,16,4691,8,4691,10,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25009090"	
"101001"	"1,363,2,106,0,5582,8,79,10,79,14,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25010000"	
"101002"	"1,1496,2,437,0,22988,8,328,10,328,14,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25010010"	
"101003"	"1,3205,2,938,0,49260,8,703,10,703,14,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25010020"	
"101004"	"1,5343,2,1563,0,82101,8,1172,10,1172,14,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25010030"	
"101005"	"1,7694,2,2251,0,118226,8,1688,10,1688,14,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25010040"	
"101006"	"1,10045,2,2940,0,154351,8,2205,10,2205,14,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25010050"	
"101007"	"1,12609,2,3690,0,193759,8,2767,10,2767,14,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25010060"	
"101008"	"1,15174,2,4441,0,233168,8,3330,10,3330,14,3330"	"100043"	"8"	"32"	"100044"	"8"	"56,56,56,56,56,56,56,56,56"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25010070"	
"101009"	"1,18166,2,5317,0,279145,8,3987,10,3987,14,3987"	"100043"	"9"	"36"	"100044"	"9"	"72,72,72,72,72,72,72,72,72"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25010080"	
"101010"	"1,21372,2,6255,0,328406,8,4691,10,4691,14,4691"	"100043"	"0"	"0"	"100044"	"10"	"80,80,80,80,80,80,80,80,80"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25010090"	
"101101"	"1,239,2,252,0,6380,12,79,18,79,16,79"	"100043"	"1"	"2"	"100044"	"1"	"2,2,2,2,2,2,2,2,2"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25011000"	
"101102"	"1,985,2,1039,0,26272,12,328,18,328,16,328"	"100043"	"2"	"4"	"100044"	"2"	"6,6,6,6,6,6,6,6,6"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25011010"	
"101103"	"1,2111,2,2228,0,56298,12,703,18,703,16,703"	"100043"	"3"	"6"	"100044"	"3"	"12,12,12,12,12,12,12,12,12"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25011020"	
"101104"	"1,3518,2,3714,0,93830,12,1172,18,1172,16,1172"	"100043"	"4"	"12"	"100044"	"4"	"20,20,20,20,20,20,20,20,20"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25011030"	
"101105"	"1,5066,2,5348,0,135115,12,1688,18,1688,16,1688"	"100043"	"5"	"15"	"100044"	"5"	"30,30,30,30,30,30,30,30,30"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25011040"	
"101106"	"1,6615,2,6982,0,176401,12,2205,18,2205,16,2205"	"100043"	"6"	"18"	"100044"	"6"	"36,36,36,36,36,36,36,36,36"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25011050"	
"101107"	"1,8303,2,8765,0,221439,12,2767,18,2767,16,2767"	"100043"	"7"	"28"	"100044"	"7"	"49,49,49,49,49,49,49,49,49"	"0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1"	"25011060"	
