"礼包ID"	"战士专属道具"	"弓箭手专属道具"	"法师专属道具"	"通用奖励物品1"	"通用奖励物品2"	"通用奖励物品3"	"通用奖励物品4"	"通用奖励物品5"	"通用奖励物品6"	"通用奖励物品7"	"通用奖励物品8"	"通用奖励物品9"	"通用奖励物品10"	"开启礼包全服公告（有的话填对应的serverstrID,没有不填）"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122001"	""	""	""	"100001,100000"	"100040,30"	"400001,3"	"100042,3"	"700408,1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122002"	""	""	""	"100042,10"	"110102,10"	"700302,1"	"100036,5"	"807000,2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122003"	""	""	""	"100037,5"	"110101,20"	"110201,20"	"100004,500"	"100001,400000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122004"	""	""	""	"100001,100000"	"100040,30"	"6100000,50"	"100042,3"	"700408,1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122005"	""	""	""	"550100,50"	"100044,5"	"100043,3"	"100004,200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122006"	""	""	""	"100004,500"	"6100000,30"	"100043,6"	"100001,150000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122007"	""	""	""	"100001,100000"	"6100000,30"	"100101,20"	"100035,20"	"100044,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122008"	""	""	""	"100001,100000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122009"	""	""	""	"100035,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122010"	""	""	""	"100101,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122011"	""	""	""	"110101,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122012"	""	""	""	"100102,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122013"	""	""	""	"100101,30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122014"	""	""	""	"110101,15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122015"	""	""	""	"110102,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122016"	""	""	""	"100043,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122017"	""	""	""	"100044,15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122018"	""	""	""	"110201,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122019"	""	""	""	"100001,500000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122020"	""	""	""	"100037,3"	"110101,10"	"110201,10"	"100001,50000"	"6100000,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122021"	""	""	""	"100001,100000"	"110102,5"	"100101,20"	"800191,30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122022"	""	""	""	"100001,150000"	"110102,10"	"100101,30"	"100036,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122023"	""	""	""	"100001,200000"	"110102,15"	"100101,40"	"800141,30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122024"	""	""	""	"100001,300000"	"110102,20"	"100101,50"	"800141,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122025"	""	""	""	"100001,1000000"	"110101,15"	"110102,15"	"800191,30"	"700408,1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122026"	""	""	""	"100203,10"	"100001,300000"	"100004,500"	"100080,20"	"100059,3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122027"	""	""	""	"100203,20"	"100001,500000"	"800131,30"	"100102,20"	"100059,3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122028"	""	""	""	"110301,20"	"100001,500000"	"512004,1"	"110103,50"	"110203,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122029"	""	""	""	"100001,200000"	"700401,1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122030"	""	""	""	"100001,250000"	"800281,5"	"100101,20"	"100102,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122031"	""	""	""	"100111,10"	"100112,10"	"100113,10"	"100114,10"	"100001,300000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122032"	""	""	""	"110201,30"	"110202,20"	"100044,30"	"100043,5"	"100001,400000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122033"	""	""	""	"700402,3"	"700401,3"	"700403,3"	"700409,3"	"100001,500000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122034"	""	""	""	"100041,20"	"110301,30"	"110302,20"	"100037,20"	"100001,1000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122035"	""	""	""	"100001,1000000"	"110101,50"	"110102,40"	"100080,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122036"	""	""	""	"100001,1000000"	"100102,50"	"110201,80"	"110202,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122037"	""	""	""	"100111,250"	"100112,250"	"100113,250"	"100114,250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122038"	""	""	""	"550100,200"	"100044,120"	"100043,20"	"100080,120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122039"	""	""	""	"550060,250"	"100044,200"	"100043,30"	"100080,200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122040"	""	""	""	"100001,1000000"	"110401,50"	"110402,40"	"100080,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122041"	""	""	""	"100001,3000000"	"100102,50"	"110101,80"	"110102,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122042"	""	""	""	"100121,200"	"100122,200"	"100123,200"	"100124,200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122043"	""	""	""	"550080,200"	"100044,120"	"100043,20"	"100080,120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122044"	""	""	""	"550040,250"	"100044,200"	"100043,30"	"100080,200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122045"	""	""	""	"550070,250"	"100044,200"	"100043,30"	"100080,200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122046"	""	""	""	"550090,350"	"100044,300"	"100043,50"	"100080,300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122047"	""	""	""	"800291,100"	"100101,1000"	"100102,200"	"700602,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122048"	""	""	""	"800231,150"	"100101,1500"	"100102,300"	"700702,2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122049"	""	""	""	"550010,250"	"100044,200"	"100043,30"	"100080,200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122050"	""	""	""	"550020,350"	"100044,300"	"100043,50"	"100080,300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122051"	""	""	""	"800081,100"	"100101,1000"	"100102,200"	"700602,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122052"	""	""	""	"800041,150"	"100101,1500"	"100102,300"	"700702,2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122053"	""	""	""	"100001,300000"	"100101,20"	"100102,10"	"100004,500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122054"	""	""	""	"100001,500000"	"100044,20"	"100043,15"	"100004,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122055"	""	""	""	"100001,500000"	"110201,30"	"110202,20"	"700502,1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122056"	""	""	""	"100001,1500000"	"110401,30"	"110402,15"	"700303,3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122057"	""	""	""	"800041,30"	"100101,200"	"100102,50"	"710600,1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122058"	""	""	""	"800041,50"	"110405,80"	"110404,30"	"710600,2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122059"	""	""	""	"570050,50"	"110405,120"	"110404,40"	"710700,1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122060"	""	""	""	"100001,250000"	"800171,5"	"100101,20"	"100102,8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122061"	""	""	""	"100121,10"	"100122,10"	"100123,10"	"100124,10"	"100001,300000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122062"	""	""	""	"110201,20"	"110202,10"	"100044,20"	"100043,10"	"100001,500000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122063"	""	""	""	"710400,5"	"110401,30"	"110402,15"	"100080,30"	"100001,800000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122064"	""	""	""	"100041,20"	"110301,30"	"110302,20"	"100037,20"	"100001,1500000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122065"	""	""	""	"100001,200000"	"100101,5"	"100040,10"	"100080,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122066"	""	""	""	"100001,300000"	"110401,15"	"110402,8"	"100036,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122067"	""	""	""	"100151,10"	"100152,10"	"100153,10"	"100154,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122068"	""	""	""	"100001,500000"	"110405,20"	"110404,12"	"129310,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122069"	""	""	""	"100037,20"	"110101,30"	"110102,20"	"100080,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122070"	""	""	""	"100101,20000"	"100102,2000"	"110406,500"	"110101,500"	"110301,500"	"110201,500"	"110401,500"	"110102,200"	"110302,200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122071"	""	""	""	"110202,200"	"100052,50"	"100080,1000"	"710700,10"	"100151,100"	"100152,100"	"100153,100"	"100154,100"	"100004,10000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122072"	""	""	""	"100004,2000"	"100001,5000000"	"100080,500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122073"	""	""	""	"511007,1"	"511009,1"	"511010,1"	"110201,2000"	"110202,1000"	"110211,100"	"110212,100"	"110213,100"	"110214,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122074"	""	""	""	"701001,1"	"701002,1"	"701003,1"	"701004,1"	"701005,1"	"701006,1"	"701007,1"	"701008,1"	"701009,1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122075"	""	""	""	"100101,50000"	"100151,100"	"100152,100"	"100153,100"	"100154,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"124001"	""	""	""	"100003,880"	"100001,300000"	"400001,20"	"700401,2"	"700402,2"	"100042,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"124002"	""	""	""	"100003,880"	"100001,300000"	"110401,20"	"100037,50"	"100102,30"	"100101,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"124003"	""	""	""	"100001,500000"	"400001,20"	"100040,40"	"100039,100"	"110101,20"	"110201,20"	"100042,6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"124004"	""	""	""	"100043,10"	"100044,60"	"100081,10"	"100082,10"	"100083,10"	"100084,10"	"100085,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125001"	""	""	""	"100004,50"	"100039,20"	"100042,5"	"110101,10"	"110201,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125002"	""	""	""	"100004,100"	"100001,100000"	"808000,50"	"808001,50"	"808002,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125003"	""	""	""	"100101,50"	"100042,5"	"100076,5"	"100040,10"	"100044,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125004"	""	""	""	"100001,100000"	"100076,5"	"100080,20"	"100036,10"	"100042,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125005"	""	""	""	"710300,10"	"100050,10"	"100001,50000"	"100010,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125006"	""	""	""	"100039,30"	"100040,20"	"100044,10"	"100037,10"	"100076,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125007"	""	""	""	"100004,500"	"710400,6"	"100076,20"	"100044,20"	"808253,1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125008"	""	""	""	"100004,1000"	"710400,15"	"100076,50"	"100044,50"	"808253,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125009"	""	""	""	"550140,150"	"100043,10"	"100044,100"	"100101,1000"	"100102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125010"	""	""	""	"100004,100"	"110405,10"	"110406,10"	"100101,100"	"100102,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125011"	""	""	""	"100004,200"	"110405,2"	"110404,10"	"110406,15"	"100203,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125012"	""	""	""	"110101,30"	"110102,15"	"110201,30"	"110202,15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125013"	""	""	""	"110101,40"	"110102,20"	"110201,40"	"110202,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125014"	""	""	""	"110101,50"	"110102,30"	"110201,50"	"110202,30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125015"	""	""	""	"808000,60"	"808001,90"	"808002,30"	"100036,30"	"100080,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125016"	""	""	""	"808003,30"	"808004,45"	"808005,15"	"100036,30"	"100080,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125017"	""	""	""	"808006,20"	"808007,30"	"808008,10"	"100036,30"	"100080,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125018"	""	""	""	"100010,1000"	"100036,5"	"100039,20"	"100040,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125019"	""	""	""	"100010,2000"	"100036,10"	"110401,10"	"110402,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125020"	""	""	""	"100010,3000"	"110406,10"	"110404,4"	"110405,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125021"	""	""	""	"100004,100"	"100044,5"	"100101,50"	"100102,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125022"	""	""	""	"100081,5"	"100082,5"	"100083,5"	"100084,5"	"100085,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125023"	""	""	""	"100081,10"	"100082,10"	"100083,10"	"100084,10"	"100085,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125024"	""	""	""	"110101,10"	"110201,10"	"110301,10"	"100076,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125025"	""	""	""	"110101,5"	"110201,5"	"110301,5"	"100076,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125026"	""	""	""	"100004,100"	"100036,20"	"110101,10"	"110201,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125027"	""	""	""	"100004,100"	"100036,20"	"100101,100"	"100102,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125028"	""	""	""	"710300,2"	"100044,5"	"100080,20"	"808200,8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125029"	""	""	""	"710300,2"	"100044,5"	"100080,20"	"808201,6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125030"	""	""	""	"710300,2"	"100044,5"	"100080,20"	"808204,15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125031"	""	""	""	"100081,25"	"100082,25"	"100083,25"	"100084,25"	"100085,25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125032"	""	""	""	"100081,15"	"100082,15"	"100083,15"	"100084,15"	"100085,15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125033"	""	""	""	"100004,100"	"100010,10000"	"100001,100000"	"110401,10"	"110402,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125034"	""	""	""	"100004,150"	"100010,15000"	"100001,150000"	"110101,20"	"110102,8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125035"	""	""	""	"100004,200"	"100010,20000"	"100001,200000"	"110201,25"	"110202,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125036"	""	""	""	"100004,150"	"100010,15000"	"100001,150000"	"110301,20"	"110302,8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125037"	""	""	""	"100039,30"	"100040,10"	"110101,15"	"110201,15"	"110301,15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125038"	""	""	""	"100039,30"	"100040,10"	"110101,25"	"110201,25"	"110301,25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125039"	""	""	""	"100039,50"	"100040,20"	"110101,30"	"110201,30"	"110301,30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125040"	""	""	""	"100001,100000"	"100036,50"	"100039,30"	"100040,10"	"100044,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125041"	""	""	""	"100001,150000"	"100036,80"	"100039,50"	"100040,15"	"100044,8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125042"	""	""	""	"100001,200000"	"100036,100"	"100039,60"	"100040,20"	"100044,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
