"判定ID"	"描述"	"效果位0x01：结算伤害，0x02：结算buff/debuff"	"区域类型1.选中目标2.原点处圆形范围加偏移圆形半径,正向偏移,左向偏移3.选中目标点处圆形范围圆形半径4.原点前方扇形范围扇形外径,左偏移角，右偏移角,扇形内径，顶点偏移5.原点前方一定距离的长条形区域长度,宽度,偏移,旋转角度(逆时针)6.选中目标点前方一定距离的长条形区域长度,宽度7.从原点到选中目标点的长条形区域宽度"	"区域参数1"	"区域参数2"	"区域参数3"	"区域参数4"	"区域参数5"	"判定延迟时间（ms）"	"目标个数上限AOE技能可攻击的最大目标个数"	"范围搜索的逻辑规则0=1次结算；1=把判定区域按照距离分成n等分，依次结算；2=把判定区域按照距离分成n等分，依次叠加结算；3=在判定区域内按照时间平滑过渡结算"	"范围搜索顺序如果搜索逻辑规则不是0，则0=从近及远进行搜索；1=由远及近进行搜索"	"范围搜索间隔如果范围搜索逻辑规则是1或2，那么就是范围搜索的时间间隔；如果范围搜索逻辑规则是3，那么就是整个平滑搜索的时间，单位ms"	"范围搜索次数"	"受击表现效果ID"	"死亡时[碎尸几率,击飞几率]<=1，都填0时播放死亡动画"	"伤害-击退类型0:普通击退1:挤开2:拉到周围"	"伤害-击退几率(0-1)"	"伤害-击退距离最小值单位m"	"伤害-击退距离最大值单位m"	"击中产生buff1"	"击中产生buff2"	"击中产生buff3"	"buff1产生几率"	"buff2产生几率"	"buff3产生几率"	"物理力类型0=无，1=左切线,2=右切线,3=方向,4=爆炸//"	"力大小"	"力偏移角度"	"力校正(Y),提供向上方向打飞的力"	"力高度0=上1=中2=下"	"反向力(上)取值为0.0到1.0,表示百分比"	"反向力(中)取值为0.0到1.0,表示百分比"	"反向力(下)取值为0.0到1.0,表示百分比"	"是否必中"	"技能伤害百分比"	"技能伤害固定值"	"属性伤害类型0=物理，1=火，2=水，3=风，4=土"	"技能伤害百分比-等级修正"	"技能伤害固定值-等级修正"	""	
"10100010"	"五岳连横扇形刀波"	"3"	"4"	"5.500000"	"75.000000"	"75.000000"	"0.000000"	"-0.500000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"390.000000"	"0.000000"	"1.200000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"180"	"180"	"1"	"[[2,300,0]]"	"[[2,60,50],[61,80,108],[81,100,230],[101,120,372],[121,150,640],[151,200,1745],[201,250,2509],[251,300,3000]]"	""	
"10100021"	"剑啸风花伤害/每次共4次"	"3"	"2"	"2.300000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"7"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"520.000000"	"0.000000"	"1.320000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"32"	"32"	"1"	"[[2,300,0]]"	"[[2,60,8],[61,80,19],[81,100,40],[101,120,66],[121,150,113],[151,200,310],[201,250,446],[251,300,533]]"	""	
"10100031"	"星河流光伤害"	"3"	"2"	"4.800000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"400"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"60"	"60"	"1"	"[[2,300,0]]"	"[[2,60,16],[61,80,36],[81,100,76],[101,120,124],[121,150,213],[151,200,581],[201,250,836],[251,300,999]]"	""	
"10100032"	"星河流光伤害"	"3"	"2"	"4.800000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"600"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"60"	"60"	"1"	"[[2,300,0]]"	"[[2,60,16],[61,80,36],[81,100,76],[101,120,124],[121,150,213],[151,200,581],[201,250,836],[251,300,999]]"	""	
"10100033"	"星河流光伤害"	"3"	"2"	"4.800000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"800"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"60"	"60"	"1"	"[[2,300,0]]"	"[[2,60,16],[61,80,36],[81,100,76],[101,120,124],[121,150,213],[151,200,581],[201,250,836],[251,300,999]]"	""	
"10100034"	"星河流光伤害"	"3"	"2"	"4.800000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"1000"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"60"	"60"	"1"	"[[2,300,0]]"	"[[2,60,16],[61,80,36],[81,100,76],[101,120,124],[121,150,213],[151,200,581],[201,250,836],[251,300,999]]"	""	
"10100035"	"星河流光伤害"	"3"	"2"	"4.800000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"1200"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"60"	"60"	"1"	"[[2,300,0]]"	"[[2,60,16],[61,80,36],[81,100,76],[101,120,124],[121,150,213],[151,200,581],[201,250,836],[251,300,999]]"	""	
"10100036"	"星河流光伤害"	"3"	"2"	"4.800000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"1533"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_2hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"60"	"60"	"1"	"[[2,300,0]]"	"[[2,60,16],[61,80,36],[81,100,76],[101,120,124],[121,150,213],[151,200,581],[201,250,836],[251,300,999]]"	""	
"10101000"	"璇光斩1"	"3"	"5"	"6.500000"	"1.200000"	"-0.500000"	"0.000000"	"0.000000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"64"	"640"	"0"	"[[2,300,0]]"	"[[2,60,17],[61,80,38],[81,100,81],[101,120,132],[121,150,227],[151,200,620],[201,250,892],[251,300,1066]]"	""	
"10101001"	"璇光斩2"	"3"	"4"	"3.300000"	"150.000000"	"150.000000"	"0.000000"	"-0.500000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"1"	"325.000000"	"-25.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"54"	"540"	"0"	"[[2,300,0]]"	"[[2,60,15],[61,80,32],[81,100,69],[101,120,111],[121,150,192],[151,200,523],[201,250,752],[251,300,899]]"	""	
"10101002"	"璇光斩3"	"3"	"4"	"3.300000"	"150.000000"	"150.000000"	"0.000000"	"-0.500000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"2"	"325.000000"	"-25.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"67"	"670"	"0"	"[[2,300,0]]"	"[[2,60,18],[61,80,40],[81,100,85],[101,120,138],[121,150,238],[151,200,649],[201,250,934],[251,300,1116]]"	""	
"10101003"	"璇光斩4"	"3"	"4"	"3.700000"	"150.000000"	"150.000000"	"0.000000"	"-0.500000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"1"	"390.000000"	"-25.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"105"	"1050"	"0"	"[[2,300,0]]"	"[[2,60,29],[61,80,63],[81,100,134],[101,120,217],[121,150,373],[151,200,1018],[201,250,1464],[251,300,1750]]"	""	
"10101010"	"五岳连横扇形刀波"	"3"	"4"	"6.500000"	"75.000000"	"75.000000"	"0.000000"	"-0.500000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"390.000000"	"0.000000"	"1.200000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"184"	"1840"	"1"	"[[2,300,0]]"	"[[2,60,51],[61,80,110],[81,100,235],[101,120,380],[121,150,654],[151,200,1784],[201,250,2565],[251,300,3066]]"	""	
"10101021"	"剑啸风花伤害/每次共4次"	"3"	"2"	"3.300000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"7"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"520.000000"	"0.000000"	"1.320000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"33"	"330"	"1"	"[[2,300,0]]"	"[[2,60,9],[61,80,19],[81,100,42],[101,120,68],[121,150,117],[151,200,320],[201,250,460],[251,300,550]]"	""	
"10101031"	"星河流光伤害"	"3"	"2"	"6.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"400"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"61"	"610"	"1"	"[[2,300,0]]"	"[[2,60,17],[61,80,36],[81,100,78],[101,120,126],[121,150,216],[151,200,591],[201,250,850],[251,300,1016]]"	""	
"10101032"	"星河流光伤害"	"3"	"2"	"6.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"600"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"61"	"610"	"1"	"[[2,300,0]]"	"[[2,60,17],[61,80,36],[81,100,78],[101,120,126],[121,150,216],[151,200,591],[201,250,850],[251,300,1016]]"	""	
"10101033"	"星河流光伤害"	"3"	"2"	"6.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"800"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"61"	"610"	"1"	"[[2,300,0]]"	"[[2,60,17],[61,80,36],[81,100,78],[101,120,126],[121,150,216],[151,200,591],[201,250,850],[251,300,1016]]"	""	
"10101034"	"星河流光伤害"	"3"	"2"	"6.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"1000"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"61"	"610"	"1"	"[[2,300,0]]"	"[[2,60,17],[61,80,36],[81,100,78],[101,120,126],[121,150,216],[151,200,591],[201,250,850],[251,300,1016]]"	""	
"10101035"	"星河流光伤害"	"3"	"2"	"6.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"1200"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"61"	"610"	"1"	"[[2,300,0]]"	"[[2,60,17],[61,80,36],[81,100,78],[101,120,126],[121,150,216],[151,200,591],[201,250,850],[251,300,1016]]"	""	
"10101036"	"星河流光伤害"	"3"	"2"	"6.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"1533"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_3hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"61"	"610"	"1"	"[[2,300,0]]"	"[[2,60,17],[61,80,36],[81,100,78],[101,120,126],[121,150,216],[151,200,591],[201,250,850],[251,300,1016]]"	""	
"10102000"	"璇光斩1"	"3"	"5"	"6.500000"	"1.200000"	"-0.500000"	"0.000000"	"0.000000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"325.000000"	"0.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"65"	"1950"	"0"	"[[2,300,0]]"	"[[2,60,18],[61,80,39],[81,100,83],[101,120,134],[121,150,231],[151,200,630],[201,250,906],[251,300,1083]]"	""	
"10102001"	"璇光斩2"	"3"	"4"	"3.300000"	"150.000000"	"150.000000"	"0.000000"	"-0.500000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"1"	"325.000000"	"-25.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"55"	"1650"	"0"	"[[2,300,0]]"	"[[2,60,15],[61,80,33],[81,100,70],[101,120,113],[121,150,195],[151,200,533],[201,250,766],[251,300,916]]"	""	
"10102002"	"璇光斩3"	"3"	"4"	"3.300000"	"150.000000"	"150.000000"	"0.000000"	"-0.500000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"2"	"325.000000"	"-25.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"68"	"2040"	"0"	"[[2,300,0]]"	"[[2,60,19],[61,80,40],[81,100,87],[101,120,140],[121,150,241],[151,200,659],[201,250,948],[251,300,1133]]"	""	
"10102003"	"璇光斩4"	"3"	"4"	"3.700000"	"150.000000"	"150.000000"	"0.000000"	"-0.500000"	"0"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"1"	"390.000000"	"-25.000000"	"0.960000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"107"	"3210"	"0"	"[[2,300,0]]"	"[[2,60,29],[61,80,64],[81,100,136],[101,120,221],[121,150,380],[151,200,1037],[201,250,1492],[251,300,1783]]"	""	
"10102010"	"五岳连横扇形刀波"	"3"	"4"	"7.000000"	"75.000000"	"75.000000"	"0.000000"	"-0.500000"	"0"	"5"	"0"	"0"	"0"	"0"	"zhujue_zj_4hit.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"390.000000"	"0.000000"	"1.200000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"188"	"5640"	"1"	"[[2,300,0]]"	"[[2,60,52],[61,80,112],[81,100,240],[101,120,388],[121,150,668],[151,200,1823],[201,250,2621],[251,300,3133]]"	""	
"10102021"	"剑啸风花伤害/每次共4次"	"3"	"2"	"4.000000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"7"	"0"	"0"	"0"	"0"	"zhujue_zj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"4"	"520.000000"	"0.000000"	"1.320000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"34"	"1020"	"1"	"[[2,300,0]]"	"[[2,60,9],[61,80,20],[81,100,43],[101,120,70],[121,150,120],[151,200,329],[201,250,474],[251,300,566]]"	""	
"10102031"	"星河流光伤害"	"3"	"2"	"8.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"400"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"62"	"1860"	"1"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,79],[101,120,128],[121,150,220],[151,200,601],[201,250,864],[251,300,1033]]"	""	
"10102032"	"星河流光伤害"	"3"	"2"	"8.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"600"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"62"	"1860"	"1"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,79],[101,120,128],[121,150,220],[151,200,601],[201,250,864],[251,300,1033]]"	""	
"10102033"	"星河流光伤害"	"3"	"2"	"8.500000"	"0.000000"	"0.000000"	"0.000000"	"0.000000"	"800"	"3"	"0"	"0"	"0"	"0"	"zhujue_zj_4hit2.act.txt"	"0,1"	"0"	"0.000000"	"0.000000"	"0.000000"	"100"	"-1"	"-1"	"1.000000"	"1.000000"	"1.000000"	"3"	"585.000000"	"0.000000"	"1.320000"	"2.000000"	"0.000000"	"0.000000"	"0.000000"	"0"	"62"	"1860"	"1"	"[[2,300,0]]"	"[[2,60,17],[61,80,37],[81,100,79],[101,120,128],[121,150,220],[151,200,601],[201,250,864],[251,300,1033]]"	""	
