"坐骑等级"	"类型（1=普通坐骑,2=待定）"	"坐骑升级所需材料ID"	"当前级坐骑升级单次所需材料级量"	"当前级坐骑升级所需总材料级量"	"当前级坐骑附加属性（填总属性值，而非差值）（属性ID，属性值）"	"当前阶当前级属性占比（每次升阶段占总属性的百分之多少，填累加值，结果向下取整）（第1个数据是0星属性）"	
"11"	"1"	"110101"	"3"	"9"	"0,40227,1,2011,2,1006,12,201,14,201,18,201,16,201"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"12"	"1"	"110101"	"3"	"9"	"0,48696,1,2435,2,1217,12,243,14,243,18,243,16,243"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"13"	"1"	"110101"	"3"	"9"	"0,57164,1,2858,2,1429,12,286,14,286,18,286,16,286"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"14"	"1"	"110101"	"3"	"9"	"0,65633,1,3282,2,1641,12,328,14,328,18,328,16,328"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"15"	"1"	"110101"	"3"	"9"	"0,74102,1,3705,2,1853,12,371,14,371,18,371,16,371"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"16"	"1"	"110101"	"3"	"9"	"0,82571,1,4129,2,2064,12,413,14,413,18,413,16,413"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"17"	"1"	"110101"	"3"	"9"	"0,91040,1,4552,2,2276,12,455,14,455,18,455,16,455"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"18"	"1"	"110101"	"3"	"9"	"0,99508,1,4975,2,2488,12,498,14,498,18,498,16,498"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"19"	"1"	"110101"	"3"	"9"	"0,107977,1,5399,2,2699,12,540,14,540,18,540,16,540"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"20"	"1"	"110101"	"3"	"9"	"0,116446,1,5822,2,2911,12,582,14,582,18,582,16,582"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"21"	"1"	"110101"	"4"	"16"	"0,129149,1,6457,2,3229,12,646,14,646,18,646,16,646"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"22"	"1"	"110101"	"4"	"16"	"0,141852,1,7093,2,3546,12,709,14,709,18,709,16,709"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"23"	"1"	"110101"	"4"	"16"	"0,154556,1,7728,2,3864,12,773,14,773,18,773,16,773"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"24"	"1"	"110101"	"4"	"16"	"0,167259,1,8363,2,4181,12,836,14,836,18,836,16,836"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"25"	"1"	"110101"	"4"	"16"	"0,179962,1,8998,2,4499,12,900,14,900,18,900,16,900"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"26"	"1"	"110101"	"4"	"16"	"0,192665,1,9633,2,4817,12,963,14,963,18,963,16,963"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"27"	"1"	"110101"	"4"	"16"	"0,205368,1,10268,2,5134,12,1027,14,1027,18,1027,16,1027"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"28"	"1"	"110101"	"4"	"16"	"0,218072,1,10904,2,5452,12,1090,14,1090,18,1090,16,1090"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"29"	"1"	"110101"	"4"	"16"	"0,230775,1,11539,2,5769,12,1154,14,1154,18,1154,16,1154"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"30"	"1"	"110101"	"4"	"16"	"0,243478,1,12174,2,6087,12,1217,14,1217,18,1217,16,1217"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"31"	"1"	"110101"	"5"	"25"	"0,259357,1,12968,2,6484,12,1297,14,1297,18,1297,16,1297"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"32"	"1"	"110101"	"5"	"25"	"0,275236,1,13762,2,6881,12,1376,14,1376,18,1376,16,1376"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"33"	"1"	"110101"	"5"	"25"	"0,291115,1,14556,2,7278,12,1456,14,1456,18,1456,16,1456"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"34"	"1"	"110101"	"5"	"25"	"0,306994,1,15350,2,7675,12,1535,14,1535,18,1535,16,1535"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"35"	"1"	"110101"	"5"	"25"	"0,322873,1,16144,2,8072,12,1614,14,1614,18,1614,16,1614"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"36"	"1"	"110101"	"5"	"25"	"0,338752,1,16938,2,8469,12,1694,14,1694,18,1694,16,1694"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"37"	"1"	"110101"	"5"	"25"	"0,354631,1,17732,2,8866,12,1773,14,1773,18,1773,16,1773"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"38"	"1"	"110101"	"5"	"25"	"0,370510,1,18526,2,9263,12,1853,14,1853,18,1853,16,1853"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"39"	"1"	"110101"	"5"	"25"	"0,386389,1,19319,2,9660,12,1932,14,1932,18,1932,16,1932"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"40"	"1"	"110101"	"5"	"25"	"0,402268,1,20113,2,10057,12,2011,14,2011,18,2011,16,2011"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"41"	"1"	"110101"	"6"	"36"	"0,423440,1,21172,2,10586,12,2117,14,2117,18,2117,16,2117"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"42"	"1"	"110101"	"6"	"36"	"0,444612,1,22231,2,11115,12,2223,14,2223,18,2223,16,2223"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"43"	"1"	"110101"	"6"	"36"	"0,465784,1,23289,2,11645,12,2329,14,2329,18,2329,16,2329"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"44"	"1"	"110101"	"6"	"36"	"0,486956,1,24348,2,12174,12,2435,14,2435,18,2435,16,2435"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"45"	"1"	"110101"	"6"	"36"	"0,508128,1,25406,2,12703,12,2541,14,2541,18,2541,16,2541"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"46"	"1"	"110101"	"6"	"36"	"0,529300,1,26465,2,13233,12,2647,14,2647,18,2647,16,2647"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"47"	"1"	"110101"	"6"	"36"	"0,550472,1,27524,2,13762,12,2752,14,2752,18,2752,16,2752"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"48"	"1"	"110101"	"6"	"36"	"0,571644,1,28582,2,14291,12,2858,14,2858,18,2858,16,2858"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"49"	"1"	"110101"	"6"	"36"	"0,592816,1,29641,2,14820,12,2964,14,2964,18,2964,16,2964"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"50"	"1"	"110101"	"6"	"36"	"0,613988,1,30699,2,15350,12,3070,14,3070,18,3070,16,3070"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"51"	"1"	"110101"	"7"	"49"	"0,639394,1,31970,2,15985,12,3197,14,3197,18,3197,16,3197"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"52"	"1"	"110101"	"7"	"49"	"0,664801,1,33240,2,16620,12,3324,14,3324,18,3324,16,3324"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"53"	"1"	"110101"	"7"	"49"	"0,690207,1,34510,2,17255,12,3451,14,3451,18,3451,16,3451"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"54"	"1"	"110101"	"7"	"49"	"0,715614,1,35781,2,17890,12,3578,14,3578,18,3578,16,3578"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"55"	"1"	"110101"	"7"	"49"	"0,741020,1,37051,2,18526,12,3705,14,3705,18,3705,16,3705"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"56"	"1"	"110101"	"7"	"49"	"0,766426,1,38321,2,19161,12,3832,14,3832,18,3832,16,3832"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"57"	"1"	"110101"	"7"	"49"	"0,791833,1,39592,2,19796,12,3959,14,3959,18,3959,16,3959"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"58"	"1"	"110101"	"7"	"49"	"0,817239,1,40862,2,20431,12,4086,14,4086,18,4086,16,4086"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"59"	"1"	"110101"	"7"	"49"	"0,842646,1,42132,2,21066,12,4213,14,4213,18,4213,16,4213"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"60"	"1"	"110101"	"7"	"49"	"0,868052,1,43403,2,21701,12,4340,14,4340,18,4340,16,4340"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"61"	"1"	"110101"	"8"	"64"	"0,895576,1,44779,2,22389,12,4478,14,4478,18,4478,16,4478"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"62"	"1"	"110101"	"8"	"64"	"0,923099,1,46155,2,23077,12,4615,14,4615,18,4615,16,4615"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"63"	"1"	"110101"	"8"	"64"	"0,950623,1,47531,2,23766,12,4753,14,4753,18,4753,16,4753"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"64"	"1"	"110101"	"8"	"64"	"0,978146,1,48907,2,24454,12,4891,14,4891,18,4891,16,4891"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"65"	"1"	"110101"	"8"	"64"	"0,1005670,1,50284,2,25142,12,5028,14,5028,18,5028,16,5028"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"66"	"1"	"110101"	"8"	"64"	"0,1033194,1,51660,2,25830,12,5166,14,5166,18,5166,16,5166"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"67"	"1"	"110101"	"8"	"64"	"0,1060717,1,53036,2,26518,12,5304,14,5304,18,5304,16,5304"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"68"	"1"	"110101"	"8"	"64"	"0,1088241,1,54412,2,27206,12,5441,14,5441,18,5441,16,5441"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"69"	"1"	"110101"	"8"	"64"	"0,1115764,1,55788,2,27894,12,5579,14,5579,18,5579,16,5579"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"70"	"1"	"110101"	"8"	"64"	"0,1143288,1,57164,2,28582,12,5716,14,5716,18,5716,16,5716"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"71"	"1"	"110101"	"9"	"81"	"0,1172929,1,58646,2,29323,12,5865,14,5865,18,5865,16,5865"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"72"	"1"	"110101"	"9"	"81"	"0,1202570,1,60128,2,30064,12,6013,14,6013,18,6013,16,6013"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"73"	"1"	"110101"	"9"	"81"	"0,1232210,1,61611,2,30805,12,6161,14,6161,18,6161,16,6161"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"74"	"1"	"110101"	"9"	"81"	"0,1261851,1,63093,2,31546,12,6309,14,6309,18,6309,16,6309"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"75"	"1"	"110101"	"9"	"81"	"0,1291492,1,64575,2,32287,12,6457,14,6457,18,6457,16,6457"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"76"	"1"	"110101"	"9"	"81"	"0,1321133,1,66057,2,33028,12,6606,14,6606,18,6606,16,6606"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"77"	"1"	"110101"	"9"	"81"	"0,1350774,1,67539,2,33769,12,6754,14,6754,18,6754,16,6754"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"78"	"1"	"110101"	"9"	"81"	"0,1380414,1,69021,2,34510,12,6902,14,6902,18,6902,16,6902"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"79"	"1"	"110101"	"9"	"81"	"0,1410055,1,70503,2,35251,12,7050,14,7050,18,7050,16,7050"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"80"	"1"	"110101"	"9"	"81"	"0,1439696,1,71985,2,35992,12,7198,14,7198,18,7198,16,7198"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"81"	"1"	"110101"	"10"	"100"	"0,1471454,1,73573,2,36786,12,7357,14,7357,18,7357,16,7357"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"82"	"1"	"110101"	"10"	"100"	"0,1503212,1,75161,2,37580,12,7516,14,7516,18,7516,16,7516"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"83"	"1"	"110101"	"10"	"100"	"0,1534970,1,76749,2,38374,12,7675,14,7675,18,7675,16,7675"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"84"	"1"	"110101"	"10"	"100"	"0,1566728,1,78336,2,39168,12,7834,14,7834,18,7834,16,7834"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"85"	"1"	"110101"	"10"	"100"	"0,1598486,1,79924,2,39962,12,7992,14,7992,18,7992,16,7992"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"86"	"1"	"110101"	"10"	"100"	"0,1630244,1,81512,2,40756,12,8151,14,8151,18,8151,16,8151"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"87"	"1"	"110101"	"10"	"100"	"0,1662002,1,83100,2,41550,12,8310,14,8310,18,8310,16,8310"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"88"	"1"	"110101"	"10"	"100"	"0,1693760,1,84688,2,42344,12,8469,14,8469,18,8469,16,8469"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"89"	"1"	"110101"	"10"	"100"	"0,1725518,1,86276,2,43138,12,8628,14,8628,18,8628,16,8628"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"90"	"1"	"110101"	"10"	"100"	"0,1757276,1,87864,2,43932,12,8786,14,8786,18,8786,16,8786"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"91"	"1"	"110101"	"11"	"121"	"0,1793268,1,89663,2,44832,12,8966,14,8966,18,8966,16,8966"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"92"	"1"	"110101"	"11"	"121"	"0,1829261,1,91463,2,45732,12,9146,14,9146,18,9146,16,9146"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"93"	"1"	"110101"	"11"	"121"	"0,1865253,1,93263,2,46631,12,9326,14,9326,18,9326,16,9326"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"94"	"1"	"110101"	"11"	"121"	"0,1901246,1,95062,2,47531,12,9506,14,9506,18,9506,16,9506"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"95"	"1"	"110101"	"11"	"121"	"0,1937238,1,96862,2,48431,12,9686,14,9686,18,9686,16,9686"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"96"	"1"	"110101"	"11"	"121"	"0,1973230,1,98662,2,49331,12,9866,14,9866,18,9866,16,9866"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"97"	"1"	"110101"	"11"	"121"	"0,2009223,1,100461,2,50231,12,10046,14,10046,18,10046,16,10046"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"98"	"1"	"110101"	"11"	"121"	"0,2045215,1,102261,2,51130,12,10226,14,10226,18,10226,16,10226"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"99"	"1"	"110101"	"11"	"121"	"0,2081208,1,104060,2,52030,12,10406,14,10406,18,10406,16,10406"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"100"	"1"	"110101"	"11"	"121"	"0,2117200,1,105860,2,52930,12,10586,14,10586,18,10586,16,10586"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
