"编号"	"怪物等级段"	"怪物ID随机选一刷怪物模型前7行为一波，循环复用"	"品质稀有度(1=绿，2=蓝，3=紫，4=金)"	"品质对应文字界面下拉菜单使用"	"提品消耗"	"击杀奖励（显示在界面中）可最多5个物品ID"	"界面模型体积缩放调整的是照射模型的摄像机Size"	"界面模型上下位移"	
"12"	"101,120"	"52045,52046,52047,52048"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"2.5,4.6,2.4,3.6"	"-2,-3.5,-2,-3.7"	
"13"	"121,140"	"52049,52050,52051,52052"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"2.2,2.2,4.2,4.5"	"-1.7,-1.7,-3.2,-3.5"	
"14"	"121,140"	"52053,52054,52055,52056"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"4.5,3.3,4,4.4"	"-3.5,-2.5,-3,-3.4"	
"15"	"121,140"	"52057,52058,52059,52060"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"4,3.3,2,3.8"	"-3.2,-2.6,-1.6,-3"	
"16"	"121,140"	"52061,52062,52063,52064"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"3.8,5,3.5,2.2"	"-2.9,-4,-2.7,-1.7"	
"17"	"141,160"	"52065,52066,52067,52068"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"3.6,3.5,3,4.4"	"-2.8,-2.7,-2.4,-3.8"	
"18"	"141,160"	"52069,52070,52071,52072"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"2.5,4.6,2.4,3.6"	"-2,-3.5,-2,-3.7"	
"19"	"141,160"	"52073,52074,52075,52076"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"2.2,2.2,4.2,4.5"	"-1.7,-1.7,-3.2,-3.5"	
"20"	"141,160"	"52077,52078,52079,52080"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"4.5,3.3,4,4.4"	"-3.5,-2.5,-3,-3.4"	
"21"	"161,180"	"52081,52082,52083,52084"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"4,3.3,2,3.8"	"-3.2,-2.6,-1.6,-3"	
"22"	"161,180"	"52085,52086,52087,52088"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"3.8,5,3.5,2.2"	"-2.9,-4,-2.7,-1.7"	
"23"	"161,180"	"52089,52090,52091,52092"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"3.6,3.5,3,4.4"	"-2.8,-2.7,-2.4,-3.8"	
"24"	"161,180"	"52093,52094,52095,52096"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"2.5,4.6,2.4,3.6"	"-2,-3.5,-2,-3.7"	
"25"	"181,200"	"52097,52098,52099,52100"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"2.2,2.2,4.2,4.5"	"-1.7,-1.7,-3.2,-3.5"	
"26"	"181,200"	"52101,52102,52103,52104"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"4.5,3.3,4,4.4"	"-3.5,-2.5,-3,-3.4"	
"27"	"181,200"	"52105,52106,52107,52108"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"4,3.3,2,3.8"	"-3.2,-2.6,-1.6,-3"	
"28"	"181,200"	"52109,52110,52111,52112"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"3.8,5,3.5,2.2"	"-2.9,-4,-2.7,-1.7"	
"29"	"201,220"	"52113,52114,52115,52116"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"3.6,3.5,3,4.4"	"-2.8,-2.7,-2.4,-3.8"	
"30"	"201,220"	"52117,52118,52119,52120"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"2.5,4.6,2.4,3.6"	"-2,-3.5,-2,-3.7"	
"31"	"201,220"	"52121,52122,52123,52124"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"2.2,2.2,4.2,4.5"	"-1.7,-1.7,-3.2,-3.5"	
"32"	"201,220"	"52125,52126,52127,52128"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"4.5,3.3,4,4.4"	"-3.5,-2.5,-3,-3.4"	
"33"	"221,240"	"52129,52130,52131,52132"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"4,3.3,2,3.8"	"-3.2,-2.6,-1.6,-3"	
"34"	"221,240"	"52133,52134,52135,52136"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"3.8,5,3.5,2.2"	"-2.9,-4,-2.7,-1.7"	
"35"	"221,240"	"52137,52138,52139,52140"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"3.6,3.5,3,4.4"	"-2.8,-2.7,-2.4,-3.8"	
"36"	"221,240"	"52141,52142,52143,52144"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"2.5,4.6,2.4,3.6"	"-2,-3.5,-2,-3.7"	
"37"	"241,260"	"52145,52146,52147,52148"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"2.2,2.2,4.2,4.5"	"-1.7,-1.7,-3.2,-3.5"	
"38"	"241,260"	"52149,52150,52151,52152"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"4.5,3.3,4,4.4"	"-3.5,-2.5,-3,-3.4"	
"39"	"241,260"	"52153,52154,52155,52156"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"4,3.3,2,3.8"	"-3.2,-2.6,-1.6,-3"	
"40"	"241,260"	"52157,52158,52159,52160"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"3.8,5,3.5,2.2"	"-2.9,-4,-2.7,-1.7"	
"41"	"261,280"	"52161,52162,52163,52164"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"3.6,3.5,3,4.4"	"-2.8,-2.7,-2.4,-3.8"	
"42"	"261,280"	"52165,52166,52167,52168"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"2.5,4.6,2.4,3.6"	"-2,-3.5,-2,-3.7"	
"43"	"261,280"	"52169,52170,52171,52172"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"2.2,2.2,4.2,4.5"	"-1.7,-1.7,-3.2,-3.5"	
"44"	"261,280"	"52173,52174,52175,52176"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"4.5,3.3,4,4.4"	"-3.5,-2.5,-3,-3.4"	
"45"	"281,300"	"52177,52178,52179,52180"	"1"	"绿色品质"	"100075,1"	"100076,808256,808259"	"4,3.3,2,3.8"	"-3.2,-2.6,-1.6,-3"	
"46"	"281,300"	"52181,52182,52183,52184"	"2"	"蓝色品质"	"100075,2"	"100076,808256,808259"	"3.8,5,3.5,2.2"	"-2.9,-4,-2.7,-1.7"	
"47"	"281,300"	"52185,52186,52187,52188"	"3"	"紫色品质"	"100075,3"	"100076,808256,808259"	"3.6,3.5,3,4.4"	"-2.8,-2.7,-2.4,-3.8"	
"48"	"281,300"	"52189,52190,52190,52192"	"4"	"金色品质"	"0,0"	"100076,808256,808259"	"2.5,4.6,2.4,3.6"	"-2,-3.5,-2,-3.7"	
