"子弹ID"	"描述"	"目标类型1.选中目标点（选点技能）2.选中目标方向固定距离的点（选点技能）距离3.选中原点处圆形范围内随机一个点（选点技能）范围半径4.选中目标点处圆形范围内随机一个点（选点技能）范围半径5.选择目标方向带方向偏移（子弹类技能）偏移角度6.选择目标方向随机方向偏移（子弹类技能）范围参数1（向左偏移角度一般为正数）范围参数2（向右偏移角度一般为负数）7.选中目标方向固定距离点带方向偏移（选点技能）距离偏移角度8.选中目标方向固定距离点随机方向偏移（选点技能）距离范围参数1范围参数2"	"目标参数1"	"目标参数2"	"目标参数3"	"产生方式0=平行1=扇形2=追踪3=随机曲线"	"产生数量"	"子弹空间间隔如果产生方式是0，则填入距离；如果产生方式是1，则填入角度"	"飞行曲线bezier曲线id-1表示直线1=2=3=4="	"最大飞行距离（m）"	"飞行速度（m/s）"	"碰撞后产生技能ID"	"最大碰撞次数"	"到最大距离是否产生效果"	"产生挂点定子弹飞出的高度挂点专人专用，绝不可复制"	"子弹产生挂点(坐标z,x,y)"	"子弹大小子弹的判定半径"	"只造成一次伤害"	"(全局)只造成一次伤害"	"生效延迟时间（ms）"	"子弹附加光环"	"掩码0x01=不产生碰撞"	"特效"	"消失表现"	"模型缩小比例"	
"10203010"	"五岳连横"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"14.000000"	"-1"	"7.500000"	"22.000000"	"-1"	"1"	"0"	"self"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"1"	"zhuanjian4_attack2_b.prefab"	""	"1.000000"	
"30000200"	"楚玉普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30000209"	"1"	"0"	"Bip001RFinger1"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1415_attack1_b.prefab"	""	"1.000000"	
"30000201"	"楚玉普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30000209"	"1"	"0"	"Bip001RFinger1"	"0,0,0"	"0.500000"	"0"	"0"	"333"	"0"	"0"	"1415_attack1_b.prefab"	""	"1.000000"	
"30000202"	"楚玉普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30000209"	"1"	"0"	"Bip001RFinger1"	"0,0,0"	"0.500000"	"0"	"0"	"1000"	"0"	"0"	"1415_attack1_b.prefab"	""	"1.000000"	
"30000210"	"楚玉发波合体技"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"13.000000"	"22.000000"	"30000211"	"3"	"0"	"Bip001Spine1"	"0,0,0"	"0.600000"	"1"	"0"	"0"	"0"	"0"	"1415_attack2_d.prefab"	""	"1.000000"	
"30000400"	"恒远普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30000409"	"1"	"0"	"Bip001Spine1"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1405_attack1_d.prefab"	""	"1.000000"	
"30000401"	"恒远普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30000409"	"1"	"0"	"Bip001Spine1"	"0,0,0"	"0.500000"	"0"	"0"	"500"	"0"	"0"	"1405_attack1_d.prefab"	""	"1.000000"	
"30000402"	"恒远普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30000409"	"1"	"0"	"Bip001Spine1"	"0,0,0"	"0.500000"	"0"	"0"	"900"	"0"	"0"	"1405_attack1_d.prefab"	""	"1.000000"	
"30000700"	"天如镜普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30000709"	"1"	"0"	"Bip001Spine1"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1414_attack1_zidan.prefab"	""	"1.000000"	
"30000701"	"天如镜普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30000709"	"1"	"0"	"Bip001Spine1"	"0,0,0"	"0.500000"	"0"	"0"	"600"	"0"	"0"	"1414_attack1_zidan.prefab"	""	"1.000000"	
"30001000"	"幼蓝普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001009"	"1"	"0"	"t_e_r_wuqi"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1406_attack1_b.prefab"	""	"1.000000"	
"30001001"	"幼蓝普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001009"	"1"	"0"	"t_e_r_wuqi"	"0,0,0"	"0.500000"	"0"	"0"	"400"	"0"	"0"	"1406_attack1_b.prefab"	""	"1.000000"	
"30001020"	"幼蓝目标减速"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001021"	"1"	"0"	"t_e_r_wuqi"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1406_attack3_b.prefab"	""	"1.000000"	
"30001030"	"幼蓝连续射击"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001039"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1406_attack4_b.prefab"	""	"1.000000"	
"30001031"	"幼蓝连续射击"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001039"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"100"	"0"	"0"	"1406_attack4_b.prefab"	""	"1.000000"	
"30001032"	"幼蓝连续射击"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001039"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"200"	"0"	"0"	"1406_attack4_b.prefab"	""	"1.000000"	
"30001400"	"天如月普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001409"	"1"	"0"	"Bip001RHand"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1421_attack1_a.prefab"	""	"1.000000"	
"30001401"	"天如月普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001409"	"1"	"0"	"Bip001RHand"	"0,0,0"	"0.500000"	"0"	"0"	"400"	"0"	"0"	"1421_attack1_a.prefab"	""	"1.000000"	
"30001402"	"天如月普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001409"	"1"	"0"	"Bip001RHand"	"0,0,0"	"0.500000"	"0"	"0"	"900"	"0"	"0"	"1421_attack1_a.prefab"	""	"1.000000"	
"30001800"	"萧别普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001809"	"1"	"0"	"Bip001LHand"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1419_attack1_a.prefab"	""	"1.000000"	
"30001801"	"萧别普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001809"	"1"	"0"	"Bip001RHand"	"0,0,0"	"0.500000"	"0"	"0"	"367"	"0"	"0"	"1419_attack1_a.prefab"	""	"1.000000"	
"30001802"	"萧别普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001809"	"1"	"0"	"Bip001RHand"	"0,0,0"	"0.500000"	"0"	"0"	"900"	"0"	"0"	"1419_attack1_a.prefab"	""	"1.000000"	
"30001810"	"萧别酒狂"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001811"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1419_attack5_4.prefab"	""	"1.000000"	
"30001820"	"萧别沧海龙吟"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30001821"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1419_attack3_c.prefab"	""	"1.000000"	
"30002200"	"王道怜普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30002201"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1415_attack1_b.prefab"	""	"1.000000"	
"30002201"	"王道怜普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30002201"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"267"	"0"	"0"	"1415_attack1_b.prefab"	""	"1.000000"	
"30002202"	"王道怜普攻"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"30002201"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"1167"	"0"	"0"	"1415_attack1_b.prefab"	""	"1.000000"	
"30002220"	"王道怜直线缓慢飞行的子弹"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"22.000000"	"30002221"	"10"	"0"	"self"	"0,0,0"	"2.000000"	"0"	"0"	"0"	"0"	"0"	"1050_attack1_d.prefab"	""	"1.000000"	
"35000600"	"魔道士普攻3次"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"35000609"	"10"	"0"	"Bip001LHand"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1050_attack1_d.prefab"	""	"1.000000"	
"35000601"	"魔道士普攻3次"	"5"	"0.000000"	"0.000000"	"0.000000"	"2"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"35000609"	"10"	"0"	"Bip001LHand"	"0,0,0"	"0.700000"	"0"	"0"	"367"	"0"	"0"	"1050_attack1_d.prefab"	""	"1.000000"	
"35000602"	"魔道士普攻3次"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"30.000000"	"-1"	"17.000000"	"27.000000"	"35000609"	"10"	"0"	"Bip001LHand"	"0,0,0"	"0.700000"	"0"	"0"	"1967"	"0"	"0"	"1050_attack1_d.prefab"	""	"1.000000"	
"35000632"	"魔道士乱射4次每次射击"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"22.000000"	"27.000000"	"35000633"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1050_attack1_d.prefab"	""	"1.000000"	
"35000720"	"蛇女群蛇发射"	"1"	"0.000000"	"0.000000"	"0.000000"	"1"	"18"	"30.000000"	"-1"	"22.000000"	"10.000000"	"35000721"	"20"	"0"	"self"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1046_attack3_1.prefab"	""	"1.000000"	
"35000810"	"柳沉云X斩远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"17.000000"	"27.000000"	"35000811"	"10"	"0"	"self"	"0,0,0"	"1.800000"	"0"	"0"	"0"	"0"	"0"	"1025_attack2_2_zidan.prefab"	""	"1.000000"	
"35000930"	"冰火魔X斩远程火"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"17.000000"	"35.000000"	"35000931"	"10"	"0"	"self"	"0,0,0"	"2.200000"	"0"	"0"	"0"	"0"	"0"	"1047_attack3_1.prefab"	""	"1.000000"	
"35000940"	"冰火魔X斩远程冰"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"17.000000"	"35.000000"	"35000941"	"10"	"0"	"self"	"0,0,0"	"2.200000"	"0"	"0"	"0"	"0"	"0"	"1047_attack3_2.prefab"	""	"1.000000"	
"35001012"	"行刑官乱射骷髅头子弹真子弹单一瞄准"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"10"	"36.000000"	"-1"	"17.000000"	"20.000000"	"35001013"	"10"	"0"	"t_hit"	"0,0,0"	"1.000000"	"0"	"0"	"0"	"0"	"0"	"1048_attack2_b.prefab"	""	"1.000000"	
"35001011"	"行刑官乱射骷髅头子弹真子弹乱射10个"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"17.000000"	"20.000000"	"35001013"	"10"	"0"	"t_hit"	"0,0,0"	"1.000000"	"0"	"0"	"0"	"0"	"0"	"1048_attack2_b.prefab"	""	"1.000000"	
"35001200"	"军师普攻远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"17.000000"	"25.000000"	"35001201"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1059_attack1_d.prefab"	""	"1.000000"	
"35001201"	"军师普攻远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"17.000000"	"25.000000"	"35001201"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"300"	"0"	"0"	"1059_attack1_d.prefab"	""	"1.000000"	
"35001202"	"军师普攻远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"3"	"45.000000"	"-1"	"17.000000"	"25.000000"	"35001201"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"900"	"0"	"0"	"1059_attack1_d.prefab"	""	"1.000000"	
"35001400"	"冰雪女王普攻远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"25.000000"	"35001409"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1057_attack1_d.prefab"	""	"1.000000"	
"35001401"	"冰雪女王普攻远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"25.000000"	"35001409"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"500"	"0"	"0"	"1057_attack1_d.prefab"	""	"1.000000"	
"35001402"	"冰雪女王普攻远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"6"	"20.000000"	"-1"	"25.000000"	"25.000000"	"35001409"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"1167"	"0"	"0"	"1057_attack1_d.prefab"	""	"1.000000"	
"35001421"	"冰雪女王乱射远程每次"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"15.000000"	"35001429"	"1"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1057_attack3_2.prefab"	""	"1.000000"	
"35001422"	"冰雪女王乱射远程每次"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"15.000000"	"35001429"	"1"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1057_attack3_2.prefab"	""	"1.000000"	
"35001423"	"冰雪女王乱射远程每次"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"15.000000"	"35001429"	"1"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1057_attack3_2.prefab"	""	"1.000000"	
"35001424"	"冰雪女王乱射远程每次"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"15.000000"	"35001429"	"1"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1057_attack3_2.prefab"	""	"1.000000"	
"35001425"	"冰雪女王乱射远程每次"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"15.000000"	"35001429"	"1"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1057_attack3_2.prefab"	""	"1.000000"	
"35001426"	"冰雪女王乱射远程每次"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"15.000000"	"35001429"	"1"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1057_attack3_2.prefab"	""	"1.000000"	
"35001427"	"冰雪女王乱射远程每次"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"15.000000"	"35001429"	"1"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1057_attack3_2.prefab"	""	"1.000000"	
"35001428"	"冰雪女王乱射远程每次"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"15.000000"	"35001429"	"1"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"0"	"0"	"0"	"1057_attack3_2.prefab"	""	"1.000000"	
"35001430"	"冰雪女王追踪箭远程"	"5"	"60.000000"	"0.000000"	"0.000000"	"1"	"4"	"15.000000"	"-1"	"25.000000"	"25.000000"	"35001439"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1059_attack1_d.prefab"	""	"1.000000"	
"35001431"	"冰雪女王追踪箭远程"	"5"	"-60.000000"	"0.000000"	"0.000000"	"1"	"4"	"15.000000"	"-1"	"25.000000"	"25.000000"	"35001439"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"267"	"0"	"0"	"1059_attack1_d.prefab"	""	"1.000000"	
"35001432"	"冰雪女王追踪箭远程"	"5"	"60.000000"	"0.000000"	"0.000000"	"1"	"4"	"15.000000"	"-1"	"25.000000"	"25.000000"	"35001439"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"567"	"0"	"0"	"1059_attack1_d.prefab"	""	"1.000000"	
"35001433"	"冰雪女王追踪箭远程"	"5"	"-60.000000"	"0.000000"	"0.000000"	"1"	"4"	"15.000000"	"-1"	"25.000000"	"25.000000"	"35001439"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"800"	"0"	"0"	"1059_attack1_d.prefab"	""	"1.000000"	
"35001434"	"冰雪女王追踪箭远程"	"5"	"60.000000"	"0.000000"	"0.000000"	"1"	"4"	"15.000000"	"-1"	"25.000000"	"25.000000"	"35001439"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"1100"	"0"	"0"	"1059_attack1_d.prefab"	""	"1.000000"	
"35001435"	"冰雪女王追踪箭远程"	"5"	"-60.000000"	"0.000000"	"0.000000"	"1"	"4"	"15.000000"	"-1"	"25.000000"	"25.000000"	"35001439"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"1300"	"0"	"0"	"1059_attack1_d.prefab"	""	"1.000000"	
"35001436"	"冰雪女王追踪箭远程最后一击"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"7"	"20.000000"	"-1"	"25.000000"	"25.000000"	"35001439"	"1"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"2233"	"0"	"0"	"1059_attack1_d.prefab"	""	"1.000000"	
"35001520"	"将军万马奔腾远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"2"	"20.000000"	"-1"	"25.000000"	"10.000000"	"35001529"	"20"	"0"	"self"	"0,0,0"	"1.000000"	"0"	"0"	"1000"	"0"	"0"	"1037_attack3_a.prefab"	""	"1.000000"	
"35001521"	"将军万马奔腾远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"2"	"16.000000"	"-1"	"25.000000"	"10.000000"	"35001529"	"20"	"0"	"self"	"0,0,0"	"1.000000"	"0"	"0"	"800"	"0"	"0"	"1037_attack3_a.prefab"	""	"1.000000"	
"35001522"	"将军万马奔腾远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"2"	"12.000000"	"-1"	"25.000000"	"10.000000"	"35001529"	"20"	"0"	"self"	"0,0,0"	"1.000000"	"0"	"0"	"600"	"0"	"0"	"1037_attack3_a.prefab"	""	"1.000000"	
"35001523"	"将军万马奔腾远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"2"	"8.000000"	"-1"	"25.000000"	"10.000000"	"35001529"	"20"	"0"	"self"	"0,0,0"	"1.000000"	"0"	"0"	"400"	"0"	"0"	"1037_attack3_a.prefab"	""	"1.000000"	
"35001524"	"将军万马奔腾远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"2"	"4.000000"	"-1"	"25.000000"	"10.000000"	"35001529"	"20"	"0"	"self"	"0,0,0"	"1.000000"	"0"	"0"	"200"	"0"	"0"	"1037_attack3_a.prefab"	""	"1.000000"	
"35001525"	"将军万马奔腾远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"10.000000"	"35001529"	"20"	"0"	"self"	"0,0,0"	"1.000000"	"0"	"0"	"0"	"0"	"0"	"1037_attack3_a.prefab"	""	"1.000000"	
"35001602"	"火炮魔王普攻远程伤害"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"25.000000"	"-1"	"25.000000"	"27.000000"	"35001603"	"20"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"1600"	"0"	"0"	"1049_attack1_c_02.prefab"	""	"1.000000"	
"35001732"	"鸟人乱舞最后子弹远程"	"5"	"0.000000"	"0.000000"	"0.000000"	"1"	"5"	"30.000000"	"-1"	"25.000000"	"15.000000"	"35001733"	"20"	"0"	"self"	"0,0,0"	"0.800000"	"0"	"0"	"3133"	"0"	"0"	"1045_attack4_5.prefab"	""	"1.000000"	
"35001800"	"女刺客普攻1"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"25.000000"	"35001809"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"0"	"0"	"0"	"1036_attack1_d.prefab"	""	"1.000000"	
"35001801"	"女刺客普攻2"	"5"	"0.000000"	"0.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"25.000000"	"35001809"	"10"	"0"	"t_hit"	"0,0,0"	"0.500000"	"0"	"0"	"267"	"0"	"0"	"1036_attack1_d.prefab"	""	"1.000000"	
"35001802"	"女刺客普攻四周aoe"	"6"	"180.000000"	"-180.000000"	"0.000000"	"0"	"1"	"0.000000"	"-1"	"25.000000"	"20.000000"	"35001809"	"10"	"0"	"t_hit"	"0,0,0"	"0.700000"	"0"	"0"	"700"	"0"	"0"	"1036_attack1_e.prefab"	""	"1.000000"	
