"法阵ID"	"法阵名字"	"法阵级别1=初级法阵；2=中级法阵；3=高级法阵；4=龙法阵；5=限时法阵"	"法阵类别（首位，1为普通法阵，2为幻形法阵，3为多人法阵）"	"有效期（天数永久填-1）"	"每个法阵装备槽最大等级（不判断填-1）"	"法阵最大阶（不判断填-1）"	"法阵最大级（不判断填-1）"	"等阶"	"法阵升级类型（对应MagicCircleLevelupConfig表中的类型，同类型可进行升级，0=未不可升级）"	"法阵突破类型（对应MagicCircleBreakupConfig表中的类型，同类型可进行升级，0=未不可升级）"	"法阵属性（针对幻形和多人，其他法阵不读取填-1）（属性ID，属性值）"	"法阵头像"	"新获得界面名称美术字"	"模型ID"	"法阵界面坐标"	"法阵界面角度"	"模型缩放"	"多人法阵对应CreatureType的ID"	"法阵主控者BUFF"	"跟随者BUFF（针对多人，其他法阵不读取填-1）"	"基础移动速度"	"法阵速度增量(百分比)"	"角色stand动画"	"角色srun动画"	"特效资源"	"特效挂点"	"排行榜中尺寸"	"排行榜中位置"	"排行榜中角度"	"商城中尺寸"	"商城中位置"	"商城中角度"	"新获得时尺寸"	"新获得时位置"	"新获得时角度"	"列表名称美术字"	"获取途径美术字"	"是否商城购买"	"跳转界面-1:不跳转数字：Gui表中的ID"	"标签页id-1:无数字：Gui表中的ID"	
"1008"	"风起云雷"	"1"	"1008"	"-1"	"50"	"10"	"100"	"8"	"0"	"0"	"-1"	"icon_pet_png,jianzhen_08"	"shenqiname1,s_fz07"	"90008"	"0,0.2"	"0,0,0"	"2.3"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz07"	""	""	""	""	
"1009"	"乾坤挪移"	"1"	"1009"	"-1"	"50"	"10"	"100"	"9"	"0"	"0"	"-1"	"icon_pet_png,jianzhen_09"	"shenqiname1,s_fz10"	"90009"	"0,0.2"	"0,0,0"	"2.2"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz10"	""	""	""	""	
"1010"	"烈焰五洲"	"1"	"1010"	"-1"	"50"	"10"	"100"	"10"	"0"	"0"	"-1"	"icon_pet_png,jianzhen_10"	"shenqiname1,s_fz08"	"90010"	"0,0.2"	"0,0,0"	"2.1"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz08"	""	""	""	""	
"2001"	"劲舞(幻化)"	"3"	"2001"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,30000,1,1500,2,750,8,500,10,500"	"icon_pet_png,jianzhen_11"	"shenqiname1,s_fz11"	"90050"	"0,0.3"	"0,0,0"	"2.2"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.4"	"0.2,-1.9"	""	"1.8"	"0.1,-1.4"	""	"2.2"	"0,0"	"0,0,0"	"shenqiname1,s_fz11"	"Pic_sc,light_shop"	"1"	""	""	
"2002"	"潮生(幻化)"	"3"	"2002"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,50000,1,2000,2,1000,16,500,18,500"	"icon_pet_png,jianzhen_12"	"shenqiname1,s_fz12"	"90051"	"0,0.3"	"0,0,0"	"2.1"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.3"	"0.1,-1.8"	""	"1.8"	"0.1,-1.4"	""	"2.2"	"0,0"	"0,0,0"	"shenqiname1,s_fz12"	"Pic_sc,light_shop"	"1"	""	""	
"2003"	"银河(幻化)"	"3"	"2003"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,40000,1,4000,2,1000"	"icon_pet_png,jianzhen_13"	"shenqiname1,s_fz13"	"90052"	"0,0.3"	"0,0,0"	"2.1"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.5"	"0,-2"	"0,150,0"	"2.3"	"0.1,-1.5"	"0,150,0"	"2.2"	"0,0"	"0,0,0"	"shenqiname1,s_fz13"	"Pic_sc,light_shop"	"1"	""	""	
"2004"	"渡劫(幻化)"	"3"	"2004"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,50000,1,3000,2,2000,12,1500,14,1500"	"icon_pet_png,jianzhen_14"	"shenqiname1,s_fz14"	"90053"	"0,0.3"	"0,0,0"	"2.2"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.5"	"0.1,-2"	""	"1.8"	"0.1,-1.4"	""	"2.2"	"0,0"	"0,0,0"	"shenqiname1,s_fz14"	"Pic_sc,light_shop"	"1"	""	""	
"2005"	"劲舞(限时)"	"5"	"2001"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,30000,1,1500,2,750,8,500,10,500"	"icon_pet_png,jianzhen_11"	"shenqiname1,s_fz15"	"90050"	"0,0.3"	"0,0,0"	"2.2"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.4"	"0.2,-1.9"	""	"1.8"	"0.1,-1.4"	""	"2.2"	"0,0"	"0,0,0"	"shenqiname1,s_fz15"	""	""	""	""	
"2006"	"潮生(限时)"	"5"	"2002"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,50000,1,2000,2,1000,16,500,18,500"	"icon_pet_png,jianzhen_12"	"shenqiname1,s_fz16"	"90051"	"0,0.3"	"0,0,0"	"2.1"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.3"	"0.1,-1.8"	""	"1.8"	"0.1,-1.4"	""	"2.2"	"0,0"	"0,0,0"	"shenqiname1,s_fz16"	""	""	""	""	
"2007"	"银河(限时)"	"5"	"2003"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,40000,1,4000,2,1000"	"icon_pet_png,jianzhen_13"	"shenqiname1,s_fz17"	"90052"	"0,0.3"	"0,0,0"	"2.1"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.5"	"0,-2"	"0,150,0"	"2.3"	"0.1,-1.5"	"0,150,0"	"2.2"	"0,0"	"0,0,0"	"shenqiname1,s_fz17"	""	""	""	""	
"2008"	"渡劫(限时)"	"5"	"2004"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,50000,1,3000,2,2000,12,1500,14,1500"	"icon_pet_png,jianzhen_14"	"shenqiname1,s_fz18"	"90053"	"0,0.3"	"0,0,0"	"2.2"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.5"	"0.1,-2"	""	"1.8"	"0.1,-1.4"	""	"2.2"	"0,0"	"0,0,0"	"shenqiname1,s_fz18"	""	""	""	""	
"2009"	"乾坤(幻化)"	"3"	"2005"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,jianzhen_09"	"shenqiname1,s_fz25"	"90009"	"0,0.2"	"0,0,0"	"2.2"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz25"	"Pic_sc,light_huodong"	""	""	""	
"2010"	"烈焰(幻化)"	"3"	"2006"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,jianzhen_10"	"shenqiname1,s_fz23"	"90010"	"0,0.2"	"0,0,0"	"2.1"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz23"	"Pic_sc,light_huodong"	""	""	""	
"2011"	"乾坤(限时)"	"5"	"2005"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,jianzhen_09"	"shenqiname1,s_fz26"	"90009"	"0,0.2"	"0,0,0"	"2.2"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz26"	"Pic_sc,light_huodong"	""	""	""	
"2012"	"烈焰(限时)"	"5"	"2006"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,jianzhen_10"	"shenqiname1,s_fz24"	"90010"	"0,0.2"	"0,0,0"	"2.1"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz24"	"Pic_sc,light_huodong"	""	""	""	
"2013"	"天地网(幻化)"	"3"	"2007"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,50000,1,3000,2,3000,8,1000,10,1000"	"icon_pet_png,jianzhen_15"	"shenqiname1,s_fz21"	"90054"	"0,0.3"	"0,0,0"	"2.5"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"2.5"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz21"	"Pic_sc,light_huodong"	""	""	""	
"2014"	"天地网(限时)"	"5"	"2007"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,50000,1,3000,2,3000,8,1000,10,1000"	"icon_pet_png,jianzhen_15"	"shenqiname1,s_fz22"	"90054"	"0,0.3"	"0,0,0"	"2.5"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"2.5"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz22"	"Pic_sc,light_huodong"	""	""	""	
"2015"	"电磁暴(幻化)"	"3"	"2008"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"1,5000,12,1000,14,1000,16,1000,18,1000"	"icon_pet_png,jianzhen_16"	"shenqiname1,s_fz19"	"90055"	"0,0.3"	"0,0,0"	"2.5"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"2.5"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz19"	"Pic_sc,light_huodong"	""	""	""	
"2016"	"电磁暴(限时)"	"5"	"2008"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"1,5000,12,1000,14,1000,16,1000,18,1000"	"icon_pet_png,jianzhen_16"	"shenqiname1,s_fz20"	"90055"	"0,0.3"	"0,0,0"	"2.5"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"2.5"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz20"	"Pic_sc,light_huodong"	""	""	""	
"2017"	"风云雷(幻化)"	"3"	"2009"	"-1"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,jianzhen_08"	"shenqiname1,s_fz27"	"90008"	"0,0.2"	"0,0,0"	"2.3"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz27"	"Pic_sc,light_huodong"	""	""	""	
"2018"	"风云雷(限时)"	"5"	"2009"	"3"	"-1"	"-1"	"-1"	"-1"	"0"	"0"	"0,20000,1,1000,2,500"	"icon_pet_png,jianzhen_08"	"shenqiname1,s_fz28"	"90008"	"0,0.2"	"0,0,0"	"2.3"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	""	""	""	""	""	""	"1.8"	"0,0.2"	"0,0,0"	"shenqiname1,s_fz28"	"Pic_sc,light_huodong"	""	""	""	
