"性格ID"	"备注"	"进战斗随机延迟(单位：ms)"	"锁敌距离(单位：米)如果是机关，则锁敌和清除仇恨距离必须小于攻击距离"	"锁敌是否包含全场景内的玩家"	"锁敌是否包含全场景内的指定NPC"	"锁敌指定NPC的类型"	"恐吓几率（10000=%100）"	"恐吓时间（单位：ms）"	"恐吓施放距离（单位：米）"	"在绕敌圈内绕敌几率（10000=%100）"	"在绕地圈外绕敌几率（10000=%100）"	"绕敌动画时间（单位：ms）"	"强制每次绕敌重选绕敌点"	"绕敌圈半径（单位：米）"	"绕敌圈角度（单位：度）"	"绕敌超时时间（单位：ms）"	"攻击间隔"	"技能cd时追敌距离（停止在拒敌x米处）"	"行动选择超时（单位：ms）"	"追敌时间（单位：ms）"	"归位距离（单位：米）"	"清楚仇恨距离（单位：米）"	"加速追敌距离"	"加速追敌速度"	"加速绕敌速度"	"脱战不满血"	"脱战不清伤害信息"	
"100004"	"近战_无绕敌_追敌25米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"250000"	"25"	"25"	"0,0"	""	""	""	""	
"100005"	"近战_无绕敌_追敌30米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"300000"	"30"	"30"	"0,0"	""	""	""	""	
"100006"	"近战_无绕敌_追敌6米_无技能CD时间"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"1,1"	"2"	"2000,3000"	"80000"	"6"	"6"	"0,0"	""	""	""	""	
"100007"	"近战_无绕敌_追敌10米停在距离目标4米"	""	"6"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"4"	"2000,3000"	"100000"	"10"	"10"	"0,0"	""	""	""	""	
"100008"	"近战_无绕敌_追敌15米停在距离目标4米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"4"	"2000,3000"	"150000"	"15"	"15"	"0,0"	""	""	""	""	
"100009"	"近战_无绕敌_追敌20米停在距离目标4米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"4"	"2000,3000"	"200000"	"20"	"20"	"0,0"	""	""	""	""	
"100010"	"近战_无绕敌_追敌25米停在距离目标4米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"4"	"2000,3000"	"250000"	"25"	"25"	"0,0"	""	""	""	""	
"100011"	"近战_无绕敌_追敌30米停在距离目标4米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"4"	"2000,3000"	"300000"	"30"	"30"	"0,0"	""	""	""	""	
"100101"	"近战_无绕敌_追敌15米_停止距离4米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"4"	"2000,3000"	"150000"	"15"	"15"	"0,0"	""	""	""	""	
"100102"	"近战_无绕敌_追敌20米_停止距离4米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"4"	"2000,3000"	"200000"	"20"	"20"	"0,0"	""	""	""	""	
"100103"	"近战_无绕敌_追敌25米_停止距离4米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"4"	"2000,3000"	"250000"	"25"	"25"	"0,0"	""	""	""	""	
"100201"	"近战_无绕敌_全场景锁敌"	""	"1000"	"1"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"3000000"	"1000"	"1000"	"0,0"	""	""	""	""	
"100202"	"近战_无绕敌_全场景锁敌_加速追敌"	""	"1000"	"1"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"3000000"	"1000"	"1000"	"5,25"	"7.000000"	""	""	""	
"100203"	"近战_无绕敌_全场景追敌_范围锁敌"	""	"10"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"3000000"	"1000"	"1000"	"0,0"	""	""	""	""	
"100204"	"近战_无绕敌_全场景追敌_范围锁敌20米"	""	"20"	"1"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"3000000"	"1000"	"1000"	"0,0"	""	""	""	""	
"100301"	"近战_无绕敌_脱战不回血"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"100000"	"20"	"50"	"0,0"	""	""	"1"	"1"	
"100401"	"近战_绕敌_追敌10米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"2000"	"3000"	"1000,2000"	"1"	"0,3"	"-240,240"	"10000,12000"	"200,300"	"2"	"2000,3000"	"100000"	"10"	"10"	"0,0"	""	""	""	""	
"100402"	"近战_绕敌_追敌15米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"2000"	"3000"	"1000,2000"	"1"	"0,3"	"-240,240"	"10000,12000"	"200,300"	"2"	"2000,3000"	"150000"	"15"	"15"	"0,0"	""	""	""	""	
"100403"	"近战_绕敌_追敌20米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"2000"	"3000"	"1000,2000"	"1"	"0,3"	"-240,240"	"10000,12000"	"200,300"	"2"	"2000,3000"	"200000"	"20"	"20"	"0,0"	""	""	""	""	
"100404"	"近战_绕敌_追敌50米"	""	"50"	"0"	"0"	""	"0"	"0,0"	"0,0"	"2000"	"3000"	"1000,2000"	"1"	"0,3"	"-240,240"	"10000,12000"	"200,300"	"2"	"2000,3000"	"300000"	"50"	"50"	"0,0"	""	""	""	""	
"200000"	"远程怪物性格模板"	""	"0"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"150000"	"20"	"20"	"0,0"	""	""	""	""	
"200001"	"远程_无绕敌_追敌15米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"150000"	"15"	"15"	"0,0"	""	""	""	""	
"200002"	"远程_无绕敌_追敌20米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"200000"	"20"	"20"	"0,0"	""	""	""	""	
"200003"	"远程_无绕敌_追敌25米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"250000"	"25"	"25"	"0,0"	""	""	""	""	
"200004"	"远程_无绕敌_追敌30米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"300000"	"30"	"30"	"0,0"	""	""	""	""	
"200005"	"远程_无绕敌_全场景追敌"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"300000"	"1000"	"1000"	"0,0"	""	""	""	""	
"200101"	"远程_绕敌_追敌10米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"5000"	"10000"	"1000,2000"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"100000"	"10"	"10"	"0,0"	""	""	""	""	
"200102"	"远程_绕敌_追敌15米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"5000"	"10000"	"1000,2000"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"150000"	"15"	"15"	"0,0"	""	""	""	""	
"200103"	"远程_绕敌_追敌20米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"5000"	"10000"	"1000,2000"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"200000"	"20"	"20"	"0,0"	""	""	""	""	
"200201"	"远程_无绕敌_全场景锁敌"	""	"1000"	"1"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"3000000"	"1000"	"1000"	"0,0"	""	""	""	""	
"300000"	"特殊性格"	""	"0"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"150000"	"20"	"20"	"0,0"	""	""	""	""	
"300001"	"新手村_追敌3秒15米"	""	"15"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"3000"	"15"	"15"	"0,0"	""	""	""	""	
"300002"	"张家口_打金兵太子的怪"	""	"6"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"100,100"	"2"	"2000,3000"	"300000"	"4"	"4"	"0,0"	""	""	""	""	
"300003"	"剧情本_陷阱"	""	"150"	"1"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"30000"	"60"	"100"	"0,0"	""	""	""	""	
"300004"	"坐骑本_被守护怪"	""	"0"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"100,100"	"2"	"2000,3000"	"300000"	"20"	"20"	"0,0"	""	""	"1"	""	
"300005"	"资源本_出生延迟进战斗"	"3000"	"500"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"300000"	"500"	"500"	"15,25"	"7.000000"	""	""	""	
"300006"	"大体积野外BOSS"	""	"50"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"12"	"2000,3000"	"300000"	"50"	"50"	"0,0"	""	""	"1"	""	
"300008"	"挑战本BOSS"	""	"500"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"5"	"2000,3000"	"1000000"	"99"	"99"	"0,0"	""	""	""	""	
"300009"	"挑战本小怪"	""	"500"	"0"	"0"	""	"0"	"0,0"	"0,0"	"2000"	"2000"	"1000,2000"	"1"	"0,3"	"-240,240"	"1000,2000"	"200,300"	"3"	"2000,3000"	"1000000"	"99"	"99"	"0,0"	""	""	""	""	
"300010"	"挑战本小怪（远程）"	""	"500"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"1000000"	"99"	"99"	"0,0"	""	""	""	""	
"300011"	"近战_金币资源本_出生延迟进战斗"	"1000"	"1000"	"1"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"3000000"	"1000"	"1000"	"0,0"	""	""	""	""	
"300012"	"远程_金币资源本_出生延迟进战斗"	"1000"	"1000"	"1"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"3000000"	"1000"	"1000"	"0,0"	""	""	""	""	
"300013"	"盗宝小妖_金币资源本_"	""	"10"	"1"	"0"	""	"0"	"0,0"	"0,0"	"10000"	"10000"	"1000,1500"	"1"	"0,15"	"-240,240"	"10000,12000"	"1000,2000"	"15"	"400,600"	"1000000"	"200"	"200"	"0,0"	""	""	""	""	
"300014"	"野外BOSS-近战-距敌5米-脱战不回血"	""	"50"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"5"	"2000,3000"	"1000000"	"50"	"50"	"0,0"	""	""	"1"	""	
"300015"	"野外BOSS-远程-距敌12米-脱战不回血"	""	"50"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"12"	"2000,3000"	"1000000"	"50"	"50"	"0,0"	""	""	"1"	""	
"300021"	"近战_经验资源本_出生延迟进战斗"	"1000"	"1000"	"1"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"3000000"	"1000"	"1000"	"0,0"	""	""	""	""	
"300022"	"远程_经验资源本_出生延迟进战斗"	"1000"	"1000"	"1"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"3000000"	"1000"	"1000"	"0,0"	""	""	""	""	
"300023"	"帮派boss-等待3米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"3"	"2000,3000"	"1000000"	"99"	"99"	"0,0"	""	""	""	""	
"300024"	"帮派boss-等待5米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"5"	"2000,3000"	"1000000"	"99"	"99"	"0,0"	""	""	""	""	
"300025"	"帮派boss-等待12米"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"12"	"2000,3000"	"1000000"	"99"	"99"	"0,0"	""	""	""	""	
"300026"	"帮派boss备用"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"3"	"2000,3000"	"1000000"	"99"	"99"	"0,0"	""	""	""	""	
"300027"	"帮派boss备用"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"3"	"2000,3000"	"1000000"	"99"	"99"	"0,0"	""	""	""	""	
"300028"	"帮派boss备用"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"3"	"2000,3000"	"1000000"	"99"	"99"	"0,0"	""	""	""	""	
"300029"	"帮派boss备用"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"3"	"2000,3000"	"1000000"	"99"	"99"	"0,0"	""	""	""	""	
"300030"	"帮派boss备用"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"3"	"2000,3000"	"1000000"	"99"	"99"	"0,0"	""	""	""	""	
"300031"	"盗宝小妖只会逃跑"	""	"10"	"1"	"0"	""	"0"	"0,0"	"0,0"	"10000"	"10000"	"1000,1500"	"1"	"0,15"	"-240,240"	"10000,12000"	"1000,2000"	"15"	"400,600"	"1000000"	"200"	"200"	"0,0"	""	"6.000000"	""	""	
"300032"	"怪物-boss古琴女不会追敌瞬间归位视野=技能最远范围"	""	"14"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"14"	"2000,3000"	"2000"	"1"	"14"	"0,0"	""	""	""	""	
"300101"	"野外BOSS-建康1"	""	"50"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"12"	"2000,3000"	"300000"	"20"	"20"	"0,0"	""	""	""	""	
"300102"	"野外BOSS-建康2"	""	"50"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"12"	"2000,3000"	"300000"	"20"	"20"	"0,0"	""	""	""	""	
"310000"	"守襄阳-吕文德"	""	"2"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,6"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"1000000"	"10"	"10"	"0,0"	""	""	"1"	""	
"310001"	"守襄阳-郭靖&黄蓉"	""	"2"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,6"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"1000000"	"10"	"10"	"0,0"	""	""	"1"	""	
"310002"	"守襄阳-近战宋兵"	""	"4"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,6"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"1000000"	"10"	"10"	"0,0"	""	""	"1"	""	
"310003"	"守襄阳-远程宋兵"	""	"6"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,6"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"1000000"	"10"	"10"	"0,0"	""	""	"1"	""	
"310004"	"守襄阳-近战蒙古小怪"	""	"10"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,6"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"1000000"	"20"	"20"	"0,0"	""	""	"1"	""	
"310005"	"守襄阳-远程蒙古小怪"	""	"10"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,6"	"0,0"	"0,0"	"200,300"	"10"	"2000,3000"	"1000000"	"20"	"20"	"0,0"	""	""	"1"	""	
"310006"	"守襄阳-最后BOSS"	""	"2"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,6"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"1000000"	"10"	"10"	"0,0"	""	""	"1"	""	
"400000"	"战场怪性格"	""	"0"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,300"	"2"	"2000,3000"	"150000"	"20"	"20"	"0,0"	""	""	""	""	
"400001"	"战场红塔外"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,200"	"20"	"2000,3000"	"30000"	"20"	"20"	"0,0"	""	""	"1"	""	
"400002"	"战场红塔内"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,200"	"20"	"2000,3000"	"30000"	"20"	"20"	"0,0"	""	""	"1"	""	
"400003"	"战场红基地"	""	"23"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"150,150"	"23"	"2000,3000"	"30000"	"23"	"23"	"0,0"	""	""	"1"	""	
"400004"	"战场蓝塔外"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,200"	"20"	"2000,3000"	"30000"	"20"	"20"	"0,0"	""	""	"1"	""	
"400005"	"战场蓝塔内"	""	"20"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"200,200"	"20"	"2000,3000"	"30000"	"20"	"20"	"0,0"	""	""	"1"	""	
"400006"	"战场蓝基地"	""	"23"	"0"	"0"	""	"0"	"0,0"	"0,0"	"0"	"0"	"0,0"	"0"	"0,0"	"0,0"	"0,0"	"150,150"	"23"	"2000,3000"	"30000"	"23"	"23"	"0,0"	""	""	"1"	""	
"400007"	"战场自爆兵"	""	"13"	"0"	"0"	""	"2000"	"2000,3000"	"8,10"	"5000"	"1000"	"2000,2500"	"0"	"0,5"	"-90,90"	"10000,12000"	"500,1000"	"2"	"2000,3000"	"30000"	"60"	"100"	"0,0"	""	""	"1"	""	
