"序号"	"分类。1=宝石，2=装备，3=材料"	"类型对应strID"	"等级"	"合成物品"	"消耗物品1"	"消耗物品2"	"消耗物品3"	"消耗物品4"	"子类型，标识道具子类对于装备，1=剑，2=弓，3=杖，4=头盔，5=肩膀，6=胸甲，7=护腿，8=项链，9=戒指，10=护符，11=时装剑，12=时装弓，13=时装杖，14=时装套装，15=时装翅膀对于材料，1=合成材料，2=合成配方对于宝石，数字表示宝石种类，共20种"	
"78"	"1"	"100966"	"10"	"701018"	"700918,1"	"300206,1"	""	""	"13"	
"79"	"1"	"100967"	"5"	"700517"	"700417,1"	"300201,1"	""	""	"14"	
"80"	"1"	"100967"	"6"	"700617"	"700517,1"	"300202,1"	""	""	"14"	
"81"	"1"	"100967"	"7"	"700717"	"700617,1"	"300203,1"	""	""	"14"	
"82"	"1"	"100967"	"8"	"700817"	"700717,1"	"300204,1"	""	""	"14"	
"83"	"1"	"100967"	"9"	"700917"	"700817,1"	"300205,1"	""	""	"14"	
"84"	"1"	"100967"	"10"	"701017"	"700917,1"	"300206,1"	""	""	"14"	
"85"	"1"	"100968"	"5"	"700520"	"700420,1"	"300201,1"	""	""	"15"	
"86"	"1"	"100968"	"6"	"700620"	"700520,1"	"300202,1"	""	""	"15"	
"87"	"1"	"100968"	"7"	"700720"	"700620,1"	"300203,1"	""	""	"15"	
"88"	"1"	"100968"	"8"	"700820"	"700720,1"	"300204,1"	""	""	"15"	
"89"	"1"	"100968"	"9"	"700920"	"700820,1"	"300205,1"	""	""	"15"	
"90"	"1"	"100968"	"10"	"701020"	"700920,1"	"300206,1"	""	""	"15"	
"91"	"1"	"100969"	"5"	"700519"	"700419,1"	"300201,1"	""	""	"16"	
"92"	"1"	"100969"	"6"	"700619"	"700519,1"	"300202,1"	""	""	"16"	
"93"	"1"	"100969"	"7"	"700719"	"700619,1"	"300203,1"	""	""	"16"	
"94"	"1"	"100969"	"8"	"700819"	"700719,1"	"300204,1"	""	""	"16"	
"95"	"1"	"100969"	"9"	"700919"	"700819,1"	"300205,1"	""	""	"16"	
"96"	"1"	"100969"	"10"	"701019"	"700919,1"	"300206,1"	""	""	"16"	
