"等级"	"每10秒结算经验"	"单次挂机最长收益时间（单位为分钟）"	"空闲多久进入挂机(单位:秒，其实服务器只以第一行为准)"	"下线多久进入挂机(单位：秒，其实服务器只以第一行为准)"	
"175"	"49189"	"720"	"60"	"300"	
"176"	"49768"	"720"	"60"	"300"	
"177"	"50347"	"720"	"60"	"300"	
"178"	"50925"	"720"	"60"	"300"	
"179"	"51504"	"720"	"60"	"300"	
"180"	"52083"	"720"	"60"	"300"	
"181"	"52662"	"720"	"60"	"300"	
"182"	"53240"	"720"	"60"	"300"	
"183"	"53819"	"720"	"60"	"300"	
"184"	"54398"	"720"	"60"	"300"	
"185"	"54976"	"720"	"60"	"300"	
"186"	"55555"	"720"	"60"	"300"	
"187"	"56134"	"720"	"60"	"300"	
"188"	"56712"	"720"	"60"	"300"	
"189"	"57291"	"720"	"60"	"300"	
"190"	"57870"	"720"	"60"	"300"	
"191"	"58449"	"720"	"60"	"300"	
"192"	"59027"	"720"	"60"	"300"	
"193"	"59606"	"720"	"60"	"300"	
"194"	"60185"	"720"	"60"	"300"	
"195"	"60763"	"720"	"60"	"300"	
"196"	"61342"	"720"	"60"	"300"	
"197"	"61921"	"720"	"60"	"300"	
"198"	"62500"	"720"	"60"	"300"	
"199"	"63078"	"720"	"60"	"300"	
"200"	"63657"	"720"	"60"	"300"	
"201"	"64236"	"720"	"60"	"300"	
"202"	"64814"	"720"	"60"	"300"	
"203"	"65393"	"720"	"60"	"300"	
"204"	"65972"	"720"	"60"	"300"	
"205"	"66550"	"720"	"60"	"300"	
"206"	"67129"	"720"	"60"	"300"	
"207"	"67708"	"720"	"60"	"300"	
"208"	"68287"	"720"	"60"	"300"	
"209"	"68865"	"720"	"60"	"300"	
"210"	"69444"	"720"	"60"	"300"	
"211"	"70023"	"720"	"60"	"300"	
"212"	"70601"	"720"	"60"	"300"	
"213"	"71180"	"720"	"60"	"300"	
"214"	"71759"	"720"	"60"	"300"	
"215"	"72337"	"720"	"60"	"300"	
"216"	"72916"	"720"	"60"	"300"	
"217"	"73495"	"720"	"60"	"300"	
"218"	"74074"	"720"	"60"	"300"	
"219"	"74652"	"720"	"60"	"300"	
"220"	"75231"	"720"	"60"	"300"	
"221"	"75810"	"720"	"60"	"300"	
"222"	"76388"	"720"	"60"	"300"	
"223"	"76967"	"720"	"60"	"300"	
"224"	"77546"	"720"	"60"	"300"	
"225"	"78125"	"720"	"60"	"300"	
"226"	"78703"	"720"	"60"	"300"	
"227"	"79282"	"720"	"60"	"300"	
"228"	"79861"	"720"	"60"	"300"	
"229"	"80439"	"720"	"60"	"300"	
"230"	"81018"	"720"	"60"	"300"	
"231"	"81597"	"720"	"60"	"300"	
"232"	"82175"	"720"	"60"	"300"	
"233"	"82754"	"720"	"60"	"300"	
"234"	"83333"	"720"	"60"	"300"	
"235"	"83912"	"720"	"60"	"300"	
"236"	"84490"	"720"	"60"	"300"	
"237"	"85069"	"720"	"60"	"300"	
"238"	"85648"	"720"	"60"	"300"	
"239"	"86226"	"720"	"60"	"300"	
"240"	"86805"	"720"	"60"	"300"	
"241"	"87384"	"720"	"60"	"300"	
"242"	"87962"	"720"	"60"	"300"	
"243"	"88541"	"720"	"60"	"300"	
"244"	"89120"	"720"	"60"	"300"	
"245"	"89699"	"720"	"60"	"300"	
"246"	"90277"	"720"	"60"	"300"	
"247"	"90856"	"720"	"60"	"300"	
"248"	"91435"	"720"	"60"	"300"	
"249"	"92013"	"720"	"60"	"300"	
"250"	"92592"	"720"	"60"	"300"	
"251"	"93171"	"720"	"60"	"300"	
"252"	"93750"	"720"	"60"	"300"	
"253"	"94328"	"720"	"60"	"300"	
"254"	"94907"	"720"	"60"	"300"	
"255"	"95486"	"720"	"60"	"300"	
"256"	"96064"	"720"	"60"	"300"	
"257"	"96643"	"720"	"60"	"300"	
"258"	"97222"	"720"	"60"	"300"	
"259"	"97800"	"720"	"60"	"300"	
"260"	"98379"	"720"	"60"	"300"	
"261"	"98958"	"720"	"60"	"300"	
"262"	"99537"	"720"	"60"	"300"	
"263"	"100115"	"720"	"60"	"300"	
"264"	"100694"	"720"	"60"	"300"	
"265"	"101273"	"720"	"60"	"300"	
"266"	"101851"	"720"	"60"	"300"	
"267"	"102430"	"720"	"60"	"300"	
"268"	"103009"	"720"	"60"	"300"	
"269"	"103587"	"720"	"60"	"300"	
"270"	"104166"	"720"	"60"	"300"	
"271"	"104745"	"720"	"60"	"300"	
"272"	"105324"	"720"	"60"	"300"	
"273"	"105902"	"720"	"60"	"300"	
"274"	"106481"	"720"	"60"	"300"	
"275"	"107060"	"720"	"60"	"300"	
"276"	"107638"	"720"	"60"	"300"	
"277"	"108217"	"720"	"60"	"300"	
"278"	"108796"	"720"	"60"	"300"	
"279"	"109375"	"720"	"60"	"300"	
"280"	"109953"	"720"	"60"	"300"	
"281"	"110532"	"720"	"60"	"300"	
"282"	"111111"	"720"	"60"	"300"	
"283"	"111689"	"720"	"60"	"300"	
"284"	"112268"	"720"	"60"	"300"	
"285"	"112847"	"720"	"60"	"300"	
"286"	"113425"	"720"	"60"	"300"	
"287"	"114004"	"720"	"60"	"300"	
"288"	"114583"	"720"	"60"	"300"	
"289"	"115162"	"720"	"60"	"300"	
"290"	"115740"	"720"	"60"	"300"	
"291"	"116319"	"720"	"60"	"300"	
"292"	"116898"	"720"	"60"	"300"	
"293"	"117476"	"720"	"60"	"300"	
"294"	"118055"	"720"	"60"	"300"	
"295"	"118634"	"720"	"60"	"300"	
"296"	"119212"	"720"	"60"	"300"	
"297"	"119791"	"720"	"60"	"300"	
"298"	"120370"	"720"	"60"	"300"	
"299"	"120949"	"720"	"60"	"300"	
"300"	"121527"	"720"	"60"	"300"	
