"等级(列不能插入删除,否则全乱)"	"大逃杀奖励(经验,金钱)(光环用)"	"玩法2(光环用)"	"暗黑竞技场奖励(经验，银币)"	"物品使用等级对应装备基准售价"	"助威第一轮第二轮"	"助威第三轮第四轮"	"预留"	"预留"	"预留"	"预留"	"预留"	"预留"	"预留"	""	""	""	""	
"9"	"0,0"	"0,108"	"10,1000"	"59,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"10"	"0,0"	"0,109"	"10,1000"	"65,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"11"	"0,0"	"0,110"	"10,1000"	"71,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"12"	"0,0"	"0,111"	"10,1000"	"78,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"13"	"0,0"	"0,112"	"10,1000"	"85,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"14"	"0,0"	"0,113"	"10,1000"	"93,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"15"	"0,0"	"0,114"	"10,1000"	"101,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"16"	"0,0"	"0,115"	"10,1000"	"110,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"17"	"0,0"	"0,116"	"10,1000"	"119,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"18"	"0,0"	"0,117"	"10,1000"	"129,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"19"	"0,0"	"0,118"	"10,1000"	"139,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"20"	"0,0"	"0,119"	"10,1000"	"150,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"21"	"0,0"	"0,120"	"10,1000"	"161,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"22"	"0,0"	"0,121"	"10,1000"	"173,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"23"	"0,0"	"0,122"	"10,1000"	"185,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"24"	"0,0"	"0,123"	"10,1000"	"198,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"25"	"0,0"	"0,124"	"10,1000"	"211,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"26"	"0,0"	"0,125"	"10,1000"	"225,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"27"	"0,0"	"0,126"	"10,1000"	"239,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"28"	"0,0"	"0,127"	"10,1000"	"254,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"29"	"0,0"	"0,128"	"10,1000"	"269,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"30"	"0,0"	"0,129"	"10,1000"	"285,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"31"	"0,0"	"0,130"	"10,1000"	"301,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"32"	"0,0"	"0,131"	"10,1000"	"318,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"33"	"0,0"	"0,132"	"10,1000"	"335,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"34"	"0,0"	"0,133"	"10,1000"	"353,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"35"	"0,0"	"0,134"	"10,1000"	"371,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"36"	"0,0"	"0,135"	"10,1000"	"390,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"37"	"0,0"	"0,136"	"10,1000"	"409,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"38"	"0,0"	"0,137"	"10,1000"	"429,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"39"	"0,0"	"0,138"	"10,1000"	"449,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"40"	"0,0"	"0,139"	"10,1000"	"470,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"41"	"0,0"	"0,140"	"10,1000"	"491,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"42"	"0,0"	"0,141"	"10,1000"	"513,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"43"	"0,0"	"0,142"	"10,1000"	"535,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"44"	"0,0"	"0,143"	"10,1000"	"558,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"45"	"0,0"	"0,144"	"10,1000"	"581,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"46"	"0,0"	"0,145"	"10,1000"	"605,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"47"	"0,0"	"0,146"	"10,1000"	"629,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"48"	"0,0"	"0,147"	"10,1000"	"654,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"49"	"0,0"	"0,148"	"10,1000"	"679,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"50"	"0,0"	"0,149"	"10,1000"	"705,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"51"	"0,0"	"0,150"	"10,1000"	"731,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"52"	"0,0"	"0,151"	"10,1000"	"758,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"53"	"0,0"	"0,152"	"10,1000"	"785,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"54"	"0,0"	"0,153"	"10,1000"	"813,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"55"	"0,0"	"0,154"	"10,1000"	"841,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"56"	"0,0"	"0,155"	"10,1000"	"870,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"57"	"0,0"	"0,156"	"10,1000"	"899,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"58"	"0,0"	"0,157"	"10,1000"	"929,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"59"	"0,0"	"0,158"	"10,1000"	"959,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"60"	"0,0"	"0,159"	"10,1000"	"972,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"61"	"0,0"	"0,160"	"10,1000"	"995,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"62"	"0,0"	"0,161"	"10,1000"	"1017,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"63"	"0,0"	"0,162"	"10,1000"	"1039,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"64"	"0,0"	"0,163"	"10,1000"	"1061,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"65"	"0,0"	"0,164"	"10,1000"	"1082,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"66"	"0,0"	"0,165"	"10,1000"	"1102,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"67"	"0,0"	"0,166"	"10,1000"	"1122,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"68"	"0,0"	"0,167"	"10,1000"	"1142,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"69"	"0,0"	"0,168"	"10,1000"	"1162,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"70"	"0,0"	"0,169"	"10,1000"	"1181,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"71"	"0,0"	"0,170"	"10,1000"	"1200,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"72"	"0,0"	"0,171"	"10,1000"	"1219,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"73"	"0,0"	"0,172"	"10,1000"	"1237,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"74"	"0,0"	"0,173"	"10,1000"	"1255,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"75"	"0,0"	"0,174"	"10,1000"	"1273,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"76"	"0,0"	"0,175"	"10,1000"	"1290,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"77"	"0,0"	"0,176"	"10,1000"	"1308,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"78"	"0,0"	"0,177"	"10,1000"	"1325,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"79"	"0,0"	"0,178"	"10,1000"	"1342,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"80"	"0,0"	"0,179"	"10,1000"	"1358,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"81"	"0,0"	"0,180"	"10,1000"	"1375,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"82"	"0,0"	"0,181"	"10,1000"	"1391,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"83"	"0,0"	"0,182"	"10,1000"	"1407,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"84"	"0,0"	"0,183"	"10,1000"	"1423,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"85"	"0,0"	"0,184"	"10,1000"	"1439,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"86"	"0,0"	"0,185"	"10,1000"	"1454,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"87"	"0,0"	"0,186"	"10,1000"	"1470,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"88"	"0,0"	"0,187"	"10,1000"	"1485,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"89"	"0,0"	"0,188"	"10,1000"	"1500,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"90"	"0,0"	"0,189"	"10,1000"	"1515,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"91"	"0,0"	"0,190"	"10,1000"	"1530,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"92"	"0,0"	"0,191"	"10,1000"	"1544,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"93"	"0,0"	"0,192"	"10,1000"	"1559,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"94"	"0,0"	"0,193"	"10,1000"	"1573,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"95"	"0,0"	"0,194"	"10,1000"	"1587,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"96"	"0,0"	"0,195"	"10,1000"	"1602,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"97"	"0,0"	"0,196"	"10,1000"	"1616,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"98"	"0,0"	"0,197"	"10,1000"	"1629,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"99"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"100"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"101"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"102"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"103"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"104"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"105"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"106"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"107"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"108"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"109"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"110"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"111"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"112"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"113"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"114"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"115"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"116"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"117"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"118"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"119"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"120"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"121"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"122"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"123"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"124"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"125"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"126"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"127"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"128"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"129"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"130"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"131"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"132"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"133"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"134"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"135"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"136"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
"137"	"0,0"	"0,198"	"10,1000"	"1643,0"	"400000,600000"	"800000,1000000"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	
