"索引数字ID"	"名称（策划内部使用）"	"显示名称"	"类型0:怪1:npc2:可破坏物件3:静物4:采集物5.护送目标6.多人坐骑7.侍从"	"显示等级"	"初始化数值"	"显示头像"	"怪类型(0=普通怪,1=精英怪,2=稀有怪,3=首领怪,4=超级首领怪)"	"boss血条数"	"称谓"	"是否显示名称"	"是否显示npc/怪物血条该字段优先级大于游戏设置面板中的【显示怪物生命条】"	"是否可见"	"刚体特性.位移"	"选取特性.鼠标"	"选取特性.技能(是否可以被选中攻击目标，即是否无敌）"	"角色模型"	"缩放"	"模型放大的比率"	"移动速度"	"空闲速度"	"尺寸对位"	"技能判断点围绕着怪物进行分布。填100开头的代表两层，1000开头代表有3层"	"普通掉落"	"boss掉落(索引到BossDropConfig表)"	"掉落半径"	"屏蔽世界掉落"	"是否主动攻击"	"初始化阵营"	"ADD距离/静物触发距离"	"ADD数量/静物点击触发技能/采集物采集技能(采集距离和读条时间都由技能控制)"	"ADD延迟/采集物获得物品掉落ID"	"ADD开关（是否需要ADD别人）"	"被ADD开关（可否被ADD）"	"出生时检测是否需被ADD(用于控制怪物出生时是否寻找周围的盟友并触发进入战斗)"	"闲聊"	"交互类型（影响鼠标样式）0，无交互；1，传送门（金色）；2，传送门（蓝色）"	"传送门名称特效"	"角色功能"	"出生动画（对应ActionGroup）"	"死亡表现（对应ActionGroup）"	"死亡方式0=act1=重力"	"死后消失判断（跟刷新挂钩)"	"寿命"	"ai脚本"	"性格（索引到性格表）尽量不要乱填，去性格表里找对应模板"	"能力（索引到能力表）"	"进战斗说话"	"静物默认触发脚本"	"角色功能头顶图标无功能=0有功能=特效图标名称"	"是否被裁剪//当从屏幕外到屏幕内出现问题时多半是这个需要填成false"	"是否在交互中转向"	"场景层"	"DmaDialogShiftX,Y"	"DmaDialogEulerAngleX,Y"	"剧情中特殊的选中"	"是否修正坐标到地面"	"显示受击伤害的偏移"	"自动战斗ai攻击优先级"	"耐久值"	"破甲buff"	"破甲硬直时间"	"破甲普通掉落"	"点击语音"	"拒绝他人光环"	"脚步act"	"选中脚下光圈大小1-5共5档玩家等大=3boss=4超级大=5小动物=1or2"	"模型变色1=蓝色2=紫色3=金色4-橙色其他数字/留空=不变色"	""	""	""	""	""	""	""	""	
"8"	"怪物-转剑男只会普攻"	"怪物转剑男弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"100402"	"5"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"9"	"怪物-转剑女只会普攻"	"怪物转剑女弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"100402"	"5"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"10"	"怪物-天威男只会普攻"	"怪物天威男弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"100402"	"6"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"11"	"怪物-天威女只会普攻"	"怪物天威女弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"100402"	"6"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"12"	"怪物-云锦男只会普攻"	"怪物云锦男弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"200002"	"7"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"13"	"怪物-云锦女只会普攻"	"怪物云锦女弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"200002"	"7"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14"	"怪物-越捷飞技能全会"	"怪物越捷飞"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70012"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1000"	"0"	"1"	"0"	"1"	"100002"	"30001000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"15"	"怪物-越捷飞只会普攻"	"怪物越捷飞"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70012"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1000"	"0"	"1"	"0"	"1"	"100002"	"40000001"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"16"	"怪物-越捷飞技能全会开场剧情用"	"怪物越捷飞"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70012"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1000"	"0"	"1"	"0"	"1"	"100002"	"30001001"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"17"	"怪物-柳色技能全会"	"怪物柳色"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70013"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1010"	"0"	"1"	"0"	"1"	"100401"	"30002000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"18"	"怪物-柳色只会普攻"	"怪物柳色"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70013"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1010"	"0"	"1"	"0"	"1"	"100401"	"40000002"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"19"	"怪物-楚玉技能全会"	"怪物楚玉"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70002"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"1"	"0"	"1"	"200002"	"30003000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"20"	"怪物-楚玉只会普攻"	"怪物楚玉"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70002"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"1"	"0"	"1"	"200002"	"40000003"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"21"	"怪物-百里流桑技能全会"	"怪物百里流桑"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70014"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1080"	"0"	"1"	"0"	"1"	"100002"	"30004000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"22"	"怪物-百里流桑只会普攻"	"怪物百里流桑"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70014"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1080"	"0"	"1"	"0"	"1"	"100002"	"40000004"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23"	"怪物-野猪会普攻、冲锋"	"怪物野猪"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100001"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10000"	"1"	"1"	"0"	"1"	"100001"	"40000100"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"24"	"怪物-野猪只会普攻"	"怪物野猪"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100001"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10000"	"1"	"1"	"0"	"1"	"100001"	"40000101"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"25"	"怪物-恒远技能全会"	"怪物桓远"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70007"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1050"	"0"	"1"	"0"	"1"	"200002"	"30005000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"26"	"怪物-恒远只会普攻"	"怪物桓远"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70007"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1050"	"0"	"1"	"0"	"1"	"200002"	"40000005"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"27"	"怪物-boss妩媚女子技能全会"	"怪物妩媚女子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200001"	"1.000000"	"340"	"6.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10010"	"0"	"1"	"0"	"1"	"200003"	"35000010"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	
"28"	"怪物-boss妩媚女子只会普攻"	"怪物妩媚女子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200001"	"1.000000"	"340"	"6.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10010"	"0"	"1"	"0"	"1"	"200003"	"35000011"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	
"29"	"怪物-boss妩媚女子技能全会定期秒全场"	"怪物妩媚女子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200001"	"1.000000"	"340"	"6.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10010"	"0"	"1"	"0"	"1"	"200003"	"35000012"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	
"30"	"怪物-容止技能全会"	"怪物容止"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1060"	"0"	"1"	"0"	"1"	"100006"	"30006000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"31"	"怪物-容止只会普攻"	"怪物容止"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1060"	"0"	"1"	"0"	"1"	"100006"	"40000006"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"32"	"怪物-容止技能全会开场剧情用"	"怪物容止"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1060"	"0"	"1"	"0"	"1"	"100006"	"30006001"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"33"	"怪物-花错技能全会"	"怪物花错"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70003"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1020"	"0"	"1"	"0"	"1"	"100401"	"30007000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
