"升阶前物品id（这个表留给装备单独使用，合成表使用另外的表格。）"	"索引名称"	"需求材料id1（索引道具表或装备表，程序按id段区分）"	"需求材料数量1"	"补充单价1（材料不足时单个材料消耗的金币）"	"材料推荐关卡1（索引关卡表，点击界面中的材料，打开副本选择界面，指引箭头会指向这个关卡）"	"推荐关卡tips1（鼠标敏感材料图标时，显示在tips文字中）"	"需求材料id2"	"需求材料数量2"	"补充单价2"	"材料推荐关卡2"	"推荐关卡tips2"	"需求材料id3"	"需求材料数量3"	"补充单价3"	"材料推荐关卡3"	"推荐关卡tips3"	"需求材料id4"	"需求材料数量4"	"补充单价4"	"材料推荐关卡4"	"推荐关卡tips4"	"需求材料id5"	"需求材料数量5"	"补充单价5"	"材料推荐关卡5"	"推荐关卡tips5"	"需求材料id6"	"需求材料数量6"	"补充单价6"	"材料推荐关卡6"	"推荐关卡tips6"	"需求材料id1（索引道具表或装备表，程序按id段区分）"	"需求材料数量1"	"补充单价1（材料不足时单个材料消耗的金币）"	"材料推荐关卡1（索引关卡表，点击界面中的材料，打开副本选择界面，指引箭头会指向这个关卡）"	"目标产物id"	"是否公告（true则会触发世界公告，false不触发）"	
"207004"	"80级套装-防具"	"300019"	"24"	"100"	""	""	"300020"	"24"	"100"	""	""	"300021"	"200"	"5"	""	""	"300023"	"200"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"208004"	"0"	
"207005"	"80级套装-防具"	"300019"	"24"	"100"	""	""	"300020"	"24"	"100"	""	""	"300021"	"200"	"5"	""	""	"300023"	"200"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"208005"	"0"	
"207006"	"80级套装-防具"	"300019"	"16"	"100"	""	""	"300020"	"16"	"100"	""	""	"300021"	"160"	"5"	""	""	"300023"	"160"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"208006"	"0"	
"207007"	"80级套装-防具"	"300019"	"16"	"100"	""	""	"300020"	"16"	"100"	""	""	"300021"	"160"	"5"	""	""	"300023"	"160"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"208007"	"0"	
"207008"	"80级套装-防具"	"300019"	"8"	"100"	""	""	"300020"	"8"	"100"	""	""	"300021"	"120"	"5"	""	""	"300023"	"120"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"208008"	"0"	
"207009"	"80级套装-防具"	"300019"	"8"	"100"	""	""	"300020"	"8"	"100"	""	""	"300021"	"120"	"5"	""	""	"300023"	"120"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"208009"	"0"	
"208001"	"90级套装-武器"	"300025"	"40"	"100"	""	""	"300026"	"40"	"100"	""	""	"300027"	"300"	"5"	""	""	"300028"	"300"	"5"	""	"0"	"300030"	"300"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"209001"	"1"	
"208002"	"90级套装-武器"	"300025"	"40"	"100"	""	""	"300026"	"40"	"100"	""	""	"300027"	"300"	"5"	""	""	"300028"	"300"	"5"	""	"0"	"300030"	"300"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"209002"	"1"	
"208003"	"90级套装-武器"	"300025"	"40"	"100"	""	""	"300026"	"40"	"100"	""	""	"300027"	"300"	"5"	""	""	"300028"	"300"	"5"	""	"0"	"300030"	"300"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"209003"	"1"	
"208004"	"90级套装-防具"	"300025"	"30"	"100"	""	""	"300026"	"30"	"100"	""	""	"300027"	"250"	"5"	""	""	"300028"	"250"	"5"	""	"0"	"300030"	"250"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"209004"	"1"	
"208005"	"90级套装-防具"	"300025"	"30"	"100"	""	""	"300026"	"30"	"100"	""	""	"300027"	"250"	"5"	""	""	"300028"	"250"	"5"	""	"0"	"300030"	"250"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"209005"	"1"	
"208006"	"90级套装-防具"	"300025"	"20"	"100"	""	""	"300026"	"20"	"100"	""	""	"300027"	"200"	"5"	""	""	"300028"	"200"	"5"	""	"0"	"300030"	"200"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"209006"	"1"	
"208007"	"90级套装-防具"	"300025"	"20"	"100"	""	""	"300026"	"20"	"100"	""	""	"300027"	"200"	"5"	""	""	"300028"	"200"	"5"	""	"0"	"300030"	"200"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"209007"	"1"	
"208008"	"90级套装-防具"	"300025"	"10"	"100"	""	""	"300026"	"10"	"100"	""	""	"300027"	"150"	"5"	""	""	"300028"	"150"	"5"	""	"0"	"300030"	"150"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"209008"	"1"	
"208009"	"90级套装-防具"	"300025"	"10"	"100"	""	""	"300026"	"10"	"100"	""	""	"300027"	"150"	"5"	""	""	"300028"	"150"	"5"	""	"0"	"300030"	"150"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"209009"	"1"	
"209001"	"无法升级"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210001"	"1"	
"209002"	"无法升级"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210002"	"1"	
"209003"	"无法升级"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210003"	"1"	
"209004"	"无法升级"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210004"	"1"	
"209005"	"无法升级"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210005"	"1"	
"209006"	"无法升级"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210006"	"1"	
"209007"	"无法升级"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210007"	"1"	
"209008"	"无法升级"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210008"	"1"	
"209009"	"无法升级"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210009"	"1"	
"500001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"300010"	"0"	
