"寻路编号"	"寻路类型（1，与NPC聊天，2，打开自动战斗杀怪，3,静物交互,4，无操作,）"	"Npc的typeid"	"所在场景ID"	"坐标X"	"坐标Y"	"坐标Z"	"点名（索引点表CreatureSpawnConfig）"	"名称"	"是否为传送阵"	"Npc在地图上的图标"	"战力区域显示"	"是否显示列表中0不显示"	""	""	
"69"	"1"	"10069"	"1001"	"183.000000"	"79.400000"	"279.900000"	""	"苏菲菲(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"70"	"1"	"10070"	"1001"	"183.900000"	"79.400000"	"275.500000"	""	"牛大哥(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"71"	"3"	"10071"	"1001"	"214.440000"	"45.980000"	"144.580000"	""	"调查情况"	""	""	""	""	""	""	
"72"	"2"	"10072"	"1001"	"237.590000"	"45.700000"	"130.070000"	""	"墨雨(Lv.33)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"73"	"1"	"10073"	"1001"	"204.400000"	"46.500000"	"114.000000"	""	"欧阳羽(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"74"	"1"	"10074"	"1001"	"220.900000"	"45.000000"	"145.900000"	""	"妖女(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"75"	"2"	"10075"	"1001"	"229.400000"	"44.800000"	"148.900000"	""	"妖女(Lv.34)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"76"	"1"	"10076"	"1001"	"206.000000"	"44.400000"	"78.400000"	""	"墨雨(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"78"	"2"	"10078"	"1001"	"320.550000"	"50.190000"	"76.870000"	""	"邪道士(Lv.31)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"79"	"1"	"10079"	"1001"	"74.280000"	"50.000000"	"139.600000"	""	"戴法兴(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"80"	"1"	"10080"	"1001"	"212.520000"	"57.310000"	"405.370000"	""	"农夫(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"81"	"1"	"10081"	"1001"	"303.700000"	"61.000000"	"231.600000"	""	"张小春(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"82"	"1"	"10082"	"1001"	"184.200000"	"59.400000"	"198.600000"	""	"张铁嘴(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"83"	"1"	"10083"	"1001"	"248.250000"	"44.710000"	"90.430000"	""	"俊俏男子(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"195"	"1"	"10084"	"1001"	"54.700000"	"57.590000"	"308.270000"	""	"欧阳羽(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"196"	"1"	"10085"	"1001"	"349.100000"	"56.100000"	"408.300000"	""	"何梦白(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"197"	"1"	"10086"	"1001"	"105.960000"	"49.880000"	"140.900000"	""	"侍女(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"198"	"2"	"10087"	"1001"	"53.230000"	"50.000000"	"125.980000"	""	"神秘人(Lv.15)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"199"	"1"	"10088"	"1001"	"61.300000"	"50.800000"	"198.100000"	""	"侍卫(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"200"	"2"	"10089"	"1001"	"384.430000"	"52.560000"	"228.640000"	""	"猛兽(Lv.30)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"201"	"2"	"10090"	"1001"	"437.000000"	"50.130000"	"124.000000"	""	"邪教徒(Lv.31)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"202"	"2"	"10091"	"1001"	"165.140000"	"44.910000"	"74.530000"	""	"受蛊男子(Lv.40)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"211"	"2"	"10092"	"1001"	"463.120000"	"58.740000"	"274.640000"	""	"山贼(Lv.30)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"212"	"2"	"10093"	"1001"	"378.000000"	"53.900000"	"190.840000"	""	"野猪(Lv.30)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"213"	"2"	"10094"	"1001"	"430.000000"	"51.200000"	"174.000000"	""	"狂热信徒(Lv.40)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"214"	"2"	"10095"	"1001"	"324.000000"	"49.700000"	"282.000000"	""	"乞活军(Lv.40)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"221"	"1"	"10098"	"1001"	"123.300000"	"50.000000"	"132.100000"	""	"颜师伯(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"227"	"3"	"10114"	"1001"	"120.370000"	"50.000000"	"115.500000"	""	"准备宴会"	""	""	""	""	""	""	
"228"	"3"	"10115"	"1001"	"71.650000"	"49.600000"	"141.250000"	""	"隔墙有耳"	""	""	""	""	""	""	
"229"	"1"	"10116"	"1001"	"75.600000"	"50.800000"	"189.000000"	""	"刘楚玉(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"230"	"1"	"10117"	"1001"	"300.200000"	"50.300000"	"405.500000"	""	"刘楚玉(Lv.60)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"239"	"3"	"10118"	"1001"	"120.900000"	"50.000000"	"122.700000"	""	"飞鸽传书"	""	""	""	""	""	""	
"589"	"1"	"10121"	"1001"	"89.350000"	"51.220000"	"195.740000"	""	"刘楚玉(Lv.60)"	""	"pic_mappoint_png,npc"	""	"0"	""	""	
"590"	"2"	"10122"	"1001"	"92.650000"	"51.220000"	"189.720000"	""	"沈庆之(Lv.20)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"84"	"1"	"11001"	"1002"	"264.200000"	"40.200000"	"226.800000"	""	"守卫(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"85"	"1"	"11002"	"1002"	"265.890000"	"42.990000"	"280.910000"	""	"欧阳羽(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"86"	"1"	"11003"	"1002"	"265.880000"	"43.000000"	"293.880000"	""	"张妈(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"87"	"1"	"11004"	"1002"	"311.800000"	"43.330000"	"329.890000"	""	"王子贪(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"88"	"3"	"11005"	"1002"	"306.500000"	"43.100000"	"325.000000"	""	"被盗现场"	""	""	""	""	""	""	
"89"	"1"	"11006"	"1002"	"260.400000"	"42.700000"	"337.710000"	""	"唐大少(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"90"	"1"	"11007"	"1002"	"255.140000"	"43.000000"	"324.050000"	""	"唐二少(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"91"	"1"	"11008"	"1002"	"186.200000"	"43.100000"	"287.700000"	""	"谢玉(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"92"	"2"	"11009"	"1002"	"228.700000"	"43.000000"	"298.400000"	""	"飞贼(Lv.35)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"93"	"3"	"11010"	"1002"	"170.300000"	"43.100000"	"297.200000"	""	"被盗现场"	""	""	""	""	""	""	
"94"	"1"	"11011"	"1002"	"250.570000"	"43.140000"	"340.820000"	""	"小思思(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"95"	"1"	"11012"	"1002"	"297.120000"	"43.070000"	"378.750000"	""	"守卫(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"96"	"1"	"11013"	"1002"	"239.500000"	"43.000000"	"340.960000"	""	"王雨晴(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"97"	"1"	"11014"	"1002"	"342.700000"	"43.000000"	"378.600000"	""	"彩云(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"98"	"1"	"11015"	"1002"	"350.980000"	"43.000000"	"387.390000"	""	"沉香(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"99"	"1"	"11016"	"1002"	"356.400000"	"43.000000"	"385.000000"	""	"刘楚玉(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"100"	"1"	"11017"	"1002"	"367.280000"	"42.930000"	"396.070000"	""	"曹子阑(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"101"	"1"	"11018"	"1002"	"378.320000"	"43.090000"	"382.960000"	""	"欧阳羽(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"102"	"2"	"11019"	"1002"	"386.980000"	"43.000000"	"392.720000"	""	"白小一(Lv.37)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"103"	"2"	"11020"	"1002"	"330.950000"	"42.730000"	"404.610000"	""	"墨雨(Lv.38)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"104"	"1"	"11021"	"1002"	"319.840000"	"42.980000"	"391.440000"	""	"墨雨(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"105"	"1"	"11022"	"1002"	"375.800000"	"43.000000"	"401.000000"	""	"白小一(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"106"	"1"	"11023"	"1002"	"370.590000"	"43.000000"	"380.130000"	""	"颜师伯(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"107"	"1"	"11024"	"1002"	"254.990000"	"42.720000"	"383.800000"	""	"宗越(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"108"	"1"	"11025"	"1002"	"225.600000"	"43.000000"	"380.900000"	""	"刘楚玉(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"109"	"1"	"11026"	"1002"	"187.300000"	"43.080000"	"399.300000"	""	"欧阳羽(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"110"	"2"	"11027"	"1002"	"180.740000"	"43.000000"	"377.800000"	""	"叛兵(Lv.40)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"111"	"1"	"11028"	"1002"	"296.700000"	"43.100000"	"391.300000"	""	"何戟(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"112"	"3"	"11029"	"1002"	"336.500000"	"43.000000"	"401.400000"	""	"穿衣打扮"	""	""	""	""	""	""	
"113"	"1"	"11030"	"1002"	"285.280000"	"43.000000"	"416.940000"	""	"侍卫(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"114"	"1"	"11031"	"1002"	"319.530000"	"42.900000"	"450.640000"	""	"玄安(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"115"	"1"	"11032"	"1002"	"197.710000"	"42.980000"	"452.120000"	""	"侍女(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"116"	"1"	"11033"	"1002"	"358.790000"	"43.037000"	"441.790000"	""	"王贵妃(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"117"	"1"	"11034"	"1002"	"349.500000"	"43.000000"	"454.300000"	""	"刘子业(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"118"	"3"	"11035"	"1002"	"298.230000"	"43.080000"	"442.530000"	""	"熏香"	""	""	""	""	""	""	
"119"	"1"	"11036"	"1002"	"348.380000"	"43.000000"	"458.190000"	""	"刘楚玉(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"120"	"1"	"11037"	"1002"	"338.000000"	"43.000000"	"459.400000"	""	"戴法兴(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"121"	"1"	"11038"	"1002"	"179.980000"	"43.000000"	"464.300000"	""	"宗越(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"122"	"1"	"11039"	"1002"	"181.130000"	"42.580000"	"472.830000"	""	"王太后(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"123"	"1"	"11040"	"1002"	"175.940000"	"43.000000"	"454.570000"	""	"刘楚玉(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"124"	"2"	"11041"	"1002"	"309.900000"	"43.100000"	"454.800000"	""	"戴法兴(Lv.43)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"125"	"1"	"11042"	"1002"	"260.430000"	"43.000000"	"416.630000"	""	"侍卫(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"126"	"2"	"11043"	"1002"	"427.830000"	"40.280000"	"373.670000"	""	"宫廷禁军(Lv.47)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"127"	"2"	"11044"	"1002"	"421.330000"	"39.340000"	"355.720000"	""	"禁军头领(Lv.47)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"128"	"2"	"11045"	"1002"	"439.000000"	"40.000000"	"343.200000"	""	"普通士兵(Lv.47)"	""	"pic_mappoint_png,boss"	""	"0"	""	""	
"129"	"2"	"11046"	"1002"	"432.680000"	"40.000000"	"318.680000"	""	"沈庆之(Lv.48)"	""	"pic_mappoint_png,boss"	""	"1"	""	""	
"130"	"1"	"11047"	"1002"	"422.850000"	"40.370000"	"304.880000"	""	"刘楚玉(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
"131"	"1"	"11048"	"1002"	"410.300000"	"40.200000"	"207.700000"	""	"白小一(Lv.100)"	""	"pic_mappoint_png,npc"	""	"1"	""	""	
